time	Cdiff	Commensal_Beneficial	Commensal_Dead	tDC_LP	tDC_MLN	Commensal_Harmful	N_Lum	E	E_d	E_i	M_LP	eDC_LP	Th17_LP	Th1_LP	iTreg_LP	eDC_MLN	iTreg_MLN	Th17_MLN	Th1_MLN	nnamed: 2
0.0	484.0	1.0	50000000000.0	0.0	0.0	15000000000.0	0.0	1052500.0	0.0	0.0	3250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.4	941.215	8949990000.0	35527700000.0	56.4508	3.7860099999999997	11993900000.0	6625.47	1027520.0	162.46	24816.7	4727.54	49.1146	2182.18	13.3617	2115.2	0.228287	34.8883	161.727	0.629718	
2.8	1615.93	13559000000.0	26900500000.0	119.236	8.0035	9300030000.0	17635.6	1029830.0	354.969	22317.9	10973.2	84.5279	5140.34	10.6412	2978.69	0.393183	72.0274	316.71	0.403509	
4.2	1712.43	14924800000.0	22342800000.0	179.696	12.1401	7414830000.0	25229.2	1034710.0	489.334	17302.0	15949.5	89.7612	7663.78	8.226280000000001	4436.23	0.41764300000000004	115.63	379.798	0.324947	
5.6	1264.75	15935800000.0	18651600000.0	163.797	11.133	6026750000.0	16751.9	1036200.0	446.79900000000004	15848.7	15068.2	66.3864	7373.26	6.20707	5710.73	0.308942	112.756	309.457	0.221644	
7.0	731.2310000000001	17777400000.0	14632800000.0	107.333	7.315110000000001	4908800000.0	5770.0	1036270.0	287.634	15944.7	9837.01	38.4237	4910.45	3.94429	6126.94	0.178843	76.5241	193.239	0.11241	
8.4	323.76099999999997	20011700000.0	10746200000.0	62.5437	4.26691	4020460000.0	1103.32	1039070.0	134.289	13298.3	4576.06	17.04	2401.71	2.01808	5916.54	0.079328	45.1416	94.7763	0.042632800000000005	
9.8	84.8197	21940500000.0	7627100000.0	31.956	2.18708	3387470000.0	79.9566	1045810.0	36.2826	6655.85	1190.87	4.48211	773.9789999999999	0.8376819999999999	5237.43	0.0208727	23.7909	31.5598	0.0118309	
11.2	1.97222	23347900000.0	5378580000.0	7.44917	0.5243260000000001	2969500000.0	-3.21518	1051540.0	-3.06229	965.1139999999999	-139.991	0.10755799999999999	95.9134	0.284045	3851.87	0.00050193	7.16142	3.8248	0.00209143	
12.6	2.5202599999999998e-14	24341100000.0	3792250000.0	0.0656915	0.00477029	2651930000.0	-1.7668700000000002	1052470.0	-4.7443800000000005	30.2835	-180.84099999999998	1.8706299999999998e-15	3.5620300000000005	0.0817321	2066.75	8.88045e-18	0.130072	0.12104100000000001	0.000272777	
14.0	6.6767e-47	25041400000.0	2673800000.0	0.000396519	2.87939e-05	2372050000.0	-0.8467870000000001	1052500.0	-2.44437	0.914234	-92.8183	5.66324e-48	0.110552	0.0217485	1019.01	2.70474e-50	0.0008350660000000001	0.00363194	3.5376799999999996e-05	
15.4	1.64979e-30	25535100000.0	1885210000.0	2.39342e-06	1.7380199999999998e-07	2121820000.0	-0.40839000000000003	1052500.0	-1.20536	0.0276159	-45.7603	4.95956e-32	0.00333874	0.00558887	501.14099999999996	2.2614599999999996e-34	5.06314e-06	0.00010898	4.58805e-06	
16.8	-9.52506e-32	25883300000.0	1329200000.0	1.44469e-08	1.0490799999999999e-09	1897980000.0	-0.198125	1052500.0	-0.592837	0.000834062	-22.5061	-1.85993e-33	0.00010030799999999999	0.00141222	246.437	-5.6777799999999996e-36	3.05718e-08	3.27003e-06	5.9503e-07	
18.2	-9.861389999999998e-34	26128700000.0	937176000.0	8.72026e-11	6.3323599999999995e-12	1697760000.0	-0.09651280000000001	1052500.0	-0.291531	2.5188499999999998e-05	-11.0675	-5.058199999999999e-35	3.01057e-06	0.00035383800000000004	121.186	-2.35058e-37	1.84538e-10	9.812000000000001e-08	7.717000000000001e-08	
19.6	7.631399999999999e-34	26301800000.0	660773000.0	5.26362e-13	3.82226e-14	1518660000.0	-0.047147900000000006	1052500.0	-0.14336	7.60656e-07	-5.44245	5.87605e-35	9.03392e-08	8.82726e-05	59.593	2.78413e-37	1.11389e-12	2.9441799999999996e-09	1.0008299999999999e-08	
21.0	-2.1098899999999998e-33	26423800000.0	465889000.0	3.17717e-15	2.30715e-16	1358450000.0	-0.023077900000000002	1052500.0	-0.0704975	2.2970200000000004e-08	-2.67633	-4.70541e-34	2.7107300000000002e-09	2.19723e-05	29.3049	-2.3088599999999997e-36	6.7235399999999996e-15	8.83426e-11	1.2979799999999999e-09	
22.4	3.00856e-34	26509800000.0	328484000.0	1.91776e-17	1.3926199999999999e-18	1215150000.0	-0.011311700000000001	1052500.0	-0.034667199999999995	6.936480000000001e-10	-1.31608	-8.43458e-35	8.13381e-11	5.46284e-06	14.4107	-2.90678e-37	4.05839e-17	2.6508e-12	1.68337e-10	
23.8	-3.69851e-39	26570500000.0	231603000.0	1.15758e-19	8.40594e-21	1086960000.0	-0.00554985	1052500.0	-0.0170476	2.09464e-11	-0.647185	-1.5195699999999998e-40	2.44062e-12	1.35737e-06	7.086460000000001	-6.922319999999999e-43	2.44968e-19	7.95395e-14	2.18318e-11	
25.2	8.459019999999999e-41	26613300000.0	163296000.0	6.98724e-22	5.073899999999999e-23	972293000.0	-0.00272476	1052500.0	-0.00838316	6.32529e-13	-0.318253	-3.1994299999999994e-42	7.323300000000001e-14	3.37164e-07	3.4847699999999997	-1.75402e-44	1.4786400000000002e-21	2.38665e-15	2.83139e-12	
26.6	3.8684099999999996e-32	26643400000.0	115135000.0	4.21756e-24	3.06265e-25	869724000.0	-0.00133838	1052500.0	-0.00412242	1.91007e-14	-0.156501	1.9784799999999998e-33	2.19742e-15	8.373610000000001e-08	1.71364	9.186269999999999e-36	8.925219999999999e-24	7.16136e-17	3.67205e-13	
28.0	-1.2159200000000003e-38	26664700000.0	81177900.0	2.5457499999999997e-26	1.84864e-27	777975000.0	-0.000657625	1052500.0	-0.0020272000000000003	5.767930000000001e-16	-0.0769595	2.1161999999999997e-39	6.59355e-17	2.07944e-08	0.8426819999999999	1.0772199999999998e-41	5.38734e-26	2.1488299999999997e-18	4.76233e-14	
29.4	-2.5718800000000003e-33	26679700000.0	57235900.0	1.5368399999999999e-28	1.11597e-29	695905000.0	-0.000323206	1052500.0	-0.000996878	1.74176e-17	-0.0378449	-1.55388e-34	1.97845e-18	5.1637e-09	0.414389	-7.250059999999999e-37	3.2519099999999996e-28	6.44775e-20	6.17631e-15	
30.8	3.65134e-35	26690200000.0	40355200.0	9.26003e-31	6.724239999999999e-32	622492000.0	-0.00015887399999999998	1052500.0	-0.000490215	5.259670000000001e-19	-0.0186102	1.1065499999999999e-36	5.93652e-20	1.28223e-09	0.203776	4.8964300000000005e-39	1.9601599999999998e-30	1.9347e-21	8.01013e-16	
32.2	1.07748e-32	26697700000.0	28453200.0	-1.3775100000000001e-33	-1.25315e-34	556824000.0	-7.81043e-05	1052500.0	-0.000241063	1.58828e-20	-0.00915158	4.62763e-34	1.78131e-21	3.1839400000000006e-10	0.100207	2.11344e-36	1.1558600000000001e-32	5.80525e-23	1.0388399999999999e-16	
33.6	3.30838e-33	26702900000.0	20061400.0	-6.222680000000001e-33	1.1505299999999998e-34	498084000.0	-3.84003e-05	1052500.0	-0.00011854299999999999	4.7962e-22	-0.00450029	-2.19676e-34	5.344970000000001e-23	7.90607e-11	0.0492768	-1.16005e-36	3.15311e-33	1.7419200000000004e-24	1.3472899999999999e-17	
35.0	2.61994e-43	26706600000.0	14144700.0	-1.71669e-35	-1.2465999999999999e-36	445540000.0	-1.88807e-05	1052500.0	-5.829350000000001e-05	1.44833e-23	-0.00221302	4.4613599999999997e-42	1.6037999999999999e-24	1.96316e-11	0.0242319	2.2239799999999998e-44	-3.20662e-35	5.22678e-26	1.7473099999999997e-18	
36.4	-5.64462e-51	26709300000.0	9972940.0	-1.03621e-37	-7.5246e-39	398539000.0	-9.28369e-06	1052500.0	-2.8665900000000003e-05	4.373570000000001e-25	-0.00108825	3.523519999999999e-50	4.8123599999999995e-26	4.87472e-12	0.011916	1.75807e-52	-2.17353e-37	1.56834e-27	2.2660999999999994e-19	
37.8	-5.592230000000001e-52	26711100000.0	7031600.0	-6.254659999999999e-40	-4.5419199999999993e-41	356496000.0	-4.56494e-06	1052500.0	-1.4096400000000001e-05	1.3207e-26	-0.0005351490000000001	-2.92554e-53	1.4439899999999999e-27	1.21044e-12	0.00585971	-1.3699400000000002e-55	-1.3227399999999998e-39	4.7059499999999995e-29	2.9389299999999997e-20	
39.2	-4.4291199999999994e-36	26712400000.0	4957760.0	4.4408099999999995e-34	3.41953e-35	318889000.0	-2.2447e-06	1052500.0	-6.93193e-06	3.9884699999999994e-28	-0.00026316	1.7902799999999998e-36	4.3328999999999995e-29	3.0056399999999997e-13	0.00288151	8.922939999999998e-39	5.725179999999999e-35	1.41215e-30	3.81154e-21	
40.6	-3.7659499999999995e-49	26713300000.0	3495550.0	2.6541299999999996e-36	1.92734e-37	285248000.0	-1.1038e-06	1052500.0	-3.4087800000000006e-06	1.20441e-29	-0.000129409	2.03439e-44	1.3001799999999999e-30	7.46328e-14	0.00141699	1.0143899999999998e-46	5.221619999999999e-36	4.2372699999999996e-32	4.94322e-22	
42.0	-5.2437399999999996e-65	26714000000.0	2464600.0	1.60206e-38	1.1633599999999999e-39	255157000.0	-5.427790000000001e-07	1052500.0	-1.6762700000000002e-06	3.63701e-31	-6.36369e-05	1.23647e-52	3.90109e-32	1.8532e-14	0.0006968030000000001	6.16529e-55	3.37239e-38	1.27143e-33	6.41092e-23	
43.4	-7.554579999999998e-81	26714400000.0	1737710.0	9.670159999999998e-41	7.022139999999998e-42	228240000.0	-2.66907e-07	1052500.0	-8.243059999999999e-07	1.0982799999999998e-32	-3.12935e-05	4.296729999999999e-61	1.1690899999999998e-33	4.60168e-15	0.00034265300000000005	2.1424399999999995e-63	2.04559e-40	3.81504e-35	8.31439e-24	
44.8	6.966829999999999e-99	26714700000.0	1225210.0	5.837e-43	4.23863e-44	204162000.0	-1.3125e-07	1052500.0	-4.05353e-07	3.31653e-34	-1.53886e-05	-2.6632999999999994e-69	3.4846399999999996e-35	1.14264e-15	0.0001685	-1.3279799999999997e-71	1.2351899999999998e-42	1.14474e-36	1.0783e-24	
46.2	-8.794719999999998e-117	26715000000.0	863853.0	3.52327e-45	2.5584799999999995e-46	182625000.0	-6.45417e-08	1052500.0	-1.99332e-07	1.0015e-35	-7.567330000000001e-06	-5.303239999999999e-77	2.09697e-36	2.83728e-16	8.285979999999999e-05	-2.6443099999999997e-79	7.455939999999999e-45	3.4348900000000004e-38	1.3984599999999998e-25	
47.6	4.521859999999999e-136	26715100000.0	609075.0	2.12668e-47	1.54432e-48	163359000.0	-3.17382e-08	1052500.0	-9.80217e-08	3.02428e-37	-3.7212400000000003e-06	-4.136319999999999e-85	3.37715e-37	7.045239999999999e-17	4.07463e-05	-2.06246e-87	4.500489999999999e-47	1.0306699999999999e-39	1.8136799999999997e-26	
