time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s27	s28	s19	s20	s21	s22	s23	s24	s25	s26	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	nnamed: 5
0	0.5	0.5	0.5	0.5	0.5	0.5	0.8	0.8	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.5	1.5	1.5	1.5	1.5	1.8	2.0	2.2	2.5	
3	0.736053	0.762038	0.755771	0.736053	0.736053	0.844859	0.777961	0.770556	0.7642899999999999	0.811624	0.8732340000000001	0.8732340000000001	0.801795	0.9086569999999999	0.950514	0.923956	0.975347	1.05314	1.16672	1.27219	0.9954719999999999	1.1364100000000001	1.04149	1.04149	1.04149	1.04149	1.04149	1.05867	1.2827899999999999	1.20708	1.24275	1.2304700000000002	1.27465	1.2924799999999999	1.24069	1.2767600000000001	1.2936	1.30108	1.26924	1.29008	1.24761	1.28034	1.24761	1.28034	1.25457	1.28324	1.24069	1.2767600000000001	1.31958	1.32806	1.31958	1.32806	1.29969	1.30044	1.30093	1.3014299999999999	1.29736	
6	0.834218	0.841515	0.839458	0.834218	0.834218	0.9072950000000001	0.860707	0.8452270000000001	0.8431700000000001	0.879657	0.930336	0.930336	0.872901	0.957515	0.991922	0.969858	1.00983	1.07229	1.15029	1.22432	1.02777	1.13314	1.06643	1.06643	1.06643	1.06643	1.06643	1.0743200000000002	1.2456399999999999	1.18441	1.21322	1.20171	1.24024	1.2493299999999998	1.20994	1.23361	1.2593	1.25911	1.2363	1.24724	1.21585	1.23669	1.21585	1.23669	1.22197	1.23987	1.20994	1.23361	1.2470700000000001	1.25404	1.2470700000000001	1.25404	1.2415	1.2415	1.2415	1.2415	1.2445899999999999	
9	0.9024139999999999	0.90671	0.9053559999999999	0.9024139999999999	0.9024139999999999	0.956174	0.921917	0.9092709999999999	0.907917	0.9352440000000001	0.9737620000000001	0.9737620000000001	0.930541	0.995101	1.02119	1.00396	1.03548	1.08302	1.13986	1.1936200000000001	1.0491700000000002	1.12684	1.07971	1.07971	1.07971	1.07971	1.07971	1.08305	1.21048	1.16454	1.18616	1.17736	1.20644	1.21281	1.1834200000000001	1.20072	1.22114	1.22052	1.2035	1.21126	1.18783	1.2030399999999999	1.18783	1.2030399999999999	1.19251	1.2055	1.1834200000000001	1.20072	1.20916	1.21434	1.20916	1.21434	1.2061	1.2061	1.2061	1.2061	1.2086299999999999	
12	0.953256	0.956375	0.9553729999999999	0.953256	0.953256	0.993524	0.967891	0.958283	0.9572809999999999	0.9777870000000001	1.00679	1.00679	0.9743370000000001	1.0230700000000001	1.04262	1.02958	1.05376	1.08961	1.1316	1.17116	1.06403	1.12162	1.08755	1.08755	1.08755	1.08755	1.08755	1.08903	1.1837600000000001	1.14957	1.1656600000000001	1.15911	1.18074	1.1854200000000001	1.16359	1.17641	1.1917	1.19119	1.17855	1.1842700000000002	1.16685	1.17812	1.16685	1.17812	1.17036	1.17997	1.16359	1.17641	1.18256	1.18639	1.18256	1.18639	1.18039	1.18039	1.18039	1.18039	1.1822700000000002	
15	0.991433	0.993772	0.9930190000000001	0.991433	0.991433	1.02168	1.00242	0.995207	0.9944540000000001	1.00986	1.03164	1.03164	1.00727	1.0439	1.0585200000000001	1.04874	1.06704	1.09395	1.12515	1.15447	1.0747200000000001	1.11758	1.09259	1.09259	1.09259	1.09259	1.09259	1.0932899999999999	1.16384	1.13838	1.1503700000000001	1.1455	1.16159	1.16507	1.1488200000000002	1.15836	1.16974	1.16936	1.15995	1.16421	1.15124	1.15963	1.15124	1.15963	1.1538700000000002	1.16101	1.1488200000000002	1.15836	1.1629399999999999	1.1657799999999998	1.1629399999999999	1.1657799999999998	1.16133	1.16133	1.16133	1.16133	1.16272	
18	1.0200799999999999	1.0218399999999999	1.0212700000000001	1.0200799999999999	1.0200799999999999	1.0427799999999998	1.0283200000000001	1.02292	1.02235	1.03391	1.05024	1.05024	1.03197	1.0594299999999999	1.07035	1.06305	1.0768	1.09697	1.12021	1.1420299999999999	1.08254	1.1145	1.09602	1.09602	1.09602	1.09602	1.09602	1.09639	1.149	1.13002	1.13896	1.13533	1.1473200000000001	1.14992	1.13781	1.1449200000000002	1.1534	1.15311	1.14611	1.1492799999999999	1.13961	1.1458700000000002	1.13961	1.1458700000000002	1.14157	1.14689	1.13781	1.1449200000000002	1.1483299999999999	1.15045	1.1483299999999999	1.15045	1.14713	1.14713	1.14713	1.14713	1.1481700000000001	
21	1.04154	1.0428600000000001	1.04244	1.04154	1.04154	1.05856	1.0477100000000001	1.04368	1.04325	1.05192	1.06415	1.06415	1.05045	1.07102	1.07918	1.0737299999999999	1.08404	1.09913	1.11647	1.1327399999999999	1.08833	1.11218	1.0984399999999999	1.0984399999999999	1.0984399999999999	1.0984399999999999	1.0984399999999999	1.09866	1.13794	1.1237700000000002	1.13044	1.12773	1.13669	1.13862	1.1295899999999999	1.13489	1.1412200000000001	1.14101	1.13578	1.13814	1.13093	1.1356	1.13093	1.1356	1.13239	1.13637	1.1295899999999999	1.13489	1.13744	1.1390200000000001	1.13744	1.1390200000000001	1.13655	1.13655	1.13655	1.13655	1.13732	
24	1.05761	1.0586	1.0582799999999999	1.05761	1.05761	1.07036	1.06223	1.05921	1.0588899999999999	1.06539	1.07454	1.07454	1.06428	1.0796700000000001	1.0857700000000001	1.0817	1.08942	1.10071	1.11366	1.12579	1.0926200000000001	1.1104399999999999	1.1002100000000001	1.1002100000000001	1.1002100000000001	1.1002100000000001	1.1002100000000001	1.1003399999999999	1.12968	1.1191	1.12408	1.12206	1.1287399999999999	1.13019	1.12344	1.1274	1.1321299999999999	1.1319700000000001	1.12806	1.12983	1.12445	1.1279299999999999	1.12445	1.1279299999999999	1.12554	1.1285100000000001	1.12344	1.1274	1.12931	1.13049	1.12931	1.13049	1.1286399999999999	1.1286399999999999	1.1286399999999999	1.1286399999999999	1.1292200000000001	
27	1.0696299999999999	1.0703799999999999	1.0701399999999999	1.0696299999999999	1.0696299999999999	1.07917	1.0730899999999999	1.07083	1.07059	1.07545	1.0823	1.0823	1.07463	1.0861399999999999	1.09069	1.08765	1.09343	1.1018700000000001	1.11154	1.12061	1.09582	1.10914	1.1015	1.1015	1.1015	1.1015	1.1015	1.10159	1.12351	1.11561	1.11933	1.11782	1.12281	1.12389	1.11885	1.12181	1.12534	1.12522	1.1223	1.12363	1.1196	1.12221	1.1196	1.12221	1.12042	1.12263	1.11885	1.12181	1.12323	1.12411	1.12323	1.12411	1.12273	1.12273	1.12273	1.12273	1.12316	
