time	x1	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x2	x20	x21	x22	x23	x24	x25	x3	x4	x5	x6	x7	x8	x9	nnamed: 2
0	0.001	0.001	0.001	0.001	0.001	0.001	1.5	1.5	0.5	0.2	0.5	0.001	0.5	5.0	0.76	0.07	0.8	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
6000	0.14363099999999998	2.506499999999999e-134	0.0317616	-1.3746799999999997e-101	-1.7837299999999993e-103	90.0963	1.5	15.0	0.0	0.2	0.5	32.8505	-4.124899999999999e-37	6.667049999999998e-133	0.00205408	0.07	0.8	0	2718.24	0.0	0.263521	0.369965	432.175	-1.0825399999999998e-30	0.0125964	
12000	0.143699	-8.139169999999996e-196	7.87292e-05	3.7602199999999987e-156	4.803359999999998e-158	90.0963	1.5	15.0	0.0	0.2	0.5	32.876	4.39331e-35	-2.202949999999999e-194	0.00205408	0.07	0.8	0	2719.35	-0.0	0.263521	0.264867	618.508	-9.16065e-32	3.1223299999999996e-05	
18000	0.143735	1.0606299999999993e-230	1.9515e-07	3.083789999999999e-180	3.939129999999999e-182	90.0963	1.5	15.0	-0.0	0.2	0.5	32.8895	-3.78254e-32	2.8699799999999984e-229	0.00205408	0.07	0.8	0	2719.93	0.0	0.263521	0.217574	762.185	-8.34146e-30	7.73949e-08	
24000	0.143757	1.9484199999999992e-229	4.83732e-10	-3.043979999999999e-183	-3.897979999999999e-185	90.0963	1.5	15.0	-5.637e-321	0.2	0.5	32.8976	1.5505299999999999e-27	4.7963299999999984e-228	0.00205408	0.07	0.8	0	2720.28	3.617e-321	0.263521	0.1892	883.552	3.5194399999999995e-25	1.9184400000000001e-10	
30000	0.143772	1.3241799999999994e-241	1.1991e-12	3.8444199999999986e-191	4.910739999999998e-193	90.0963	1.5	15.0	0.0	0.2	0.5	32.9032	-2.38224e-34	3.7468899999999985e-240	0.00205408	0.07	0.8	0	2720.52	-0.0	0.263521	0.169769	990.595	-2.49732e-29	4.755529999999999e-13	
36000	0.143783	-2.4868199999999988e-254	2.97261e-15	4.791529999999997e-199	6.120549999999998e-201	90.0963	1.5	15.0	0.0	0.2	0.5	32.9073	6.88201e-35	-7.020559999999997e-253	0.00205408	0.07	0.8	0	2720.7	5e-324	0.263521	0.155394	1087.44	-2.46363e-29	1.1789099999999999e-15	
42000	0.143791	-5.7991099999999964e-266	7.36949e-18	-1.2014899999999996e-206	-1.5347499999999993e-208	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9105	5.1990499999999995e-30	-1.653059999999999e-264	0.00205408	0.07	0.8	0	2720.84	-5e-324	0.263521	0.144204	1176.54	1.8909099999999998e-27	2.9226700000000003e-18	
48000	0.143798	2.1222099999999985e-270	1.8267400000000003e-20	-4.954929999999999e-212	-6.329259999999997e-214	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9131	-2.0491999999999997e-30	6.768359999999996e-269	0.00205408	0.07	0.8	0	2720.95	-0.0	0.263521	0.135174	1259.5	-5.641809999999999e-28	7.244660000000001e-21	
54000	0.143804	-5.6961699999999966e-279	4.53341e-23	-5.302729999999997e-218	-6.773539999999996e-220	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9152	-5.666579999999999e-35	-1.639809999999999e-277	0.00205408	0.07	0.8	0	2721.04	-0.0	0.263521	0.12768800000000002	1337.44	4.10895e-29	1.79797e-23	
