time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
0.0.	0.0	0.0	0.0	-1.836709923159824e-40	0.0	0.0	0.0	1.24997e-07	3.97622	0.0	0.0	26.7251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.7535	0.0	0.0	0.0	0.0	0.0
3.0.	2.0299441619637702e-09	1.7441175071354692e-09	1.671261514733574	0.11165467263687401	0.006672605792255	0.00035952193103500003	1.757242139351984e-05	1.24997e-07	3.164128262458572	-3.520095789051438e-27	0.23298747419215401	26.71648498407188	0.008615015928138	5.19427818549265e-06	2.9920172338897155e-08	9.6478331639397e-06	3.495494433594141e-06	1.189822154760912e-06	3.806369718970349e-07	1.1440778261873179e-07	69.25950025935778	0.25516517313389203	0.19643247205194803	0.06397899428883501	0.318692797008488	10.318573684112536
6.0.	1.67763891278534e-06	7.649607249390517e-07	57.35085245385256	7.664776769688667	0.8680534211947211	0.08628997510776401	0.007696876599093001	1.24997e-07	2.786372300098788	-5.560868664609004e-28	0.18966904832208	26.695848583621533	0.029251416378460002	0.0018105984499700001	1.042795501357988e-05	0.000247181692977	0.000145733323108	7.970788406812429e-05	4.073457322443486e-05	1.957085979280608e-05	23.57691558031257	3.944176215315651	0.539875636115133	0.05893454666733	0.40136846879666604	53.464963271655215
9.0.	8.45730200966752e-05	2.41798241227378e-05	241.9001153579085	56.89600914628901	10.812578542004754	1.736944754715987	0.24314930015892203	1.24997e-07	2.8813210231740563	-3.740257150045986e-29	0.170736226634564	26.673290530752535	0.051809469247446005	0.037016329407099	0.000213177945562	0.0007295656918120001	0.000581389363731	0.00043948034136700006	0.00031397120676100005	0.000211736099213	19.287412331291254	8.931969985960936	0.5693336276252761	0.045066666976671006	0.309762455589429	54.325358303354456
12.0.	0.0010807963151260001	0.000210628322179	493.72604756696813	168.72476862668515	46.38129309785254	10.674552300435586	2.117407993158971	1.24997e-07	3.122681517175837	2.145340569981898e-28	0.17043717457065802	26.655207917106917	0.069892082893073	0.18849937585119703	0.0010855385172930001	0.0011334518707360002	0.001014143480829	0.000885184297051	0.0007499125699960001	0.000613752848842	19.756523242109203	12.690709438050574	0.40568532455522405	0.039559348294632	0.23785663540364502	51.27211401922235
15.0.	0.0064773473425	0.000922993681646	753.2480542739467	332.60313625320947	119.22048498654296	35.84788804940601	9.277105924220855	1.24997e-07	3.301917105784613	6.984012180479082e-29	0.171284481508817	26.641876623684546	0.083223376315451	0.49449862894661406	0.002847697533061	0.0014271537882050002	0.001340971472229	0.0012448102641800002	0.001138568253726	0.001022917532857	21.03129553043338	15.368891311605609	0.26404966215048403	0.036973938600419004	0.20199481195566202	48.15609169282726
18.0.	0.02466070801582	0.002702877327717	988.4935888797463	526.2204219003256	230.43894681373212	85.17579500060859	27.16403786121314	1.24997e-07	3.40892471951895	-2.604150976651397e-30	0.169631126801907	26.63166047314911	0.09343952685088701	0.9311871653235291	0.005362438100605001	0.001630352539942	0.0015712759999270002	0.00150408197045	0.001428194473296	0.001343139780831	22.780893484402153	17.188518715316206	0.183142043547693	0.034718059801268006	0.17980405033017702	45.155499898806205
21.0.	0.069890605675855	0.006107064128906	1184.9763529428137	727.4237291604211	372.7081362512315	162.473059279139	61.37192953057191	1.24997e-07	3.4763548647063303	8.491880765249776e-29	0.166522511209397	26.62337867496327	0.10172132503672501	1.459815210782407	0.008406615287458001	0.0017623523798140001	0.0017245581472250002	0.0016804047829130002	0.0016293612736950002	0.001570879129071	24.823703372339967	18.33706440644239	0.13846721550454902	0.032518650124220005	0.16235675845549902	42.323064848218344
24.0.	0.161361884085354	0.011537747961169001	1338.4634120086398	918.8646490726302	534.3170582690353	266.68382227407244	115.94086023646783	1.24997e-07	3.524224744123981	4.9762717100361743e-29	0.16291277960598402	26.61642200846337	0.10867799153662601	2.046273193121336	0.011783806719593	0.001839161595107	0.0018178296954920001	0.0017915892508430001	0.0017600038839580001	0.0017226081185080001	27.040169689476162	18.96763933466015	0.110937792889612	0.030465646228604003	0.14767903715181502	39.67307826793201
27.0.	0.32078312694841804	0.019139141535137003	1450.378438500006	1088.9880729094277	702.6655354606644	392.7457969832691	192.31878364194017	1.24997e-07	3.561191927600116	7.263118594620983e-29	0.15923120910930702	26.610468025207943	0.11463197479204901	2.663705708213999	0.015339363916443001	0.0018737032136	0.001864951703241	0.0018524573793830001	0.0018358702759820001	0.001814814240167	29.348034347649616	19.203149368746647	0.091980656154031	0.028604309140062	0.135211897996478	37.20330046132393
