time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
0.0.	0.554236210497	1.20735759082	3.7519558085700006e-05	2.2807448399	2.2807448399	0.60623758411	0.39376241589	5.0	14.9955925949	0.0044074050699899996	0.00122834645669	5.5275590551200005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.647950363084	0.352049636916	0.21193891760199998	0.857207842972	0.00034883688586400004	0.017437385851600002	1.10847232598	0.299994079312	5.92068764529e-06	0.0	0.0428602812426	0.00435780683888	0.07255906668090001	0.21787125088999998
900.0.	0.35343379568182703	1.211812378756166	4.094527905053891e-05	2.945103739608004	2.48899561158521	0.5523278802965901	0.44767211970340903	3.6215996458256363	14.995137045979096	0.004862953990891	0.0011072506984480001	4.982677315105563e-05	1.189619433000972e-09	2.9574581456475685e-05	2.935397513300869e-08	1.664103871134287e-07	0.017499394238306	0.008813726957552	0.603102479099432	0.396897520900568	0.238308319791966	0.700095124462179	0.0006344798893390001	0.031719377677451005	0.706867758179889	0.29997643649313704	2.356350650772741e-05	1.8975517584622443e-05	0.035004495586364	0.007974088836957001	0.197171260809574	0.398644845179693
1800.0.	0.025293548614603003	1.366627108773452	0.000106217316473	11.97733697822316	6.456845871982979	0.426185199210911	0.5738148007890881	2.623196796497341	14.99394850484171	0.006051495128280001	0.0007471718180010001	3.3623814098800694e-05	2.269526790826583e-09	0.000117516117693	5.66549008084301e-08	3.265914469226764e-07	0.033742952501388	0.017108340762359002	0.505041479526349	0.49495852047365	0.377704318133364	0.36980717962118703	0.003602639885164	0.18012969496619602	0.050587095477472005	0.299960416481505	3.9583518140060795e-05	5.3646992143942144e-05	0.018490149387278002	0.011953483910143002	0.202855981934307	0.597616794206531
2700.0.	0.023856671856643002	2.6433786992018993	0.00041452943239500003	37.62869922198795	25.198685277865568	0.29990026671332204	0.7000997332866761	1.9000337160638572	14.992801245372025	0.007198754597971001	0.000249872526188	1.1245722595448092e-05	2.523208230621802e-09	0.00023897147910100002	8.149866065871425e-08	4.7480976900990955e-07	0.048523950512246006	0.024780385149718	0.418138782041573	0.581861217958426	0.624212004272764	0.17026858162066602	0.007597640405154001	0.379878271045813	0.047713230503676006	0.299956645530407	4.335446923728724e-05	0.000178346191674	0.008513287116225001	0.009762924152459001	0.11964446727850901	0.48811332572230604
3600.0.	0.101448286390868	5.7200669838623295	0.0006696661473240001	41.635818626539645	40.70778710652624	0.335822876516639	0.664177123483359	1.376232285354716	14.993070490923287	0.0069295090467060005	1.2436648223404481e-05	5.605539226803081e-07	5.74931393877218e-10	0.00029696156854	1.035974098787321e-07	6.091867332924983e-07	0.061671192215279	0.031732703572316	0.45681037913569505	0.543189620864304	0.7571735625318241	0.33211898438534004	0.004841748226714001	0.24208123977426502	0.202896194564631	0.299985547274741	1.4452724904088032e-05	0.0008164711147300001	0.016605762898501002	0.0061615618695700005	0.11092849265858501	0.30805673383262705
4500.0.	0.262867875673901	8.295742145226594	0.00046250448001700003	17.83858694050837	28.114626543815227	0.42953952537266005	0.5704604746273371	0.996832470518714	14.994025741162837	0.005974258807151	4.400254647028611e-06	1.988806536929175e-07	4.616332581925076e-10	0.00029892436125600005	1.227696607657541e-07	7.282171358087348e-07	0.073076819466784	0.037887800721403006	0.528709887230815	0.47129011276918303	0.653762312034544	0.5513947411856921	0.0012742119882240002	0.063708373816883	0.5257354550854341	0.29998723068271405	1.2769316930703262e-05	0.0018528879935540003	0.027569563719971	0.005315127141138001	0.12214276393980501	0.26572873809115
5400.0.	0.41779035380204105	8.691200120019833	0.00021463707880400003	7.517351512193161	13.04730177249646	0.478738968497797	0.5212610315022	0.7220256237641981	14.994489265926163	0.005510734043814001	2.711182181330766e-06	1.2287090332387592e-07	4.5468956460428717e-10	0.00029933688759600004	1.38974004397635e-07	8.310204858301041e-07	0.08271635659604501	0.043200824816277	0.562539341811161	0.43746065818883706	0.53611277687568	0.619528078664564	0.000712883446879	0.035641625154448006	0.835580446508511	0.29998733375018	1.2666249465137482e-05	0.0029620034078910004	0.030976230581085003	0.005793046797204	0.139965322532717	0.289622176455605
6300.0.	0.5490032225443301	7.941681144402961	0.00010609368351500001	4.36409939668759	6.449205336989818	0.503819060129113	0.496180939870884	0.522977548169958	14.994701560023977	0.0052984399459950005	1.951442485755245e-06	8.868233103691194e-08	4.5264846617836104e-10	0.00029952244009900003	1.5231755263811578e-07	9.175072490763534e-07	0.090653701985537	0.047668052737551	0.578019172064962	0.42198082793503605	0.45942073318144405	0.649019893904302	0.000521320478334	0.026062924523680003	1.098006209340507	0.299987364029547	1.2635970098655222e-05	0.004096709767590001	0.032450820187485005	0.006336174403978	0.149088098317813	0.31677732264608005
7200.0.	0.65231182069546	6.915370348357012	6.586808098802481e-05	3.220379956063318	4.003986447276394	0.516557153696735	0.48344284630326206	0.37880306029439403	14.994798473426323	0.005201526543651001	1.5278682802812939e-06	6.962143474194228e-08	4.517993424924499e-10	0.00029962589017900004	1.630357816157973e-07	9.883984440137628e-07	0.09702910410493501	0.051327727043239006	0.585085024592769	0.41491497540723005	0.414229097114417	0.662722214275139	0.00043122755412400006	0.021557904931385003	1.3046234284061011	0.299987376610508	1.2623389137459041e-05	0.005222655213189001	0.033135935542836004	0.006732734957982001	0.15384100618704902	0.336604726058142
8100.0.	0.7267592512513401	5.9290484938893755	5.005640689125883e-05	2.711887059243452	3.042831347499213	0.5230214832253071	0.47697851677468905	0.27437460555049403	14.994842724487317	0.0051572754826560005	1.2627769136712419e-06	5.769232750521666e-08	4.5138026159908123e-10	0.00029969063372700005	1.714514689843491e-07	1.0450907787140451e-06	0.10203471018595801	0.05425290973469701	0.58831176563952	0.411688234360478	0.38873953545626205	0.669256217722203	0.00038395540930900006	0.019194076538232	1.453518311051941	0.299987382853419	1.2617146226256831e-05	0.006313137149071	0.033462635393386	0.0069844161781800005	0.156468847230011	0.34918846803749803
