time	EC	X	Y	Z
0.0.	0.0	0.5	0.0	0.0
0.0.5.0	-0.012238807394742	0.32530413579231005	0.183946472590025	0.0029881990124070003
1.0.	-0.024181139092873002	0.19801963820249602	0.32301007064707504	0.0031514302433020003
1.0.5.0	-0.036150672860266006	0.11196356055034101	0.42125455856339106	0.002932553746534
2.0.	-0.048255161359300004	0.06379197844974101	0.481794060552218	0.002669122357341
2.0.5.0	-0.060455542977233004	0.040819053884818005	0.5170847132560991	0.002551775836316
3.0.	-0.07268815368451301	0.029834772986680004	0.5403262019586971	0.0025271787391360004
3.0.5.0	-0.084922406239852	0.024272278074250003	0.5581106483092511	0.0025394798563500003
4.0.	-0.097146233494577	0.021367242986236	0.5732121628037951	0.0025668277045450003
4.0.5.0	-0.109354423681569	0.019875056518963003	0.586878122503394	0.002601244659212
5.0.	-0.12154434693571801	0.019178257031433003	0.5997265235514271	0.002639566352858
5.0.5.0	-0.133714438849	0.018946435554400003	0.6120875816675211	0.0026804216270790004
6.0.	-0.14586360887564	0.018993739683293	0.624146682759633	0.0027231864327140003
6.0.5.0	-0.157990980475529	0.019212557771094003	0.636010833835978	0.0027675888684570004
7.0.	-0.17009576151160002	0.019539777101601003	0.647742438361074	0.002813546048925
7.0.5.0	-0.18217717000904202	0.019938429607359	0.6593776478683051	0.002861092533378
8.0.	-0.19423438437172502	0.020387254138937	0.6709367810922161	0.002910349140571
8.0.5.0	-0.206266503467253	0.02087461428814	0.6824303764103311	0.002961512768782
9.0.	-0.21827250816321603	0.021394936859155	0.6938627111109891	0.003014860193072
9.0.5.0	-0.230251217785845	0.021946672642971003	0.7052337803712141	0.0030707647716600004
10.0.	-0.24220123438725502	0.022531227479953002	0.7165402774221591	0.0031297294851420003
10.0.5.0	-0.25412086461389605	0.023152580238402002	0.727775838585183	0.0031924457903120002
11.0.	-0.266008001626367	0.023817505668810003	0.7389305962167321	0.003259899740826
11.0.5.0	-0.27785993269256504	0.024536549258008	0.7499898076537591	0.003333575780798
12.0.	-0.289672996034444	0.025326338314023002	0.760930766569467	0.003415891150954
12.0.5.0	-0.30144188780360204	0.026215057520617	0.7717155480331871	0.003511282249799
13.0.	-0.31315796020221703	0.02725788868053	0.782270328905418	0.0036297426162690003
13.0.5.0	-0.32480307444583	0.028602640910193003	0.792393449069105	0.0038069844665320003
14.0.	-0.27574478731302504	0.18126734818077803	0.024419351601330002	0.570058087530917
14.0.5.0	-0.17934809601204701	0.601853926596976	0.07472347562037	0.0027706937947030003
15.0.	-0.17550380333328502	0.577115606377253	0.025454604914298	0.07293359204173601
15.0.5.0	-0.183948860372038	0.45574730327609303	0.223570657134213	0.004630899961735001
16.0.	-0.17650709711720602	0.50908229395657	0.163857964932403	0.003566838228236
16.0.5.0	-0.168546501443954	0.5729812590015291	0.092644099071851	0.0029211433705790004
17.0.	-0.163111726136834	0.568745859808459	0.02557710894067	0.06878875738770701
17.0.5.0	-0.17192355458004402	0.44345505880816305	0.22422394970592002	0.004244546065963
18.0.	-0.16312088081480802	0.510071570016167	0.149657295468857	0.003392015329785
18.0.5.0	-0.153622216288809	0.5917053166741051	0.058745687676267005	0.003171211938437
19.0.	-0.161717911515494	0.435314992344958	0.026658973725801	0.199743945444733
19.0.5.0	-0.15547039170141502	0.47362377118567306	0.17826876658540503	0.0035778539303360003
20.0.	-0.144697831045023	0.565084627778054	0.07688983460665401	0.0027233686603140004
20.0.5.0	-0.15162592511334402	0.42241496626818803	0.025305613181609003	0.203905345663547
21.0.	-0.14504963455574202	0.46481479872111603	0.17672133000969	0.003513505824935
21.0.5.0	-0.13253533495154302	0.573868865094036	0.05309064973080101	0.005575820126706
22.0.	-0.144342950068495	0.386501690360941	0.253637782628131	0.004203477079424
22.0.5.0	-0.130909350216583	0.49124126538814006	0.13648839102169302	0.0031796938067470003
23.0.	-0.12541041087655602	0.46100548582486706	0.024702764278978002	0.139702160772708
23.0.5.0	-0.12788223429067602	0.42917647653866203	0.19516363139404502	0.0035421263579670003
24.0.	-0.112064901090102	0.550373436438033	0.029007084753406003	0.032684379898659
24.0.5.0	-0.123165345372889	0.385880982594461	0.233553672457521	0.0037306903209040005
25.0.	-0.10436142365271601	0.5427442174235001	0.05882865182497601	0.0027885544042380002
25.0.5.0	-0.11624980638323501	0.36160231859978903	0.25088593157489203	0.0037615562085520004
26.0.	-0.094324427666505	0.539658301716573	0.039605101755376	0.015061024194556
26.0.5.0	-0.10614082926847601	0.360871513773021	0.24163492159410901	0.0036343939013450005
27.0.	-0.09024496686536601	0.40327823881915303	0.024626002069266	0.16234072597694701
27.0.5.0	-0.09023333663709801	0.40252082013761303	0.184409191871705	0.003303324627779
28.0.	-0.10192047931506001	0.257800856236133	0.340258557434077	0.00386106564485
28.0.5.0	-0.113508362689272	0.154903999961334	0.454968189685294	0.003636173042643
29.0.	-0.125309860462013	0.088618691970057	0.5335108601444051	0.0031803083475500002
29.0.5.0	-0.137292990667815	0.053839209684999	0.5805291568641691	0.002924624118647
30.0.	-0.14935637514397002	0.037353190286958	0.609162136599205	0.002841048257806
30.0.5.0	-0.16143967253746103	0.029340881586262003	0.6292655664280381	0.00283322452316
31.0.	-0.17351829114993703	0.025311005052893003	0.645351847141813	0.00285543895523
31.0.5.0	-0.185582031368717	0.023302567961360002	0.6593882973628431	0.002891166044513
32.0.	-0.19762592275710403	0.022388988914750003	0.6723027174567681	0.002934216385585
32.0.5.0	-0.209647016023036	0.022096481738081	0.6845684285801661	0.0029821057047890003
33.0.	-0.221643178359471	0.022169458656417	0.6964398702216851	0.003033849481369
33.0.5.0	-0.233612570257534	0.022466195359992003	0.708057189976519	0.0030891849210220004
34.0.	-0.24555336709900702	0.02290799677856	0.719497080110668	0.0031482902097780003
34.0.5.0	-0.257463562921095	0.023452785581641003	0.73079906544131	0.003211711898144
35.0.	-0.269340777133516	0.024081065233591003	0.7419792897123391	0.0032804221875860004
35.0.5.0	-0.28118199692809603	0.024788968476878	0.7530369970441141	0.0033560314071030004
36.0.	-0.29298314554688504	0.025586426286001003	0.7639554002949751	0.0034413189659080004
36.0.5.0	-0.304738199770327	0.026501549582953	0.7746949644145901	0.003541685772783
37.0.	-0.316436868532111	0.027600889899571	0.785165507123163	0.0036704715093760004
37.0.5.0	-0.328054318530128	0.029105032915365002	0.7950581676099711	0.0038911180047910003
38.0.	-0.216128561814438	0.35199565912872904	0.024453428202092002	0.339679474483617
38.0.5.0	-0.18271016423954903	0.541436092380947	0.137906847929636	0.0033672239289650003
39.0.	-0.17550755679673602	0.5990709605382181	0.073683595988041	0.002753000270478
39.0.5.0	-0.17225461496897101	0.561562002677478	0.025179318430729	0.085513293860763
40.0.	-0.179758056088883	0.45676890578105905	0.218709760659016	0.00427938964881
40.0.5.0	-0.17189088002199002	0.5148130490281171	0.15361834764852	0.0034594833453540003
41.0.	-0.163458336630313	0.584669403870965	0.076036596802437	0.002752335956913
41.0.5.0	-0.1620569001067	0.5169744712981691	0.024804875286739	0.12027755352179301
42.0.	-0.16640392072849602	0.45719923304130405	0.20531872004040402	0.0038859676467880005
42.0.5.0	-0.157009236984322	0.5316959047521951	0.12216258296596401	0.003150749266165
43.0.	-0.14860367084748902	0.572978756393213	0.026616594568025002	0.049008319886251005
43.0.5.0	-0.15872624666982402	0.42377026543144203	0.230840319448735	0.004115661789647
44.0.	-0.14806860871208902	0.5071403949165401	0.13768307500513202	0.0032451387904170004
44.0.5.0	-0.138216978338596	0.56148305009702	0.026516981048609	0.050216947192967
45.0.	-0.148318434502199	0.41539685084042005	0.228977704421571	0.003943879240206
45.0.5.0	-0.13592202431952602	0.5151315129458011	0.117735622763111	0.0030548886106140003
46.0.	-0.13349317095741	0.45514230657681903	0.024651654923782	0.153699209456808
46.0.5.0	-0.13422516252545902	0.43924234617178	0.19142841910677402	0.0035543972469050003
47.0.	-0.119457747705177	0.564794333151875	0.037313606286826	0.017349808266477
47.0.5.0	-0.131150064479477	0.38236070823803503	0.24490792073269202	0.0038814355087490003
48.0.	-0.11464657616281301	0.515939653153443	0.095880668672495	0.0028262543368750004
48.0.5.0	-0.12640463910093602	0.342719233572433	0.279570950663636	0.004114454864866
49.0.	-0.10775974154717001	0.48604521215817903	0.11872997729004801	0.002984552098942
