time	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	-3.3881317890172006e-21	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	849079.0	60.0	0.0	300.0	0.0	0.0	-6.28363963558109e-89	2.5	0.0	6.018531076210112e-36	6.681911775230489e-52	0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	0.7000000000000001	-2.6469779601696877e-23	0.0	0.0	2.340838177346099e-97	0.0	0.0	0.0	10.0	-4.235164736271502e-22	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0.	1.810712122141497e-18	1.5374415566408542e-16	3.519277020521945e-10	2.9675718696584336e-13	2.767924414997112e-11	3399.9999999437796	48.39150781018117	1351.608492175121	1.6086579593522482e-10	1.9466837389634831e-10	3.902103878393918e-10	1.1273113095524022e-09	0.031856790622068004	89.96787981012791	1.234016760022189e-10	9.907939616812935e-13	1.2142426711011308e-12	4.4073173607591363e-08	0.000124614357057	649551.0690432037	2.051888791055589	57.94811120836983	0.18462928321062702	299.8153707164382	1.2005340761543318e-12	2.860249093182585e-07	2.499999713973894	1.948142748567625e-10	0.0009702440775510001	0.000138740646168	0	0.00019284701394900003	0.000244150019999	0.00039861782418200003	0.0030554002221350003	0.9999999994151211	4.8935573021568085e-12	6.697176077466113e-06	0.000215465001013	0.6997775996876461	3.756810906686216e-11	2.448453311050596e-10	2.3784575183871047e-07	2.5989755544121023e-22	2.541752482517009e-19	2.00868179335034e-06	0.020278439591901003	9.978698022625892	6.920114015019863e-05	0.099007728182411	2.6175565366987684e-10	0.00032491566202900004	0.008925105360617	19.990729602457264	1.8332159744836341e-09	9.332100372836402e-09	2.0362109819998604e-05	9.706963443777525e-21	2.130569831354133e-17	2.63063319117667e-10	29.999999999509857	4.803183611137525e-11	1.7905756077843363e-10	4.831314901236857	165.16766680491594	5.5940974086202844e-08	1.489129043650201e-09	1.258613587928241e-09	2.3538785412847404e-10	4.248874937012697e-06	0.00024308127269700002	1.7410982805144952e-13	1.2649532564073878e-11	8.688573221856994e-09
10.0.	9.98975759741854e-15	9.502034107013483e-13	1.561687350033432e-07	7.438067116399157e-11	6.918064236806786e-09	3399.9999995496955	48.39150807945364	1351.6084901679058	3.455995755915537e-08	3.739209734092504e-08	6.909937962828617e-08	1.0946332879529709e-07	0.031856650029369	89.96748206224191	9.175284610283287e-10	6.03093904442756e-11	7.144399274359527e-11	1.550177702954312e-07	0.000438026795711	649551.0644732305	2.051888798172944	57.94811100127282	0.18462928441290902	299.8153705594183	2.9257461553412095e-11	2.1198221989120676e-06	2.499997880148547	1.092003712133917e-09	0.001543339049661	0.00022309043560900002	0	0.00029925804814200004	0.000421532773515	0.0006170291082090001	0.0018957494636000001	0.999999893508523	4.997970771901202e-10	2.587187002500886e-05	0.000215458550798	0.699756638740686	4.960146525298971e-09	2.084952092841845e-09	2.023161827940138e-06	3.2210829910850224e-18	3.1350200597847343e-15	7.066500044998376e-06	0.020276597412367002	9.977791394192488	6.902187821406477e-05	0.0987516694805	2.805084731395435e-08	0.001379518179808	0.008924557666842001	19.9895022164649	2.5183580594300886e-07	8.862115192402914e-08	0.00019316911236500002	1.3519135028185612e-16	2.9545697601040234e-13	2.723623464760335e-08	29.99999992031337	1.443036958392393e-08	3.802002722603397e-08	4.831258587642858	165.16573822522767	4.1478455777616633e-07	8.50543328506371e-08	7.145382825544432e-08	1.355880943024455e-08	1.4914087502115862e-05	0.000852319815443	4.765052018742559e-11	1.5897884160054542e-09	1.089293829060709e-06
15.0.	9.677595978432813e-13	9.547021055863572e-11	3.997369636066906e-06	1.455034241986739e-09	1.352142087342504e-07	3399.9999980995776	48.39150774893909	1351.6084689101478	6.249004833355103e-07	5.889057458295209e-07	1.06040210712494e-06	1.2429636725608058e-06	0.031856480952357005	89.96700374483399	2.8162610385479043e-09	5.64232599588106e-10	6.613319980730509e-10	3.0602286967286816e-07	0.000864541877792	649551.0588272596	2.051888660960977	57.948106615997965	0.184629283656178	299.8153667188786	1.7133290524689602e-10	6.496122228465707e-06	2.499993503706443	2.6247426546312802e-09	0.001878986590526	0.000274628983747	0	0.00036437101003400005	0.00052972098487	0.000750697942805	0.001201591691938	0.999998350692147	5.764574588176577e-09	5.260273555477149e-05	0.00021544889367700003	0.6997252629395011	6.820606534231658e-08	6.807266344327304e-09	6.6034263467820315e-06	4.952035289079734e-16	4.812775412354868e-13	1.3942574463735553e-05	0.020274301926395	9.976661524889128	6.932270570327027e-05	0.09918249959626001	3.286395436775537e-07	0.002897146019568	0.008923673569424001	19.9875213783349	3.5087943752763528e-06	2.993128631705917e-07	0.000652220317388	2.164569695295631e-14	4.724519646066662e-11	3.155230922758882e-07	29.999998713949662	2.932874419318905e-07	6.772398016561196e-07	4.831185536197538	165.163238018903	1.271692256625278e-06	7.230229479665402e-07	6.062893167071767e-07	1.155568740284371e-07	2.9407845855333094e-05	0.0016800376855530001	1.018837641530674e-09	2.152260686558659e-08	1.4735693603958541e-05
20.0.	2.110492064115542e-11	2.082095870890826e-09	3.474661340047571e-05	1.08099661199891e-08	1.004144695715729e-06	3399.9999928334078	48.39150442731531	1351.6083615501348	4.40771488013696e-06	3.633128826284412e-06	6.462293321737794e-06	6.322100054360796e-06	0.031856293262158004	89.9664727525154	6.0845454839175586e-09	2.601842384575146e-09	3.0346768369957794e-09	4.819867919874683e-07	0.001361524973787	649551.0523112426	2.051887496261646	57.94807310693827	0.184629266601917	299.8153359846823	5.68860157232325e-10	1.4013550474458391e-05	2.4999859858806692	4.554082546543839e-09	0.002072403857193	0.00030674393637700003	0	0.000405012902226	0.000596933588891	0.0008341503493530001	0.0007847502430140001	0.9999899045778521	2.9533182115359474e-08	8.393317771367694e-05	0.00021543644711100003	0.69968482683259	3.97591609927976e-07	1.583097588910735e-08	1.5354914694831e-05	1.491280508881648e-14	1.4483578434396408e-11	2.192525288012469e-05	0.020271140517177003	9.97510543907032	7.011474601864661e-05	0.10031613065663	1.696138699536953e-06	0.004696166604025	0.008922476473147001	19.98483944118243	2.0582728470717952e-05	6.943875195762256e-07	0.001512910665302	6.568086557553512e-13	1.4327130372782892e-09	1.619901847406169e-06	29.999991458747267	2.191604429185628e-06	4.729746462326396e-06	4.831102124513832	165.1603839187115	2.744650983634338e-06	3.0173887391654637e-06	2.528095798468263e-06	4.828203411762583e-07	4.6235723406425264e-05	0.002640955294798	8.146236234904815e-09	1.24541814628381e-07	8.523852343107168e-05
25.0.	2.216595889665718e-10	2.118007175226299e-08	0.00017317137127700002	4.871288007268044e-08	4.523928786583722e-06	3399.999975898707	48.39149243248428	1351.6080074075003	1.914555757642817e-05	1.3963523729771992e-05	2.466922082583718e-05	2.1489411537416314e-05	0.031856090784692	89.9658998050967	1.089262795508418e-08	8.487696311610139e-09	9.87470462849256e-09	6.748704862988484e-07	0.0019062831278200002	649551.0443851297	2.051882314966232	57.94792595609537	0.18462918371907902	299.81519762350877	1.3953598557784083e-09	2.503561723901565e-05	2.499974962987405	6.685915621465094e-09	0.0021804477072070003	0.00032727536775900004	0	0.00043105469645400004	0.0006397310108900001	0.000887641377978	0.000533841758434	0.999961367255444	1.007786700005971e-07	0.000118080967328	0.000215420751268	0.699633834279882	1.496231394350933e-06	3.1979520208316396e-08	3.101623599419758e-05	1.9743919690759922e-13	1.9168555341792501e-10	3.058393121132363e-05	0.020266863958846002	9.97300052632642	7.14063173695886e-05	0.10216446122460301	5.81105925347964e-06	0.006667195487584001	0.008920922131633001	19.981357167384477	7.772725920780674e-05	1.354994766550764e-06	0.002952037010859	8.526395490969859e-12	1.859253793795189e-08	5.5343470558465804e-06	29.99996421385584	9.841497520047075e-06	2.041029958385889e-05	4.831012150748599	165.15730542870895	4.905843917641684e-06	8.883173072567059e-06	7.439421171382145e-06	1.422296773090451e-06	6.449532665551909e-05	0.0036835762014700004	3.9004504277050976e-08	4.667835641666554e-07	0.000319411369704
30.0.	1.5674985408135922e-09	1.408533681108583e-07	0.000621536809027	1.634090314762659e-07	1.5173522593047412e-05	3399.9999295013154	48.39146036783454	1351.60708318261	6.254430231174309e-05	4.098384351613831e-05	7.211638450154479e-05	5.825687044995109e-05	0.031855870804469	89.96527698969358	1.736804733907216e-08	2.314866191671972e-08	2.689696378068825e-08	8.824324549374463e-07	0.00249249625756	649551.0333823947	2.0518657293253	57.94745627066967	0.184628911011362	299.81474940975966	2.8408699386219523e-09	3.9781855490965195e-05	2.499960215303643	8.895942904735616e-09	0.0022371887600520003	0.00034087156096400005	0	0.00044835376935200004	0.000667917004958	0.0009231909758300001	0.00038246619202900005	0.9998868997719831	2.738080540533803e-07	0.000153933649042	0.00021539995263000002	0.699566260100926	4.378548598447774e-06	6.149230643753736e-08	5.9639236168077915e-05	1.645809398077598e-12	1.597504314912384e-09	3.9648060314510755e-05	0.020261321833998	9.970272766385413	7.320303804067546e-05	0.104735526874279	1.582369741592865e-05	0.008742168687388	0.008918853895932001	19.97672343507151	0.00022791697880500001	2.444565932908178e-06	0.0053256770023900005	6.788730466995106e-11	1.480041558044702e-07	1.5047608092931991e-05	29.999885747277432	3.282183732064791e-05	6.638327715698209e-05	4.830917890976262	165.15407981503355	7.799405633533355e-06	2.172337471881067e-05	1.8188486549202762e-05	3.479313882279868e-06	8.362144898325531e-05	0.004775644048701001	1.376139907213995e-07	1.3627637198300318e-06	0.000932404448658
35.0.	8.865899888877049e-09	7.340360473126815e-07	0.001813602749196	4.5540461856334884e-07	4.2283261645780754e-05	3399.9998170775916	48.3913860617887	1351.604959049548	0.00017104568799900001	0.00010252397364000001	0.000179978636061	0.000138650098722	0.031855620968131	89.9645688934799	2.564633953031615e-08	5.782591970165882e-08	6.71508395708534e-08	1.109195973733025e-06	0.003132952804176	649551.0156661326	2.051821978223412	57.94621841348553	0.18462818244867601	299.81355747190105	5.103808006309816e-09	5.8378054837756104e-05	2.499941616841358	1.110960068967474e-08	0.0022630746298450003	0.000350316192674	0	0.00046042069896400003	0.0006873546765150001	0.000948003674083	0.00029081391450700003	0.999717497390298	6.524197749175876e-07	0.00019072621949800002	0.00021536971249200003	0.6994680026259701	1.101987032523504e-05	1.175084285676174e-07	0.000113967666829	1.0431059209928958e-11	1.012359124793679e-08	4.8929292839855994e-05	0.020254425803456003	9.966878648420641	7.55076888099056e-05	0.108033302708779	3.77485201758331e-05	0.010874687184780001	0.008915911265121	19.97013029129646	0.0005742538132680001	4.29862437762639e-06	0.009364849411967	4.0212787223851453e-10	8.765888395416404e-07	3.5873032439211616e-05	29.999692161999796	9.095673604084215e-05	0.00018100823172	4.830820715282167	165.15075291905742	1.1451203994757671e-05	4.823778519089294e-05	4.038376441802073e-05	7.727307162300524e-06	0.00010322191577400001	0.005894773517458001	3.998757139925795e-07	3.42518871610322e-06	0.002343352455461
40.0.	4.406232642423021e-08	3.339439741334805e-06	0.004629653807945	1.127321610044242e-06	0.000104663157837	3399.999565057964	48.39122524650762	1351.6003767496152	0.00041800911675	0.00023370828287700001	0.00040973917535800004	0.000307087780354	0.031855311783840004	89.96369115206507	3.594084849013181e-08	1.394933678160021e-07	1.619638105800509e-07	1.370281613308821e-06	0.0038703796460990004	649550.9837634413	2.051719088937165	57.94330837499048	0.184626457672173	299.81074050501866	8.387211142990686e-09	8.087781844695164e-05	2.499919113794347	1.327647440547628e-08	0.002270369518735	0.00035729099025200004	0	0.00046937801861800005	0.0007015823816280001	0.0009664356819050001	0.00023492174517300002	0.999356552541764	1.445675547484403e-06	0.00022778915850000001	0.000215320914798	0.6993094338684971	2.536142071539374e-05	2.268560383406633e-07	0.00022002221142200003	5.597319719035646e-11	5.431900391557496e-08	5.825974628948443e-05	0.020246130886559	9.962795935467533	7.831921665005272e-05	0.112056276428159	8.368254317730504e-05	0.013024910742835	0.00891134030703	19.959888074523686	0.001322225006405	7.5965781175943515e-06	0.016549803308169003	1.9914702414680923e-09	4.3408387708498636e-06	7.952227181346701e-05	29.999254823350537	0.00022415783508200003	0.000441496542568	4.830721450914084	165.14735107808812	1.5873027649222683e-05	0.000102478112798	8.578904527650947e-05	1.6417562458810703e-05	0.000122947211429	0.007021007015214	1.023955833832102e-06	7.877838366823112e-06	0.005389425136316001
45.0.	2.0315648957626007e-07	1.418557138422506e-05	0.010849575973803	2.5904328390860103e-06	0.00024049326876700002	3399.999023469129	48.39088657657422	1351.5907394105268	0.0009530045463180001	0.0005067993953960001	0.0008880263737580001	0.0006566786111160001	0.031854880175404006	89.96246341464744	4.866343186395295e-08	3.359770375344543e-07	3.90155575406825e-07	1.700368376526041e-06	0.00480276199303	649550.9222686208	2.051492259850556	57.93689389235075	0.184622642248245	299.80451339305097	1.2896506516179121e-08	0.00010725715829100001	2.499892729945207	1.5345115224287482e-08	0.0022664087546830003	0.00036281856848700004	0	0.00047651755903000006	0.00071275088502	0.000981138453477	0.000200337537679	0.998605174230845	3.091139650796369e-06	0.000264267203024	0.000215234758411	0.699029448498196	5.5525555679093466e-05	4.441724454840461e-07	0.00043079590512100005	2.712358008825946e-10	2.632071327470403e-07	6.742184786395163e-05	0.020236431086387	9.958021453380514	8.162990831040307e-05	0.11679340131462201	0.000178904072434	0.015143083338619	0.008903590081225	19.942520921294605	0.0028946542202780002	1.3716462614254611e-05	0.029882923392885	8.892914461339224e-09	1.9383238873876392e-05	0.00017011120354300003	29.998310910706408	0.000513649451189	0.001005328638864	4.830620595955224	165.1438873763236	2.1061505071937534e-05	0.00021459822582600002	0.00017964953916000003	3.4381669120688736e-05	0.000142341974005	0.008128332597891	2.416161974462096e-06	1.724660033071568e-05	0.011798575125101001
