time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
0.0.	3.3999999999999996e-06	1.4e-06	1e-09	0.0	9e-08	2.1000000000000002e-10	0.0	0.0	0.0	0	2.5e-09	0	0	0	0	0	0	0	2e-08	1e-08	7.000000000000001e-10	0.0	-1.5407439555097882e-33	-1.5407439555097882e-33	1e-10	0.0	1.6e-07	9.4e-11	0.0	0.0	0.0	0.0	0.0	0.0
12.0.	3.3970162556601263e-06	1.3733678168077929e-06	8.399093242626398e-10	2.5785047330512284e-10	9e-08	2.041329216533799e-10	4.1421286932618464e-12	5.916565245745015e-13	1.133293128783841e-12	0	2.4992491483710892e-09	0	0	0	0	0	0	0	1.1543694065979751e-08	9.95412664699875e-09	5.65601227433343e-10	1.275924317990182e-10	5.081391114280676e-12	5.081391114280676e-12	1.45873353001253e-10	8.329861836820803e-09	1.599558478139845e-07	8.116434964060998e-12	1.707509094254369e-12	7.508516289113135e-13	6.930979529354882e-11	5.713430190588922e-11	2.375724486395153e-08	2.7200442287815262e-09
24.0.	3.382475007630829e-06	1.297891976329786e-06	1.7512806554615921e-09	5.770684460195782e-10	9e-08	1.9593487009971163e-10	8.134322539123166e-12	2.024786628402849e-12	3.906020732762701e-12	0	2.499012591210955e-09	0	0	0	0	0	0	0	1.5345820680529961e-09	9.93727938351947e-09	4.3398221516780375e-10	2.419737445218912e-10	1.811323294914012e-11	1.811323294914012e-11	1.6272061648053442e-10	1.8103502400900172e-08	1.5971521472591198e-07	9.72520080842528e-12	2.2511127109151482e-12	9.874087890453097e-13	2.034030400339586e-10	1.5851249101285193e-10	8.368362358981857e-08	1.693753848790113e-08
36.0.	3.338954429143261e-06	1.100283060264516e-06	1.074735540005465e-08	1.959507873397444e-09	9e-08	1.843010916567886e-10	1.1903736940612939e-11	4.717014280909172e-12	9.07815712168969e-12	0	2.498586521647047e-09	0	0	0	0	0	0	0	6.0761148184493415e-12	9.89933410810127e-09	1.3665407591459372e-10	5.054947878408744e-10	4.405596484193395e-11	4.405596484193395e-11	2.0066589189873293e-10	1.9035906922183853e-08	1.5909759269788978e-07	2.468116684980845e-11	3.2175367879862213e-12	1.4134783529522181e-12	5.768942714346129e-10	3.81122691563069e-10	2.285580120608563e-07	5.9070941709612245e-08
48.0.	3.2337672114280363e-06	7.001731323238976e-07	6.673377504085275e-08	1.0715086462595872e-08	9e-08	1.691950981751634e-10	1.53264598112379e-11	8.738342092460484e-12	1.674009992113873e-11	0	2.497489782615944e-09	0	0	0	0	0	0	0	8.77868376240581e-13	9.751538348842818e-09	2.541609166187511e-13	5.881088208072743e-10	8.615857626250905e-11	8.615857626250905e-11	3.484616511571887e-10	1.781003284572146e-08	1.5781821829032432e-07	6.180280665201293e-11	5.639299816075824e-12	2.5102173840553173e-12	1.541111233998937e-09	6.479780519033101e-10	4.6723329177100926e-07	1.55496736349741e-07
60.0.	3.048152920167695e-06	2.266016401888208e-07	2.690553998070596e-07	5.131309930900401e-08	9e-08	1.562150336118254e-10	1.833404271346235e-11	1.22448288302258e-11	2.3206094844487206e-11	0	2.4948929395180624e-09	0	0	0	0	0	0	0	3.762437350686876e-11	9.209512806353174e-09	1.3995939150669282e-15	5.37529256237077e-10	1.270184204942961e-10	1.270184204942961e-10	8.904871936468332e-10	1.588083878639931e-08	1.5583212223533488e-07	1.40922024929547e-10	1.110574431520247e-11	5.107060481937203e-12	3.5923520945352194e-09	4.891847455585419e-10	5.53036135213285e-07	3.005045407362718e-07
72.0.	2.836995982086118e-06	2.3294308162661463e-08	5.387591325073928e-07	1.542501286052937e-07	9e-08	1.4559814014649302e-10	2.094193201463951e-11	1.516490132908229e-11	2.8295026509786458e-11	0	2.4894281235915025e-09	0	0	0	0	0	0	0	-4.7903283006101144e-14	7.961168559718696e-09	8.144386707917497e-17	4.920172865230463e-10	1.645227041942195e-10	1.645227041942195e-10	2.138831440281307e-09	1.352457666958293e-08	1.532816505366077e-07	2.761371025058473e-10	2.187422426792744e-11	1.0571876408496968e-11	6.385900370777215e-09	8.957086292278794e-11	2.758957867094218e-07	4.0871107315230705e-07
84.0.	2.663531842502755e-06	6.786539477368918e-10	6.030284651127886e-07	2.92202526329039e-07	9e-08	1.368842534582118e-10	2.322123962004976e-11	1.762851262604748e-11	3.226599429569282e-11	0	2.4795262565578404e-09	0	0	0	0	0	0	0	6.161878248712418e-14	6.384121673666518e-09	2.2057219801752188e-14	4.510814235790442e-10	1.990020122794158e-10	1.990020122794158e-10	3.715878326333484e-09	1.077123740882742e-08	1.5028835414672018e-07	4.840217267426621e-10	4.018341640908945e-11	2.047374344215877e-11	9.226040409897041e-09	2.660562492986472e-12	6.088546753576333e-08	4.4420222651217906e-07
96.0.	2.531716815332189e-06	6.6619034222879725e-12	5.255181415705709e-07	4.181218729459219e-07	9e-08	1.296931623481768e-10	2.525349030138919e-11	1.973033188565363e-11	3.532301546478232e-11	0	2.4623479548176534e-09	0	0	0	0	0	0	0	-8.129845086674132e-16	4.931118690318735e-09	-1.713008663095506e-15	4.1419871011807716e-10	2.3074965554015232e-10	2.3074965554015232e-10	5.168881309681269e-09	7.852089764062718e-09	1.4695177435817038e-07	8.509501735835905e-10	7.038935867692551e-11	3.765204518234566e-11	1.2147862413969621e-08	4.8634952095602755e-14	7.287606072220118e-09	4.5006566887291273e-07
108.0.	2.430223134025295e-06	4.0439055025599e-15	4.3085957989529566e-07	5.18996726214101e-07	9e-08	1.2373520915153651e-10	2.7099371239384807e-11	2.153931230561802e-11	3.762610730346311e-11	0	2.4316153502703604e-09	0	0	0	0	0	0	0	1.9913763797785022e-14	3.600607311540622e-09	2.938692132429028e-14	3.807845965937879e-10	2.600205968758095e-10	2.600205968758095e-10	6.4993926884593815e-09	5.066919842220524e-09	1.43353502866625e-07	1.5788820203543401e-09	1.22544111971736e-10	6.838464972963892e-11	1.493306047655432e-08	-2.3253871177015177e-16	5.131938018414683e-10	4.506304962773951e-07
120.0.	2.350685311831226e-06	-3.2762728098698555e-17	3.519091675962274e-07	5.984035019412486e-07	9e-08	1.1878767750346499e-10	2.880181125100036e-11	2.310701946890393e-11	3.930349177663369e-11	0	2.3739472243270464e-09	0	0	0	0	0	0	0	-6.50878121146733e-16	2.2804988055400332e-09	-1.873231916498261e-15	3.505483481948292e-10	2.8704301379155314e-10	2.8704301379155314e-10	7.819501194459972e-09	2.9089586966931514e-09	1.395610390018221e-07	3.05795657498841e-09	2.186062015547659e-10	1.26052775672951e-10	1.70910419544473e-08	-2.6240181414013887e-19	2.355228082784587e-11	4.5066377821472146e-07
132.0.	2.287439961613804e-06	-1.535123497330634e-19	2.888634237822364e-07	6.614706198452272e-07	9e-08	1.146771220485861e-10	3.039203957005759e-11	2.4472239190919768e-11	4.045859919044007e-11	0	2.2692359634838652e-09	0	0	0	0	0	0	0	1.613486924340354e-16	1.083287813888965e-09	-7.462397855767521e-17	3.2305140459769775e-10	3.1201783164492493e-10	3.1201783164492493e-10	9.016712186111042e-09	1.696473436390008e-09	1.356305785408602e-07	5.494775422550623e-09	3.9389699862124344e-10	2.3076403651613272e-10	1.830352640226248e-08	-1.249263618248067e-21	8.268699129625603e-13	4.5066512950277823e-07
144.0.	2.236538967230082e-06	-1.138140074136028e-22	2.382481004145902e-07	7.120867005809794e-07	9e-08	1.1126576205320192e-10	3.1893395245743515e-11	2.566467544462533e-11	4.117616725643314e-11	0	2.106014587333618e-09	0	0	0	0	0	0	0	5.717123615928646e-19	3.396696627939282e-10	1.1725763809704212e-17	2.980328300501246e-10	3.351263155230574e-10	3.351263155230574e-10	9.760330337206078e-09	1.121076794041243e-09	1.316091151923666e-07	8.49353495296767e-09	6.772650693557724e-10	3.9398541266637775e-10	1.8878923205386982e-08	-1.2981593944011588e-24	2.528009369100632e-14	4.506651737243368e-07
156.0.	2.1951598748980918e-06	-1.652317831267269e-25	1.9727180237176251e-07	7.530630218873415e-07	9e-08	1.0844286647147161e-10	3.332372778425578e-11	2.670721617820757e-11	4.152618956606945e-11	0	1.891020157953967e-09	0	0	0	0	0	0	0	-3.9290280953368994e-18	6.649133935007395e-11	-1.8708894998297643e-17	2.752359417600096e-10	3.565306712046132e-10	3.565306712046132e-10	1.0033508660649931e-08	8.264226624555519e-10	1.27536075554359e-07	1.165523660296151e-08	1.0786044695938e-09	6.089798420460293e-10	1.9173577341473413e-08	-1.945914109965941e-27	7.237061307800081e-16	4.506651750171902e-07
168.0.	2.161231799770403e-06	3.226097716742765e-27	1.638637492593117e-07	7.864710756697239e-07	9e-08	1.061181672618065e-10	3.469697181934113e-11	2.7617703665391752e-11	4.156715725346551e-11	0	1.642113214659398e-09	0	0	0	0	0	0	0	-3.847342216198499e-21	7.915866125587238e-12	-1.054443683433623e-20	2.544379719125589e-10	3.7637716717913364e-10	3.7637716717913364e-10	1.009208413387441e-08	6.550561088671902e-10	1.234446398024104e-07	1.480770982914473e-08	1.5972525347140441e-09	8.578867853405976e-10	1.934494389113659e-08	-4.8662717812523705e-27	1.7623130907368062e-17	4.5066517505334165e-07
180.0.	2.1332045978881088e-06	3.9662930687917013e-26	1.364696949771382e-07	8.138651299683683e-07	9e-08	1.0421742068056179e-10	3.602415673985148e-11	2.8410124600108008e-11	4.134829797948423e-11	0	1.38022510176396e-09	0	0	0	0	0	0	0	-1.135028051024614e-22	5.520310886644623e-13	-5.00174564613896e-22	2.354438199035537e-10	3.947977575173602e-10	3.947977575173602e-10	1.0099447968911339e-08	5.383659304193375e-10	1.193626752067115e-07	1.78794945949151e-08	2.2290729325769994e-09	1.119774898236035e-09	1.946163406958071e-08	-6.289401993011805e-26	2.869321166921254e-19	4.506651750542069e-07
192.0.	2.109974010607192e-06	1.3143416645723672e-30	1.1398233283087359e-07	8.363524921149388e-07	9e-08	1.0268524939627791e-10	3.731352025313068e-11	2.9093011500032667e-11	4.090821885056493e-11	0	1.1247869840802501e-09	0	0	0	0	0	0	0	5.629006282172835e-27	3.474992271580974e-14	2.475354239680132e-26	2.1811111232974e-10	4.118876573196691e-10	4.118876573196691e-10	1.0099965250077281e-08	4.687701508615251e-10	1.15314560575599e-07	2.086107963707986e-08	2.9710087034122152e-09	1.3752130159197452e-09	1.953122984913841e-08	1.5813601573754672e-32	-1.770194597560234e-20	4.506651750542059e-07
