time	alpha	beta	gamma
0.0.	29.19988	188.8	0.3367
40.0.	34.74665316887337	83.42976906901228	0.10151476079809
80.0.	40.65118670176426	230.2305465158073	0.380428464968088
120.0.	29.86669226066231	125.73908209383539	0.17478400112382603
160.0.	40.14823170987784	71.24853075224226	0.08290249628386201
200.0.	29.626023878587706	197.19119645497042	0.371454983273231
240.0.	34.105600492976	86.66880385953291	0.10647888090988201
280.0.	42.414534340480074	164.85339977084942	0.22428457678052402
320.0.	29.510792716834196	132.40976630464564	0.18841202394012802
360.0.	39.48126091740788	71.09288612468451	0.08291146230457201
400.0.	30.2078504082245	203.71440142860178	0.392153165791404
440.0.	33.481555286963925	90.2519357029449	0.11207171860809101
480.0.	43.07086232405447	126.24054129746179	0.15857271274679502
520.0.	29.212185696866808	139.50546867568252	0.20371000396516
560.0.	38.80292665550689	71.54944534943401	0.08372505073504101
600.0.	30.935492266134165	206.83988809860372	0.395718329250063
640.0.	32.87706071540517	94.1869351495769	0.118346203286325
680.0.	43.145999473896296	104.10514611475486	0.125923966950267
720.0.	28.978948999091767	147.0272721526232	0.22093279043742703
760.0.	38.11810688098311	72.51970688281482	0.085227661849328
800.0.	31.759135795469028	204.71817375547	0.38022938231470105
840.0.	32.29410717563343	98.49097230865586	0.12537889844567202
880.0.	42.914393045173995	90.79243870078415	0.10765959598805501
920.0.	28.8205469029386	154.98580616580597	0.240427663290837
960.0.	37.42895680542771	73.94068768159758	0.08735273169714701
1000.0.	32.6014640580376	197.7941815627514	0.37042638599518
1040.0.	31.73265347133838	103.20670093928008	0.13330170324443202
1080.0.	42.50638743916491	82.39156405560121	0.0966205757432
1120.0.	28.749088613727114	163.4503598809364	0.262802381107595
1160.0.	36.73164755621936	75.7852280616325	0.09008535880846201
1200.0.	33.44525856516433	194.51277326936912	0.517083550546121
1240.0.	31.18597945133805	108.46267572313097	0.14241932495883702
1280.0.	41.98028540406192	76.83955577970222	0.08954439922790901
1320.0.	28.786116093120942	172.7274380147948	0.28957129035412504
1360.0.	36.00457484080517	78.10066402519894	0.09352328164632401
1400.0.	34.89940228076383	250.44788205783308	1.138149015776579
1440.0.	30.626738586917835	114.69942965398641	0.15366384033843
1480.0.	41.33606024687939	72.87016439518645	0.08461616690175701
1520.0.	29.001104935814183	183.98405518510657	0.32568951849194405
1560.0.	35.16815087458137	81.1984184456077	0.09817246827197101
1600.0.	39.65379828087256	264.51676657787203	0.510611444683649
1640.0.	29.96832467810793	123.57781821545525	0.170553192028625
1680.0.	40.45017346036539	69.59251676334046	0.08066420626305601
1720.0.	29.773551101674947	201.14133868120317	0.38740109551782104
1760.0.	33.94231458793755	86.61199749065663	0.10647522129905801
1800.0.	43.9795267405567	120.43946109505839	0.148798324527622
1840.0.	29.01706104204593	142.5712022337665	0.210797452444957
1880.0.	38.7238161115767	67.66613598741168	0.078676011916833
1920.0.	33.95298945606517	192.22342818217345	0.33212013407514
1960.0.	31.325896127711566	104.29527954282094	0.135388783833856
2000.0.	43.22357277085941	59.211115138778055	0.066906040718367
2040.0.	30.705442937780987	224.0087176975999	0.518410220241152
2080.0.	33.309283721853994	87.67678633598923	0.108345933932491
2120.0.	45.871073413392764	59.0735809767477	0.06615669510488201
2160.0.	29.33875384609978	197.91259524483286	0.38680967195383004
2200.0.	34.49670146236879	81.8673129446582	0.09939954569906401
2240.0.	45.90772250133297	91.8811988994584	0.107422571829534
2280.0.	28.609847824687456	155.62741682832365	0.242730634420835
2320.0.	37.789582671176035	66.19764674211396	0.077023762504937
2360.0.	47.48710522161964	165.88436987139085	0.21444658520280901
2400.0.	28.953210034730716	144.29445751309547	0.21478329156087703
2440.0.	38.588940349424774	67.49261257421693	0.07848852183763301
2480.0.	34.55424174197637	183.10603423782217	0.32629620840001805
2520.0.	31.026047253891832	107.1357684300809	0.140332782382042
2560.0.	42.89562127487373	57.669402166658486	0.06509004466575401
2600.0.	32.285189014319755	238.43569723628448	0.549556128690162
2640.0.	32.53777849273183	93.59105240898172	0.117636168113461
2680.0.	44.8005734818643	60.4140430681763	0.06802007865713401
2720.0.	29.36791270742153	200.90325917769152	0.40167265695117105
2760.0.	34.457610174376676	80.97731392532961	0.09815446083158201
2800.0.	46.84309823160873	69.07166809455111	0.078044883259829
2840.0.	28.642182129895723	175.57535649863652	0.299650888930934
2880.0.	36.11740378280848	73.59388704281622	0.087326162419968
2920.0.	46.65179506871822	127.5772868505933	0.15628584406074703
2960.0.	28.83225305308161	145.14146994430808	0.21698382617624
3000.0.	38.709867159250436	63.57961329209391	0.07341477203489401
3040.0.	41.95212912648074	329.37837904678975	0.8606212335326111
3080.0.	29.386634618445115	132.21321470291974	0.188221428156701
3120.0.	39.81215199708173	64.16003554245574	0.073882003426357
3160.0.	34.058634220524034	201.56305455009175	0.34739540229700605
3200.0.	31.524910889117614	101.72655097378896	0.13106374409145802
3240.0.	43.71983753372703	55.58299479650062	0.06239217675537
3280.0.	32.45404640700095	244.12739741683072	0.598280514216031
3320.0.	32.45432343924715	95.21949954564768	0.12018572175061401
3360.0.	44.22313284383318	69.21770366838145	0.07903482786768701
3400.0.	28.69366205249847	181.21325409380285	0.31863066862519
3440.0.	35.77609151467474	74.24293160473628	0.088321098683698
3480.0.	47.89070742442746	83.21424340091785	0.095233410912995
3520.0.	28.61681290938499	162.65878341969238	0.261198929839534
3560.0.	37.067695337264645	70.72822392957394	0.083181309901438
3600.0.	41.15691805609133	298.3373629044531	0.6481342428741751
3640.0.	29.54715181390505	127.19214905029187	0.178033811648163
3680.0.	40.53345086743636	58.8650715737955	0.067054658360608
3720.0.	37.82307359109216	144.20120377662204	0.286586257042423
3760.0.	30.15134319046784	119.43570735729477	0.16266124398294501
3800.0.	41.123850633141906	64.43679116272106	0.073898794549915
3840.0.	30.848044840376744	218.1540493962956	0.45611818414915506
3880.0.	33.13992867294147	89.20887153890621	0.11069966604999601
3920.0.	45.482693631392	62.406571683417205	0.07028066018015601
3960.0.	28.98262642494007	191.22198281673948	0.35670466066411005
4000.0.	35.05719970486017	77.93075206518384	0.09364735191711401
