time	e	ez	w	z
0.0.	0.0	0.0	-1.2924697071141052e-26	2.4e-05
1.0.2.0	1.132872285457279e-07	1.634447293293354e-09	1.149216758390213e-07	2.3883443876867684e-05
2.0.4.0	2.2283647907853892e-07	6.44319070807559e-09	2.292796697866144e-07	2.37642771395053e-05
3.0.5999999999999996.0	3.287774448287545e-07	1.428636080680626e-08	3.430638056355609e-07	2.3642649833557633e-05
4.0.8.0	4.3123580389367663e-07	2.5028740573558863e-08	4.5626454446723555e-07	2.351870671495921e-05
6.0.	5.303334743063095e-07	3.8539469616422866e-08	5.688729439227324e-07	2.339258758646084e-05
7.0.199999999999999.0	6.261886526594675e-07	5.469198491157058e-08	6.808806375710382e-07	2.32644273775174e-05
8.0.4.0	7.189158615670969e-07	7.336395291627304e-08	7.9227981448337e-07	2.3134356232600373e-05
9.0.6.0	8.086260039421388e-07	9.443719526368944e-08	9.030631992058282e-07	2.3002499605530494e-05
10.0.799999999999999.0	8.954264231831005e-07	1.17797608966278e-07	1.0132240321493779e-06	2.2868978358884354e-05
12.0.	9.794209684233085e-07	1.433350819875152e-07	1.122756050410823e-06	2.2733908867601673e-05
13.0.2.0	1.060710064029203e-06	1.709434050183155e-07	1.2316534690475188e-06	2.259740312593418e-05
14.0.399999999999999.0	1.1393907826580288e-06	2.005201801514214e-07	1.339910962809451e-06	2.245956885703914e-05
15.0.6.0	1.2155569211851432e-06	2.3196672716164167e-07	1.447523648346785e-06	2.2320509624491594e-05
16.0.8.0	1.2892990789442718e-06	2.651879879461179e-07	1.5544870668903909e-06	2.218032494516351e-05
18.0.	1.3607047377077749e-06	3.000924297099197e-07	1.660797167417696e-06	2.20391104028724e-05
19.0.2.0	1.429858342951864e-06	3.365919473476101e-07	1.766450290299476e-06	2.1896957762352946e-05
20.0.4.0	1.4968413859579569e-06	3.746017654729636e-07	1.8714431514309222e-06	2.175395508309614e-05
21.0.599999999999998.0	1.5617324863593399e-06	4.140403404861878e-07	1.97577282684553e-06	2.1610186832668312e-05
22.0.8.0	1.6246074748048089e-06	4.548292630007391e-07	2.079436737805551e-06	2.1465733999193733e-05
24.0.	1.6855394754094258e-06	4.968931609592863e-07	2.182432636368715e-06	2.1320674202672022e-05
25.0.2.0	1.744598987737591e-06	5.401596036851064e-07	2.2847585914227003e-06	2.1175081804892223e-05
26.0.4.0	1.801853968081047e-06	5.845590070997496e-07	2.386412975180799e-06	2.102902801771947e-05
27.0.599999999999998.0	1.857369909809667e-06	6.300245403240434e-07	2.487394450133712e-06	2.0882581009542264e-05
28.0.799999999999997.0	1.911209922634821e-06	6.764920338112315e-07	2.587701956446056e-06	2.0735806009742734e-05
30.0.	1.96343481061844e-06	7.238998891723325e-07	2.6873346997907763e-06	2.058876541103691e-05
31.0.2.0	2.014103148794252e-06	7.721889908181162e-07	2.7862921396123717e-06	2.0441518869569523e-05
