time	y	z
0.0.	15.0	5.0
0.0.2.0	13.113507106553781	4.016682503502047
0.0.4.0	12.07569894059617	3.307262124294736
0.0.6000000000000001.0	11.540124570925586	2.777733249474297
0.0.8.0	11.328048735743288	2.360086629703677
1.0.	11.343494118349533	2.011644085489969
1.0.2000000000000002.0	11.532959717745094	1.708402080446689
1.0.4000000000000001.0	11.865246111118593	1.438576864683055
1.0.6.0	12.320753206988275	1.197650753118539
1.0.8.0	12.885581896905652	0.984695936646316
2.0.	13.548340484376135	0.7997939571490831
2.0.2.0	14.298598557868692	0.642525967945014
2.0.4000000000000004.0	15.126329357321662	0.5114139793479421
2.0.6.0	16.02187069532847	0.404013372128648
2.0.8000000000000003.0	16.976085534153118	0.317299651484994
3.0.	17.980541303080827	0.24808114461114603
3.0.2.0	19.027631758845757	0.19330716033818202
3.0.4000000000000004.0	20.110627004623844	0.15024582554092
3.0.6.0	21.22366439551022	0.116556503334203
3.0.8000000000000003.0	22.361699782854444	0.09029383922136
4.0.	23.520436357228142	0.06987484982651901
4.0.2.0	24.69624370363178	0.054030391908330005
4.0.4.0	25.88607531544801	0.041753554670298
4.0.6000000000000005.0	27.087389522295783	0.032251421618027
4.0.800000000000001.0	28.29807653453985	0.024902931630052003
5.0.	29.516392855946783	0.019223517425374002
5.0.2.0	30.74090341633683	0.014836179101657002
5.0.4.0	31.97043123954071	0.011448218599386
5.0.6000000000000005.0	33.204014159077836	0.008832742065557
5.0.800000000000001.0	34.44086793968027	0.006814071026496
6.0.	35.68035510221552	0.005256302031719001
6.0.2.0	36.92195874707198	0.004054372211542001
6.0.4.0	38.165260703477756	0.0031271028342770004
6.0.6000000000000005.0	39.40992338420939	0.0024117949949020003
6.0.800000000000001.0	40.65567478668322	0.001860038095684
7.0.	41.90229614592715	0.001434463029066
7.0.2.0	43.149611808253354	0.0011062295436170002
7.0.4.0	44.39748095405149	0.000853083203864
7.0.6000000000000005.0	45.645790852609124	0.0006578536764660001
7.0.800000000000001.0	46.89445138060087	0.000507294619356
8.0.	48.14339057875322	0.00039118778122200005
8.0.200000000000001.0	49.39255105838229	0.00030165133057000003
8.0.4.0	50.64188710141344	0.00023260597654100001
8.0.6.0	51.891362324617795	0.000179362957673
8.0.8.0	53.14094780167744	0.000138306125813
9.0.	54.390620555852564	0.00010664666449500001
9.0.200000000000001.0	55.64036235197824	8.223386512607205e-05
9.0.4.0	56.890158729734594	6.34091608090579e-05
9.0.600000000000001.0	58.13999823103115	4.8893536224290036e-05
9.0.8.0	59.389871783294645	3.7700686652987306e-05
10.0.	60.639772207772275	2.9070040409010395e-05
10.0.200000000000001.0	61.889693827933634	2.2415103229191604e-05
10.0.4.0	63.139632157911	1.7283620813276343e-05
10.0.600000000000001.0	64.3895836548563	1.3326856506788981e-05
10.0.8.0	65.63954552227906	1.02758990543229e-05
11.0.	66.88951555400325	7.923392119771183e-06
11.0.200000000000001.0	68.13949201045195	6.109445086920675e-06
11.0.4.0	69.38947352063782	4.7107683936675465e-06
11.0.600000000000001.0	70.6394590045727	3.632295519841647e-06
11.0.8.0	71.88944761188475	2.800722565051263e-06
12.0.	73.13943867328904	2.159526558374859e-06
12.0.200000000000001.0	74.38943166224317	1.665124063065093e-06
12.0.4.0	75.63942616466872	1.283909087070705e-06
12.0.600000000000001.0	76.88942185505464	9.89969038161265e-07
12.0.8.0	78.1394184776074	7.633235237952511e-07
13.0.	79.38941583139054	5.885663169713494e-07
13.0.200000000000001.0	80.6394137586136	4.5381820158265724e-07
13.0.4.0	81.88941213540849	3.499195341590715e-07
13.0.600000000000001.0	83.13941086456768	2.698076477979938e-07
13.0.8.0	84.38940986982902	2.0803678484739692e-07
14.0.	85.63940909138057	1.604079307050353e-07
14.0.200000000000001.0	86.88940848232548	1.2368338990097748e-07
14.0.4.0	88.13940800590333	9.536670484370053e-08
14.0.600000000000001.0	89.38940763330713	7.353295852315417e-08
14.0.8.0	90.6394073419681	5.6697926819189954e-08
15.0.	91.88940711420942	4.371718654417626e-08
15.0.200000000000001.0	93.1394069361891	3.370832138290659e-08
15.0.4.0	94.38940679707063	2.599093784134198e-08
15.0.600000000000001.0	95.63940668837236	2.004041386952106e-08
15.0.8.0	96.88940660345719	1.545223625311281e-08
16.0.	98.1394065371326	1.19145026109032e-08
16.0.2.0	99.38940648533709	9.186718808938033e-09
16.0.400000000000002.0	100.63940644489442	7.083450525419112e-09
16.0.6.0	101.88940641332111	5.4617176586535795e-09
16.0.8.0	103.1394063886758	4.211274690218846e-09
17.0.	104.38940636944116	3.2471162899235942e-09
17.0.2.0	105.63940635443151	2.503698712264836e-09
17.0.400000000000002.0	106.88940634272056	1.9304841675380552e-09
17.0.6.0	108.13940633358452	1.488505282433747e-09
17.0.8.0	109.38940632645821	1.14771610781281e-09
18.0.	110.63940632090028	8.849495989123831e-10
18.0.2.0	111.88940631656612	6.823427199321916e-10
18.0.400000000000002.0	113.13940631318674	5.261221131857427e-10
18.0.6.0	114.38940631055209	4.056677833391407e-10
18.0.8.0	115.63940630849831	3.127911405598646e-10
19.0.	116.8894063068975	2.411783622439073e-10
19.0.200000000000003.0	118.13940630564994	1.8596114648313764e-10
19.0.400000000000002.0	119.38940630467776	1.433857740617945e-10
19.0.6.0	120.63940630392028	1.105579287012602e-10
19.0.8.0	121.88940630333013	8.524593952137127e-11
20.0.	123.1394063028704	6.572907067407783e-11
