time	Pfr	Pi	Pr	S	V	Xa	Xi	Ya	Yi	preS	prepreS
0.0.	10.0	0.0	0.0	0.0	30.0	0.0	6.0	0.9	0	0.0	200.0
0.0.25.0	9.753099120332298	0.003073401757048	0.243827477910653	0.003238470512473	34.423984296408804	0.017239596154551	5.982760403845447	0.9	0	0.055491966538216	199.94131075386497
0.0.5.0	9.51229424505496	0.012091042787768002	0.47561471215727	0.042390921438820006	37.86923523969945	0.063335673728394	5.936664326271601	0.9	0	0.393835217462473	199.55964477808152
0.0.75.0	9.277434863332163	0.026757522011018	0.6958076146568201	0.184626978038631	40.53378742138622	0.13078942876461802	5.869210571235377	0.9	0	1.177530175245549	198.60839493795186
1.0.	9.048374180405096	0.046788401645266	0.9048374179496361	0.503627889632104	42.156022755998286	0.213307933540302	5.786692066459692	0.9	0	2.468107289467594	196.9172846269008
1.0.25.0	8.824969025890333	0.071909845962019	1.103121128147643	1.06096424127952	40.38613903185206	0.305719586475216	5.694280413524778	0.9	0	4.253219119453978	194.38483981327528
1.0.5.0	8.607079764293854	0.101858271148499	1.2910619645576409	1.896469459120202	34.30053332757986	0.40386351748388905	5.596136482516107	0.9	0	6.468984150996976	190.9700791345388
1.0.75.0	8.394570207734262	0.13638000599646102	1.469049786269273	3.024798438869855	27.47548374059846	0.5044660851797971	5.495533914820197	0.9	0	9.01873701219585	186.68318791304188
2.0.	8.187307530820979	0.17523096309701802	1.637461506081997	4.436167861991311	21.620748653135006	0.605014448703817	5.394985551296176	0.9	0	11.788634560666662	181.57547565093535
2.0.25.0	7.985162187633876	0.21817632022850902	1.796661492137611	6.099774767223736	16.916534109469772	0.7036343512697331	5.296365648730261	0.9	0	14.660256763046933	175.72916683152428
2.0.5.0	7.788007830753018	0.26499021163618003	1.9470019576107962	7.968744583640943	13.207100589878058	0.7989768311223621	5.20102316887763	0.9	0	17.520278060285825	169.2476173800912
2.0.75.0	7.595721232287426	0.31545542890801104	2.088823338804558	9.985791484932328	10.301189900316109	0.890116618399003	5.109883381600991	0.9	0	20.267351837496722	162.2464591680219
3.0.	7.408182206853688	0.36936313116164704	2.22245466198466	12.089096775716563	8.03085614055656	0.976463472627292	5.023536527372701	0.9	0	22.81646207482769	154.84601908666298
3.0.25.0	7.225273536456331	0.426512564265054	2.348213899278608	14.218289637094049	6.259309046984998	1.057686620590162	4.942313379409832	0.9	0	25.10109769645413	147.16518866496028
3.0.5.0	7.046880897221869	0.486710788818469	2.466408313959657	16.320935288223563	4.877860689288063	1.133651707186421	4.866348292813574	0.9	0	27.07366889748179	139.31676844332821
3.0.75.0	6.872892787943603	0.549772416643877	2.577334795412515	18.360714586125106	3.800999184554102	1.2043692060991051	4.795630793900886	0.9	0	28.70460336389244	131.40419543219377
4.0.	6.703200460389441	0.615519355519494	2.681280184091062	20.329539398389127	2.961745605891606	1.269952987426282	4.730047012573711	0.9	0	29.980538841412947	123.51948664234568
4.0.25.0	6.5376978513307105	0.6837805619168721	2.778521586752419	22.266414868090948	2.30775283884124	1.330587649069801	4.669412350930192	0.9	0	30.90197847433492	115.7421932421538
4.0.5.0	6.376281516249526	0.754391801501165	2.869326682249314	24.281960541013323	1.798156973975006	1.386503237641058	4.6134967623589365	0.9	0	31.48070926217753	108.13915076065007
