time	species_10	species_11	species_13	species_14	species_15	species_17	species_18	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_27	species_28	species_29	species_30	species_31	species_33	species_34	species_4	species_5	species_6	species_7	species_8
0.0.	100.0	57516.0	10000.0	100	100	20.0	100.0	3150.0	0.0	20.0	100	100.0	100	100.0	0.0	9363.0	0.0	45.0	100	100	100	400.0	467.0	0.0	60000.0	0.0
7.0.	3.666666666666683	58407.50423452397	9879.289632869932	100	100	23.2469033407609	100.04256615967546	3118.6728544294338	7.000975736979769	26.269393899353854	100	134.13964680812288	100	99.951596840911	6.998968425771507	9506.130558275487	202.74254235698686	52.64268281153746	100	100	100	397.7415085059461	463.8267055450932	2788.126111203766	59255.813341240704	5400.1932039627945
14.0.	3.666666666668441	59308.106344366635	9775.207530611848	100	100	23.033621460637136	100.16269366333945	3084.0932252789867	14.00776901144257	26.028176504099925	100	132.79449328697422	100	99.79961124341358	13.990808980332186	9652.896587707874	408.76584248369085	53.45622234909739	100	100	100	395.5762092617447	461.2867986848252	5559.4913654547845	58631.56223392957	10707.047494002718
21.0.	3.666666666813919	60139.01690928333	9692.433264860685	100	100	22.86640484802217	100.34043912714141	3055.4412614897933	21.025094702843514	25.839048542324278	100	131.65696096657678	100	99.56223015461721	20.96892339709436	9788.307751776045	617.8179824194144	54.206830584904274	100	100	100	393.84305498790974	459.2531480400892	8317.19760597537	58135.109900766976	15933.895761744132
28.0.	3.666666666668691	60904.67755977495	9627.345768565116	100	100	22.737270178522422	100.55907081733424	3032.269601488517	28.05638219624517	25.692983335883625	100	130.69998958069567	100	99.25511059685546	27.92789566444248	9913.087294716262	829.6628402882478	54.8985141014651	100	100	100	392.4724241469377	457.6442932392622	11064.028847184823	57744.73804615063	21096.266721195898
35.0.	3.666666666667716	61609.419677611935	9576.866925573442	100	100	22.639442914893646	100.8048187089194	3013.8917346067506	35.103995292838704	25.582321086693646	100	129.89946105758168	100	98.89172635011204	34.863327504117215	10027.940606897746	1044.0796594962378	55.53518098433414	100	100	100	391.40379394120896	456.3893844121392	13802.313109852195	57441.98484922826	26207.53925569485
42.0.	3.66666666666667	62257.42728255035	9538.391794555175	100	100	22.567200688587093	101.06652979664288	2999.622030441799	42.16942752629818	25.50059149122913	100	129.23401153798702	100	98.48366120172601	41.771696069940774	10133.549158373336	1260.8625945628614	56.12060712205877	100	100	100	390.58503574443193	455.4273808705565	16533.983662563627	57211.22650477357	31279.02176255718
49.0.	3.666666666666666	62852.710673351314	9509.729072822613	100	100	22.515740007029386	101.33532049536916	2988.81762149088	49.253473151933335	25.442363106798755	100	128.68487669999772	100	98.04086091178017	48.65023068827876	10230.566186425063	1479.8201463596513	56.65841222996451	100	100	100	389.9716768707873	454.70619408015347	19260.635301534974	57039.32012876954	36320.16121481691
56.0.	3.666666666666666	63399.08893129457	9489.04447350983	100	100	22.481049629401316	101.6042431702493	2980.8976177275417	56.356374211662526	25.403100230467388	100	128.2356750712713	100	97.57185020840477	55.49680597856872	10319.61382997856	1700.7745211543024	57.152043906480074	100	100	100	389.5260728534657	454.18172426156616	21983.57513564645	56915.264140304724	41338.771288347896
63.0.	3.666666666666666	63900.179520003374	9474.808893939433	100	100	22.459794763024206	101.86797834228474	2975.350317675114	63.477945105583395	25.37903199263711	100	127.87216603445053	100	97.08392006746053	62.30984909557279	10401.281422787273	1923.560941312052	57.6047681220933	100	100	100	389.2165654977482	453.8168782443412	24703.86750373737	56829.88738313	46341.25643848033
70.0.	3.666666666666666	64359.39347990026	9465.75224679967	100	100	22.449213998475482	102.12255851293602	2971.7332366516307	70.6176767030101	25.367035841027107	100	127.58200646298575	100	96.58328966742866	69.08825917144445	10476.124700372193	2148.026929788358	58.01966478183052	100	100	100	389.0166779069149	453.5806291825056	27422.37310996422	56775.572213372136	51332.8203539941
77.0.	3.666666666666666	64779.93495761327	9460.823084377942	100	100	22.447029251073964	102.36512563600756	2969.6690980325902	77.77482229575213	25.364535722699856	100	127.354519378706	100	96.0752467009863	75.83133731747007	10544.665715154044	2374.0315857228647	58.39962722063204	100	100	100	388.9043740930758	453.4471509523986	30139.782737625002	56746.01233383007	56317.65344406302
84.0.	3.666666666666665	65164.80402646664	9459.15373637329	100	100	22.451368065717013	102.59372171722008	2968.839801176352	84.94846774230824	25.369414240258234	100	127.18048136908138	100	95.56426914052332	82.53872578194756	10607.393289404603	2601.4448644211025	58.747364686141154	100	100	100	388.8613954198694	453.3950419071685	32856.64603999373	56736.003698137974	61299.09771852769
91.0.	3.666666666666665	65516.80194379766	9460.030480999365	100	100	22.460697197277565	102.80711048808679	2968.979610690242	92.13758805662339	25.379937554237276	100	127.05193146857506	100	95.05413107184401	89.21035506003547	10664.76386656694	2830.146871696255	59.06540703493168	100	100	100	388.8726766533781	453.40664146247326	35573.39595825439	56741.26560384076	66279.78952295131
98.0.	3.666666666666666	65838.53815480015	9462.868192112353	100	100	22.473766209982095	103.00462728182097	2969.8683050912387	99.341092519237	25.39469161211314	100	126.96200184959007	100	94.54799480946204	95.84639791994422	10717.202648239841	3060.027179847681	59.356111016561385	100	100	100	388.9258388663009	453.4674364351045	38290.36931595387	56758.288631855	71261.78169262395
105.0.	3.666666666666667	66132.4384921394	9467.18889814208	100	100	22.48955982626574	103.1860539016252	2971.3246972506686	106.5578601735394	25.412528269264335	100	126.90476935610616	100	94.04849117302918	102.44722945274026	10765.104926889717	3290.9841703879138	59.62166764615706	100	100	100	389.01075346102795	453.5655505162485	41007.824109155015	56784.206048134656	76246.64718929616
112.0.	3.666666666666667	66400.75413757065	9472.603718846942	100	100	22.507257825307047	103.35151524296259	2973.2007343662576	113.78676734277704	25.432519945746634	100	126.87512624372032	100	93.55778952537094	109.01339237454658	10808.83754344441	3522.9244069132155	59.86411027217091	100	100	100	389.1191702071938	453.69130862263137	43725.95396617068	56816.68546479259	81235.56643144648
119.0.	3.666666666666667	66645.57100851802	9478.797693808885	100	100	22.52620140017451	103.50139458838437	2975.376259799719	121.02670858145086	25.453921585499423	100	126.86866820723881	100	93.07765893856731	115.54556691352691	10848.740414710666	3755.762040169381	60.08532303356234	100	100	100	389.24440180071997	453.83686739104985	46444.900199410884	56853.83784522317	86229.40047851828
126.0.	3.666666666666666	66868.81931153774	9485.517070924783	100	100	22.5458650052998	103.63626475179956	2977.7544448665503	128.27661226769095	25.476138823319932	100	126.88159772233408	100	92.60952165763867	122.04454470260342	10885.128088448115	3989.418246327851	60.28704947220821	100	100	100	389.38105763897744	453.99590328663476	49164.76181990289	56894.141263705584	91228.7520762572
133.0.	3.666666666666668	67072.28306832135	9492.558677651063	100	100	22.565832848842454	103.75683255289469	2980.257856942007	135.53545185606276	25.498701403776256	100	126.91064080143906	100	92.15449986529599	128.5112061747508	10918.29129433799	4223.820698699512	60.47090112410419	100	100	100	389.52482000789297	454.16335037224246	51885.603835532354	56936.37715685994	96234.0163704278
140.0.	3.666666666666666	67257.6094707908	9499.761049156872	100	100	22.585779300191508	103.86389441624692	2982.8251089392934	142.80225364490988	25.52124102698677	100	126.95297540543781	100	91.7134566106943	134.94650102289816	10948.498467395955	4458.903072525896	60.63836595905906	100	100	100	389.67225652925936	454.33518054405164	54607.46410861759	56979.57711261012	101245.42288267979
147.0.	3.666666666666666	67426.31796208407	9506.997034246853	100	100	22.605452587850632	103.95830119219644	2985.4080264301956	150.0761017686525	25.54347291488998	100	127.00616992403168	100	91.28703164594049	141.35143134258894	10975.997226951014	4694.604582058582	60.79081657507535	100	100	100	389.82066341817756	454.50821985602255	57330.35900775707	57022.97852244037	106263.07013363381
154.0.	3.666666666666666	67579.80897174844	9514.167641432417	100	100	22.624661256208057	104.04093057593745	2987.9692673762906	157.35614100219215	25.565180497055543	100	127.06813031743808	100	90.87567281276125	147.72703712397137	11001.015799460654	4930.869548833941	60.92951808219536	100	100	100	389.9679347933292	454.67999536453266	60054.2880531172	57065.987671751005	111286.95410408989
161.0.	3.666666666666666	67719.37225791258	9521.19692379075	100	100	22.643262931075643	104.1126657519923	2990.4803323698416	164.64157785987402	25.586202707095865	100	127.13705468644072	100	90.47966353535526	154.07438380155642	11023.764377427122	5167.646999844002	61.0556356327743	100	100	100	390.1124539319515	454.848607683127	62779.23772326303	57108.149060598036	116316.99155010819
168.0.	3.666666666666666	67846.19482798253	9528.02773264211	100	100	22.661155014290035	104.17437911162686	2992.9199084383918	171.93168038325138	25.606423460343958	100	127.21139420095196	100	90.09914690165547	160.39455160645113	11044.436409746886	5404.890294173379	61.170241572177424	100	100	100	390.2530029522045	455.01262512823934	65505.184564920266	57149.11993538276	121353.03903294298
175.0.	3.666666666666666	67961.36842367165	9534.61819695587	100	100	22.678266987918988	104.2269200815908	2995.2724955596123	179.2257769380693	25.625762951582296	100	127.28981946461195	100	89.73414675203509	166.68862649726384	11063.209821156308	5642.556776598603	61.274322196844295	100	100	100	390.3886879300735	455.17099595036814	68232.09772425145	57188.649173275255	126394.90839006625
182.0.	3.666666666666666	68065.8965668642	9540.938808308747	100	100	22.69455405994756	104.27110626590363	2997.5272713245727	186.5232542794453	25.64417046964934	100	127.3711915242474	100	89.3845861402614	172.95769247326254	11080.248160183695	5880.607456616281	61.36878411636922	100	100	100	390.5188769174117	455.32297568301703	70959.94099887404	57226.55979858243	131442.37925745163
189.0.	3.666666666666666	68160.70117070491	9546.970010657471	100	100	22.709991926840388	104.30771724096765	2999.6771552287737	193.8235550933272	25.66161847495666	100	127.45453684817225	100	89.05030348485943	179.2028250972325	11095.701676308037	6119.00671136867	61.454460223415396	100	100	100	390.6431487249464	455.468067106714	73688.67449349178	57262.734526862165	136495.20915413223
196.0.	3.666666666666666	68246.6287260151	9552.700210592246	100	100	22.724572465085647	104.33749046098905	3001.7180396407557	201.12617518033352	25.678097727458898	100	127.53902569721467	100	88.7310666888484	185.42508607630697	11109.708327958311	6357.722010961313	61.53211528046815	100	100	100	390.76125067492006	455.60597072465424	76418.25594824433	57297.10383097047	141553.1415558813
203.0.	3.666666666666667	68324.4560771515	9558.124137552886	100	100	22.73830019472534	104.36111882843713	3003.6481594765332	208.43066041359336	25.69361328755556	100	127.62395339830508	100	88.42658547109123	191.62551876725976	11122.394723643962	6596.723664710064	61.60245113608359	100	100	100	390.8730638178081	455.73654398585467	79148.64179731872	57329.63610609382	146615.9123137597
210.0.	3.666666666666666	68394.89580413722	9563.241495108592	100	100	22.75118938385019	104.37924956574994	3005.467576990498	215.73660357397324	25.70818124177304	100	127.70872410426794	100	88.13652212244665	197.8051444886969	11133.876998951611	6835.984586909396	61.6661115857617	100	100	100	390.978574353577	455.8597677799329	81879.78800568434	57360.32958050301	151683.25471345228
217.0.	3.666666666666666	68458.60122961429	9568.0558541371	100	100	22.763261684786382	104.39248409215205	3007.177761881985	223.0436411430552	25.721826029667028	100	127.79283668622739	100	87.86050087384902	203.96495953657316	11144.261632424654	7075.480080776002	61.72368689413965	100	100	100	391.07785020517326	455.9757189703829	84611.65072371752	57389.20567715697	156754.90342114633
224.0.	3.666666666666667	68516.1710701314	9572.573746883918	100	100	22.774544210889584	104.40137866544626	3008.7812501595663	230.35145011552254	25.734578268951594	100	127.87587245828892	100	87.59811604079418	210.10593281175085	11153.646203501054	7315.187639288574	61.77571799608622	100	100	100	391.1710218660819	456.0845479372673	87344.18679272186	57416.3035801307	161830.59751973307
231.0.	3.666666666666668	68568.15375168131	9576.803927707651	100	100	22.785067978093824	104.40644559484979	3010.2813679651535	237.6597448774699	25.74647299308537	100	127.95748447945294	100	87.34893908898955	216.22900397912042	11162.120095750735	7555.086761713669	61.822700394648706	100	100	100	391.2582667901581	456.1864602717404	90077.35412871349	57441.67580078231	166910.0828040737
238.0.	3.666666666666666	68615.05140938272	9580.756772010354	100	100	22.794866648060097	104.40815486897799	3011.6820088843315	244.96827418495354	25.75754822990076	100	128.03738821585506	100	87.11252474872566	222.3350820873246	11169.765148651752	7795.158784677459	61.865087773794684	100	100	100	391.33979671413846	456.2817019080091	92811.11200714346	57465.38457271686	171993.11347487217
245.0.	3.666666666666666	68657.32359087744	9584.44378961114	100	100	22.803975520379446	104.40693607430481	3012.987455225212	252.276818267315	25.767843861862058	100	128.11535337878502	100	86.88841629049365	228.42504458651518	11176.656261092012	8035.386726712222	61.9032953436029	100	100	100	391.41584740559136	456.37054709827527	95545.42126731825	57487.49893314951	177079.4533463967
252.0.	3.666666666666665	68695.39068247109	9587.877232784138	100	100	22.8124307301122	104.40318050500687	3014.202235380006	259.5851860720073	25.777400718516386	100	128.1911967810552	100	86.67615006121366	234.4997366889807	11182.861949695698	8275.755145274077	61.93770293507403	100	100	100	391.4866704142354	456.4532887360195	98280.24445202686	57508.09237204019	182168.87666309072
259.0.	3.666666666666666	68729.63707635313	9591.06978250586	100	100	22.82026861434473	104.3972433859992	3015.3310107493867	266.89321266147465	25.786259860070185	100	128.26477607746128	100	86.4752593688967	240.55997102402358	11188.44486496071	8516.25000529384	61.96865786110862	100	100	100	391.55252647592005	456.5302306165934	101015.54589517583	57527.2409503065	187261.16860333915
266.0.	3.666666666666667	68760.41409643923	9594.034299202753	100	100	22.82752521755401	104.38944614800293	3016.378486841358	274.20075676777964	25.794462017931924	100	128.33598427430732	100	86.28527779342653	246.60652754425195	11193.462268064935	8756.858558385797	61.99647755948746	100	100	100	391.61368027769305	456.60168129342566	103751.29176798518	57545.02180489109	192356.1255347435
273.0.	3.666666666666665	68788.04269952631	9596.783626605738	100	100	22.834235910716313	104.38007870734151	3017.349344096374	281.5076985068906	25.80204716387901	100	128.40474490947295	100	86.10574199222748	252.6401536455704	11197.966471060165	8997.56923189891	62.02145203292169	100	100	100	391.6703963417635	456.66794924595644	106487.4500924301	57561.5119723499	197453.55507371156
280.0.	3.666666666666667	68812.81596756738	9599.330439237694	100	100	22.84043510336032	104.36940171437405	3018.2481847764557	288.81393725163963	25.80905418432993	100	128.47100781841237	100	85.9361940617269	258.66156446768537	11202.00524302889	9238.371527052095	62.04384610044299	100	100	100	391.72293582757413	456.7293391240103	109223.99072906	57576.78747413826	202553.27599261812
287.0.	3.666666666666666	68835.00140597952	9601.687125648787	100	100	22.846156031289823	104.35764874354854	3019.0794928936098	296.1193896601617	25.815520640187557	100	128.53474541302526	100	85.77618350858683	264.67144334595963	11205.622184633614	9479.255925448828	62.06390147360014	100	100	100	391.7715540849659	456.7861488728353	111960.88534504191	57590.92261630282	207655.11800987658
294.0.	3.666666666666665	68854.8430620124	9603.86570086206	100	100	22.85143060568736	104.34502840534813	3019.8476046933993	303.4239878550007	25.82148259609656	100	128.59594941046294	100	85.62526887855277	270.6704423890054	11208.85707334422	9720.21380331686	62.08183867012762	100	100	100	391.8164988202689	456.8386675768811	114698.10736720354	57603.98946436748	212758.9214917123
301.0.	3.666666666666665	68872.5634763373	9605.877742602992	100	100	22.856289311771928	104.33172636624283	3020.556687649871	310.7276777468992	25.826974505740843	100	128.65462795736562	100	85.48301908534816	276.6591831595683	11211.746181487444	9961.23735286676	62.097858776969616	100	100	100	391.8580087607786	456.8871738880499	117435.631923968	57616.057460869146	217864.53708902065
308.0.	3.666666666666666	68888.36548017478	9607.734346803067	100	100	22.860761147209622	104.31790726741069	3021.210726291037	318.03041749648156	25.83202914209891	100	128.71080310210465	100	85.34901447724378	282.6382574390432	11214.322569125625	10202.319510207204	62.11214507378418	100	100	100	391.8963127226718	456.9319349271532	120173.43577933912	57627.19315849249	222971.8253282273
315.0.	3.666666666666666	68902.43384947235	9609.446098652272	100	100	22.864873592209623	104.30371653667437	3021.813513477043	325.33217610653526	25.836677563533414	100	128.7645085738582	100	85.22284767467538	288.6082280584546	11216.616353640344	10443.453889296774	62.124864527322615	100	100	100	391.9316290039516	456.97320556665	122911.49726148834	57637.46004646307	228080.65617137417
322.0.	3.666666666666665	68914.9368268684	9611.023056115451	100	100	22.868652604649395	104.28928209098477	3022.3686460019217	332.63293213730486	25.840949108189047	100	128.81578783257984	100	85.1041242085058	294.56962978093003	11218.65495777036	10684.634721450988	62.136169166380576	100	100	100	391.9641650376513	457.0112280187455	125649.79618799257	57646.918451694066	233190.9085576214
329.0.	3.666666666666667	68926.02752144673	9612.474743363799	100	100	22.872122634754092	104.27471592902364	3022.879523594887	339.93267253711076	25.84487141050699	100	128.8646923583911	100	84.99246298517401	300.52297022265094	11220.463337734045	10925.856799959578	62.1461973463565	100	100	100	391.9941172518548	457.04623166620775	128388.31378935974	57655.62549940099	238302.46993585737
336.0.	3.666666666666666	68935.84519558883	9613.810152014381	100	100	22.87530665482541	104.26011561522014	3023.349350564408	347.23139158063776	25.848470434762138	100	128.91128015274435	100	84.88749660199	306.4687308009876	11222.064192952821	11167.115429402662	62.155074911822744	100	100	100	392.02167109242714	457.0784330841946	131127.0326321363	57663.63512054615	243415.23579604956
343.0.	3.666666666666666	68944.51644757601	9615.037748455843	100	100	22.878226200360412	104.24556565777026	3023.7811394712758	354.5290899073772	25.851770521484575	100	128.9556144271939	100	84.78887153318244	312.40736770007123	11223.478158785558	11408.40637928603	62.16291626492469	100	100	100	392.04700117240725	457.1080362108216	133865.93654260988	57670.9980957859	248529.10920528634
350.0.	3.666666666666666	68952.15629797612	9616.165485837042	100	100	22.88090141955487	104.23113878419761	3024.1777163304287	361.8257736529212	25.854794443367158	100	128.99776245836887	100	84.69624820494414	318.3393128454029	11224.723983583172	11649.725841644924	62.16982534686438	100	100	100	392.07027151840845	457.13523263171567	136605.0105318915	57677.762127384274	253644.000353084
357.0.	3.666666666666667	68958.86918727017	9617.200819555557	100	100	22.88335112875252	104.21689711867941	3024.541726934015	369.121453666082	25.857563467900743	100	129.03779459025438	100	84.60930097561685	324.26497488030725	11225.818691278257	11891.070392292744	62.17589653920273	100	100	100	392.0916358897023	457.16020195001715	139344.24072297136	57683.971932117274	258759.82610940497
364.0.	3.666666666666666	68964.74989163116	9618.150725298787	100	100	22.885592871872632	104.2028932658161	3024.8756439697922	376.4161448051206	25.860097424512535	100	129.07578336710796	100	84.52771803528398	330.1847401381003	11226.777730636246	12132.436955416244	62.181215491223895	100	100	100	392.1112381503328	457.18311221880066	142083.61428018965	57689.66934948636	263876.50959792023
371.0.	3.666666666666665	68969.88436326047	9619.021718873046	100	100	22.887642982244714	104.18917130581207	3025.1817746712563	383.7098653067101	25.862414774430224	100	129.11180278227312	100	84.45120123736918	336.0989736047807	11227.615112211804	12373.82277124219	62.185859879147294	100	100	100	392.1292126782623	457.20412041712785	144823.11934143654	57694.89346065572	268993.97978630575
378.0.	3.666666666666666	68974.35050121357	9619.819877193615	100	100	22.889516645576098	104.17576770617755	3025.462268789356	391.0026362216091	25.86453268183131	100	129.1459276297125	100	84.3794658733506	342.0080198678796	11228.343533977137	12615.22536652186	62.189900102545465	100	100	100	392.1456847986207	457.2233729545942	147562.74495329766	57699.680714351474	274112.17109477014
385.0.	3.666666666666666	68978.21885820547	9620.550859933188	100	100	22.891227963046283	104.16271215511372	3025.719126715623	398.2944809113826	25.866467085138957	100	129.17823294653053	100	84.31224040037308	347.91220404784286	11228.974496516923	12856.64252759974	62.19339992292698	100	100	100	392.16077123053856	457.2410061920039	150302.48100927615	57704.06505671009	279231.02302352025
392.0.	3.666666666666665	68981.55328847413	9621.219931443602	100	100	22.892790013775855	104.15002832168857	3025.9542076305747	405.5854246008659	25.868232767614522	100	129.20879353629306	100	84.2492661303568	353.8118327089535	11229.518408617407	13098.072275851486	62.196417049071755	100	100	100	392.1745805396387	457.25714696888724	153042.31819115905	57708.078062764755	284350.4797995016
