time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
0.0.	6.69999967736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0.6.0	6.303695048179612e-05	7.614539848017226e-08	5.44751748713143e-07	1.511926034096036e-07	8.494288377252011e-08	7.196748823278858e-08	1.998673351643547e-06	7.585163071748801e-07	1.4214874711519028e-07	1.380142808007135e-07
1.0.2.0	5.930828963390305e-05	1.477873489280936e-07	1.0572853826120829e-06	2.934432609379578e-07	1.6486201206651731e-07	1.396786215217864e-07	4.6654716890264695e-06	7.384046007618605e-07	2.233256844702847e-07	2.678660179192064e-07
1.0.7999999999999998.0	5.580015545431698e-05	2.15192131854538e-07	1.53950589893615e-06	4.2728069322300966e-07	2.400544302048742e-07	2.033850702227637e-07	7.231626955253802e-06	6.955282332953865e-07	2.665745048223222e-07	3.90037847390213e-07
2.0.4.0	5.2499508070312825e-05	2.7861029348876235e-07	1.993205730310888e-06	5.532023792645657e-07	3.1079963136322826e-07	2.633236337112004e-07	9.667656693383463e-06	6.544165048096608e-07	2.863882495560515e-07	5.049838867090564e-07
3.0.	4.939407833375722e-05	3.382775714691487e-07	2.420071367230925e-06	6.716763944549675e-07	3.7736058921060707e-07	3.197171152825672e-07	1.197278920604318e-05	6.157110985137595e-07	2.918729603074598e-07	6.131314126550085e-07
3.0.5999999999999996.0	4.647232230515684e-05	3.9441576938011785e-07	2.821689614583956e-06	7.831431470400649e-07	4.399847334862704e-07	3.72775148705554e-07	1.4149875483342602e-05	5.792937571839359e-07	2.887413738279679e-07	7.148824463980126e-07
4.0.2.0	4.372337842142476e-05	4.472335797244765e-07	3.199553479276723e-06	8.880170121947356e-07	4.989048680544558e-07	4.226949760399541e-07	1.6203420487396262e-05	5.450299938475153e-07	2.8056926255593006e-07	8.106152451441287e-07
4.0.8.0	4.113702718954146e-05	4.969273583635832e-07	3.55506771065692e-06	9.866878697339936e-07	5.543400348197612e-07	4.6966217958520824e-07	1.813879754597251e-05	5.127925198206854e-07	2.6958710078031093e-07	9.006857058159195e-07
5.0.3999999999999995.0	3.870365325759778e-05	5.436818532788506e-07	3.88955401414542e-06	1.079522551125555e-06	6.064963266863611e-07	5.138513706565588e-07	1.9961776971102624e-05	4.824615425319794e-07	2.571788967818751e-07	9.854286859398132e-07
6.0.	3.641420972338686e-05	5.876708903412947e-07	4.204255957299787e-06	1.166866201138555e-06	6.555676525581836e-07	5.554268377281185e-07	2.167823829915582e-05	4.539243464415361e-07	2.441964834364705e-07	1.065159246610135e-06
6.0.6.0	3.4260184548892865e-05	6.290580186186961e-07	4.500343586405834e-06	1.2490435591510268e-06	7.017364572018557e-07	5.94543156333613e-07	2.3293997283636195e-05	4.2707487614155353e-07	2.311575132550847e-07	1.1401738221146508e-06
7.0.199999999999999.0	3.2233568956729984e-05	6.6799711760185e-07	4.778917770634586e-06	1.3263601648448068e-06	7.45174398629058e-07	6.313457629756312e-07	2.48147047008057e-05	4.0181334328045136e-07	2.1837016679261117e-07	1.210751320538107e-06
7.0.8.0	3.032682769184449e-05	7.046329685919237e-07	5.041014289804205e-06	1.399103492739505e-06	7.860429854993142e-07	6.659714951623616e-07	2.6245789949709863e-05	3.780458566142564e-07	2.060116789123921e-07	1.277154159407402e-06
8.0.4.0	2.8532871038632515e-05	7.391017923595117e-07	5.28760768084632e-06	1.4675440197563208e-06	8.244941768976772e-07	6.985490995666233e-07	2.7592432446921672e-05	3.556840738513601e-07	1.941777642887996e-07	1.3396292402038989e-06
