time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
0.0.	0	0.0	0.0	0.0	0.0	0.0	2.117582368135751e-22	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0.	0	0.006751378738057001	0.0030564965364100003	0.0026805216867770002	0.040412457160267	0.8276543371782451	0.002778628465188	1.2377490542921682e-05	0	0.00025469579432	0.009931142774919001	0.0016494126072160002	0.0026593980217030004	0	0.004317254235062001	0.217250107284842	0.338411684562727	0.0027174419055580002	0.447261647859361	0.0027192292993470004	0.001180361530676	0.026544753459105	0.0011180797770370002	8.319237519124632e-05
4.0.	0	0.035260203991567006	0.004602089937176	0.010157238459813001	0.049090935154024004	0.5599704528246461	0.002639877001377	2.3642661648223703e-05	0	0.00048296526074100005	0.017907293107659	0.012805880915111001	0.016243417754496	0	0.009793928334092001	0.404808997293422	0.49167937327988304	0.00493941073587	0.852261138834551	0.004945842965047	0.0021698135302010003	0.08208117764797401	0.008063288068428001	0.004450136346281001
6.0.	0	0.059926307590016006	0.00320183936985	0.011286590098818002	0.036423483114746004	0.272542560912556	0.002474515702654	3.765323056929529e-05	0	0.000765408703644	0.027577822364116003	0.045167193691935004	0.049176216099510006	0	0.017258465055725	0.5507236417944561	0.541738164988124	0.006755966092613	0.995190235922862	0.006769187170087	0.0033081700589260004	0.15828885601258003	0.026546423158413	0.045525246413055005
8.0.	0	0.06587361578232201	0.0017358967586800001	0.008941956539871001	0.026604822481486	0.14987622587142602	0.002373331576413	5.263188867715107e-05	0	0.001064632346338	0.037078616670742005	0.09139348059897101	0.09629362923514201	0	0.022261858570039	0.6565791356717791	0.544227088746922	0.00824061792871	0.9934128082423391	0.008262417960438001	0.004174198315143001	0.24475942360150602	0.050620852491523004	0.16986094019104903
10.0.	0	0.065375790823025	0.0010530160654470002	0.0072202285834620005	0.02069776480019	0.09816660172043001	0.002314460161768	6.530760477063941e-05	0	0.0013165004300320002	0.044547291431496	0.140095372220327	0.14929854386916	0	0.025323328105664	0.7377589853235851	0.5422601718965281	0.009453548247415	0.9917883606977571	0.009485348841046001	0.004616964396505	0.334435847172364	0.064077942763552	0.367784414529086
12.0.	0	0.06270762476948101	0.0007422427702240001	0.005968339221864001	0.016777189122353	0.070799568784653	0.002251676359878	7.601046631715043e-05	0	0.001528841133987	0.050612043470655003	0.18838396070058502	0.20443384442643603	0	0.028850650847752003	0.7978054987149311	0.536384715832063	0.010444257832485001	0.9904011522913011	0.010486915329381001	0.005051343673067	0.422365279871353	0.060980714084345	0.584951643352093
14.0.	0	0.059384258441191	0.000608457404037	0.004993848339451001	0.014021999806630001	0.054275354128904	0.0021575949684490003	8.5337166039735e-05	0	0.0017136806915470002	0.055754861014715	0.23518693972739702	0.258187643333383	0	0.034686181201167	0.8284538216920101	0.5171847577058191	0.011253392904696001	0.9891742140620721	0.011307199056200002	0.00574340863297	0.5023676458206571	0.045898892097408	0.768171594204277
16.0.	0	0.056036087345279005	0.0005802248805140001	0.004178731976486	0.012033519775839	0.04345561636017	0.002007229330897	9.38244226342345e-05	0	0.0018817952139870001	0.060360328119546	0.28001101619637203	0.30525507397143203	0	0.045312991303199004	0.8112685858031691	0.473468438159841	0.011914317594570002	0.988034101565572	0.011979031205855	0.006775267777441	0.56465215272876	0.027734130958921	0.8917208814275791
18.0.	0	0.052979154216738	0.000638499125357	0.003435805649944	0.01058684110007	0.036001890588172006	0.001779335965826	0.00010192709173300001	0	0.0020422042077330002	0.064706349613322	0.32263588613388905	0.336538901870841	0	0.064985571794845	0.7101969049633701	0.39229200852017804	0.012454426718839002	0.986917441297335	0.01252930536327	0.008061875408238	0.5929885079337931	0.013277854609919001	0.95896285213647
20.0.	0	0.050494242669851	0.000790481908428	0.0026915842790340002	0.009555016380133001	0.030768398886257	0.0014778805826450002	0.00010990294605800001	0	0.0021999140673150002	0.068918008586551	0.36295021700594704	0.336581891229401	0	0.10044818522651401	0.45632036905585305	0.26378568791052903	0.012896171467383002	0.9857895313364261	0.012980049987387	0.009394724233999	0.5622901171658921	0.0048279608760070005	0.9878023750277061
22.0.	0	0.048871676266858004	0.001096309677423	0.0018218155378130001	0.008868809513305001	0.027152374119721	0.001125105932148	0.000117773377917	0	0.002355278786741	0.07299060124706801	0.40089880105872105	0.275884108116132	0	0.16619898419644402	0.0036007890790160004	0.09681804108031801	0.013257844784515001	0.984650136528539	0.013349303960257	0.010637957363052002	0.44215384762095705	0.001294818536951	0.9971188831617611
24.0.	0	0.047864884879105	0.0013615104524550001	0.0010723922702870002	0.008396879264600001	0.024534949628460003	0.0008870630584670001	0.000125514498897	0	0.002507780265637	0.07689850567219	0.436976379511794	0.189010319503971	0	0.24012058823586702	0.0020452289245030003	0.06368128547289201	0.013554067824308002	0.98350501268524	0.013651836097711001	0.011807682687422001	0.280644918644091	0.00027190075976100004	0.9993485883657631
26.0.	0	0.047633602008489005	0.0013849004118650001	0.000737934952955	0.008118433269909001	0.022729799934421	0.000813385009031	0.000132868107595	0	0.002652379355941	0.08052404863097501	0.471046374147201	0.144724934773817	0	0.27175554889664	0.001765347837958	0.057622815038462005	0.013795952624651001	0.9823969284132381	0.013899733646012002	0.012856906542497002	0.163303903594913	7.33336193224649e-05	0.9997326516915841
