time	A	I1	I2	S
0.0.	200.0	5000.0	1000.0	3800.0
0.0.6.0	651.1039528822224	5943.741431955713	1011.2773481694257	3205.3226742860847
1.0.2.0	967.4477728418202	6614.33731834599	1033.8600559077809	2771.273536961976
1.0.7999999999999998.0	1189.030542763561	7064.642056811123	1063.9094628892044	2479.1722627572126
2.0.4.0	1342.8215893110203	7356.801377875567	1098.5618332289982	2292.74787247391
3.0.	1448.4826371037968	7542.697906850951	1135.8397204427902	2178.0768339873975
3.0.5999999999999996.0	1520.5434246912362	7659.744243888487	1174.4385466180224	2109.617306562703
4.0.2.0	1569.5578192460462	7732.97079564035	1213.5201389636811	2069.9902880079876
4.0.8.0	1602.9987561015894	7778.461724669695	1252.5540313411814	2047.9964726791452
5.0.3999999999999995.0	1626.0296179455327	7806.334589076285	1291.2073137294828	2036.6424824044375
6.0.	1642.145250074625	7822.892934381845	1329.2721239428486	2031.6449801711037
6.0.6.0	1653.6731860141906	7832.059030319168	1366.6193096404886	2030.4131433985133
7.0.199999999999999.0	1662.1452890426444	7836.287382296244	1403.1693152056077	2031.3930308086522
7.0.8.0	1668.562087210898	7837.1331175223895	1438.8740628600167	2033.6578808511292
8.0.4.0	1673.574874291621	7835.600521750693	1473.705721883316	2036.656907623867
9.0.	1677.6081054852655	7832.3549248654435	1507.6497425163689	2040.0632360907082
9.0.6.0	1680.9401018202427	7827.850936058343	1540.7005102754117	2043.682703673669
10.0.2.0	1683.7554760929954	7822.409983312602	1572.8586033199927	2047.3995585491907
10.0.799999999999999.0	1686.1788007923599	7816.267333210401	1604.1290292255974	2051.1443144692585
11.0.4.0	1688.296048453428	7809.60081268546	1634.5200614902747	2054.8748110250817
12.0.	1690.1681707376504	7802.54857878632	1664.0424457913496	2058.5650949292854
12.0.6.0	1691.839678256027	7795.220326535259	1692.708837113685	2062.1989080503245
13.0.2.0	1693.3440678045608	7787.704547584207	1720.5333839540126	2065.765875932149
13.0.799999999999999.0	1694.707273487527	7780.073390696906	1747.5314089258031	2069.259272822402
14.0.399999999999999.0	1695.9498835476509	7772.386044330958	1773.7191549152658	2072.674703999914
15.0.	1697.088586804027	7764.691188466014	1799.1135777711543	2076.0093206680604
15.0.6.0	1698.1371369648816	7757.028842800471	1823.7321735641444	2079.2613438823555
16.0.2.0	1699.1070131609554	7749.431808928855	1847.5928326626602	2082.4297681628004
16.0.8.0	1700.00788680064	7741.926827872866	1870.7137154007944	2085.514170194069
17.0.4.0	1700.8479627526383	7734.535529335694	1893.1131456503126	2088.514579695175
18.0.	1701.6342370242864	7727.275222310884	1914.80951956087	2091.431387785608
18.0.599999999999998.0	1702.3726972958968	7720.159560603535	1935.821227340669	2094.265278638791
19.0.2.0	1703.068483011261	7713.1991069788455	1956.166586354417	2097.017176192661
19.0.8.0	1703.7260158123136	7706.401813461718	1975.863784098575	2099.688201093399
20.0.4.0	1704.349107469939	7699.773431276206	1994.9308298230962	2102.2796349863825
21.0.	1704.9410502057608	7693.317861168462	2013.3855137316968	2104.7928903721245
21.0.599999999999998.0	1705.504692877632	7687.037452899276	2031.245372825278	2107.229484876918
22.0.2.0	1706.04250558622	7680.9332612304825	2048.5276625647098	2109.5910191538974
22.0.8.0	1706.5566346541052	7675.005264591555	2065.2493336254306	2111.8791578468167
23.0.4.0	1707.0489495136367	7669.252551697064	2081.4270131005637	2114.095613181409
24.0.	1707.5210827443163	7663.673480629984	2097.076989583698	2116.2421308344083
24.0.599999999999998.0	1707.9744642817088	7658.2658142709515	2112.2152016285477	2118.3204777884343
25.0.2.0	1708.4103506519439	7653.026835414059	2126.857229141542	2120.332431923441
25.0.8.0	1708.8298499528062	7647.953444447629	2141.0182873157305	2122.279773128254
26.0.4.0	1709.2339431942162	7643.042242080792	2154.713222760996	2124.1642757426857
27.0.	1709.623502521318	7638.289599253763	2167.9565115269866	2125.987702163325
27.0.599999999999998.0	1709.9993067680978	7633.691716073437	2180.7622587519395	2127.75179746586
28.0.2.0	1710.362054725648	7629.244671359939	2193.1441997032325	2129.4582849140575
28.0.799999999999997.0	1710.7123764547077	7624.944464168481	2205.115702004282	2131.108862240801
29.0.4.0	1711.0508429254635	7620.787048459779	2216.6897688680233	2132.7051986001934
30.0.	1711.3779742275267	7616.768361927156	2227.8790431796915	2134.248932101825
30.0.599999999999998.0	1711.6942465585305	7612.884349846045	2238.695812291509	2135.741667849033
31.0.2.0	1712.0000981701507	7609.130984688699	2249.1520134093876	2137.1849764125095
31.0.799999999999997.0	1712.2959344248295	7605.504282141007	2259.2592394671633	2138.580392679094
32.0.4.0	1712.5821320945367	7602.000314067142	2269.0287453974	2139.9294150230594
33.0.	1712.8590430139923	7598.615218889142	2278.471454719706	2141.233504753823
33.0.6.0	1713.1269971845684	7595.345209781139	2287.597966377897	2142.494085799853
34.0.199999999999996.0	1713.386305411113	7592.18658101974	2296.4185617665157	2143.712544593704
34.0.8.0	1713.637261541957	7589.13571278228	2304.943211895203	2144.8902301276207
35.0.4.0	1713.880144372105	7586.18907464191	2313.181584646439	2146.028454153154
36.0.	1714.1152192607722	7583.343227971632	2321.143052088282	2147.1284915017204
36.0.6.0	1714.3427395068804	7580.594827438015	2328.8366978091194	2148.191580506068
37.0.199999999999996.0	1714.5629475196586	7577.940621738353	2336.271324246124	2149.218923505356
37.0.8.0	1714.776075815948	7575.377453711876	2343.4554599831763	2150.211687418815
38.0.4.0	1714.9823478710887	7572.902259935953	2350.3973669976394	2151.171004375077
39.0.	1715.1819788461992	7570.512069901312	2357.105047838442	2152.097972385996
