time	T	TStar	V
0.0.	1000.0	50.0	100.0
3.0.	983.6925897708451	53.16790672654015	98185.39261010783
6.0.	946.3336234714243	74.57168186041903	167357.3771765063
9.0.	891.60088086998	107.37057853288083	251042.8571165174
12.0.	818.0056305813708	150.66411825980194	361984.6051302949
15.0.	725.3708559758998	202.56769428671623	503058.331966962
18.0.	617.7944663238877	257.8063305455896	668054.948030759
21.0.	504.4568911892255	307.73291691985787	839950.4074576134
24.0.	397.29578023304134	343.1195142001296	993405.7057934054
27.0.	306.4274602836652	358.31170725058445	1103308.016221366
30.0.	236.64847621454442	353.4953216330696	1154825.9965513146
33.0.	187.3590326408034	333.46171047551087	1147963.9273439154
36.0.	154.9023912283265	304.5572465986871	1094463.9262376833
39.0.	134.96587857616976	272.2733399612359	1010947.2262516243
42.0.	123.87485749049942	240.33496044150428	913067.831063669
45.0.	118.9238606149202	210.81933794000633	812621.9435741956
48.0.	118.25263875152157	184.63484246105818	717104.4654452334
51.0.	120.61202390997472	161.98393045569935	630492.724287191
54.0.	125.15931984986305	142.69525085936203	554337.313287339
57.0.	131.31305563108415	126.4296787593074	488714.3598721055
60.0.	138.6585433303566	112.79645938394583	432912.03979278915
63.0.	146.88875431455352	101.41317458318561	385870.98254064674
66.0.	155.76773600581683	91.93319713544231	346442.00825541554
69.0.	165.1078798933104	84.05540131382337	313523.26652619056
72.0.	174.75558129233704	77.52477740010833	286123.8423304931
75.0.	184.5819806959516	72.1287986382956	263385.44362902315
78.0.	194.47680966653635	67.69215411467438	244581.87995826572
81.0.	204.34416517473824	64.07118881830833	229107.952430872
84.0.	214.09951150168482	61.14868705029903	216464.26387638372
87.0.	223.66748988823156	58.82925562881338	206241.38388363444
90.0.	232.98028283413134	57.03536680086726	198105.02774532017
93.0.	241.9763795090494	55.704025516268416	191782.92235872344
96.0.	250.59964874569178	54.783985227914926	187053.5105589613
99.0.	258.7986626128292	54.23342458515092	183736.38885564433
102.0.	266.52623591972684	54.017999915566556	181684.2638554838
105.0.	273.739160525646	54.10919752528796	180776.18143909884
108.0.	280.39812102941744	54.48292160840793	180911.79155757077
111.0.	286.4677819352151	55.118266032044275	182006.43936392092
114.0.	291.9170365821348	55.99643064829668	183986.90936577358
117.0.	296.7194054151791	57.099754810928815	186787.68802099986
120.0.	300.85356582399066	58.41085237346073	190347.64925854327
123.0.	304.3039880697558	59.911843530086955	194607.1056712614
126.0.	307.06164223230826	61.583689190217584	199505.20481121057
129.0.	309.1247304225021	63.405642675590734	204977.68406604006
132.0.	310.4993878935112	65.35484066381032	210955.0273451163
135.0.	311.20028771725924	67.40605953390575	217361.0898812447
138.0.	311.25107823163677	69.53166358002285	224112.2709166455
141.0.	310.6845824434792	71.70176706519004	231117.31479238864
144.0.	309.54269565010605	73.88462231416032	238277.80640889722
147.0.	307.875932681379	76.04723121403508	245489.39592677046
150.0.	305.7425992210225	78.15615873886152	252643.74087673248
153.0.	303.2075911102279	80.17850654703827	259631.09528680347
156.0.	300.34085842694134	82.0829852209188	266343.41165777046
159.0.	297.2156034291356	83.84100859042542	272677.76156821207
162.0.	293.9063086502402	85.42772579862874	278539.83426461916
165.0.	290.48670944062644	86.82290835700368	283847.24874689215
168.0.	287.0278312299195	88.0116209158882	288532.41959884897
171.0.	283.5962048162344	88.98462460418419	292544.7516116798
