time	T	Tstar	Tstarstar	Ttot	V
0.0.	1000.0	0.0	0.0	1000.0	0.001
36.0.5.0	999.9999862223809	1.0852851183959691e-05	1.323897402252822e-07	999.9999972076213	1.307590011674004e-05
73.0.	999.9999819243942	1.3469331407988211e-05	1.6431516246660091e-07	999.9999955580399	1.622920818603435e-05
109.0.5.0	999.9999772398398	1.6716704177784314e-05	2.039305389289387e-07	999.9999941604738	2.0141971802408943e-05
146.0.	999.9999716432378	2.074700518515433e-05	2.530970160535756e-07	999.9999926433392	2.49980836293719e-05
182.0.5.0	999.9999647700339	2.5748979678029962e-05	3.141171397665117e-07	999.99999083313	3.1024966851983606e-05
219.0.	999.9999562640759	3.195689903883814e-05	3.8984883502242977e-07	999.9999886108227	3.850489404675842e-05
255.0.5.0	999.9999457155244	3.9661508674930504e-05	4.838389654085808e-07	999.999985860871	4.7788184622096986e-05
292.0.	999.9999326265065	4.922365125085965e-05	6.004895255375306e-07	999.999982450646	5.93096182179278e-05
328.0.5.0	999.9999163827199	6.109116598364545e-05	7.452637990880575e-07	999.9999782191483	7.36087967069481e-05
365.0.	999.9998962229639	7.581986308651231e-05	9.249422304412718e-07	999.9999729677678	9.135541631975681e-05
401.0.5.0	999.9998712029216	9.409955475358178e-05	1.147939982136364e-06	999.9999664504145	0.00011338063241000001
438.0.	999.9998401507421	0.00011678636197500001	1.424701052535902e-06	999.9999583618032	0.00014071598598
474.0.5.0	999.9998016120958	0.000144942810204	1.768187411313268e-06	999.9999483230913	0.000174641714997
511.0.	999.9997537820395	0.00017988759163300002	2.194486060153675e-06	999.9999358641151	0.000216746713046
547.0.5.0	999.9996944204784	0.00022325732456100002	2.723562448447673e-06	999.9999204013629	0.000269002943284
584.0.	999.99962074725	0.00027708320209100004	3.38019552731794e-06	999.9999012106451	0.000333857792608
620.0.5.0	999.9995293119212	0.00034388611963500005	4.195138230864709e-06	999.9998773931762	0.000414348690982
657.0.	999.999415832191	0.00042679473597400004	5.206557729126047e-06	999.9998478334818	0.0005142453635070001
693.0.5.0	999.9992749933405	0.0005296919964130001	6.461822896877688e-06	999.9998111471571	0.000638226376578
730.0.	999.9991001993317	0.000657396979136	8.019722698917553e-06	999.9997656160316	0.000792098245171
766.0.5.0	999.9988832639052	0.000815890579568	9.95321936627127e-06	999.9997091077029	0.000983067360817
803.0.	999.9986140272093	0.0010125955996170002	1.2352865272125192e-05	999.9996389756727	0.001220077472449
839.0.5.0	999.9982798800129	0.001256724355135	1.5331043481370844e-05	999.99955193541	0.001514228520588
876.0.	999.9978651732305	0.001559710074636	1.9027230494734023e-05	999.9994439105342	0.0018792964325890001
912.0.5.0	999.9973504851151	0.0019357422828570003	2.3614527537332822e-05	999.999309841924	0.0023323782107060004
949.0.	999.9967117118193	0.0024024312269920003	2.9307766083627595e-05	999.9991434508107	0.002894692505918
985.0.5.0	999.9959189387657	0.0029816324380720002	3.6373566932144844e-05	999.9989369447686	0.0035925731420330003
1022.0.	999.9949350400178	0.003700470005965	4.514282347175279e-05	999.9986806528453	0.0044587020750790005
1058.0.5.0	999.993713940134	0.004592606431744001	5.602619306262055e-05	999.9983625727568	0.005533639461814
1095.0.	999.9921984572102	0.005699818436605	6.953332094651445e-05	999.9979678089659	0.0068677223876
1131.0.5.0	999.990317626289	0.007073952385145001	8.629669530828381e-05	999.9974778753675	0.008523421010520001
1168.0.	999.987983378048	0.00877935068173	0.00010710124807700001	999.9968698299759	0.010578262210001
1204.0.5.0	999.9850864176665	0.010895862436210001	0.00013292108372600002	999.9961152011844	0.013128457266153
1241.0.	999.9814911115226	0.013522578873895002	0.00016496504994400002	999.9951786554444	0.016293402851967002
