time	s1	s16	s17	s19	s2	s3	s4	s42	s45	s5
0.0.	1e-05	1e-05	0.0	1e-06	0.0	0.0	4.9999999999999996e-06	0.0	0.0	0.0
3.0.	1.179382842535572e-10	7.112693466449099e-06	2.8873065331333477e-06	5.008389591978853e-06	1.3611282540467901e-11	9.916422649231539e-07	5.76842491717368e-15	2.112530059980305e-06	4.175523673018258e-16	1.634007003725046e-10
6.0.	9.100032603216354e-15	7.112693473072808e-06	2.8873065261030916e-06	4.064706487881419e-06	1.0502370570165941e-15	1.9354569022698622e-06	-3.984737849350286e-16	2.112530072771265e-06	8.240993312863189e-16	1.634007000201979e-10
9.0.	1.230089526970609e-16	7.112693473823291e-06	2.8873065249623262e-06	3.29874369645356e-06	1.4196418515133012e-17	2.701419706240783e-06	2.131550972678799e-15	2.112530070991748e-06	1.2143846659028911e-15	1.634006999942982e-10
12.0.	9.606427474532454e-19	7.112693472725421e-06	2.88730652568552e-06	2.677120264394018e-06	1.108677838067679e-19	3.32304313598279e-06	-3.223566032881087e-16	2.1125300723475502e-06	1.5890588260627302e-15	1.634007002321801e-10
15.0.	6.661426074646909e-21	7.112693475203425e-06	2.88730652284783e-06	2.172637097919129e-06	7.687963908090481e-22	3.8275263065986275e-06	3.8172686271642605e-15	2.112530070685667e-06	1.948746247045615e-15	1.6340070049319392e-10
18.0.	3.4976956089654895e-23	7.112693472480264e-06	2.887306525225693e-06	1.763219981787299e-06	4.036697166453049e-24	4.236943419278677e-06	3.666292027869895e-16	2.112530071414292e-06	2.294046389334592e-15	1.6340069934591292e-10
21.0.	1.7060917958736714e-26	7.1126934755889e-06	2.887306521785566e-06	1.430954445921297e-06	1.969003816227487e-27	4.569208958013828e-06	3.235182777875381e-15	2.11253007165378e-06	2.6255347353482902e-15	1.6340069994153122e-10
24.0.	-3.263329498823203e-27	7.1126934718481724e-06	2.887306525208065e-06	1.161301844699109e-06	-3.7662147048749837e-28	4.8388615554262125e-06	-5.724333924035634e-16	2.1125300717228537e-06	2.943763748566136e-15	1.634006977548247e-10
27.0.	-6.739954952020901e-29	7.112693475343959e-06	2.88730652140678e-06	9.424632556764848e-07	-7.77859467083082e-30	5.057700150297744e-06	5.2762394934704035e-15	2.112530069369734e-06	3.2492637942526852e-15	1.634006979868214e-10
30.0.	7.873888294195691e-31	7.112693472857351e-06	2.887306523600106e-06	7.648633368996776e-07	9.087269270418226e-32	5.235300063821054e-06	2.3759590710963273e-17	2.112530072136623e-06	3.5425440208753546e-15	1.634006969700686e-10
33.0.	-4.1714132201294484e-33	7.112693473096136e-06	2.887306523079774e-06	6.207309067633746e-07	-4.814236012598517e-34	5.3794324939345574e-06	9.646660333353575e-19	2.112530072398206e-06	3.824093214079551e-15	1.6340069696606123e-10
36.0.	-3.128893751633447e-36	7.112693472099274e-06	2.8873065238063473e-06	5.037590297741373e-07	-3.6110626629936163e-37	5.49640437092283e-06	1.8162261248763533e-22	2.112530071402309e-06	4.094380611560186e-15	1.6340069696595082e-10
39.0.	-1.205599868907334e-37	7.112693471998979e-06	2.8873065236471653e-06	4.088294250459576e-07	-1.391388614890705e-38	5.591333975650977e-06	-3.385618839333416e-20	2.112530071302049e-06	4.3538566806829294e-15	1.6340069696595033e-10
42.0.	-8.907331148939536e-39	7.1126934719100575e-06	2.887306523486989e-06	3.3178859810022896e-07	-1.028030220553611e-39	5.668374802596735e-06	-3.1685980596114646e-21	2.112530071213098e-06	4.602953864270365e-15	1.6340069696594992e-10
45.0.	4.022177503074361e-41	7.112693471823903e-06	2.88730652333401e-06	2.6926553358661e-07	4.642016856602066e-42	5.730897867110359e-06	2.088957606383186e-21	2.112530071126938e-06	4.8420873115954186e-15	1.634006969659504e-10
48.0.	-2.83967443962959e-42	7.112693471741068e-06	2.887306523187279e-06	2.1852447111136638e-07	-3.2778645441582425e-43	5.781638929585602e-06	5.622015870301931e-23	2.112530071044103e-06	5.0716555660504946e-15	1.634006969659501e-10
51.0.	-6.338650965692958e-44	7.112693471661546e-06	2.887306523046416e-06	1.773451796026936e-07	-7.321735921265889e-45	5.822818221094275e-06	1.755843579815306e-24	2.11253007096458e-06	5.2920412295584324e-15	1.634006969659501e-10
54.0.	-2.6972630391160203e-45	7.112693471585206e-06	2.887306522911187e-06	1.439258151819583e-07	-3.1124061722119373e-46	5.856237585515009e-06	-2.369192698687778e-25	2.112530070888238e-06	5.503611600190075e-15	1.634006969659501e-10
57.0.	-5.974621708275651e-47	7.112693471511917e-06	2.887306522781368e-06	1.168040790382957e-07	-6.879882176468137e-48	5.88335932165867e-06	-4.047853250255625e-27	2.11253007081495e-06	5.706719284303748e-15	1.634006969659501e-10
60.0.	9.535034617145443e-49	7.112693471441564e-06	2.88730652265674e-06	9.479322949152406e-08	1.096273548435631e-49	5.9053701712054425e-06	-3.876556866769794e-28	2.112530070744592e-06	5.9017027842391515e-15	1.634006969659501e-10
63.0.	-3.123196666519256e-50	7.112693471374021e-06	2.887306522537099e-06	7.693015892454952e-08	-3.605243194998332e-51	5.923233241772419e-06	-2.8291493343599444e-29	2.1125300706770492e-06	6.0888870624303944e-15	1.634006969659501e-10
66.0.	5.694171271635147e-51	7.112693471309182e-06	2.887306522422244e-06	6.243324970545928e-08	6.561035161239822e-52	5.937730150991509e-06	-3.8369958973663934e-30	2.112530070612209e-06	6.2685840830150215e-15	1.634006969659501e-10
69.0.	6.970797777723788e-54	7.112693471246934e-06	2.887306522311981e-06	5.066817362535824e-08	8.056621797496778e-55	5.949495227071612e-06	-7.499172637099904e-31	2.112530070549961e-06	6.441093331765149e-15	1.634006969659501e-10
72.0.	7.493920495115254e-55	7.112693471187178e-06	2.8873065222061297e-06	4.112013779178638e-08	8.453635664006973e-56	5.959043262905184e-06	-2.006163583402084e-31	2.112530070490204e-06	6.6067023151838955e-15	1.634006969659501e-10
