time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	300.0	5	20	0.0	1199.99994221	0.0	0.0	1199.99994221	0.0	0.0	100
40.0.	1.995665680402448	5	20	298.0043343195972	1120.8965298741239	7.450935249361083	71.65247708651532	1190.7059188628232	5.456553262531751	3.837470084644325	100
80.0.	0.014635918819364001	5	20	299.9853640811802	1006.5156656705966	6.697403756021771	186.78687278338097	1141.1903494074377	7.578820134813418	51.230772667747075	100
120.0.	0.015704275842015	5	20	299.9842957241577	892.6616728582634	5.947183809014616	301.39108554272104	1047.900992450945	6.962994075991873	145.13595568306135	100
160.0.	0.017935407874746002	5	20	299.98206459212486	779.5858640760005	5.202200969176028	415.21187716482234	911.6751993780152	6.057927935135257	282.2668148968478	100
200.0.	0.020876533766212003	5	20	299.9791234662334	667.5087242970269	4.463972791496581	528.0272451214754	734.0520066514681	4.877785732134778	461.0701498263952	100
240.0.	0.024916223294546003	5	20	299.97508377670493	556.7561297523033	3.734765680888365	639.5090467768074	518.2211029960273	3.443748815510266	678.3350903984599	100
280.0.	0.030778294493383002	5	20	299.9692217055063	447.83640050425475	3.018186350480692	749.1453553552635	272.95688265373536	1.8140815229157492	925.228978033346	100
320.0.	0.039962073713545	5	20	299.96003792628653	341.5993339399128	2.3204744357893032	856.0801338342961	44.05784627712375	0.29298979920259205	1155.6491061336726	100
360.0.	0.056071078365492	5	20	299.9439289216348	239.60078299667015	1.652072533234121	958.7470866800918	0.07933562139297201	0.0007224381219340001	1199.919884150485	100
400.0.	0.08987234099286301	5	20	299.9101276590073	145.04504286403036	1.036575731889579	1053.918323614076	2.7262343236856544e-05	0.000290712449959	1199.9996242352042	100
440.0.	0.18598819034559702	5	20	299.8140118096546	65.39055682251887	0.53443189832881	1134.0749534891493	1.190912785351624e-08	0.000583066297223	1199.9993591317907	100
480.0.	0.606504269007987	5	20	299.39349573099264	16.16412598210206	0.312422594917211	1183.5233936329769	7.009581341757596e-08	0.001973204116063	1199.9979689357856	100
520.0.	1.8558393312400492	5	20	298.144160668761	2.013492870233655	0.471289951655939	1197.515159388107	7.689617588188544e-07	0.007176198174967001	1199.9927652428603	100
560.0.	2.407085980548538	5	20	297.59291401945234	0.20444550670184503	0.540475981638996	1199.2550207216564	1.714436824995497e-06	0.010902140004279	1199.9890383555553	100
600.0.	2.473731399040506	5	20	297.5262686009604	0.026633559392997	0.5481086068916	1199.4252000437132	1.906317259086869e-06	0.011489464507751	1199.9884508391717	100
640.0.	2.480192434959947	5	20	297.51980756504105	0.009729741150938	0.5488412679162511	1199.4413712009302	1.926486446162286e-06	0.011548619463992	1199.9883916640458	100
680.0.	2.480805787204366	5	20	297.5191942127968	0.008128006079763	0.5489107549151251	1199.4429034490024	1.928417063533352e-06	0.011554256437007	1199.988386025143	100
720.0.	2.480863898061047	5	20	297.5191361019401	0.007976279355185	0.548917337740032	1199.4430485929024	1.92860012103872e-06	0.011554790694674001	1199.9883854907025	100
760.0.	2.480869402721238	5	20	297.51913059727985	0.007961906993820001	0.548917961350725	1199.4430623416529	1.92861746276283e-06	0.011554841345108001	1199.988385440035	100
800.0.	2.480869924229637	5	20	297.5191300757716	0.007960545366557001	0.548918020408922	1199.4430636442216	1.928619105760084e-06	0.011554846107402001	1199.9883854352713	100
840.0.	2.4808699735621382	5	20	297.5191300264391	0.007960416562374001	0.548918025970012	1199.4430637674643	1.9286192611870227e-06	0.01155484655229	1199.988385434826	100
880.0.	2.480869978267853	5	20	297.5191300217335	0.007960404276033001	0.548918026503055	1199.443063779218	1.928619276011928e-06	0.011554846595556001	1199.9883854347822	100
920.0.	2.480869978712319	5	20	297.5191300212889	0.007960403115557001	0.5489180265533791	1199.4430637803282	1.928619277412172e-06	0.011554846599647001	1199.988385434778	100
960.0.	2.480869978754325	5	20	297.51913002124695	0.007960403005884001	0.548918026558137	1199.443063780433	1.9286192775445062e-06	0.011554846600033001	1199.988385434778	100
