time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
0.0.	0.0	0.0	0.0	0.0	638.6434569983305	237.3986823746695	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	0.0	0.0	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	0.0	0.0	0.0	0.0	0.0	0.0
3.0.	1.8266942198036542e-51	7.117074962216276e-51	-1.1041407373980052e-31	1.2357725225556618e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	4.9854812509538606e-51	-1.5348956155093274e-32	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.956810267554037e-29	-9.420154831545289e-30	9.414216605205059e-55	1.402731378075006e-55	-6.794528370866754e-85	-2.159777858535028e-85
6.0.	3.5229964009022645e-51	1.505240943148527e-50	-1.349743156185415e-32	7.768485446924012e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	9.127881746110895e-51	-4.3328925864915245e-33	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-3.1998393386674975e-29	-1.110719725573352e-29	1.2898930831694031e-54	2.3524306876915723e-55	-2.0119639808905818e-84	-1.48008058379444e-84
9.0.	3.675821370051362e-51	1.571897676148816e-50	-1.6449747650606412e-33	8.47752176225419e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	9.520799986849861e-51	-8.762495663717248e-34	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-3.053759166498106e-29	-1.0703285264354549e-29	1.201243971602627e-54	2.2599400308689642e-55	-2.732264204864999e-84	-3.486118912110364e-84
12.0.	3.62389963668222e-51	1.5515302413103052e-50	-2.0047790737237027e-34	8.431155074973162e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	9.379749045189351e-51	-1.5602504488675158e-34	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.871358491932788e-29	-1.007636498812966e-29	1.065692946967215e-54	2.013997910398572e-55	-2.9291913777010053e-84	-5.663401857049692e-84
15.0.	3.532605360497024e-51	1.512580726653098e-50	-2.4432831473643574e-35	8.229089499687069e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	9.142953702943578e-51	-2.597694488763585e-35	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.6947029262635177e-29	-9.457939627305712e-30	9.39025849566711e-55	1.775711383238686e-55	-2.829630927523978e-84	-7.674107573690409e-84
18.0.	3.441316962898369e-51	1.4734953920575231e-50	-2.977700942915163e-36	8.016833333641449e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	8.906676225367253e-51	-4.150278044871538e-36	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.528289575758725e-29	-8.874041168587793e-30	8.266805342045296e-55	1.563390622897454e-55	-2.5861388232283573e-84	-9.363223034881443e-84
21.0.	3.352009662909884e-51	1.435257882957239e-50	-3.629011608827312e-37	7.808914889696617e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	8.675527791767158e-51	-6.450002447135503e-37	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.3720769052671147e-29	-8.325772831064708e-30	7.276837099460807e-55	1.376186193220455e-55	-2.2869704162104714e-84	-1.0682324808062531e-83
24.0.	3.264971670383736e-51	1.397990067113227e-50	-4.4227830495670907e-38	7.606156491526761e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	8.450259951046465e-51	-9.829016024807625e-38	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.225506678330677e-29	-7.811327475225549e-30	6.4053923396155914e-55	1.2113808313639349e-55	-1.980413585764603e-84	-1.16396534375337e-83
27.0.	3.1801872253780423e-51	1.361687215644045e-50	-5.390175621365688e-39	7.408641696062797e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	8.230824448771099e-51	-1.476197177406555e-38	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-2.0879918674786898e-29	-7.328663239068227e-30	5.6382356582427776e-55	1.066297618060198e-55	-1.6911421458025911e-84	-1.227076079297103e-83
30.0.	3.097603714793094e-51	1.3263267504359472e-50	-6.569165365477825e-40	7.216253442254419e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	8.017085329897356e-51	-2.1926117407233358e-39	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.958974005221984e-29	-6.875822212961913e-30	4.9630122089296495e-55	9.385996587000038e-56	-1.430367587694254e-84	-1.2621942482886102e-83
33.0.	3.017164706700149e-51	1.291884511047563e-50	-8.006034800080075e-41	7.028860764377183e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	7.808896533253051e-51	-3.2286501989206276e-40	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.837928192040923e-29	-6.450962322441653e-30	4.36860426664863e-55	8.261861915129027e-56	-1.201723982699939e-84	-1.2741224460041832e-83
36.0.	2.938814540993222e-51	1.258336668818451e-50	-9.757189797188916e-42	6.846334302387258e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	7.606113988510409e-51	-4.721674985866477e-41	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.724361847618067e-29	-6.052354688565302e-30	3.8454291047512604e-55	7.272435177609806e-56	-1.004853556848764e-84	-1.267377630113769e-83
39.0.	2.862498982622331e-51	1.225660001358537e-50	-1.189137375114429e-42	6.668547709570828e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	7.408597327274168e-51	-6.867019061911926e-42	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.617812814416586e-29	-5.6783771841201054e-30	3.384871365375279e-55	6.401435819448265e-56	-8.373800069175661e-85	-1.245983452541009e-83
42.0.	2.788165197444918e-51	1.193831886206529e-50	-1.4492366514518433e-43	6.495377903831136e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	7.216209806602709e-51	-9.942227063628393e-43	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.517847490103883e-29	-5.3275079044929254e-30	2.979506053089128e-55	5.634810587680317e-56	-6.961148434894714e-85	-1.2134038774680232e-83
45.0.	2.715761722685376e-51	1.162830288123675e-50	-1.766228181893654e-44	6.326704996454285e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	7.028818232720427e-51	-1.4341385115443911e-43	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.424059064607833e-29	-4.998318983052403e-30	2.6226578221845563e-55	4.9599449766244745e-56	-5.776515405335074e-85	-1.172550565037501e-83
48.0.	2.645238431765117e-51	1.132633743995682e-50	-2.152556634214734e-45	6.162412211376268e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	6.846292870163283e-51	-2.0623728343774388e-44	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.336065864794001e-29	-4.689470781499803e-30	2.308573654003768e-55	4.365950273719316e-56	-4.7873236510546434e-85	-1.125827557551969e-83
51.0.	2.5765464998038098e-51	1.103221348067459e-50	-2.6232248251448943e-46	6.002385804963201e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	6.668507352465873e-51	-2.958244245567868e-45	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.2535098012660378e-29	-4.3997064383252264e-30	2.032081373178074e-55	3.8430525376706036e-56	-3.963770805797177e-85	-1.075190488808669e-83
54.0.	2.5096383698090601e-51	1.074572737465981e-50	-3.196867316957125e-47	5.846514987282368e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	6.495338594656255e-51	-4.234202343348641e-46	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.1760549111194289e-29	-4.1278467540103374e-30	1.788723439721271e-55	3.3828150025516242e-56	-3.27965422824949e-85	-1.022209559750837e-83
57.0.	2.4444677197548857e-51	1.046668078104051e-50	-3.905799169964676e-48	5.6946918454080905e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	6.326666708049778e-51	-6.049610783521701e-47	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.103385990736729e-29	-3.872785392263511e-30	1.574492361255454e-55	2.9776646468652613e-56	-2.712231623808332e-85	-9.681293010202578e-84
60.0.	2.380989430512367e-51	1.0194880509489111e-50	-4.718887296392265e-49	5.546811268713023e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	6.162374917248435e-51	-8.630363907796125e-48	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-1.035207313062646e-29	-3.633484377771084e-30	1.385934357458881e-55	2.621064516096581e-56	-2.24216664024371e-85	-9.139229734935464e-84
