time	A	I1	I2	S
0.0.	500.0	10000.0	2000.0	2500.0
1.0.	959.7276341073383	10934.723660601549	1773.8408734384425	2259.1138721718166
2.0.	1162.5973852953516	11660.053204071173	1573.2557221357977	2132.7412226918104
3.0.	1264.5897597059673	12258.74383071127	1395.3526521450524	2056.059357606854
4.0.	1325.10644287063	12768.423892998419	1237.5667836117686	2003.411255775558
5.0.	1367.0409005595477	13208.818663520738	1097.6232721890335	1964.100849620847
6.0.	1399.4459985310746	13592.135547955808	973.504511912745	1933.2419867526482
7.0.	1426.093013626607	13927.074131730948	863.4210468389869	1908.296666213207
8.0.	1448.707643305554	14220.422801861785	765.7857719555678	1887.7578175769218
9.0.	1468.1978061777324	14477.745936640396	679.1910512980885	1870.6302564263847
10.0.	1485.1237352562332	14703.722237799253	602.3884238347654	1856.209106465236
11.0.	1499.8817045618523	14902.340589818594	534.2706039436185	1843.9729396700764
12.0.	1512.7788784548682	15077.030386834831	473.85551737723307	1833.524923021601
13.0.	1524.066155725342	15230.756692612393	420.27214241519636	1824.556716590788
14.0.	1533.9543079813318	15366.093638466973	372.74795209284474	1816.824698695182
15.0.	1542.623095044886	15485.28292587513	330.59777645730026	1810.1336185630014
16.0.	1550.227154731736	15590.281477773033	293.21392427472716	1804.325038650573
17.0.	1556.9002243791335	15682.800869071989	260.0574217706205	1799.2689913152667
18.0.	1562.7583805668799	15764.340356108176	230.65024208951456	1794.857847613167
19.0.	1567.9026314549462	15836.21481404555	204.568413443995	1791.0017375008429
20.0.	1572.4210447295168	15899.578551241622	181.43590659121054	1787.6250762606148
21.0.	1576.3905230810442	15955.445735362935	160.91921351087163	1784.6638922057473
22.0.	1579.8783021446627	16004.708000548762	142.7225391239726	1782.0637436268223
23.0.	1582.9432244729524	16048.149685319751	126.58353672986178	1779.7780753528443
24.0.	1585.6368296306468	16086.461062574572	112.26952567822465	1777.7669077902353
25.0.	1588.0042913920963	16120.249856344204	99.57413674506763	1775.9957806276839
26.0.	1590.0852265520446	16150.051288637704	88.31433684812032	1774.4348939186373
27.0.	1591.9143950925056	16176.336859449477	78.32779020612104	1773.0584038187505
28.0.	1593.522307835821	16199.522030893042	69.47051789705749	1771.8438407329716
29.0.	1594.9357549152805	16219.972960452544	61.61482207253995	1770.7716252609578
30.0.	1596.1782661868674	16238.012407065793	54.647444901106155	1769.8246629591924
31.0.	1597.2705129371714	16253.92491613343	48.46793569741338	1768.9880031367386
32.0.	1598.230658807516	16267.961374824947	42.98720269574853	1768.248550065873
33.0.	1599.0746666769412	16280.343016651732	38.12622858835694	1767.5948173970633
34.0.	1599.816567271415	16291.264943763765	33.81493131013639	1767.0167184175677
35.0.	1600.4686944522186	16300.899226462936	29.99115364529999	1766.50538622603
36.0.	1601.0418914515083	16309.397631746562	26.599767088876664	1766.0530190149505
37.0.	1601.5456917435308	16316.894026089083	23.591877043161645	1765.6527465341821
38.0.	1601.9884777470727	16323.506491967575	20.92411789020526	1765.2985145075431
39.0.	1602.3776201336048	16329.339192699945	18.5580277771969	1764.9849843329075
40.0.	1602.7196001543962	16334.484015879169	16.459494100844662	1764.7074458451175
41.0.	1603.020117089021	16339.02202195909	14.598261696139168	1764.4617412844962
42.0.	1603.2841826494064	16343.024721298052	12.947496638917217	1764.244198909781
43.0.	1603.516203941395	16346.55520012984	11.483399373441026	1764.0515749369379
44.0.	1603.7200563844733	16349.669113451788	10.184861587341858	1763.8810026852875
45.0.	1603.8991478153853	16352.415560648904	9.03316188699517	1763.7299479781452
46.0.	1604.0564748490922	16354.837857770857	8.011695885791449	1763.5961699832887
47.0.	1604.1946724378247	16356.974218710393	7.105736813907492	1763.477686794213
48.0.	1604.3160574531737	16358.858356067241	6.302223198220197	1763.3727451504717
49.0.	1604.4226670149585	16360.520011195442	5.589570551283002	1763.2797937776193
50.0.	1604.5162922021227	16361.985421801248	4.957504354430597	1763.1974598971017
51.0.	1604.5985077034488	16363.277734464702	4.396911927081246	1763.1245285158893
52.0.	1604.6706978980249	16364.417368583086	3.8997110465936897	1763.0599241565353
53.0.	1604.7340797959298	16365.42233746465	3.458733424533261	1763.002694731968
54.0.	1604.7897232174378	16366.308531623052	3.067621359390934	1762.9519973068936
55.0.	1604.8385685432822	16367.089968725882	2.720736075767782	1762.907085520123
56.0.	1604.881442328335	16367.779014124659	2.413076428524409	1762.8672984701932
57.0.	1604.9190710357793	16368.386575430091	2.140206799829676	1762.8320508910126
58.0.	1604.9520931178672	16368.9222741879	1.8981931495796591	1762.800824465421
59.0.	1604.9810696421023	16369.394597350314	1.6835462972073052	1762.7731601430196
60.0.	1605.0064936377676	16369.811030920759	1.493171617160281	1762.748651344706
61.0.	1605.0287983166588	16370.17817786934	1.324324422792224	1762.7269379504362
62.0.	1605.048364303408	16370.501862169667	1.174570395424074	1762.7077009790607
63.0.	1605.0655259944658	16370.787220589762	1.041750488069883	1762.690657879866
64.0.	1605.0805771505454	16371.038783677712	0.92394979783397	1762.6755583649567
65.0.	1605.0937758147086	16371.26054721321	0.8194699582038191	1762.662180719925
66.0.	1605.105348637217	16371.45603524661	0.7268046532104331	1762.6503285375932
67.0.	1605.115494678521	16371.628355715105	0.644617900436751	1762.6398278260435
68.0.	1605.1243887531812	16371.780249509435	0.57172478977398	1762.630524447859
69.0.	1605.1321843699866	16371.91413376169	0.5070744002309541	1762.6222818524698
70.0.	1605.1390163168821	16372.032140034082	0.44973464850322503	1762.614979067939
71.0.	1605.1450029334885	16372.136148008869	0.39887885085935404	1762.6085089224116
72.0.	1605.1502481088423	16372.22781520878	0.35377380460322305	1762.6027764688806
73.0.	1605.1548430374849	16372.308603215159	0.313769217279383	1762.5976975899723
74.0.	1605.1588677630155	16372.379800796027	0.278288331219252	1762.5931977621326
75.0.	1605.1623925347565	16372.442544307996	0.246819608259528	1762.5892109609667
76.0.	1605.165479000072	16372.497835692819	0.21890935474901602	1762.5856786915765
77.0.	1605.1681812521706	16372.54655835191	0.19415518051646002	1762.5825491296075
78.0.	1605.1705467508527	16372.589491148743	0.17220019749543602	1762.5797763603487
79.0.	1605.1726171315433	16372.627320759582	0.15272787436621302	1762.5773197046672
80.0.	1605.1744289161102	16372.6606525672	0.135457473032457	1762.5751431218737
81.0.	1605.1760141373506	16372.690020269147	0.12014000113916201	1762.573214680716
82.0.	1605.1774008875805	16372.715894352135	0.10655462227809001	1762.5715060907326
83.0.	1605.1786138005116	16372.73868956608	0.09450547212559801	1762.5699922870651
84.0.	1605.1796744745052	16372.758771515833	0.083818834610224	1762.5686510626354
85.0.	1605.1806018442917	16372.77646247451	0.074340637398003	1762.5674627422757
86.0.	1605.1814125074068	16372.792046510265	0.065934230587205	1762.566409894023
87.0.	1605.1821210108396	16372.80577400745	0.058478416587312	1762.5654770733483
