time	T	TStar	V
0.0.	1000.0	0.0	200.0
8.0.	0.610516321720178	172.21099670437331	245.7765728662837
16.0.	43.962744437020206	19.5545382790175	26.53895026200759
24.0.	54.782589947133765	579.5446818328267	723.9065143789678
32.0.	7.670507950505441	63.74149380610051	90.14703613781418
40.0.	504.22599216546024	144.84148353618355	135.8733362965167
48.0.	4.878701859950402	140.81217956872365	199.64443584714888
56.0.	245.4672154130574	48.68548634462164	54.705128591356704
64.0.	7.225811621452752	238.00406992705857	335.16558916913266
72.0.	114.5330225946929	43.47088172844015	54.68778817739813
80.0.	16.463082925336444	333.72383873956153	458.8950693629823
88.0.	66.1662248139766	50.20782904168865	66.31276334519127
96.0.	39.688745902802715	401.76305100386065	526.3988490764788
104.0.	46.164426497430924	59.72931414298043	80.59902529430315
112.0.	79.64156915866742	426.03901625136405	525.743422670173
120.0.	36.97887399003419	69.29474772210821	94.44912704213188
128.0.	125.26423742963028	415.63158925839485	487.7001349642511
136.0.	32.61324282349982	77.65622911374277	106.34311554738142
144.0.	162.1286975052486	392.35204757103776	445.7217415262408
152.0.	30.73177561387441	84.23541003004225	115.56866559431978
160.0.	184.55363378303937	371.18754966540195	414.70261089477765
168.0.	30.321919240895973	88.85306523952575	121.9277119388535
176.0.	193.76875809028616	357.4649233269103	397.10482632280787
184.0.	30.92237184657762	91.58023243240866	125.5512333342514
192.0.	192.79037861151977	351.4231178665543	391.105965220548
200.0.	32.33664428564242	92.63706614612819	126.76492656413525
208.0.	184.19908938730038	351.4538703186942	394.04683408254357
216.0.	34.51597146860491	92.32253142621046	125.9939079684062
224.0.	169.93563006612746	355.3555718030642	403.24022995659755
232.0.	37.50857274580839	90.96771595712971	123.69933958692205
240.0.	151.67516810998032	360.7056144167596	415.93980450239565
248.0.	41.43818619922462	88.90724645386018	120.33970211170386
256.0.	131.13162705424398	365.05052254393325	429.2287275925267
264.0.	46.49702284598791	86.46424642622539	116.35012499417248
272.0.	110.09366656153071	366.1805888893225	440.11159736912083
280.0.	52.94597233339073	83.94540767610076	112.13471147646776
288.0.	90.21760667801603	362.4860497259263	445.8665479169096
296.0.	61.116991625517294	81.64399174001652	108.06854468381759
304.0.	72.74169582429904	353.2400563624966	444.53306061129155
312.0.	71.4118655184054	79.84976394674831	104.5076297074669
320.0.	58.31402319912801	338.65027666700547	435.2931021665042
328.0.	84.28855633654497	78.86602587616895	101.80643930504334
336.0.	47.022851103199635	319.6528577501992	418.540975158762
344.0.	100.2211076501769	79.03507219148297	100.34407176376276
352.0.	38.57616962664783	297.5669116461406	395.61747407316074
360.0.	119.61181337342238	80.7744881337754	100.56138120917741
368.0.	32.51388596914886	273.7665953103578	368.36064661232336
376.0.	142.62718591193317	84.62715134415983	103.0125220775979
384.0.	28.36817639876952	249.46440969290018	338.6720447135173
392.0.	168.9286715785213	91.32571948004917	108.43393694513188
400.0.	25.750254293502714	225.61601844508624	308.2228616152216
408.0.	197.28982051113732	101.8627558817524	117.82827446297058
416.0.	24.381328906577753	202.91110195179905	278.3213748282109
424.0.	225.15935265691286	117.52947868343027	132.54123111206928
432.0.	24.094325235052942	181.80871039198954	249.9002383344968
440.0.	248.37393114079345	139.82235784982842	154.25920748449428
448.0.	24.8262550959823	162.5877880301788	223.5683792375245
456.0.	261.4396645975876	170.01464497908322	184.75846757218113
464.0.	26.61213766145901	145.3974173127927	199.68543468438963
472.0.	258.93514934022784	208.14236106498595	225.12803508223539
480.0.	29.58502587269127	130.30083582872734	178.43534642217728
488.0.	238.19026514917604	251.47694640389503	274.2852023758662
496.0.	33.98302425370309	117.31241645694928	159.8898986246125
504.0.	201.97735296291484	293.5695884034466	327.32033729828913
512.0.	40.16163712838577	106.42922148066258	144.0611011089911
520.0.	158.45899877051232	325.7817628770733	375.4163853681045
528.0.	48.60660894099744	97.65991832534563	130.94520437429648
536.0.	117.1462108727303	341.4674086113912	408.9102047663705
544.0.	59.9368237816081	91.05469968148994	120.56289608704691
552.0.	84.12484553115378	339.3639147380902	421.95874958873515
560.0.	74.87694201812475	86.74092813364481	113.00140309379873
568.0.	60.72219270124829	323.0845204698418	414.83044368298886
576.0.	94.16402223140736	84.97066921396825	108.46558974144979
584.0.	45.368088487594854	298.0890662500027	392.3226052245822
592.0.	118.33335121939199	86.18749666181036	107.34671117885192
600.0.	35.79302454142957	269.21213040053385	360.6028004075686
608.0.	147.31756134898458	91.11815237970201	110.31755397132413
616.0.	30.12811724909744	239.79550412153026	324.97304803700075
624.0.	179.82136286384036	100.8809902788461	118.45501122628274
632.0.	27.132242687751095	211.8175060551876	289.11713039263
640.0.	212.56215770828044	117.05554040665504	133.35842197714285
648.0.	26.085232178303926	186.3050704314486	255.24297556124364
656.0.	239.7654178370536	141.53740391658786	157.1382006342434
664.0.	26.63772802831851	163.7028991204989	224.50431090886588
672.0.	253.74672989943352	175.8026318997161	191.95835196013545
680.0.	28.704333809529146	144.1297262524787	197.39628892094612
688.0.	247.58235618299625	219.16267953848305	238.632598807685
696.0.	32.40589299605833	127.5405571582211	174.0426177451716
704.0.	219.66384528117743	266.4627129186835	294.1615393898646
712.0.	38.04696110211134	113.82761642129108	154.38378131689015
720.0.	176.7856547327859	307.7739800840007	349.8471343069114
728.0.	46.11197749606037	102.88631291038459	138.29763087290652
736.0.	131.15475391694406	332.7811411140214	393.32212848904385
744.0.	57.260755082505995	94.66480013296236	125.68103579036398
752.0.	92.84862974794743	337.04160524692224	414.91707419805334
760.0.	72.29440390844204	89.21099113882077	116.51467262408397
768.0.	65.47146565608053	323.498612332283	412.7301564380821
776.0.	92.04454794038058	86.72907067153234	110.92851230229584
784.0.	47.77270230241991	298.71504692541043	391.7588063468579
792.0.	117.11461691749828	87.65701724045859	109.2836031329732
800.0.	37.01043670294657	268.87887463611696	359.5126345735394
