time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	VIII_f	VIII_l	VIIIa_f	VIIIa_l	IX_f	IX_l	IXa_f	IXa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	VIIIai_f	VIIIai_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	IXa_VIIIa_l	Xa_Va_l	IXa_VIIIa_X_l	V_Xa_l	VIII_Xa_l	IIa_f	V_IIa_l	VIII_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	XI_f	XI_IIa_l	XIa_l	APC_PS_l	APC_PS_VIIIa_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	IXa_AT_f	Xa_AT_f	VII_Xa_l	V_mIIa_l	VIII_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	XIa_IX_l	LIPID	nnamed: 7
0.0	1400.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.7	0.0	0.0	0.0	90.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.005	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30	0.0	0.0	0.0	0.0	2.5	3400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	849079	
0.004	1217.74	182.25799999999998	4.88371e-52	5.492950000000001e-48	3.9408300000000005	16.0592	2.9957899999999997e-27	4.7829300000000006e-23	1.9766299999999999	8.02337	0.019714	0.08028539999999999	0.137891	0.562109	1.12583e-28	8.94983e-25	17.7305	72.2695	1.0199e-17	1.48823e-13	122.995	47.0047	4.42927e-18	2.4978e-15	8.030759999999998e-62	1.4290199999999999e-58	59.1324	240.868	1.0755799999999998e-98	2.9442499999999996e-94	2.89988e-97	1.5734399999999996e-92	12.6343	47.3657	0.00499898	5.073469999999999e-07	5.10247e-07	4.66291e-10	0	2.6539299999999997e-09	3.5053699999999996e-12	3.01663e-26	3.9431e-42	3.2127899999999993e-41	4.7956e-45	2.2668299999999997e-18	7.930189999999999e-20	1.2474499999999999e-48	3.94817e-52	1.3800000000000002e-53	1.36301e-43	3.91735e-46	30	7.519229999999999e-52	2.05711e-55	5.784679999999999e-61	6.2711099999999985e-90	2.5	3400	5.833109999999999e-53	9.35215e-23	1.8605099999999997e-34	3.3513300000000003e-88	1.09019e-23	1.8283500000000002e-23	5.50342e-19	1.7381899999999996e-51	6.07642e-53	1	2.5094199999999997e-52	2.22837e-55	2.1766799999999994e-57	2.6603099999999995e-59	787630	
0.008	1067.02	332.98199999999997	3.3725899999999997e-46	1.95185e-42	0.844316	19.1557	1.31323e-24	1.1528e-20	0.433125	9.56687	0.00423906	0.0957595	0.0294839	0.670516	5.00781e-26	2.15595e-22	3.7936699999999997	86.2063	2.9927000000000003e-16	2.4837900000000003e-12	90.68799999999999	79.312	3.6559e-16	1.1003599999999999e-13	6.0167099999999996e-55	5.444369999999999e-52	12.6999	287.3	2.2222499999999995e-88	3.0199299999999995e-84	5.96148e-87	1.6147199999999997e-82	3.95435	56.0457	0.00499718	1.3804e-06	1.40899e-06	3.5163e-09	0	2.59633e-08	7.35885e-11	7.57289e-24	3.3802999999999994e-38	7.1022799999999995e-37	1.47487e-40	2.56712e-16	8.97564e-18	4.4289699999999996e-43	3.52017e-46	1.22855e-47	1.12661e-38	6.66435e-41	30	5.5464999999999995e-46	3.14977e-49	5.547439999999999e-54	3.0557399999999995e-80	2.5	3400	4.31285e-47	1.6121500000000002e-20	1.8410499999999998e-31	1.6338599999999997e-78	6.958539999999999e-22	3.15175e-21	6.0368e-17	1.55073e-45	5.41377e-47	1	1.85278e-46	4.0814e-49	3.13028e-51	1.01705e-52	761946	
0.012	938.867	461.13300000000004	6.4278699999999994e-43	2.56708e-39	0.19309	19.8069	3.74722e-23	2.41753e-19	0.10943599999999999	9.89056	0.000985997	0.0990116	0.00667922	0.693321	1.4455799999999997e-24	4.5186400000000006e-21	0.86214	89.1379	1.78533e-15	1.12458e-11	67.7015	102.29799999999999	4.23498e-15	9.079379999999999e-13	4.380469999999999e-51	2.71578e-48	2.9377	297.062	1.3362299999999996e-82	1.2210899999999999e-78	3.568139999999999e-81	6.532669999999999e-77	2.24244	57.7576	0.00499523	2.29007e-06	2.38507e-06	9.92892e-09	0	8.664580000000001e-08	3.89702e-10	1.60834e-22	5.00992e-36	1.88034e-34	4.40883e-38	3.44525e-15	1.20385e-16	5.8198499999999995e-40	7.43094e-43	2.58924e-44	6.25825e-36	5.649339999999999e-38	30	1.1256499999999998e-42	9.8727e-46	4.442639999999999e-50	7.964709999999999e-75	2.5	3400	8.774380000000001e-44	2.90526e-19	8.60048e-30	4.2609899999999996e-73	6.6297900000000004e-21	5.67978e-20	7.840200000000001e-16	3.27567e-42	1.14194e-43	1	3.76409e-43	1.3232599999999999e-45	9.242710000000001e-48	5.10254e-49	745291	
0.016	828.812	571.188	1.15077e-40	3.57684e-37	0.0501265	19.9499	3.6582800000000003e-22	1.9444e-18	0.0387243	9.961269999999999	0.000272406	0.0997242	0.00167075	0.698329	1.42423e-23	3.63216e-20	0.21839699999999998	89.7816	5.79581e-15	3.09529e-11	51.118	118.882	2.23412e-14	3.8336099999999995e-12	2.0062199999999997e-48	9.630319999999999e-46	0.795717	299.204	1.2831699999999998e-78	8.940529999999999e-75	3.41213e-77	4.7857599999999996e-73	1.9088200000000002	58.0912	0.00499324	3.16941e-06	3.37731e-06	1.9578400000000003e-08	0	1.90181e-07	1.1957199999999999e-09	1.28615e-21	1.51727e-34	8.57361e-33	2.1308299999999998e-36	2.01916e-14	7.050839999999999e-16	8.101580000000001e-38	1.4262700000000002e-40	4.9614400000000004e-42	4.72291e-34	5.7421199999999994e-36	30	2.13914e-40	2.5625799999999995e-43	2.1684000000000003e-47	4.27008e-71	2.5	3400	1.6717000000000002e-41	2.109e-18	1.1905899999999998e-28	2.2857299999999994e-69	3.00922e-20	4.1231000000000004e-19	4.44575e-15	6.2915500000000005e-40	2.1900499999999997e-41	1	7.16121e-41	3.45707e-43	2.2666499999999998e-45	1.8216099999999997e-46	732293	
0.02	733.7589999999999	666.2410000000001	5.7688499999999994e-39	1.4897399999999998e-35	0.0178349	19.9822	2.02572e-21	9.406160000000001e-18	0.0229555	9.977039999999999	0.00011155	0.0998841	0.0005382280000000001	0.699462	7.944190000000001e-23	1.7560200000000001e-19	0.07288639999999999	89.9271	1.3765600000000001e-14	6.58525e-11	39.0511	130.94899999999998	7.730779999999999e-14	1.13008e-11	2.08167e-46	8.265619999999999e-44	0.312555	299.687	1.3514299999999997e-75	7.685969999999998e-72	3.579919999999999e-74	4.1165699999999996e-70	1.85832	58.1417	0.00499125	4.006840000000001e-06	4.3728e-06	3.22408e-08	0	3.35155e-07	2.7444e-09	6.11559e-21	1.98603e-33	1.52652e-31	3.92463e-35	7.64348e-14	2.6673100000000003e-15	3.37104e-36	7.59122e-39	2.63617e-40	1.2226399999999999e-32	1.86827e-34	30	1.1348999999999998e-38	1.7349600000000002e-41	2.3760399999999998e-45	2.8823499999999997e-68	2.5	3400	8.89231e-40	9.37982e-18	8.601e-28	1.5437799999999995e-66	9.267260000000002e-20	1.83376e-18	1.62845e-14	3.35101e-38	1.1646900000000001e-39	1	3.8038099999999995e-39	2.3418100000000003e-41	1.4539899999999998e-43	1.5746699999999999e-44	721509	
0.024	651.316	748.684	1.3091500000000001e-37	2.92559e-34	0.0104198	19.9896	7.91531e-21	3.32392e-17	0.0194894	9.98051	7.48593e-05	0.0999198	0.000277219	0.699723	3.12247e-22	6.201619999999999e-19	0.0393916	89.9606	2.7121299999999995e-14	1.1990100000000003e-10	30.214000000000002	139.786	2.06021e-13	2.66575e-11	8.569889999999999e-45	2.93284e-42	0.202105	299.798	3.607409999999999e-73	1.7473599999999995e-69	9.522689999999998e-72	9.36418e-68	1.8658400000000002	58.1342	0.00498926	4.80408e-06	5.3686699999999995e-06	4.77163e-08	0	5.16946e-07	5.26802e-09	2.10948e-20	1.5521399999999997e-32	1.5174100000000001e-30	3.99448e-34	2.2104099999999998e-13	7.708329999999999e-15	6.613619999999999e-35	1.8210899999999997e-37	6.312949999999999e-39	1.6289299999999999e-31	2.99373e-33	30	2.7182899999999997e-37	5.07878e-40	1.0290299999999998e-43	5.37594e-66	2.5	3400	2.1355999999999998e-38	3.07541e-17	4.15425e-27	2.8810299999999997e-64	2.2552800000000003e-19	6.0124300000000004e-18	4.5576599999999994e-14	8.04475e-37	2.7917000000000003e-38	1	9.12198e-38	6.8495300000000005e-40	4.04308e-42	5.62825e-43	712366	
0.027999999999999997	579.566	820.434	1.73233e-36	3.44418e-33	0.008734200000000001	19.9913	2.44443e-20	9.49324e-17	0.0188329	9.981160000000001	6.67282e-05	0.09992689999999999	0.000217078	0.699783	9.689520000000001e-22	1.77012e-18	0.031708299999999995	89.9683	4.72459e-14	1.96805e-10	23.7081	146.292	4.60122e-13	5.40675e-11	1.8791699999999998e-43	5.699539999999999e-41	0.177419	299.823	3.7828e-71	1.6062999999999998e-67	9.953689999999996e-70	8.613259999999999e-66	1.88385	58.1161	0.00498726	5.5661800000000005e-06	6.36431e-06	6.58355e-08	0	7.29816e-07	8.96619e-09	5.85635e-20	8.564219999999998e-32	1.01577e-29	2.7258699999999994e-33	5.32724e-13	1.85648e-14	7.77806e-34	2.5401699999999998e-36	8.79005e-38	1.38234e-30	2.96381e-32	30	3.78726e-36	8.393129999999999e-39	2.3680900000000002e-42	4.178229999999999e-64	2.5	3400	2.9835899999999998e-37	8.19688e-17	1.5278899999999998e-26	2.2404799999999997e-62	4.69185e-19	1.6024900000000002e-17	1.06331e-13	1.1229799999999999e-35	3.8907999999999995e-37	1	1.27252e-36	1.13067e-38	6.36156e-41	1.1018599999999999e-41	704539	
0.032	516.943	883.057	1.5521899999999998e-35	2.80085e-32	0.00839052	19.9916	6.3744e-20	2.32501e-16	0.0188179	9.98117	6.52594e-05	0.09992739999999999	0.000204088	0.699796	2.53687e-21	4.33256e-18	0.0300793	89.9699	7.546929999999999e-14	3.0005900000000004e-10	18.8976	151.102	9.051770000000001e-13	9.83656e-11	2.6111900000000002e-42	7.161519999999999e-40	0.172768	299.827	2.0165099999999998e-69	7.665039999999998e-66	5.290359999999999e-68	4.1125299999999996e-64	1.9022599999999998	58.0977	0.00498527	6.298740000000001e-06	7.3595500000000005e-06	8.6455e-08	0	9.68011e-07	1.4002900000000001e-08	1.39079e-19	3.67894e-31	5.11331e-29	1.3963299999999997e-32	1.1258799999999998e-12	3.9207900000000004e-14	6.31864e-33	2.39373e-35	8.268319999999999e-37	8.472669999999999e-30	2.0722499999999997e-31	30	3.56511e-35	9.167919999999998e-38	3.4470100000000004e-41	1.7230699999999999e-62	2.5	3400	2.81644e-36	1.88155e-16	4.6194e-26	9.245049999999997e-61	8.732149999999999e-19	3.67844e-17	2.1759699999999999e-13	1.05906e-34	3.6634e-36	1	1.19942e-35	1.23358e-37	6.62981e-40	1.39478e-40	697796	
0.036000000000000004	462.15	937.85	1.03613e-34	1.7225100000000001e-31	0.00836157	19.9916	1.4637e-19	5.070339999999999e-16	0.0189395	9.98105	6.53313e-05	0.09992630000000001	0.00020223900000000003	0.6997979999999999	5.8447e-21	9.442510000000002e-18	0.0298774	89.9701	1.13066e-13	4.3297500000000005e-10	15.328	154.672	1.61908e-12	1.64915e-10	2.56933e-41	6.46924e-39	0.172771	299.827	6.441379999999999e-68	2.2266699999999996e-64	1.68529e-66	1.1953799999999997e-62	1.91907	58.0809	0.00498328	7.006960000000001e-06	8.35436e-06	1.09454e-07	0	1.2262799999999999e-06	2.05085e-08	2.9369299999999997e-19	1.3089399999999999e-30	2.07674e-28	5.767359999999999e-32	2.1551900000000002e-12	7.499980000000001e-14	3.88183e-32	1.67718e-34	5.78256e-36	4.0640199999999995e-29	1.11452e-30	30	2.49527e-34	7.32155e-37	3.5472999999999996e-40	4.3988599999999986e-61	2.5	3400	1.9768799999999996e-35	3.85945e-16	1.2053900000000002e-25	2.3615899999999994e-59	1.4958600000000001e-18	7.545229999999999e-17	4.03448e-13	7.426149999999999e-34	2.56458e-35	1	8.40594e-35	9.83985e-37	5.0611000000000006e-39	1.2693499999999998e-39	691962	
