time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	Xa_Va_l	V_Xa_l	IIa_f	V_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	APC_PS_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	Xa_AT_f	VII_Xa_l	V_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	LIPID	alpha2M_l	alpha2M_IIa_l	alpha2M_Xa_l	nnamed: 5
0.0	1174.5	0.0	0.0	0.0	1.75	0.0	0.0	0.0	7.6	0.0	0.1	0.0	142.85	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	66.0	0.0	0.0182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	4721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	170000.0	364	0.0	0.0	
0.04	927.779	246.72099999999998	3.0434799999999994e-36	3.31318e-33	0.108874	1.64113	2.2545e-20	3.6965e-17	0.518783	7.0812	0.00631805	0.093657	83.6949	59.1551	2.78172e-12	1.5660299999999998e-10	6.98418e-43	1.1986799999999999e-40	7.29208	108.708	1.1291799999999999e-69	5.867699999999999e-66	12.0136	53.9864	0.0181562	2.35755e-05	1.88908e-05	1.34955e-06	2.0295299999999997e-08	6.10461e-19	1.6098699999999997e-29	1.6071300000000002e-13	7.51995e-34	2.62851e-37	8.064069999999998e-31	2.16588e-32	2.38453e-42	12.3	4721	5.288919999999998e-38	3.08471e-15	3.06703e-24	1.1561299999999998e-62	1.70197e-16	2.6185900000000004e-13	1.15612e-36	1	1.621e-36	1.7591299999999998e-38	2.0299299999999996e-40	122261.0	364	1.4926399999999998e-39	7.987650000000001e-18	
0.08	776.9119999999999	397.588	5.48632e-31	2.9975999999999997e-28	0.0156142	1.73439	5.789690000000001e-18	5.2686000000000005e-15	0.134958	7.465	0.00103369	0.0989061	58.008	84.84200000000001	1.46857e-10	4.36059e-09	1.23871e-36	1.0629899999999998e-34	1.14525	114.855	3.1182299999999994e-60	7.994589999999999e-57	11.5595	54.4405	0.018094299999999997	5.2559099999999996e-05	4.55189e-05	7.384010000000001e-06	2.57611e-07	7.090499999999999e-17	1.2762599999999999e-25	1.04743e-11	6.791779999999999e-29	5.43468e-32	1.7902e-26	8.89316e-28	4.86304e-36	12.3	4721	1.0447e-32	3.52987e-13	1.70032e-21	7.278960000000001e-54	1.9475900000000002e-14	1.30353e-11	2.3898e-31	1	3.15895e-31	7.39405e-33	7.972700000000001e-35	103898.0	364	2.9483600000000002e-34	9.14039e-16	
0.12	673.444	501.056	3.66569e-28	1.35097e-25	0.00672797	1.74327	1.17336e-16	7.77501e-14	0.10751	7.49242	0.00054946	0.0993545	45.0757	97.7743	1.21365e-09	2.5245599999999998e-08	3.0992099999999996e-33	1.789e-31	0.574699	115.425	4.63435e-55	7.931449999999999e-52	12.6841	53.3159	0.018031400000000003	7.90846e-05	7.254729999999999e-05	1.60151e-05	9.308339999999999e-07	8.4411e-16	1.59783e-23	9.7307e-11	3.0546400000000003e-26	3.8754899999999997e-29	3.67029e-24	2.4853e-25	1.3073399999999998e-32	12.3	4721	7.538330000000001e-30	4.65124e-12	5.33597e-20	4.5656e-49	2.5663000000000004e-13	9.57802e-11	1.70402e-28	1	2.24932e-28	8.052139999999999e-30	8.52578e-32	92309.3	364	2.12746e-31	1.20441e-14	
0.16	598.899	575.601	2.77688e-26	7.80652e-24	0.00597258	1.74403	8.91559e-16	4.77895e-13	0.11262899999999999	7.48727	0.000524012	0.09934420000000001	38.2281	104.62200000000001	4.8949799999999996e-09	8.00799e-08	5.93242e-31	2.60166e-29	0.538592	115.461	1.47508e-51	1.90637e-48	13.7115	52.2885	0.0179687	0.00010438299999999999	9.9496e-05	2.5289099999999998e-05	2.1102e-06	4.2453400000000005e-15	4.0553e-22	4.3002600000000003e-10	1.76104e-24	3.0824299999999998e-27	1.24603e-22	1.01815e-23	2.6529200000000003e-30	12.3	4721	6.10843e-28	2.62589e-11	5.50941e-19	7.90053e-46	1.44883e-12	3.4566800000000004e-10	1.35541e-26	1	1.7990499999999998e-26	8.63636e-28	9.06538e-30	84269.7	364	1.72392e-29	6.79962e-14	
0.2	543.439	631.061	6.7372299999999995e-25	1.54714e-22	0.0062235	1.7437799999999999	4.04185e-15	1.85395e-12	0.120749	7.47912	0.000553146	0.09927949999999999	34.5653	108.285	1.3587799999999998e-08	1.86278e-07	2.92136e-29	1.0413399999999999e-27	0.566933	115.43299999999999	6.127640000000001e-49	6.4003199999999996e-46	14.5752	51.4248	0.0179063	0.000129127	0.000126319	3.44724e-05	3.78793e-06	1.37451e-14	4.4844e-21	1.29089e-09	3.4813699999999996e-23	7.789229999999999e-26	1.66679e-21	1.5435399999999998e-22	1.37692e-28	12.3	4721	1.57489e-26	9.48331e-11	3.17017e-18	2.05238e-43	5.2324e-12	8.704900000000001e-10	3.42586e-25	1	4.5801e-25	2.7434199999999995e-26	2.86689e-28	78447.4	364	4.44466e-28	2.45566e-13	
0.24	501.22	673.28	8.192769999999998e-24	1.60572e-21	0.00658329	1.74342	1.3348300000000001e-14	5.42795e-12	0.128307	7.471539999999999	0.000586292	0.09921089999999999	32.6632	110.18700000000001	3.00869e-08	3.5982599999999996e-07	6.2661e-28	1.89591e-26	0.600785	115.399	7.27655e-47	6.4152e-44	15.2945	50.7055	0.017844099999999998	0.000153552	0.000153016	4.3355299999999995e-05	5.93153e-06	3.42406e-14	2.99665e-20	3.0648500000000002e-09	3.60356e-22	9.814219999999998e-25	1.27218e-20	1.2872400000000001e-21	3.10182e-27	12.3	4721	2.02561e-25	2.60654e-10	1.27441e-17	1.66694e-41	1.43816e-11	1.7726600000000002e-09	4.3180899999999995e-24	1	5.8196e-24	4.15512e-25	4.3322799999999996e-27	74111.4	364	5.7166699999999996e-27	6.74953e-13	
0.28	468.528	705.972	6.29373e-23	1.08539e-20	0.00691754	1.74308	3.56199e-14	1.31584e-11	0.13486700000000001	7.46495	0.000616081	0.0991458	31.7653	111.085	5.733630000000001e-08	6.15026e-07	7.701859999999999e-27	2.03893e-25	0.6314770000000001	115.369	3.7191199999999994e-45	2.8527699999999998e-42	15.8915	50.1085	0.017782299999999997	0.000177733	0.00017958900000000002	5.1903199999999995e-05	8.5036e-06	7.18482e-14	1.43168e-19	6.22428e-09	2.42902e-21	7.78266e-24	6.69794e-20	7.23657e-21	3.9944400000000006e-26	12.3	4721	1.6400999999999999e-24	5.96726e-10	4.02372e-17	6.203180000000001e-40	3.29244e-11	3.14463e-09	3.4260100000000006e-23	1	4.6573e-23	3.84091e-24	3.99986e-26	70815.9	364	4.6286800000000004e-26	1.5452e-12	
0.32	442.884	731.6160000000001	3.49223e-22	5.4195000000000003e-20	0.00720718	1.74279	8.15959e-14	2.7877e-11	0.140458	7.459339999999999	0.000641661	0.09908510000000001	31.447	111.40299999999999	9.825619999999999e-08	9.64637e-07	6.36648e-26	1.50808e-24	0.657926	115.34200000000001	1.0395999999999999e-43	7.095279999999999e-41	16.3857	49.6143	0.0177207	0.000201686	0.000206043	6.0136599999999996e-05	1.14681e-05	1.33713e-13	5.38891e-19	1.13143e-08	1.20931e-20	4.4453899999999993e-23	2.7132599999999997e-19	3.08215e-20	3.4531799999999994e-25	12.3	4721	9.56594e-24	1.19922e-09	1.06827e-16	1.32213e-38	6.61674e-11	5.06892e-09	1.9581999999999997e-22	1	2.68618e-22	2.50106e-23	2.6024899999999995e-25	68272.3	364	2.69969e-25	3.10536e-12	
0.36	422.564	751.936	1.52217e-21	2.16293e-19	0.0074533	1.74255	1.66723e-13	5.34014e-11	0.145183	7.45458	0.000663306	0.0990284	31.4605	111.389	1.55634e-07	1.4201e-06	3.9155600000000006e-25	8.44326e-24	0.6803680000000001	115.32	1.8497400000000002e-42	1.1427999999999998e-39	16.7942	49.2058	0.0176593	0.00022541	0.00023238099999999998	6.80916e-05	1.47922e-05	2.2785700000000004e-13	1.69763e-18	1.8940099999999998e-08	4.8118699999999994e-20	1.99037e-22	9.060790000000002e-19	1.0685099999999999e-19	2.21798e-24	12.3	4721	4.3734799999999996e-23	2.1868400000000003e-09	2.49016e-16	1.85847e-37	1.2066e-10	7.6193e-09	8.77457e-22	1	1.2150099999999999e-21	1.25542e-22	1.30536e-24	66285.3	364	1.2342799999999997e-24	5.66278e-12	
