time	Lamp2a	WTasyn{Lysosome}	WTasyn2{Lysosome}	WTasyndegr	WTasyn2degr	WTasyn2merCMADegr	WTasynCMADegr	DopModWTasyn2merOnLamp	DopModWTasyn3merOnLamp	DopModWTasyn4merOnLamp	DopModWTasyn7merOnLamp	DopModWTasyn6merOnLamp	DopModWTasyn5merOnLamp	DopModWTasyn8merOnLamp	DopModWTasyn9merOnLamp	WTasyn3merOnLamp	WTasyn4merOnLamp	WTasyn5merOnLamp	WTasyn6merOnLamp	WTasyn7merOnLamp	WTasyn8merOnLamp	WTasyn9merOnLamp	DopModWTasynOnLamp	WTasyn2merM/Adegr	WTasyn3merM/Adegr	WTasyn4merM/Adegrr	WTasyn5merM/Adegr	WTasyn6merM/Adegr	WTasyn7merM/Adegr	WTasyn8merM/Adegr	DopModWTasyn2merM/Adegr	DopModWTasyn3merM/Adegr	DopModWTasyn4merM/Adegr	DopModWTasyn6merM/Adegr	DopModWTasyn8merM/Adegr	WTasyn4{M/autophagy&OtherLysDegrPath}	WTasyn5{M/autophagy&OtherLysDegrPath}	WTasyn6{M/autophagy&OtherLysDegrPath}	WTasyn3{M/autophagy&OtherLysDegrPath}	WTasyn2{M/autophagy&OtherLysDegrPath}	WTasyn7{M/autophagy&OtherLysDegrPath}	WTasyn8{M/autophagy&OtherLysDegrPath}	DopModWTasyn7merM/Adegr	DopModWTasyn8{M/autophagy&OtherLysDegrPath}	DopModWTasyn7{M/autophagy&OtherLysDegrPath}	DopModWTasyn6{M/autophagy&OtherLysDegrPath}	DopModWTasyn5{M/autophagy&OtherLysDegrPath}	DopModWTasyn4{M/autophagy&OtherLysDegrPath}	DopModWTasyn3{M/autophagy&OtherLysDegrPath}	WTasyn{M/autophagy&OtherLysDegrPath}	DopModWTasyn{M/autophagy&OtherLysDegrPath}	DopModWTasyn2{M/autophagy&OtherLysDegrPath}	DopModWTasyn5{Cytosol}	DopModWTasyn4{Cytosol}	DopModWTasyn3{Cytosol}	DopModWTasyn2{Cytosol}	DopModWTasyn{Cytosol}	WTasyn{Cytosol}	WTasyn2{Cytosol}	WTasyn3{Cytosol}	DopModWTasyn6{Cytosol}	Dopamine	WTasyn5{Cytosol}	WTasyn4{Cytosol}	DopModWTasyn7{Cytosol}	DopModWTasyn8{Cytosol}	DopModWTasyn9	WTasyn9	WTasyn8{Cytosol}	WTasyn7{Cytosol}	WTasyn6{Cytosol}	HigherWTasynSPC	Proteasome	Dopamine_degraded	ProtWTasyn3	ProtWTasyn4	ProtWTasyn5	ProtWTasyn6	ProtWTasyn7	ProtWTasyn8	ProtWTasyn9	ProtDopModWTasyn3	ProtDopModWTasyn4	ProtDopModWTasyn5	ProtDopModWTasyn6	ProtDopModWTasyn7	ProtDopModWTasyn8	ProtDopModWTasyn9	ProtWTasynHigherSPC	alues[Total_Cytosolic_WTASYN_Oligomers	alues[Total_Cytosolic_WTASYN_Monomer	alues[Total_Cytosolic_WTASYN_Dimer	nnamed: 9
0	200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	8.0	0.0	953.0	1650.0	22.0	8.0	8.0	750.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	0.0	1500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	2603.0	22.0	
12000	144.97899999999998	0.575734	0.0110015	5.75609	0.110444	21.0376	1177.51	0.12135599999999999	0.016305200000000002	0.00168387	5.96661e-07	9.88069e-06	0.000140822	3.16084e-08	1.55691e-09	6.914060000000001	5.55351	5.19564	5.1464300000000005	5.15444	0.333671	6.08177	14.635	0.273554	0.00119438	0.0009157060000000001	0.000886172	0.000883396	0.0008846230000000001	0.00210901	0.306205	0.00213525	0.00220202	0.00222056	0.00222418	6.905929999999999e-07	6.445529999999999e-07	6.384100000000001e-07	9.22332e-07	2.61404e-06	6.399779999999999e-07	1.68045e-06	0.00444642	1.7995599999999998e-06	1.79752e-06	1.79671e-06	1.7911599999999998e-06	1.775e-06	1.9181900000000003e-06	0.000137356	0.000252373	3.833780000000001e-06	7.4929	7.42555	8.02716	16.0492	1055.78	574.2819999999999	10.9276	3.8584099999999997	7.51616	11.0192	2.69657	2.88928	7.51952	7.52807	10.6734	3.2403	7.02986	2.6774	2.67083	1.3092700000000002	1498.84	1508.82	0.053538999999999996	0.03938780000000001	0.0372152	0.0369661	0.037046800000000005	0.0977325	0.0437959	0.104322	0.102993	0.10418599999999999	0.10442	0.104447	0.104525	0.138818	0.051622400000000006	81.2454	1630.06	26.9768	
24000	135.201	0.33234	0.00433646	3.3239400000000003	0.043538	29.5481	1689.25	0.402816	0.100091	0.0195901	5.02638e-05	0.000427586	0.00314696	5.202090000000001e-06	5.23985e-07	6.39708	5.5281	5.04049	4.93149	4.93959	0.190228	6.244190000000001	27.6338	0.401817	0.00226831	0.00177261	0.00167425	0.00165895	0.00166216	0.00407541	0.609893	0.00498733	0.00437138	0.00431225	0.00432076	7.34358e-07	6.6937e-07	6.54906e-07	8.66563e-07	1.10558e-06	6.56531e-07	1.59618e-06	0.00862779	1.6961199999999999e-06	1.6892400000000001e-06	1.68949e-06	1.71e-06	1.89883e-06	2.91058e-06	8.534209999999999e-05	0.00024280299999999999	6.19891e-06	7.153689999999999	7.9447600000000005	12.1804	25.9393	1015.73	356.95099999999996	4.6222199999999996	3.6250699999999996	7.06765	11.2529	2.8004	3.07231	7.06655	7.09537	12.9221	3.5123599999999997	6.6773	2.74666	2.7398599999999997	1.80817	1498.67	2419.06	0.0510088	0.0421039	0.038506	0.037769300000000006	0.0378651	0.09371180000000001	0.0479291	0.154543	0.10729200000000001	0.09990360000000001	0.0993327	0.0993742	0.0997075	0.172559	0.149	86.6045	1372.68	30.5616	
36000	125.64399999999999	0.269823	0.00214802	2.69917	0.021571700000000003	33.1908	2042.69	0.75498	0.259808	0.0719495	0.000553275	0.00324577	0.0165543	8.33109e-05	1.27624e-05	5.61011	5.33899	4.86131	4.71154	4.71525	0.149674	6.186380000000001	38.9544	0.496933	0.00327388	0.00267207	0.00249261	0.00245569	0.00246057	0.00593916	0.902625	0.00917643	0.00688158	0.00637472	0.00629804	7.625589999999999e-07	6.94258e-07	6.72886e-07	8.091589999999999e-07	5.89724e-07	6.73931e-07	1.5107900000000001e-06	0.012572700000000001	1.6007299999999997e-06	1.5915000000000001e-06	1.6153299999999998e-06	1.7513400000000001e-06	2.32372e-06	4.0594e-06	7.46971e-05	0.000231129	7.53957e-06	7.327139999999999	9.72311	16.9863	31.5452	966.8860000000001	312.48400000000004	2.46616	3.3849099999999996	6.757569999999999	11.3021	2.9045099999999997	3.19024	6.6577399999999995	6.69632	14.7336	3.72729	6.32011	2.81945	2.81508	2.16339	1498.45	3339.21	0.047692	0.043915300000000004	0.039957400000000004	0.038803199999999996	0.03887380000000001	0.08873400000000001	0.0510452	0.220874	0.12848099999999998	0.10054099999999999	0.09448619999999999	0.09353760000000001	0.0940697	0.199001	0.271579	94.0434	1279.37	34.0113	
48000	117.08200000000001	0.251327	0.00148392	2.5142900000000004	0.014906299999999999	35.2887	2353.37	1.12611	0.47766000000000003	0.166205	0.00267301	0.0121951	0.0485971	0.000519214	0.000107096	4.85629	5.0784199999999995	4.67544	4.4993	4.494619999999999	0.1399	6.0570900000000005	48.7535	0.58667	0.00420955	0.00359775	0.00333935	0.00327327	0.00327871	0.00770449	1.18251	0.0146594	0.0100089	0.00857113	0.00816633	7.78198e-07	7.163849999999999e-07	6.89414e-07	7.50074e-07	4.3748800000000003e-07	6.89177e-07	1.4331e-06	0.016357299999999998	1.51501e-06	1.51511e-06	1.60179e-06	1.93009e-06	2.9011400000000003e-06	5.03964e-06	7.47109e-05	0.000219583	8.241469999999999e-06	8.075339999999999	12.139000000000001	21.0863	34.4798	918.586	312.56	1.83	3.13773	6.701169999999999	11.3023	2.99707	3.25562	6.33824	6.33777	16.1566	3.9079800000000002	5.9951	2.88322	2.88422	2.49725	1498.2	4260.95	0.0442778	0.044976300000000004	0.0412758	0.0397788	0.0397842	0.0840952	0.0536435	0.28041	0.160521	0.10918699999999999	0.0928309	0.0887697	0.0889447	0.21985900000000003	0.415055	101.895	1231.15	36.3098	
60000	109.559	0.244381	0.00132399	2.44485	0.0133019	36.9459	2650.24	1.48967	0.73196	0.300162	0.00830733	0.031461	0.10454100000000001	0.00194999	0.0005066059999999999	4.18323	4.77411	4.485530000000001	4.29805	4.28225	0.137964	5.8939699999999995	57.2591	0.67845	0.00507404	0.0045349	0.00421029	0.004109399999999999	0.00411345	0.00938278	1.44956	0.0211708	0.013850999999999999	0.0110473	0.0099396	7.81747e-07	7.344100000000001e-07	7.03733e-07	6.90974e-07	4.17382e-07	7.01592e-07	1.36579e-06	0.0200946	1.4431399999999998e-06	1.47108e-06	1.65831e-06	2.2093e-06	3.49718e-06	5.770740000000001e-06	7.76495e-05	0.0002088	8.55568e-06	9.2437	14.6325	24.144000000000002	35.7933	873.4780000000001	324.85900000000004	1.74616	2.8904900000000002	6.937869999999999	11.289000000000001	3.07246	3.2704299999999997	6.15419	6.03715	17.2531	4.05802	5.71356	2.93515	2.94411	2.84293	1497.93	5182.05	0.0408327	0.0453296	0.042371	0.0406319	0.0405342	0.0800411	0.055808300000000005	0.326029	0.195181	0.124232	0.09518889999999999	0.08574960000000001	0.08456369999999999	0.23598200000000003	0.5793470000000001	109.287	1198.34	37.5394	
72000	102.947	0.240693	0.00133715	2.4079599999999997	0.0134349	38.533	2941.12	1.83328	1.00472	0.46672299999999994	0.019685499999999998	0.0644545	0.185979	0.00536097	0.00168188	3.6029	4.44179	4.2893	4.1071	4.0796	0.137799	5.7096599999999995	64.6818	0.774357	0.00586905	0.00546943	0.00509989	0.00496126	0.00496142	0.010986399999999999	1.70445	0.0284149	0.0183771	0.013893299999999999	0.011637200000000002	7.74043e-07	7.473470000000001e-07	7.15618e-07	6.34766e-07	4.48821e-07	7.112430000000001e-07	1.3084100000000001e-06	0.0239079	1.3896600000000002e-06	1.46506e-06	1.77643e-06	2.53833e-06	4.03204e-06	6.2668799999999995e-06	8.13946e-05	0.00019896400000000001	8.63702e-06	10.6203	16.8697	26.2188	36.133	832.3330000000001	340.528	1.8778	2.65536	7.432180000000001	11.2721	3.12656	3.2381599999999997	6.1291199999999995	5.81347	18.0871	4.1786900000000005	5.47356	2.97551	2.99382	3.20787	1497.65	6101.88	0.0375186	0.0450164	0.0431825	0.0413457	0.0411215	0.0765747	0.057561	0.357655	0.227134	0.142812	0.101274	0.0848841	0.081194	0.24826199999999998	0.76547	115.81200000000001	1172.86	38.0108	
84000	97.0991	0.237965	0.00141202	2.38068	0.0141875	40.179	3228.27	2.15211	1.28301	0.657428	0.038919199999999994	0.113256	0.29168	0.011961	0.00440216	3.1156099999999998	4.09514	4.08432	3.9241699999999997	3.88686	0.137773	5.5105900000000005	71.1988	0.874951	0.00659965	0.00638871	0.00600159	0.00582583	0.00581943	0.0125264	1.9481400000000002	0.0361345	0.0234889	0.0171416	0.0132834	7.56627e-07	7.54455e-07	7.248820000000001e-07	5.83975e-07	5.02707e-07	7.18382e-07	1.25963e-06	0.0279065	1.3575899999999999e-06	1.49614e-06	1.93811e-06	2.87365e-06	4.470299999999999e-06	6.571010000000001e-06	8.53204e-05	0.000190116	8.58042e-06	12.0231	18.7028	27.4906	35.8958	795.32	356.952	2.1032900000000003	2.4429	8.1087	11.2543	3.1562799999999998	3.16527	6.25927	5.6794	18.7202	4.27145	5.26949	3.00537	3.03257	3.5914900000000003	1497.36	7020.28	0.034489099999999995	0.044117800000000006	0.0436642	0.0419097	0.0415592	0.07362560000000001	0.058920900000000005	0.377546	0.253811	0.162269	0.110133	0.08620180000000001	0.07903489999999999	0.25756399999999996	0.9746030000000001	121.32700000000001	1152.27	37.9991	
96000	91.8859	0.235512	0.00150916	2.3561400000000003	0.0151636	41.9304	3512.34	2.4452	1.5583200000000001	0.8643569999999999	0.0677054	0.17861400000000002	0.418754	0.0230196	0.00973212	2.71621	3.7467099999999998	3.86959	3.74646	3.70347	0.137445	5.30121	76.956	0.9803299999999999	0.0072735	0.00728227	0.00690808	0.00669983	0.00668463	0.014012299999999998	2.18168	0.044126900000000004	0.029063799999999997	0.0207804	0.0149043	7.31551e-07	7.55305e-07	7.312739999999999e-07	5.40434e-07	5.67987e-07	7.23254e-07	1.21794e-06	0.032172000000000006	1.34766e-06	1.5586000000000002e-06	2.12336e-06	3.1852199999999997e-06	4.8042099999999995e-06	6.728789999999999e-06	8.923219999999999e-05	0.00018224	8.44449e-06	13.3264	20.0994	28.1502	35.3269	762.375	373.316	2.37641	2.26077	8.88376	11.2367	3.15981	3.06035	6.5206599999999995	5.63794	19.2078	4.33826	5.09512	3.0257400000000003	3.0593	3.99065	1497.06	7937.23	0.031859399999999996	0.0427473	0.043787	0.0423103	0.041862	0.0711079	0.0599138	0.388366	0.274461	0.18068299999999998	0.12061	0.0894237	0.07815810000000001	0.264679	1.2078	125.82600000000001	1135.69	37.7034	
108000	87.1978	0.23310799999999998	0.00161379	2.33209	0.016214799999999998	43.8038	3793.51	2.71353	1.8254099999999998	1.0809	0.107209	0.26023	0.5636140000000001	0.039729900000000005	0.0189904	2.39699	3.40754	3.64581	3.57124	3.5283900000000004	0.136711	5.0851	82.0725	1.0904399999999999	0.00790008	0.00814229	0.00781179	0.00757962	0.007554399999999999	0.015451699999999999	2.40614	0.052240999999999996	0.0349799	0.0247696	0.0165261	7.01128e-07	7.49838e-07	7.344929999999999e-07	5.053390000000001e-07	6.402330000000001e-07	7.26031e-07	1.1819400000000001e-06	0.0367548	1.35846e-06	1.6442500000000002e-06	2.3146200000000004e-06	3.4557800000000003e-06	5.0406099999999995e-06	6.7797699999999995e-06	9.30702e-05	0.000175298	8.26576e-06	14.4581	21.088	28.3632	34.5791	733.337	389.37199999999996	2.67868	2.1139799999999997	9.683860000000001	11.2194	3.13692	2.93306	6.87907	5.68317	19.5966	4.3814400000000004	4.94455	3.03735	3.0727599999999997	4.40139	1496.75	8852.76	0.029706299999999998	0.041036699999999995	0.0435427	0.0425305	0.0420412	0.0689384	0.0605712	0.392504	0.289329	0.19689600000000002	0.131644	0.0940984	0.07850689999999999	0.270282	1.4658799999999998	129.372	1122.71	37.2578	
