time	Glc(int)	ATP	Glu6P	ADP	Fru6-P	Fru1,6-P2	AMP	glycerone phosphate	Gra3P	NAD	Gri2,3P2	NADH	Gri3P	Gri2P	phosphoenolpyruvate	pyruvate	acetaldehyde	nnamed: 1
0.0	0.0976522	2.52513	2.67504	1.28199	0.624976	6.2213199999999995	0.292885	1.00415	0.0451809	1.50329	0.000736873	0.0867097	0.885689	0.127696	0.06323519999999999	1.8153099999999998	0.17814100000000002	
0.02	0.0402395	2.88578	2.2888900000000003	1.0300200000000002	0.5581689999999999	6.1014	0.184203	1.04056	0.04681969999999999	1.5088	0.000997809	0.08119839999999999	0.871668	0.12648299999999998	0.0773231	1.7909099999999998	0.18574000000000002	
0.04	0.0368368	3.18883	2.14682	0.809679	0.541138	5.6816699999999996	0.101489	1.09825	0.049416	1.51263	0.00134957	0.0773734	0.857741	0.125626	0.09836929999999999	1.74944	0.188891	
0.06	0.035351	3.35048	2.18018	0.6839529999999999	0.5575720000000001	5.11356	0.06556419999999999	1.1425	0.051407100000000004	1.51458	0.00163858	0.0754166	0.8469969999999999	0.125123	0.1179	1.70803	0.188131	
0.08	0.0351157	3.3842800000000004	2.24837	0.6581	0.574399	4.5675300000000005	0.0576254	1.14105	0.051342200000000005	1.51486	0.00169199	0.0751389	0.8359489999999999	0.12383	0.12308800000000002	1.68914	0.18618900000000002	
0.1	0.035409699999999995	3.35457	2.27878	0.683797	0.578105	4.10657	0.061633900000000005	1.09968	0.049480500000000004	1.51531	0.00157769	0.0746878	0.816181	0.120699	0.11685699999999999	1.68803	0.186951	
0.12	0.0358905	3.2982199999999997	2.2537	0.7306590000000001	0.567122	3.7294099999999997	0.0711201	1.04344	0.0469497	1.51594	0.00140508	0.0740596	0.7871670000000001	0.116031	0.10666400000000001	1.69078	0.188809	
0.14	0.036433	3.2303900000000003	2.17768	0.785763	0.543848	3.4197699999999998	0.0838507	0.9884860000000001	0.0444766	1.5162200000000001	0.00123003	0.0737818	0.752866	0.11059000000000001	0.0963238	1.69105	0.18959700000000002	
0.16	0.03698080000000001	3.15889	2.06268	0.842455	0.511783	3.16025	0.0986529	0.940433	0.042314300000000006	1.51603	0.00107505	0.0739703	0.7172930000000001	0.105029	0.0872311	1.68763	0.188773	
0.18	0.037499300000000006	3.08898	1.9228299999999998	0.896525	0.47456000000000004	2.93443	0.114494	0.89969	0.040480800000000004	1.5155299999999998	0.000946297	0.0744668	0.682999	0.09973330000000001	0.07971139999999999	1.68107	0.186779	
0.2	0.0379711	3.02373	1.77171	0.9457780000000001	0.43541599999999997	2.72824	0.130494	0.8646590000000001	0.0389045	1.51495	0.000841779	0.07504910000000001	0.650944	0.0948349	0.07361480000000001	1.6722299999999999	0.18428699999999998	
0.22	0.0384014	2.96358	1.62022	0.9901790000000001	0.396777	2.5316	0.14623599999999998	0.8332219999999999	0.0374899	1.5144600000000001	0.0007559180000000001	0.075537	0.620947	0.09029069999999999	0.0685949	1.66177	0.181819	
0.24	0.0388189	2.9064799999999997	1.4752299999999998	1.0315299999999998	0.360046	2.33944	0.16198800000000002	0.803495	0.0361522	1.51416	0.000682448	0.0758371	0.5922689999999999	0.0859755	0.06426749999999999	1.65002	0.17962999999999998	
0.26	0.0392661	2.8488700000000002	1.3394700000000002	1.0725	0.325677	2.15139	0.178628	0.774235	0.0348356	1.51406	0.000616231	0.0759449	0.56414	0.08176180000000001	0.060311300000000005	1.63707	0.177735	
0.28	0.039786699999999994	2.7871900000000003	1.2127700000000001	1.1155	0.293523	1.9699799999999998	0.197304	0.7449560000000001	0.033518099999999995	1.5140799999999999	0.000554208	0.0759183	0.5360779999999999	0.0775703	0.05652619999999999	1.62284	0.175994	
0.3	0.0404131	2.71916	1.09392	1.1617899999999999	0.263282	1.79834	0.219047	0.715761	0.0322044	1.51417	0.000495409	0.0758346	0.507996	0.07338439999999999	0.05284119999999999	1.60724	0.174223	
0.32	0.0411638	2.64414	0.9822120000000001	1.21133	0.23483099999999998	1.6385299999999998	0.244525	0.6870069999999999	0.0309106	1.51425	0.000440199	0.0757546	0.480103	0.06923489999999999	0.0492747	1.59018	0.172281	
0.34	0.0420474	2.56268	0.8779790000000001	1.2632700000000001	0.20830100000000001	1.49118	0.27405799999999997	0.659007	0.029650700000000002	1.5143	0.000389297	0.07570489999999999	0.452715	0.0651697	0.045875099999999995	1.57168	0.17011400000000002	
0.36	0.0430709	2.47569	0.782221	1.3165200000000001	0.18395899999999998	1.35607	0.307794	0.631922	0.028432	1.51431	0.00034315	0.07568630000000001	0.42611400000000005	0.0612308	0.0426792	1.5518	0.167734	
0.38	0.0442453	2.3839599999999996	0.695918	1.37014	0.162049	1.2329299999999999	0.34589699999999995	0.605841	0.0272584	1.5143	0.000301818	0.07569730000000001	0.40052	0.0574503	0.0397024	1.5306600000000001	0.165165	
0.4	0.0455857	2.28812	0.619594	1.42331	0.142689	1.12176	0.388575	0.580893	0.026135900000000004	1.51425	0.000265164	0.0757526	0.37614699999999995	0.0538586	0.036949699999999995	1.50843	0.162411	
0.42	0.0471061	2.18898	0.553255	1.47507	0.125873	1.0227700000000002	0.435946	0.557293	0.025074000000000003	1.5141200000000001	0.00023300599999999998	0.07588439999999999	0.353243	0.0504909	0.0344265	1.48542	0.159452	
0.44	0.048814300000000005	2.08783	0.496521	1.52431	0.11150299999999999	0.935999	0.48786	0.535309	0.0240848	1.51387	0.000205155	0.0761285	0.33208000000000004	0.047385500000000004	0.0321417	1.46204	0.156283	
0.46	0.0507068	1.98639	0.448747	1.5698299999999998	0.09941439999999999	0.8612	0.543776	0.515193	0.0231797	1.51349	0.000181379	0.07651010000000001	0.312899	0.044576199999999996	0.0301038	1.43882	0.15293099999999998	
0.48	0.0527674	1.8867	0.409095	1.61055	0.0893934	0.79776	0.602747	0.497138	0.0223674	1.51296	0.00016137	0.07703660000000001	0.295863	0.0420853	0.028315899999999998	1.41634	0.149464	
0.5	0.054965999999999994	1.79082	0.376596	1.6457	0.0811928	0.744757	0.663484	0.48124300000000003	0.021652200000000003	1.5123	0.000144753	0.0776956	0.28103	0.039919800000000005	0.026773200000000004	1.39514	0.145979	
0.52	0.0572607	1.70059	0.350229	1.67491	0.0745513	0.7010460000000001	0.7244970000000001	0.46750200000000003	0.021034	1.5115399999999999	0.000131106	0.0784571	0.268351	0.0380712	0.025463099999999995	1.37568	0.142587	
0.54	0.0596008	1.6174600000000001	0.328992	1.6982700000000002	0.0692133	0.6653640000000001	0.7842680000000001	0.455813	0.020508000000000002	1.51072	0.00011999399999999999	0.0792793	0.257682	0.0365176	0.024365900000000003	1.3582299999999998	0.13939000000000001	
0.56	0.061932100000000004	1.54233	0.311967	1.71625	0.0649438	0.6364380000000001	0.841424	0.445995	0.0200663	1.5098799999999999	0.000111001	0.0801164	0.248817	0.0352281	0.0234574	1.3429200000000001	0.136467	
0.58	0.0642028	1.47558	0.298346	1.72955	0.061537	0.6130770000000001	0.8948719999999999	0.43782600000000005	0.0196987	1.5090700000000001	0.00010374700000000001	0.080927	0.241519	0.0341675	0.0227114	1.3297299999999999	0.13386800000000001	
0.6	0.0663678	1.4171200000000002	0.287452	1.73901	0.0588193	0.594228	0.943866	0.431068	0.0193947	1.50832	9.79024e-05	0.08168020000000001	0.235546	0.0333	0.0221023	1.3185200000000001	0.13161	
0.62	0.06839239999999999	1.36653	0.27872600000000003	1.7454599999999998	0.0566486	0.579001	0.9880110000000001	0.42549499999999996	0.019144	1.5076399999999999	9.31901e-05	0.0823569	0.23067	0.0325924	0.0216064	1.30908	0.129682	
0.64	0.07025319999999999	1.3231600000000001	0.271719	1.74963	0.054910400000000005	0.5666640000000001	1.02721	0.420904	0.018937400000000004	1.50705	8.93835e-05	0.08294939999999999	0.226692	0.032015499999999995	0.021203	1.30119	0.12805899999999998	
0.66	0.07193789999999999	1.28624	0.26607600000000003	1.75215	0.053514099999999995	0.556636	1.06161	0.41711899999999996	0.0187671	1.50654	8.62999e-05	0.08345860000000001	0.223444	0.0315447	0.0208745	1.29462	0.12670499999999998	
0.68	0.07344339999999999	1.25498	0.26151399999999997	1.75353	0.0523884	0.548451	1.0915	0.413994	0.018626499999999997	1.50611	8.37941e-05	0.0838904	0.220786	0.0311597	0.020606700000000002	1.28916	0.125581	
0.7	0.0747742	1.22862	0.257814	1.7541200000000001	0.051477300000000004	0.541747	1.11727	0.41141099999999997	0.018510299999999997	1.50575	8.17509e-05	0.0842535	0.218606	0.030844	0.0203877	1.28462	0.124652	
