time	cis-Aconitate	car_mat	Xylulose5P	Unbranched alpha(1,4)polymer	UREA	UDP-galactose1phosphate uridylyl transferase	UDP-Glucose	UDP glucose4epimerase	UDP Glucose Phosphorylase	UDP	Triokinase	Triglyceride	Trehalose	Trehalase	Transketolase	Transaldolase	Thiolase	TPP	Sucrose	Sucrase	Succinate dehydrogenase	Succinate	Sedoheptulase7P	S CoA synthase	S CoA	Ribose5P	QH2	Q	Pyruvate	Pi{default}	Pi{mitochondria}	Phosphopentose isomerase	Phosphohexo isomerase	Phosphogluco mutase	PYRUVATE KINASE	PYRUVATE DEHYDROGENASE	PYRUVATE CARBOXYLASE	PPi{default}	PPi{mitochondria}	PHOSPHO TRIOSE ISOMERASE	PGA MUTASE	PGA KINASE	PEP CARBOXYKINASE	PEP	Ornithine	OXALOACETATE	OAA	NAPDH	NADPH	NADP+	NADH{default}	NADH{mitochondria}	NADH_2	NAD+{default}	NAD+{mitochondria}	Mg2+{default}	Mg2+{mitochondria}	Malate dehydrogenase	Malate	Limit Dextrin	Lactose	Lactonase	Lactate	LIPOATE	Isocitrate dehydrogenase	Isocitrate	Hexokinase	HMGCoA	HMG-CoA Synthase	HCO3-+ NH4+	H2O{default}	H2O{mitochondria}	H20	H+{default}	H+{mitochondria}	Glygogen Phosphorylase	Glycosyl-4,6-Transferase	Glycosyl transferase	Glycogen phosphorylase	Glycogen Synthase	Glycogen Primer	Glycogen	Glycerol3P	Glyceraldehyde	Glutamine{mitochondria}	Glutamine{default}	Glutaminase	Glutamate{mitochondria}	Glutamate{default}	Glucose	Galactose1P	Galactose	Galactokinase	GTP	GDP{default}	GDP{mitochondria}	GA3P	G6PDehydrogenase	G6P	G3P DEHYDROGENASE	G1P	G-6-P Phosphatase	Fumarate	Fumarase	Fructose	Fructokinase	FeS{mitochondria}	FeS{mit_inner_membrane}	FMN	FADH2	FAD	FA	F6P	F1P	F1,6P	F1,6BISPHOSPHATASE	Erythrose4P	Epimerase	Enoyl-CoA hydratase	ENOLASE	DHAP	D-Ribulose5P	D-Beta-Hydroxybutyrate	D Betahydroxybutyrate dehydrogenase	Cyb	Cya-a3	CyC2	CyC	CoA-SH{default}	CoA-SH{mitochondria}	Co-Ash	Citrullyl AMP intermediate	Citrulline	Citrate Synthase	Citrate	Carnitine_cyt	Carbamoyl phosphate synthetase I	Carbamoyl phosphate	CO2{default}	CO2{mitochondria}	CAC	C8Acyl-CoA	C8 L-3-hydroxyacyl-CoA	C8 Ketoacyl-CoA	C8 2-trans-enoyl-CoA	C6Acyl-CoA	C6 L-3-hydroxyacyl-CoA	C6 Ketoacyl-CoA	C6 2-trans-enoyl-CoA	C4Acyl-CoA	C4 L-3-hydroxyacyl-CoA	C4 Ketoacyl-CoA	C4 2-trans-enoyl-CoA	C22car_ims{IMS}	C22car_ims{mitochondria}	C22Acyl-CoA	C22 L-3-hydroxyacyl-CoA	C22 Ketoacyl-CoA	C22 AcylCoA_cyt	C22 2-trans-enoyl-CoA	C20car_ims{IMS}	C20car_ims{mitochondria}	C20Acyl-CoA	C20 L-3-hydroxyacyl-CoA	C20 Ketoacyl-CoA	C20 AcylCoA_cyt	C20 2-trans-enoyl-CoA	C18car_ims{IMS}	C18car_ims{mitochondria}	C18Acyl-CoA	C18 L-3-hydroxyacyl-CoA	C18 Ketoacyl-CoA	C18 AcylCoA_cyt	C18 2-trans-enoyl-CoA	C16car_ims{IMS}	C16car_ims{mitochondria}	C16Acyl-CoA	C16 L-3-hydroxyacyl-CoA	C16 Ketoacyl-CoA	C16 AcylCoA_cyt	C16 2-trans-enoyl-CoA	C14car_ims{IMS}	C14car_ims{mitochondria}	C14Acyl-CoA	C14 L-3-hydroxyacyl-CoA	C14 Ketoacyl-CoA	C14 AcylCoA_cyt	C14 2-trans-enoyl-CoA	C12Acyl-CoA	C12 L-3-hydroxyacyl-CoA	C12 Ketoacyl-CoA	C12 2-trans-enoyl-CoA	C10Acyl-CoA	C10 L-3-hydroxyacyl-CoA	C10 Ketoacyl-CoA	C10 2-trans-enoyl-CoA	Beta-hydroxyacyl-CoA dehydrogenase	Beta-KetoacylCoA dehydrogenase	Aspartate aminotransferase	Aspartate	Arginosuccinate	Arginine	Amino acids	Alpha1,6-Glycosidase	Alpha-KG dehydrgenase complex	Alpha-KG	Alpha keto acid	Alpha KG	Aldolase	Alanine	Acyl-CoA dehydrogenase	Aconitase	AcetylCoA	Acetone	AcetoacetylCoA	Acetoacetate Decarboxylase	Acetoacetate	ATP{default}	ATP{mitochondria}	AMP	ADP{default}	ADP{mitochondria}	A CoA	6PGluconate dehydrogenase	6PGluconate	6PGDL	3-PGA	2e	2NADH	2NAD+	2H+{mitochondria}	2H+{IMS}	2ATP	2ADP	2-PGA	1/2O2	1,3-BiPGA	Creatine phosphate	Creatine	Creatine Kinase	nnamed: 24
0.0	13.0	43	0.43	0.0	6500.0	0	155.0	0	0	41.0	0	43.2	0.055999999999999994	0	0	0	0	0.0032	1.8	0	0	0.0	0.89	0	20.0	13.2	7.4	0.0	64.0	379.1	379.1	0	0	0	0	0	0	1.8	1.8	0	0	0	0	17.4	89.0	61.0	61.0	51.0	51.0	0.0	22.0	22.0	22.0	24.0	24.0	850	850	0	3.2	0.0	1.45	0	740.0	0.077	0	6.0	0	0.25	0	24900.0	55000000.0	55000000.0	55000000.0	0.0	0.0	0	0	0	0	0	0.0	43.3	30.0	1476.0	586.0	586.0	0	7.9	7.9	4440.0	31.0	88.3	0	56.0	15.0	15.0	4.8	0	29.1	0	5.0	0	1.5	0	31.0	0	0.0	0.0	0.0075	0.0	0.075	0	10.2	0.17	1.2	0	1770.0	0	0	0	15.6	1.58	36.0	0	0.0	0.0	0.0	0.0	20	20.0	20.0	0.0	38.0	0	190.0	43	0	0.0	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0032	99.0	0	0	0	0.0	0.0	8.9	0	333.0	0	0	0.0	30.0	0.0	0	21.0	1390.0	1390.0	51.0	160.0	160.0	0.0	0	2720.0	0.00762	47.2	0.0	44.0	48.0	0	0.0	2780.0	320.0	14.0	3480.0	0.4	33.0	36.7	0	
0.0016	13.0001	43	0.42791999999999997	1.55686e-05	8051350.0	0	154.754	0	0	40.9984	0	43.2	0.05593719999999999	0	0	0	0	0.00221599	1.7997599999999998	0	0	0.00243915	0.890703	0	19.9976	13.1989	7.35279	3.0770799999999997e-17	63.7941	374.289	379.1	0	0	0	0	0	0	1.80158	2.70165	0	0	0	0	17.399	89.1582	61.0015	60.0855	51.0016	51.0016	-0.00319771	8.48967	21.8613	22.1051	37.5103	23.9983	850	850	0	3.19999	0.00158066	1.4476799999999999	0	721.778	0.076016	0	5.99989	0	0.2496	0	24900.9	55000000.0	46873800.0	55000000.0	4.81724	0.00170536	0	0	0	0	0	0.246932	43.2993	32.3597	1473.64	585.998	585.063	0	8.804310000000001	10.6438	4458.33	30.9985	88.3022	0	56.0001	14.9999	14.9984	0.000941404	0	29.0953	0	5.00321	0	1.49908	0	30.9987	0	9.44174e-06	4.01311e-05	0.0426638	2.23008e-09	0.074016	0	1.16703	0.171425	10.2129	0	1770.0	0	0	0	15.6118	1.58143	36.001	0	0.011792700000000001	81329.8	0.011792700000000001	9.44174e-06	20	20.0016	19.999000000000002	32.8332	4.26521	0	190.0	43	0	0.0014904000000000002	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143923	0.9041819999999999	98.8424	0	0	0	0.000121518	3.6598	5.2402	0	329.44199999999995	0	0	-2.30304e-09	30.0015	0.000846379	0	20.997	1339.15	1355.36	51.9029	210.84900000000002	193.735	0.00137369	0	2720.0	0.00921706	5.39175	5.03761e-09	44.0016	47.9984	0	0.0236445	2780.0	320.002	14.0015	3474.44	47.0207	32.9997	36.7003	0	
0.0032	13.0002	43	0.42584399999999994	6.0766999999999996e-05	14897600.0	0	154.50799999999998	0	0	40.9968	0	43.2	0.0558745	0	0	0	0	0.00123321	1.79951	0	0	0.00487824	0.891799	0	19.9951	13.1978	7.30588	8.13213e-16	63.589	374.27	379.1	0	0	0	0	0	0	1.8031599999999999	3.7762	0	0	0	0	17.398	89.3159	61.003	59.0126	51.0032	51.0032	-0.00639542	2.70247	21.7236	22.2091	43.2975	23.9967	850	850	0	3.19997	0.0031311999999999998	1.44537	0	716.071	0.0750332	0	5.99977	0	0.24920100000000003	0	24901.9	55000000.0	39958300.0	55000000.0	4.84171	0.00340955	0	0	0	0	0	0.493033	43.299	34.7156	1471.28	585.994	584.128	0	9.86554	11.7105	4464.14	30.9971	88.3044	0	56.0002	14.9998	14.9968	0.000877802	0	29.0906	0	5.00643	0	1.49979	0	30.9973	0	3.76464e-05	0.000136523	0.07782610000000001	8.92025e-09	0.07303319999999999	0	0.139507	0.172848	11.2083	0	1770.0	0	0	0	15.6293	1.58287	36.001999999999995	0	0.023491400000000003	150652.0	0.023491400000000003	3.76464e-05	20	20.0032	19.998	35.534	0.490209	0	190.0	43	0	0.00278231	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143952	1.9764400000000002	98.6867	0	0	0	0.000243033	5.80114	3.0988599999999997	0	327.403	0	0	-9.21237e-09	30.003	0.00169282	0	20.9941	1333.36	1350.51	52.9787	216.64	197.51	0.00272605	0	2720.0	0.010814	0.636096	4.0188300000000005e-08	44.0032	47.9968	0	0.04719469999999999	2780.0	320.003	14.0029	3468.88	51.7961	32.9994	36.7006	0	
0.0048	13.0003	43	0.42377	0.000133483	20725300.0	0	154.263	0	0	40.9953	0	43.2	0.05581180000000001	0	0	0	0	0.000251648	1.7992700000000001	0	0	0.00731726	0.8928950000000001	0	19.9927	13.1968	7.25928	5.7404e-15	63.3844	374.251	379.101	0	0	0	0	0	0	1.8047400000000002	4.88361	0	0	0	0	17.397000000000002	89.4732	61.0044	57.9065	51.0048	51.0048	-0.00959313	0.87385	21.5867	22.3121	45.1262	23.9952	850	850	0	3.19996	0.00465328	1.44306	0	714.322	0.07405160000000001	0	5.9996599999999995	0	0.24880300000000002	0	24902.9	55000000.0	34071500.0	55000000.0	4.86677	0.00511257	0	0	0	0	0	0.738636	43.2988	37.0678	1468.93	585.988	583.194	0	10.9581	11.8646	4465.99	30.9956	88.3065	0	56.0003	14.9997	14.9952	0.000846471	0	29.0859	0	5.00964	0	1.50225	0	30.996	0	8.4434e-05	0.000289173	0.11298499999999999	2.00703e-08	0.07205160000000001	0	0.018250400000000003	0.17427	11.2962	0	1770.0	0	0	0	15.6475	1.5843	36.003	0	0.0350966	209756.0	0.0350966	8.4434e-05	20	20.0049	19.9971	34.8605	0.05677080000000001	0	190.0	43	0	0.00390153	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014610099999999999	3.0798	98.5329	0	0	0	0.000364546	7.062869999999999	1.83713	0	326.243	0	0	-2.07283e-08	30.0045	0.00253932	0	20.9911	1332.67	1348.97	54.0874	217.331	197.94400000000002	0.00405785	0	2720.0	0.0124108	0.0750959	1.35256e-07	44.0048	47.9952	0	0.07065149999999999	2780.0	320.005	14.004000000000001	3463.34	52.3779	32.9992	36.7008	0	
0.0064	13.0004	43	0.4217	0.000231785	25687300.0	0	154.017	0	0	40.9937	0	43.2	0.0557492	0	0	0	0	-0.000728692	1.79902	0	0	0.00975623	0.8939879999999999	0	19.9902	13.1957	7.212960000000001	2.32705e-14	63.1805	374.233	379.102	0	0	0	0	0	0	1.8063200000000001	5.96031	0	0	0	0	17.3959	89.6301	61.0059	56.8316	51.0064	51.0064	-0.012790799999999998	0.291831	21.4507	22.414	45.7082	23.9937	850	850	0	3.19995	0.00614841	1.44075	0	713.82	0.0730713	0	5.9995400000000005	0	0.24840500000000001	0	24903.8	55000000.0	29059100.0	55000000.0	4.89184	0.00681442	0	0	0	0	0	0.9837959999999999	43.2987	39.4162	1466.58	585.982	582.262	0	12.0178	11.5346	4466.6	30.9941	88.3087	0	56.0005	14.9995	14.9936	0.000834117	0	29.0812	0	5.01286	0	1.5064600000000001	0	30.9947	0	0.000149626	0.000498073	0.14814000000000002	3.56802e-08	0.0710713	0	0.0038790999999999995	0.17569200000000001	11.2772	0	1770.0	0	0	0	15.6657	1.5857299999999999	36.004	0	0.046609	260158.0	0.046609	0.000149626	20	20.0065	19.9961	33.8344	0.00683181	0	190.0	43	0	0.00487056	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014380200000000003	4.15071	98.3812	0	0	0	0.000486056	7.80934	1.09066	0	325.598	0	0	-3.6851099999999996e-08	30.006	0.00338588	0	20.9882	1332.58	1347.85	55.1654	217.421	197.995	0.00536978	0	2719.99	0.014007399999999998	0.00889266	3.19712e-07	44.0064	47.9936	0	0.0940159	2779.99	320.006	14.0042	3457.8	52.4656	32.9989	36.7011	0	
0.008	13.0005	43	0.419634	0.00035390199999999996	29913400.0	0	153.773	0	0	40.9921	0	43.2	0.0556867	0	0	0	0	-0.00170781	1.7987799999999998	0	0	0.0121951	0.8950799999999999	0	19.9878	13.1946	7.16695	6.932460000000001e-14	62.9773	374.214	379.102	0	0	0	0	0	0	1.8079	6.97573	0	0	0	0	17.3949	89.7866	61.0074	55.8182	51.008	51.008	-0.0159886	0.106151	21.3155	22.5149	45.8938	23.9922	850	850	0	3.1999299999999997	0.00761797	1.43845	0	713.7130000000001	0.07209220000000001	0	5.99943	0	0.248008	0	24904.8	55000000.0	24790000.0	55000000.0	4.91686	0.00851509	0	0	0	0	0	1.22854	43.2986	41.7609	1464.23	585.9730000000001	581.331	0	13.0142	10.9624	4466.81	30.9927	88.3109	0	56.0006	14.9994	14.992	0.0008286910000000001	0	29.0765	0	5.0160800000000005	0	1.51233	0	30.9934	0	0.000233045	0.000763216	0.18328699999999998	5.57498e-08	0.0700921	0	0.00217413	0.177112	11.2455	0	1769.99	0	0	0	15.6839	1.58717	36.005	0	0.05802919999999999	303152.0	0.05802919999999999	0.000233045	20	20.0082	19.9951	32.8254	0.00111161	0	190.0	43	0	0.0057090000000000005	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013849700000000001	5.15867	98.2314	0	0	0	0.000607563	8.252	0.647998	0	325.256	0	0	-5.7581100000000003e-08	30.0075	0.0042325	0	20.9852	1332.56	1346.82	56.1821	217.44	198.00099999999998	0.00666251	0	2719.99	0.015603899999999999	0.00113638	6.226939999999999e-07	44.008	47.992	0	0.117289	2779.99	320.008	14.0042	3452.27	52.4952	32.9986	36.7014	0	
0.0096	13.0005	43	0.417571	0.000498205	33513600.0	0	153.529	0	0	40.9905	0	43.2	0.0556242	0	0	0	0	-0.0026857	1.7985400000000002	0	0	0.014634000000000001	0.8961709999999999	0	19.9854	13.1935	7.121230000000001	1.6968e-13	62.7747	374.195	379.103	0	0	0	0	0	0	1.80948	7.9176	0	0	0	0	17.3939	89.9428	61.0089	54.8785	51.0096	51.0096	-0.0191863	0.0468526	21.1812	22.6148	45.9531	23.9909	850	850	0	3.19992	0.00906322	1.43615	0	713.7330000000001	0.0711143	0	5.9993099999999995	0	0.247612	0	24905.7	55000000.0	21153100.0	55000000.0	4.94181	0.0102146	0	0	0	0	0	1.4728700000000001	43.2985	44.1018	1461.89	585.964	580.401	0	13.9355	10.2841	4466.89	30.9912	88.3131	0	56.0007	14.9993	14.9904	0.0008255819999999999	0	29.0718	0	5.0193	0	1.51975	0	30.991999999999997	0	0.000334515	0.00108459	0.218427	8.02788e-08	0.0691142	0	0.00197106	0.178531	11.2125	0	1769.99	0	0	0	15.702	1.5886	36.006	0	0.0693577	339834.0	0.0693577	0.000334515	20	20.0099	19.9941	31.8851	0.000494969	0	190.0	43	0	0.00643391	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013162100000000001	6.0915300000000006	98.0833	0	0	0	0.000729068	8.51485	0.385148	0	325.094	0	0	-8.29185e-08	30.009	0.00507916	0	20.9823	1332.55	1345.88	57.1252	217.45	198.003	0.00793667	0	2719.99	0.017200299999999998	0.000230641	1.07301e-06	44.0096	47.9904	0	0.140471	2779.99	320.01	14.0042	3446.75	52.5178	32.9983	36.7017	0	
0.0112	13.0006	43	0.41551099999999996	0.000663196	36581300.0	0	153.285	0	0	40.9889	0	43.2	0.05556180000000001	0	0	0	0	-0.00366237	1.7982900000000002	0	0	0.0170728	0.897259	0	19.9829	13.1925	7.0758	3.62356e-13	62.5728	374.176	379.10400000000004	0	0	0	0	0	0	1.81105	8.7834	0	0	0	0	17.3929	90.0986	61.0104	54.0149	51.0112	51.0112	-0.022384	0.0278894	21.0478	22.7137	45.9721	23.9895	850	850	0	3.19991	0.0104853	1.43385	0	713.7919999999999	0.07013760000000001	0	5.9992	0	0.247216	0	24906.7	55000000.0	18054100.0	55000000.0	4.96671	0.011912899999999999	0	0	0	0	0	1.71679	43.2984	46.4389	1459.55	585.952	579.4730000000001	0	14.7791	9.575239999999999	4466.93	30.9898	88.3152	0	56.0008	14.9992	14.9889	0.0008232269999999999	0	29.0672	0	5.02252	0	1.52861	0	30.9907	0	0.000453861	0.00146218	0.25355700000000003	1.0926700000000001e-07	0.0681375	0	0.0019460999999999999	0.179949	11.1794	0	1769.99	0	0	0	15.7201	1.5900299999999998	36.007	0	0.0805953	371139.0	0.0805953	0.000453861	20	20.0116	19.9931	31.0203	0.000463253	0	190.0	43	0	0.00706016	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012407799999999998	6.94689	97.9369	0	0	0	0.000850571	8.67104	0.22895700000000002	0	325.038	0	0	-1.1286400000000001e-07	30.0106	0.00592589	0	20.9793	1332.54	1345.01	57.9923	217.46	198.00400000000002	0.00919284	0	2719.99	0.0187965	0.000124959	1.6991499999999999e-06	44.0112	47.9888	0	0.16356400000000001	2779.99	320.01099999999997	14.0041	3441.24	52.5396	32.9981	36.7019	0	
0.0128	13.0007	43	0.413455	0.0008474919999999999	39196000.0	0	153.041	0	0	40.9874	0	43.2	0.0554995	0	0	0	0	-0.0046378	1.79805	0	0	0.0195115	0.8983459999999999	0	19.9805	13.1914	7.030660000000001	7.000020000000001e-13	62.3715	374.157	379.105	0	0	0	0	0	0	1.81263	9.5755	0	0	0	0	17.3919	90.2542	61.0119	53.2251	51.0128	51.0128	-0.025581700000000002	0.0218016	20.9152	22.8115	45.9782	23.9883	850	850	0	3.1998900000000003	0.011885399999999999	1.43156	0	713.865	0.0691622	0	5.99909	0	0.246821	0	24907.6	55000000.0	15412700.0	55000000.0	4.99155	0.0136101	0	0	0	0	0	1.96032	43.2983	48.7723	1457.22	585.94	578.547	0	15.5478	8.87675	4466.97	30.9883	88.3174	0	56.0009	14.9991	14.9873	0.000821118	0	29.0625	0	5.02574	0	1.53877	0	30.9894	0	0.00059091	0.00189597	0.28867600000000004	1.42714e-07	0.06716210000000002	0	0.00194225	0.181366	11.1464	0	1769.99	0	0	0	15.7381	1.59146	36.008	0	0.09174260000000001	397862.0	0.09174260000000001	0.00059091	20	20.0133	19.9922	30.2292	0.000494199	0	190.0	43	0	0.0076007	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011638899999999999	7.727239999999999	97.7921	0	0	0	0.000972071	8.76389	0.13611099999999998	0	325.045	0	0	-1.47417e-07	30.0121	0.00677266	0	20.9763	1332.53	1344.22	58.7856	217.46900000000002	198.005	0.010431600000000001	0	2719.99	0.0203926	0.00011266	2.52926e-06	44.0128	47.9872	0	0.186568	2779.99	320.013	14.004000000000001	3435.74	52.5613	32.9978	36.7022	0	
0.0144	13.0008	43	0.41140200000000005	0.00104981	41425100.0	0	152.798	0	0	40.9858	0	43.2	0.0554372	0	0	0	0	-0.00561202	1.7978	0	0	0.021950099999999997	0.899432	0	19.977999999999998	13.1903	6.9858	1.25227e-12	62.1709	374.139	379.106	0	0	0	0	0	0	1.8142099999999999	10.2986	0	0	0	0	17.3909	90.4094	61.0133	52.5042	51.0144	51.0144	-0.028779400000000004	0.0198237	20.7835	22.9084	45.9802	23.9871	850	850	0	3.19988	0.0132644	1.42927	0	713.941	0.068188	0	5.99897	0	0.24642600000000003	0	24908.6	55000000.0	13160700.0	55000000.0	5.0163400000000005	0.015306	0	0	0	0	0	2.20345	43.2983	51.102	1454.88	585.9259999999999	577.622	0	16.2463	8.209610000000001	4466.99	30.9868	88.3195	0	56.001000000000005	14.999	14.9857	0.00081909	0	29.0578	0	5.028969999999999	0	1.5501200000000002	0	30.9881	0	0.0007454889999999999	0.00238593	0.323782	1.80621e-07	0.0661878	0	0.0019409000000000002	0.182782	11.1135	0	1769.99	0	0	0	15.7561	1.59289	36.009	0	0.1028	420679.0	0.1028	0.0007454889999999999	20	20.0151	19.9912	29.5072	0.000527916	0	190.0	43	0	0.0080668	21600.0	21600.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108847	8.437389999999999	97.6487	0	0	0	0.00109357	8.81909	0.08091260000000002	0	325.089	0	0	-1.8657800000000002e-07	30.0136	0.00761948	0	20.9734	1332.52	1343.5	59.51	217.479	198.00599999999997	0.0116534	0	2719.99	0.021988499999999998	0.000111259	3.59119e-06	44.0144	47.9856	0	0.209484	2779.99	320.014	14.004000000000001	3430.25	52.5829	32.9975	36.7025	0	
