time	Clk-Cyc_cyt	Clk-Cyc_nuc	Clk_cyt	Clk_mRNA	Per_cyt	Per_mRNA	Per-Tim_cyt	Per-Tim_nuc	Tim_cyt	Tim_mRNA	nnamed: 1
0.0	0.3	0.4	0.2	0.1	0.6	0.5	0.9	1.0	0.8	0.7	
1.44	0.05688580000000001	0.171452	0.14331300000000002	0.972608	0.432987	0.290691	0.265061	0.79176	0.691519	0.387359	
2.88	0.09563150000000001	0.0676968	0.27547699999999997	1.59009	0.172287	0.11361099999999999	0.0745564	0.408696	0.37599	0.133279	
4.32	0.160422	0.0747701	0.41645600000000005	1.94756	0.0506254	0.07888930000000001	0.0153328	0.115204	0.12477	0.0802115	
5.76	0.22179000000000001	0.110431	0.523709	2.11786	0.028721899999999998	0.11120799999999999	0.00224205	0.015103799999999999	0.0384234	0.111301	
7.2	0.272336	0.150719	0.604055	2.2330900000000002	0.0357309	0.159335	0.0005733530000000001	0.00152182	0.0366622	0.15934600000000002	
8.64	0.317688	0.19165	0.674064	2.3380900000000002	0.0500494	0.213589	0.0007678769999999999	0.00040406400000000004	0.0501568	0.21359099999999998	
10.08	0.36240100000000003	0.23443699999999998	0.741455	2.43824	0.0682533	0.274029	0.00141171	0.000552726	0.0682694	0.274029	
11.52	0.408482	0.280848	0.80897	2.53348	0.090968	0.34308099999999997	0.00252526	0.000985429	0.0909712	0.34308099999999997	
12.96	0.456613	0.33223600000000003	0.8773290000000001	2.62263	0.11981800000000001	0.42357	0.00441144	0.00173386	0.11981900000000001	0.42357	
14.4	0.506676	0.389438	0.946109	2.7033	0.15675999999999998	0.518169	0.00761798	0.0030108	0.15676099999999998	0.518169	
15.84	0.557773	0.452704	1.01377	2.77146	0.20363900000000001	0.629125	0.013035399999999999	0.00518774	0.20363900000000001	0.629125	
17.28	0.607971	0.521473	1.07735	2.82091	0.261529	0.7579279999999999	0.021984200000000002	0.00885111	0.261529	0.7579279999999999	
18.72	0.653982	0.594012	1.1321299999999999	2.84354	0.330072	0.904908	0.036202	0.014852100000000002	0.330072	0.904908	
20.16	0.691049	0.666987	1.17171	2.83114	0.40734899999999996	1.0687799999999998	0.0576868	0.0243292	0.40734899999999996	1.0687799999999998	
21.6	0.7135239999999999	0.735183	1.18919	2.77935	0.490533	1.24629	0.0884614	0.0387243	0.490533	1.24629	
23.04	0.716513	0.791722	1.17957	2.69254	0.576766	1.43198	0.130333	0.059817499999999996	0.576766	1.43198	
24.48	0.698345	0.829152	1.14301	2.58671	0.66355	1.61826	0.184588	0.0897314	0.66355	1.61826	
25.92	0.662844	0.841569	1.08735	2.48888	0.74857	1.79568	0.251502	0.13075799999999999	0.74857	1.79568	
27.36	0.620116	0.827601	1.0285799999999998	2.4327900000000002	0.829368	1.9537400000000003	0.329712	0.184863	0.829368	1.9537400000000003	
28.8	0.5849979999999999	0.793327	0.98829	2.45087	0.90325	2.08241	0.41571899999999995	0.252875	0.90325	2.08241	
30.24	0.57333	0.753319	0.987967	2.56241	0.9676440000000001	2.17523	0.5039899999999999	0.33369	0.9676440000000001	2.17523	
31.68	0.597785	0.7278720000000001	1.04234	2.76368	1.02102	2.23339	0.588279	0.424087	1.02102	2.23339	
33.12	0.665558	0.737041	1.1557600000000001	3.0272099999999997	1.0641100000000001	2.26839	0.6642819999999999	0.519658	1.0641100000000001	2.26839	
34.56	0.777516	0.795084	1.3216	3.3054300000000003	1.1004200000000002	2.29903	0.732351	0.616785	1.1004200000000002	2.29903	
36.0	0.92555	0.907602	1.5200200000000001	3.52975	1.13523	2.34214	0.797928	0.7146560000000001	1.13523	2.34214	
37.44	1.08709	1.07006	1.71355	3.617	1.1729399999999999	2.40238	0.8685620000000001	0.8158920000000001	1.1729399999999999	2.40238	
38.88	1.22312	1.26655	1.8502599999999998	3.50851	1.2143899999999999	2.4674	0.9488040000000001	0.9249850000000001	1.2143899999999999	2.4674	
40.32	1.28925	1.4706	1.88228	3.21293	1.25524	2.50927	1.03522	1.0449700000000002	1.25524	2.50927	
41.76	1.25463	1.6486	1.78465	2.78966	1.2862	2.4917700000000003	1.11321	1.17362	1.2862	2.4917700000000003	
43.2	1.11286	1.76318	1.55971	2.30503	1.29472	2.38275	1.1576799999999998	1.30059	1.29472	2.38275	
44.64	0.883033	1.7751700000000001	1.23461	1.8177599999999998	1.26805	2.16872	1.13972	1.4063	1.26805	2.16872	
46.08	0.609176	1.64861	0.8630389999999999	1.39426	1.19675	1.8640900000000002	1.0394	1.4629	1.19675	1.8640900000000002	
47.52	0.360453	1.36953	0.534148	1.14933	1.07789	1.5098200000000002	0.859226	1.43785	1.07789	1.5098200000000002	
48.96	0.215533	0.9870760000000001	0.367233	1.28119	0.9183959999999999	1.1665	0.630656	1.3024	0.9183959999999999	1.1665	
50.4	0.200524	0.627366	0.417814	1.83509	0.739113	0.9040889999999999	0.406459	1.04892	0.739113	0.9040889999999999	
51.84	0.279516	0.406132	0.613446	2.4849	0.572353	0.756591	0.23421199999999998	0.714144	0.572353	0.756591	
53.28	0.41934899999999997	0.350137	0.8660680000000001	2.99284	0.43888299999999997	0.680489	0.124524	0.380822	0.43888299999999997	0.680489	
54.72	0.590622	0.415408	1.1179299999999999	3.2906199999999997	0.34881599999999996	0.679057	0.06346080000000001	0.141985	0.34881599999999996	0.679057	
56.16	0.7603439999999999	0.551139	1.33194	3.40467	0.324113	0.784993	0.041482599999999994	0.0422723	0.324113	0.784993	
57.6	0.903317	0.72265	1.4901799999999998	3.3831900000000004	0.369874	0.982203	0.0477329	0.024510499999999998	0.369874	0.982203	
59.04	0.9981979999999999	0.9045479999999999	1.5723	3.21465	0.466228	1.24191	0.0767542	0.032791	0.466228	1.24191	
60.48	1.01937	1.07095	1.55116	2.8980799999999998	0.589704	1.5402799999999999	0.132052	0.0566601	0.589704	1.5402799999999999	
61.92	0.949875	1.1911	1.41488	2.4851900000000002	0.7242810000000001	1.8564	0.219406	0.100148	0.7242810000000001	1.8564	
63.36	0.796112	1.23156	1.1797	2.05061	0.8616219999999999	2.16874	0.34346	0.171179	0.8616219999999999	2.16874	
64.8	0.592156	1.16346	0.8929729999999999	1.6836200000000001	0.996331	2.45065	0.5052770000000001	0.278509	0.996331	2.45065	
