time	AA	5-HPETE	5-HETE	LTA4	LTB4	w-LTB4	PLA2	15-LOX	12-LOX	COX-2	PGES	15-HPETE	TXAS	5-LOX	LTA4H	CYP4F3	PHGPx	exo-AA	15-HETE	12-HPETE	12-HETE	PGH2	PGE2	TXA2	TXB2	nnamed: 2
0	0.001	0.001	0.001	0.001	0.001	0.001	1.5	1.5	0.5	0.2	0.5	0.001	0.5	5.0	0.76	0.07	0.8	0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
6000	0.14363099999999998	-3.460349999999999e-129	0.0317616	-4.380349999999999e-95	-5.683109999999998e-97	90.0963	1.5	15.0	0.0	0.2	0.5	32.8505	6.451189999999999e-36	-9.204919999999997e-128	0.00205408	0.07	0.8	0	2718.24	5e-324	0.263521	0.369965	432.175	1.3648699999999999e-30	0.0125964	
12000	0.143699	-3.50713e-32	7.87292e-05	1.0507299999999998e-57	1.2603499999999998e-59	90.0963	1.5	15.0	0.0	0.2	0.5	32.876	-1.1453899999999999e-35	-3.6249299999999995e-31	0.00205408	0.07	0.8	0	2719.35	0.0	0.263521	0.264867	618.508	7.985100000000001e-33	3.1223299999999996e-05	
18000	0.143735	-4.3135999999999996e-49	1.9515e-07	-6.914179999999999e-71	-8.831949999999998e-73	90.0963	1.5	15.0	-0.0	0.2	0.5	32.8895	-3.6644699999999993e-32	-1.22554e-47	0.00205408	0.07	0.8	0	2719.93	0.0	0.263521	0.217574	762.185	6.69053e-30	7.73949e-08	
24000	0.143757	2.7638599999999997e-56	4.837310000000001e-10	2.1843699999999994e-77	2.79021e-79	90.0963	1.5	15.0	0.0	0.2	0.5	32.8976	-9.262889999999998e-32	7.8051e-55	0.00205408	0.07	0.8	0	2720.28	0.0	0.263521	0.1892	883.552	-1.00117e-27	1.9184400000000001e-10	
30000	0.143772	-6.96247e-58	1.19907e-12	-1.1518499999999997e-80	-1.4713399999999994e-82	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9032	1.4752100000000001e-30	-1.95392e-56	0.00205408	0.07	0.8	0	2720.52	0.0	0.263521	0.169769	990.595	3.3080199999999995e-28	4.75541e-13	
36000	0.143783	5.87393e-29	2.97244e-15	-2.0477e-52	-2.643759999999999e-54	90.0963	1.5	15.0	5.4e-323	0.2	0.5	32.9073	1.2406400000000001e-29	-1.9882299999999997e-28	0.00205408	0.07	0.8	0	2720.7	2.5e-323	0.263521	0.155394	1087.44	-1.01232e-26	1.1788399999999998e-15	
42000	0.143791	1.3252799999999999e-40	7.36928e-18	-1.78614e-57	-2.2815599999999994e-59	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9105	-6.79901e-35	3.66064e-39	0.00205408	0.07	0.8	0	2720.84	-0.0	0.263521	0.144204	1176.54	-2.35944e-29	2.9225900000000004e-18	
48000	0.143798	-9.28176e-31	1.82757e-20	-6.626630000000001e-55	-8.07882e-57	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9131	-7.65818e-31	-2.93428e-29	0.00205408	0.07	0.8	0	2720.95	-1.5e-323	0.263521	0.135174	1259.5	-4.39503e-28	7.24799e-21	
54000	0.143804	-1.9178999999999997e-30	4.53196e-23	-3.43664e-51	-4.73709e-53	90.0963	1.5	15.0	2e-323	0.2	0.5	32.9152	-3.363859999999999e-30	2.8493999999999997e-28	0.00205408	0.07	0.8	0	2721.04	-0.0	0.263521	0.12768800000000002	1337.44	9.1211e-27	1.7988e-23	
60000	0.143809	-9.97055e-31	1.1302200000000002e-25	3.6305299999999995e-52	4.64602e-54	90.0963	1.5	15.0	-0.0	0.2	0.5	32.917	1.1702699999999999e-30	-3.24599e-29	0.00205408	0.07	0.8	0	2721.12	-0.0	0.263521	0.12135	1411.17	7.184689999999999e-28	5.9527e-26	
66000	0.14381300000000002	-2.7226099999999994e-38	2.8145699999999997e-28	-2.21629e-57	-2.8310499999999993e-59	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9186	-3.2228e-32	-3.08753e-37	0.00205408	0.07	0.8	0	2721.19	-0.0	0.263521	0.115895	1481.31	6.812569999999999e-29	-4.96613e-27	
72000	0.143816	1.2293299999999999e-30	5.7223e-28	7.75924e-55	1.0295e-56	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9199	1.13832e-31	5.7057e-29	0.00205408	0.07	0.8	0	2721.25	5e-324	0.263521	0.111134	1548.34	-1.79827e-28	5.48876e-27	
78000	0.14382	2.05882e-37	-5.84332e-30	-9.404869999999999e-59	-1.2013899999999998e-60	90.0963	1.5	15.0	0.0	0.2	0.5	32.9211	1.6408099999999997e-32	6.392559999999999e-36	0.00205408	0.07	0.8	0	2721.3	0.0	0.263521	0.106932	1612.63	1.5073699999999998e-30	-1.4027399999999999e-27	
84000	0.143822	2.2342099999999998e-38	-1.12286e-31	1.04473e-58	1.3344999999999997e-60	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9222	-3.63e-30	6.757989999999999e-37	0.00205408	0.07	0.8	0	2721.34	1.5e-323	0.263521	0.10318699999999999	1674.51	-1.5042599999999999e-27	-1.0982700000000001e-26	
90000	0.143825	-7.61019e-31	-2.95176e-27	1.4129899999999998e-55	1.67067e-57	90.0963	1.5	15.0	2e-323	0.2	0.5	32.9231	-4.55827e-29	1.41201e-28	0.00205408	0.07	0.8	0	2721.39	-1.5e-323	0.263521	0.0998228	1734.22	-1.63158e-26	-4.7429400000000006e-26	
96000	0.143827	-2.0444199999999997e-31	-5.21641e-29	1.88221e-51	2.09982e-53	90.0963	1.5	15.0	2.2e-322	0.2	0.5	32.924	-2.37411e-29	2.53646e-28	0.00205408	0.07	0.8	0	2721.42	2.1e-322	0.263521	0.096778	1791.97	-1.29434e-26	6.20463e-26	
102000	0.14382899999999998	1.03804e-36	5.0311199999999994e-30	-3.61443e-55	-4.6171999999999994e-57	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9248	4.83561e-34	3.08807e-35	0.00205408	0.07	0.8	0	2721.46	-0.0	0.263521	0.0940054	1847.95	-5.701449999999999e-29	-2.6661599999999997e-27	
108000	0.143831	1.54803e-40	-1.76249e-31	-1.1497799999999998e-58	-1.4686899999999997e-60	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9255	1.4927e-34	4.678899999999999e-39	0.00205408	0.07	0.8	0	2721.49	-5e-324	0.263521	0.09146660000000001	1902.3	6.16188e-29	-3.54011e-27	
114000	0.143833	1.7985699999999998e-47	1.22942e-33	-1.9353199999999997e-62	-2.4721199999999996e-64	90.0963	1.5	15.0	0.0	0.2	0.5	32.9262	-3.33735e-31	1.51494e-45	0.00205408	0.07	0.8	0	2721.52	0.0	0.263521	0.0891306	1955.17	-1.8090299999999999e-28	-1.04834e-27	
120000	0.143835	2.1003399999999996e-47	-1.08728e-34	-2.1932999999999994e-64	-2.80165e-66	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9268	-7.793689999999998e-34	6.37484e-46	0.00205408	0.07	0.8	0	2721.54	0.0	0.263521	0.0869716	2006.67	3.66017e-29	8.12402e-27	
126000	0.143836	1.2291e-50	-2.56421e-35	2.7538199999999996e-66	3.5176399999999996e-68	90.0963	1.5	15.0	-5e-324	0.2	0.5	32.9274	-2.48373e-30	-2.8944699999999992e-49	0.00205408	0.07	0.8	0	2721.57	-0.0	0.263521	0.08496849999999999	2056.9	-7.79528e-28	-4.2812999999999995e-26	
132000	0.14383800000000002	-1.8857400000000002e-56	-2.32152e-36	1.8253599999999994e-70	2.3316599999999993e-72	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9279	4.2011e-32	-1.7003799999999998e-55	0.00205408	0.07	0.8	0	2721.59	-0.0	0.263521	0.0831033	2105.95	-1.6767400000000001e-28	-6.6222e-26	
138000	0.14383900000000002	2.0077199999999998e-60	-2.67875e-37	-7.940959999999999e-73	-1.0143499999999998e-74	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9284	1.1959399999999999e-35	6.071679999999999e-59	0.00205408	0.07	0.8	0	2721.61	0.0	0.263521	0.08136089999999999	2153.9	2.0911899999999998e-29	2.8285899999999997e-27	
144000	0.14384	-4.818249999999999e-66	-2.19584e-38	-7.07902e-77	-9.042499999999999e-79	90.0963	1.5	15.0	0.0	0.2	0.5	32.9289	2.53069e-36	-1.4936599999999998e-64	0.00205408	0.07	0.8	0	2721.63	-0.0	0.263521	0.0797284	2200.82	7.143259999999999e-31	1.6020099999999998e-27	
150000	0.143841	4.97822e-65	-2.0945199999999997e-39	5.594119999999999e-77	7.145749999999998e-79	90.0963	1.5	15.0	2e-323	0.2	0.5	32.9293	-8.43178e-30	1.3972499999999998e-63	0.00205408	0.07	0.8	0	2721.65	1.5e-323	0.263521	0.0781947	2246.77	-2.6959799999999998e-27	-8.068919999999999e-26	
156000	0.143843	-3.901849999999999e-67	-1.95989e-40	-1.8956899999999998e-78	-2.4214899999999997e-80	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9297	1.8100899999999998e-31	-1.23049e-65	0.00205408	0.07	0.8	0	2721.67	-0.0	0.263521	0.07675019999999999	2291.81	1.60337e-28	1.65471e-27	
162000	0.143844	-4.6409399999999986e-67	-4.12726e-42	2.1669099999999997e-79	2.767939999999999e-81	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9301	4.08054e-31	-2.0374599999999997e-66	0.00205408	0.07	0.8	0	2721.69	0.0	0.263521	0.07538660000000001	2335.99	-4.891669999999999e-28	-1.6601400000000002e-26	
168000	0.143845	-2.4416399999999994e-69	8.79579e-43	1.1193e-81	1.4297599999999997e-83	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9305	-1.73236e-30	9.639039999999998e-68	0.00205408	0.07	0.8	0	2721.7	0.0	0.263521	0.0740966	2379.37	-7.039660000000001e-28	-1.86885e-26	
174000	0.143846	3.298769999999999e-70	-8.64248e-44	4.282549999999999e-81	5.4703899999999986e-83	90.0963	1.5	15.0	0.0	0.2	0.5	32.9308	1.7146e-30	-7.49535e-69	0.00205408	0.07	0.8	0	2721.72	-5e-324	0.263521	0.0728738	2421.98	8.40398e-28	4.42997e-26	
180000	0.143846	3.0491199999999995e-69	-4.60803e-44	-2.5048099999999994e-80	-3.199559999999999e-82	90.0963	1.5	15.0	-1e-323	0.2	0.5	32.9311	-1.7697e-30	4.0471499999999993e-69	0.00205408	0.07	0.8	0	2721.73	-1e-323	0.263521	0.07171260000000002	2463.86	-1.5839699999999999e-27	-6.3893999999999995e-27	
186000	0.143847	6.800429999999999e-71	8.752139999999999e-45	6.964129999999999e-82	8.895749999999999e-84	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9315	5.36871e-31	3.727199999999999e-71	0.00205408	0.07	0.8	0	2721.74	-0.0	0.263521	0.070608	2505.05	1.88649e-28	-1.9172699999999999e-28	
192000	0.143848	-2.2191599999999995e-69	-1.92497e-45	-7.016339999999999e-80	-8.962439999999998e-82	90.0963	1.5	15.0	1.5e-323	0.2	0.5	32.9318	1.2710499999999998e-28	3.9759e-69	0.00205408	0.07	0.8	0	2721.76	1.3e-322	0.263521	0.06955549999999999	2545.58	3.7105900000000005e-26	3.0016900000000003e-25	
198000	0.143849	-1.1278799999999997e-68	5.83622e-46	-3.215849999999999e-79	-4.107819999999999e-81	90.0963	1.5	15.0	1.04e-322	0.2	0.5	32.9321	6.55831e-28	1.97272e-68	0.00205408	0.07	0.8	0	2721.77	6.47e-322	0.263521	0.0685511	2585.48	1.6614300000000002e-25	-7.67849e-25	
204000	0.14385	-2.3964699999999994e-73	2.8979299999999994e-47	2.13587e-81	2.7282799999999997e-83	90.0963	1.5	15.0	0.0	0.2	0.5	32.9323	-2.32878e-31	-7.700929999999998e-72	0.00205408	0.07	0.8	0	2721.78	0.0	0.263521	0.0675913	2624.79	-9.105499999999999e-28	-3.80371e-25	
210000	0.14385	6.189009999999999e-76	5.90928e-49	-6.891709999999998e-83	-8.803239999999998e-85	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9326	2.81544e-31	2.4244099999999995e-74	0.00205408	0.07	0.8	0	2721.79	-0.0	0.263521	0.066673	2663.52	7.74158e-29	-4.7285699999999994e-27	
216000	0.143851	3.1057499999999995e-78	-1.04583e-48	-2.46502e-84	-3.1487299999999994e-86	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9328	1.75681e-31	1.0603799999999998e-76	0.00205408	0.07	0.8	0	2721.8	-0.0	0.263521	0.06579310000000001	2701.7	4.32893e-29	9.55681e-27	
222000	0.143852	-2.549489999999999e-77	-1.09343e-49	-1.1517899999999999e-84	-1.4712599999999997e-86	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9331	-3.3587199999999996e-30	-7.791099999999999e-76	0.00205408	0.07	0.8	0	2721.81	-5e-324	0.263521	0.0649491	2739.35	-8.39833e-28	-3.4146599999999995e-26	
