6620t02ime	AcanmRNA	ADAMTS5	AGEprod	Alk1	Alk1_Alk5	Alk5	Alk5_dimer	Bax	Bax_Bcl2	Bax_Bcl2_Beclin	Bax_Bcl2_Beclin_I	Bcl2	Bcl2_Beclin	Bcl2_Beclin_I	Beclin	Beclin_I	Caspase_A	Caspase_I	Col2mRNA	DamP	IkB	IkB_NFkB	IL1	Lys_A	Lys_I	MMP13	MMP2	NFkB	NFkB_P	p38	p38_P	proMMP13	proMMP2	RAGE	ROS	Runx2_A	Runx2_I	Smad1	Smad1_P	Smad1_P_Smad4	Smad2	Smad2_P	Smad2_P_Smad4	Smad4	Smad7	SOD	Sox9	Sox9_A	Sox9mRNA	Tgfb_A	Tgfb_Alk1_Alk5	Tgfb_Alk1_Alk5_Smad7	Tgfb_Alk5_dimer	Tgfb_Alk5_dimer_Smad7	AggFrag	Aggrecan	Aggrecan_Collagen2	ColFrag	Collagen2	Integrin	Tgfb_I	IntegrinCount	nnamed: 6
0	0.0	0.0	0.0	500.0	0.0	500.0	0.0	0.0	90.0	10.0	0.0	30.0	25.0	0.0	75.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	0.0	40.0	360.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	2.0	0.0	100.0	600.0	0.0	0.0	600.0	0.0	0.0	600.0	0.0	2.0	100.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000	0.0	0.0	0.0	200.0	0.0	
20	1.3064e-16	4.80435e-10	2e-05	403.62300000000005	96.3768	133.477	135.072	0.00399339	91.1958	8.8002	9.79068e-09	25.0323	28.0935	1.4579799999999998e-08	73.1063	7.173e-07	0.00026869	99.9997	2.0477000000000002e-14	0.03926	4.79469e-08	99.99600000000001	2.3525300000000002e-07	39.9991	360.001	1.04027e-14	1.6258500000000003e-18	0.00397763	9.35038e-06	99.6394	0.360632	3.07436e-11	4.80516e-12	2.0345500000000002e-07	1.98725	2.3652e-10	100.0	600.0	6.918689999999999e-09	7.46049e-10	600.0	2.77645e-08	6.23734e-09	600.0	2.01676e-13	1.9604	99.9999	1.0182000000000002e-11	9.98022	1.13789e-05	1.3741199999999999e-07	2.66599e-20	3.00823e-07	2.36809e-24	1.6256499999999999e-15	3.1741900000000008e-22	1000	2.63533e-37	1.6256499999999999e-15	7.96013e-06	200.0	8e-06	
40	1.63512e-14	1.38535e-08	4e-05	385.457	114.54299999999999	79.8725	152.791	0.00475896	92.0498	7.945460000000001	3.4358400000000004e-08	21.0038	30.5669	5.095940000000001e-08	71.4876	1.38727e-06	0.00090774	99.9991	1.21355e-12	0.07708279999999999	6.88139e-07	99.9921	3.3208300000000004e-06	39.998000000000005	360.00199999999995	6.089850000000001e-13	9.519850000000001e-17	0.00788377	6.55831e-05	99.3475	0.65252	8.864569999999999e-10	1.38582e-10	8.580580000000001e-07	1.9755200000000002	1.6389e-08	100.0	600.0	1.0969000000000001e-07	2.41629e-08	600.0	3.70833e-07	1.71139e-07	600.0	1.17514e-11	1.9215799999999998	99.9996	5.997029999999999e-10	9.96048	3.39037e-05	1.1051e-06	2.70361e-17	2.25922e-06	2.23594e-21	9.517430000000001e-14	8.352110000000001e-20	1000	1.8298e-33	9.5175e-14	1.58411e-05	200.0	1.6e-05	
60	2.38111e-13	9.485110000000001e-08	5.9999999999999995e-05	381.963	118.037	63.1565	159.40200000000002	0.00564026	92.6646	7.32981	6.84726e-08	17.7204	32.5554	1.01163e-07	70.1148	2.0293400000000005e-06	0.0017399000000000002	99.9983	1.13527e-11	0.11352899999999999	3.1191900000000003e-06	99.9881	1.48393e-05	39.9968	360.00300000000004	6.34903e-12	9.92643e-16	0.0116948	0.00019423200000000002	99.1115	0.888531	6.06956e-09	9.49006e-10	2.07635e-06	1.9646700000000001	1.6860700000000002e-07	100.0	600.0	4.76055e-07	1.57173e-07	600.0	1.46517e-06	1.0098100000000001e-06	600.0	1.0798100000000002e-10	1.8835400000000002	99.9991	5.57333e-09	9.94078	5.9668100000000006e-05	3.28943e-06	1.17296e-15	6.648389999999999e-06	9.55147e-20	9.9226e-13	1.89127e-18	1000	3.02175e-31	9.92271e-13	2.3643600000000002e-05	200.0	2.4e-05	
80	1.48066e-12	3.60674e-07	8e-05	382.81699999999995	117.18299999999999	56.5716	163.121	0.00664886	93.1121	6.88126	1.08788e-07	15.0309	34.1612	1.6000499999999998e-07	68.9576	2.65586e-06	0.00265369	99.9973	5.15387e-11	0.14865499999999998	8.813430000000001e-06	99.9842	4.1431300000000004e-05	39.9956	360.004	3.26757e-11	5.1091900000000005e-15	0.015402899999999999	0.000404591	98.9209	1.07913	2.3081900000000002e-08	3.60929e-09	4.00191e-06	1.95459	8.14598e-07	100.0	600.0	1.2569499999999999e-06	5.45272e-07	600.0	3.6632599999999995e-06	3.29466e-06	600.0	4.812030000000001e-10	1.84625	99.9985	2.51287e-08	9.92112	8.62708e-05	6.72552e-06	1.4862700000000002e-14	1.37167e-05	1.2172e-18	5.10653e-12	1.61271e-17	1000	1.0807499999999999e-29	5.1066e-12	3.13684e-05	200.0	3.2e-05	
100	5.85478e-12	9.941899999999999e-07	0.0001	384.98800000000006	115.012	53.4973	165.743	0.00779573	93.4416	6.55063	1.53178e-07	12.8183	35.4625	2.24063e-07	67.9869	3.27466e-06	0.00357937	99.9964	1.5979399999999998e-10	0.182514	1.92132e-05	99.9803	8.9455e-05	39.9943	360.006	1.14274e-10	1.78691e-14	0.0190104	0.000695735	98.7672	1.2328299999999999	6.36338e-08	9.95081e-09	6.782910000000001e-06	1.94518	2.63421e-06	100.0	600.0	2.56957e-06	1.36024e-06	600.0	7.25196e-06	7.89924e-06	600.0	1.4639499999999999e-09	1.80971	99.9976	7.736360000000001e-08	9.901489999999999	0.000112975	1.1352100000000001e-05	9.85727e-14	2.3552600000000002e-05	8.19302e-18	1.78573e-11	8.15408e-17	1000	1.6730099999999999e-28	1.78576e-11	3.90165e-05	200.0	4e-05	
120	1.75145e-11	2.2370099999999998e-06	0.00011999999999999999	387.44300000000004	112.557	51.78	167.829	0.00909054	93.6868	6.30409	2.0029399999999998e-07	10.9913	36.5197	2.91061e-07	67.1762	3.89069e-06	0.004474199999999999	99.9955	3.92381e-10	0.215156	3.55385e-05	99.9764	0.000164261	39.9929	360.00699999999995	3.1312400000000003e-10	4.89647e-14	0.022525	0.00106084	98.6434	1.35655	1.43207e-07	2.2394500000000002e-08	1.0556300000000001e-05	1.93635	6.65779e-06	100.0	600.0	4.50883e-06	2.77834e-06	600.0	1.24878e-05	1.57233e-05	600.0	3.5264699999999997e-09	1.7739099999999999	99.9966	1.88612e-07	9.881910000000001	0.000139547	1.70971e-05	4.40418e-13	3.6194e-05	3.72977e-17	4.89257e-11	2.98267e-16	1000	1.5259399999999999e-27	4.89265e-11	4.65884e-05	200.0	4.8e-05	
140	4.34095e-11	4.37751e-06	0.00014	389.824	110.176	50.6377	169.59099999999998	0.010540899999999999	93.8712	6.1182099999999995	2.49288e-07	9.47781	37.3799	3.5949500000000003e-07	66.5019	4.50702e-06	0.00531315	99.9947	8.24156e-10	0.246629	5.8681099999999996e-05	99.9726	0.000269882	39.9915	360.009	7.253089999999999e-10	1.1342100000000001e-13	0.0259572	0.00149013	98.5441	1.45593	2.80296e-07	4.3831699999999995e-08	1.54394e-05	1.9280400000000002	1.42639e-05	100.0	600.0	7.1576899999999985e-06	4.9706400000000006e-06	600.0	1.96126e-05	2.7664099999999998e-05	600.0	7.265279999999999e-09	1.7388400000000002	99.9954	3.93293e-07	9.86237	0.00016590599999999998	2.38981e-05	1.51099e-12	5.16593e-05	1.30576e-16	1.13315e-10	8.76238e-16	1000	9.66764e-27	1.13317e-10	5.40849e-05	200.0	5.6000000000000006e-05	
160	9.40145e-11	7.737200000000001e-06	0.00016	392.01599999999996	107.984	49.7701	171.12099999999998	0.012151200000000001	94.0113	5.9766	2.9962e-07	8.22066	38.08	4.28395e-07	65.9434	5.125459999999999e-06	0.00608291	99.9939	1.54855e-09	0.276976	8.916129999999999e-05	99.9687	0.000408974	39.99	360.01	1.48618e-09	2.32402e-13	0.0293181	0.00197283	98.4645	1.53554	4.95541e-07	7.748789999999999e-08	2.15268e-05	1.92019	2.7165300000000002e-05	100.0	600.0	1.05928e-05	8.100080000000001e-06	600.0	2.88593e-05	4.46059e-05	600.0	1.3389200000000001e-08	1.70448	99.994	7.33586e-07	9.84286	0.000192025	3.1704e-05	4.2951099999999995e-12	6.99567e-05	3.7887499999999997e-16	2.3215e-10	2.1984400000000003e-15	1000	4.69381e-26	2.3215400000000003e-10	6.15069e-05	200.0	6.4e-05	
180	1.8402500000000002e-10	1.26573e-05	0.00018	393.995	106.005	49.0558	172.467	0.0139221	94.1184	5.8677	3.50948e-07	7.17398	38.6494	4.97162e-07	65.4829	5.747e-06	0.00677786	99.9932	2.6774000000000003e-09	0.306242	0.000127129	99.9649	0.000582916	39.9885	360.01199999999994	2.7737899999999998e-09	4.3373800000000003e-13	0.0326185	0.00249833	98.4009	1.59911	8.108790000000001e-07	1.26789e-07	2.88897e-05	1.91277	4.73923e-05	100.0	600.0	1.48871e-05	1.23214e-05	600.0	4.04531e-05	6.74153e-05	600.0	2.2705599999999997e-08	1.67081	99.9924	1.25905e-06	9.82339	0.00021789299999999998	4.04728e-05	1.06114e-11	9.108719999999999e-05	9.55177e-16	4.33204e-10	4.8984299999999994e-15	1000	1.8607200000000002e-25	4.3321199999999996e-10	6.88551e-05	200.0	7.2e-05	
