time	IkBat	IkBa	IkBan	IkBaIKK	IkBaNFkB	IkBaNFkBn	IkBaIKKNFkB	NFkB	IKK	NFkBn	IkBbIKK	IkBbIKKNFkB	IkBbNFkBn	IkBbNFkB	IkBbn	IkBb	IkBbt	IkBet	IkBe	IkBen	IkBeNFkB	IkBeNFkBn	IkBeIKKNFkB	IkBeIKK	alues[Total_IkBalpha	alues[Total_IkBbeta	alues[Total_IkBeps	nnamed: 2
0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.06	0.03	0.01	
80	0.011272200000000001	0.018755599999999997	0.00101234	5.2487799999999996e-05	0.053593100000000005	0.00022773400000000003	0.00044671800000000003	3.7072e-05	0.000326425	0.00625424	1.9822e-06	0.00012308	4.66405e-05	0.0293514	0.00010373299999999999	0.0022502	0.00187968	0.00134112	0.00160192	7.38447e-05	0.00983942	3.32006e-05	4.73953e-05	1.91235e-06	0.074088	0.0318771	0.0115977	
160	0.012411799999999999	0.022090099999999998	0.00181534	6.36155e-05	0.056406500000000005	0.00018788	0.00045149999999999997	3.38846e-05	0.000313692	0.00284647	2.5588999999999998e-06	0.00011881200000000001	3.8745700000000004e-05	0.029588099999999996	0.000187115	0.00291516	0.0023699000000000003	0.00169088	0.00207638	0.000133275	0.0102532	2.7596999999999997e-05	4.73501e-05	2.47175e-06	0.08101489999999999	0.0328505	0.0125402	
240	0.011967700000000001	0.021267400000000002	0.00182691	6.12206e-05	0.0563044	0.000171896	0.00045139400000000004	3.38231e-05	0.000314084	0.00259669	2.7321499999999998e-06	0.000119225	3.8655e-05	0.0296712	0.000205733	0.00308828	0.00249775	0.0017820999999999998	0.00219995	0.000146554	0.0105364	2.7535900000000002e-05	4.87037e-05	2.6402299999999997e-06	0.0800832	0.0331259	0.012961799999999999	
320	0.011849799999999999	0.0210237	0.00179552	6.0571099999999993e-05	0.0558644	0.00017099	0.00044896	3.37906e-05	0.00031484	0.00262867	2.78427e-06	0.000119987	3.96293e-05	0.0297889	0.000208178	0.00313329	0.00253109	0.00180589	0.00223212	0.000148304	0.010826299999999999	2.8231500000000002e-05	5.01674e-05	2.6910700000000004e-06	0.0793641	0.033292699999999995	0.013287799999999999	
400	0.011824700000000002	0.020972499999999998	0.00179006	6.05024e-05	0.0554556	0.000170559	0.000446389	3.3701399999999996e-05	0.000315346	0.00263002	2.80101e-06	0.0001207	3.9812e-05	0.029916900000000003	0.00020896	0.0031451	0.00253979	0.0018120999999999999	0.00224061	0.000148866	0.011106399999999999	2.83625e-05	5.15538e-05	2.7076299999999997e-06	0.0788956	0.0334343	0.0135785	
480	0.0118155	0.020955500000000002	0.00179059	6.0531899999999996e-05	0.0550842	0.000170075	0.00044398800000000003	3.36074e-05	0.000315768	0.0026218000000000005	2.8082499999999998e-06	0.00012135600000000001	3.9768099999999996e-05	0.0300385	0.00020937	0.00314825	0.00254206	0.00181371	0.00224291	0.00014916200000000002	0.0113656	2.83319e-05	5.28335e-05	2.7149799999999997e-06	0.0785049	0.03356	0.0138415	
560	0.011809	0.0209443	0.00179189	6.05722e-05	0.05474540000000001	0.00016962099999999998	0.000441784	3.35198e-05	0.000316148	0.00261289	2.8128199999999997e-06	0.00012195600000000001	3.96844e-05	0.0301501	0.00020964	0.00314914	0.00254265	0.00181414	0.00224359	0.000149357	0.0116028	2.8272899999999998e-05	5.4006800000000006e-05	2.71971e-06	0.0781535	0.0336733	0.014080700000000002	
640	0.0118035	0.0209347	0.00179319	6.06113e-05	0.0544364	0.000169207	0.00043976800000000005	3.34397e-05	0.000316496	0.00260465	2.8164599999999994e-06	0.000122505	3.95992e-05	0.0302518	0.000209853	0.00314943	0.0025428	0.00181425	0.00224384	0.000149512	0.0118194	2.8212800000000002e-05	5.5080299999999995e-05	2.7235300000000002e-06	0.0778339	0.033776	0.0142988	
720	0.0117985	0.0209261	0.00179438	6.06474e-05	0.0541549	0.00016883	0.00043792699999999996	3.33665e-05	0.00031681200000000003	0.00259712	2.8196499999999998e-06	0.000123005	3.95195e-05	0.0303442	0.00021003799999999998	0.00314956	0.00254284	0.00181428	0.00224397	0.000149646	0.0120169	2.81565e-05	5.60615e-05	2.72688e-06	0.0775428	0.0338691	0.0144975	
