time	x2	x6	x5	x7	x8	x16	x15	x9	x11	x10	x12	x29	x30	x39	x46	x40	x45	x41	x44	x18	x17	x14	x22	x32	x13	x20	x21	x23	x27	x24	x25	x34	x36	x42	x37	x47	x48	x52	x51	x50	x53	x54	x55	x60	x59	x57	x61	x62	x63	x65	x68	x35	x28	x31	x56	x43	x58	x4	x26	x49	x33	x64	x19	x38	x66	x67	nnamed: 6
0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	85.0	19000.0	0.0	0.0	67.0	0.0	0.0	0.0	67.0	41667.0	0.0	0.0	0.0	67.0	0.0	35000.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	16667.0	0.0	
14000	6.07974	0.944542	0.15546500000000002	0.17828	0.015537899999999999	0.000249138	94.4352	928.7360000000001	0.09620480000000001	4.18773	0.000650698	23.8327	0.0652126	0.00130122	0.283879	0.00096866	0.318666	0.00739805	0.521304	0.994692	48.2172	0.0157115	0.673832	0.28068200000000004	3.3180400000000003	16.7607	9.16798	53.263000000000005	4.35497	0.108886	0.41091099999999997	51.016000000000005	9028.86	0.556645	4.3726199999999995	64.6139	0.76572	0.278496	0.0698558	66.7215	16.0647	0.00352506	4790.27	0.237519	0.11068	36132.3	31.6632	7.84927	1105.08	16596.7	418.629	0.33567600000000003	2.38207	0.604539	1.26847	1.4113799999999999	66.6518	0.0972273	0.9538200000000001	9964.04	2.18233	652.341	0.788127	31.1676	60.6117	16187.8	
28000	6.0799199999999995	0.598816	0.098522	0.0716712	0.0115152	0.000183682	93.9446	945.7260000000001	0.0726026	3.6215699999999997	0.000417055	13.1384	0.0264152	0.0009597910000000001	0.217383	0.000720797	0.24513000000000001	0.00571257	0.404306	0.8660129999999999	48.5405	0.0123285	0.515072	0.11513	2.48183	11.6107	7.628239999999999	54.8517	3.10705	0.07769019999999999	0.290066	51.0637	6394.75	0.30442800000000003	2.3794299999999997	65.0984	0.48871400000000004	0.152332	0.0381375	66.8477	53.2561	0.00637988	8411.67	0.46240299999999995	0.122707	32474.8	39.264	8.7482	1225.88	16469.6	466.574	0.309589	2.0412	0.24933400000000003	1.2160600000000001	1.36338	66.4149	0.0615946	0.615957	12600.7	3.3980599999999996	650.396	0.593499	31.6126	60.8974	16139.5	
42000	6.07996	0.447258	0.0735804	0.039982300000000005	0.00916018	0.000145915	93.8574	956.7810000000001	0.058429199999999994	3.2286599999999996	0.000295764	9.15372	0.014597999999999998	0.000755951	0.171449	0.000568505	0.194027	0.00453321	0.322414	0.775397	48.7509	0.0101953	0.404952	0.06430409999999999	1.9723700000000002	8.36005	6.47046	55.9519	2.28198	0.0570576	0.209006	51.0969	5037.24	0.19029400000000002	1.4832	65.35	0.327906	0.09520219999999999	0.023814500000000002	66.9048	150.155	0.0112324	13202.1	0.8490260000000001	0.14355	27589.3	54.567	10.3288	1435.37	16247.2	550.874	0.291517	1.7661	0.139398	1.19181	1.19376	66.0074	0.045998199999999996	0.43658900000000006	13959.6	4.00036	646.977	0.473703	31.9975	61.4067	16054.7	
56000	6.079969999999999	0.357192	0.0587602	0.025501	0.00766989	0.000122105	93.8322	963.5210000000001	0.0492677	2.9491400000000003	0.000226203	6.945810000000001	0.0092577	0.000628862	0.142738	0.000473315	0.161918	0.00378787	0.270435	0.710331	48.8933	0.00878738	0.335798	0.041054400000000005	1.64555	6.4621900000000005	5.68676	56.643	1.7856900000000002	0.0446476	0.161652	51.1176	4226.65	0.133419	1.03831	65.4912	0.23928200000000002	0.06674010000000001	0.0166878	66.9333	353.20099999999996	0.0185146	18457.0	1.4649299999999998	0.17716500000000002	22134.5	85.2143	12.9408	1773.47	15882.3	690.185	0.280036	1.57135	0.08902489999999999	1.16756	1.05328	65.3579	0.03673169999999999	0.334683	14770.9	4.35994	641.325	0.39636	32.259	62.2689	15914.5	
70000	6.07998	0.297722	0.0489754	0.0177166	0.00664332	0.00010573200000000001	93.8268	968.044	0.042873800000000004	2.7386	0.00018193900000000002	5.5557	0.00640574	0.000542201	0.123126	0.000408305	0.139904	0.00327533	0.234525	0.66101	48.9965	0.00778879	0.288414	0.0285378	1.4189399999999999	5.23303	5.1157	57.1165	1.45811	0.0364566	0.13094	51.1318	3694.12	0.10082999999999999	0.783939	65.5816	0.185494	0.0504343	0.0126076	66.9496	761.204	0.0301459	23848.2	2.52021	0.23588800000000001	16340.9	157.88299999999998	17.7006	2363.66	15226.6	944.063	0.272096	1.42537	0.0618882	1.13975	0.9424549999999999	64.2439	0.0306142	0.269491	15303.9	4.599480000000001	631.0219999999999	0.342493	32.4468	63.9074	15659.0	
84000	6.0799900000000004	0.25559	0.0420435	0.0130571	0.00589153	9.375260000000001e-05	93.8287	971.2919999999999	0.0381495	2.57293	0.000151588	4.60694	0.00470643	0.00047921300000000003	0.108858	0.000361006	0.123846	0.00290081	0.208181	0.622017	49.0752	0.00704104	0.253871	0.021037599999999997	1.25241	4.37753	4.6774	57.4618	1.2271	0.030680400000000004	0.109547	51.1421	3320.86	0.08027719999999999	0.623672	65.6503	0.150285	0.0401524	0.0100358	66.9598	1613.69	0.050870599999999995	28872.2	4.5962	0.355344	10476.9	393.096	28.2557	3553.03	13818.3	1507.08	0.266264	1.31112	0.0456228	1.09839	0.854361	62.0485	0.026280500000000002	0.224514	15677.4	4.77095	608.154	0.30278299999999997	32.588	67.8706	15092.0	
98000	6.0799900000000004	0.22419099999999997	0.0368779	0.0100461	0.00531588	8.45852e-05	93.8332	973.738	0.034508699999999996	2.43824	0.00012961600000000001	3.92133	0.0036121	0.000431261	0.0979918	0.000324974	0.11159100000000001	0.00261463	0.18798399999999998	0.590202	49.1375	0.00645814	0.227527	0.0161871	1.1247	3.75043	4.32811	57.7251	1.0561200000000002	0.0264053	0.0938597	51.1499	3046.78	0.06638560000000002	0.515289	65.7227	0.125865	0.03320530000000001	0.00829862	66.9668	3642.24	0.0949436	32264.4	9.64349	0.667192	5097.96	1819.16	63.6271	6379.25	9624.8	3394.35	0.261789	1.21876	0.0351027	1.0149700000000001	0.783095	56.6893	0.0230512	0.19175799999999998	15951.7	4.9001	531.314	0.27225	32.6981	85.1435	13187.5	
112000	6.0799900000000004	0.199889	0.032879900000000004	0.00798625	0.00485997	7.73272e-05	93.8387	975.65	0.031611	2.32595	0.000113043	3.4043900000000002	0.00286543	0.000393456	0.0894222	0.000296553	0.10191	0.00238839	0.171972	0.563604	49.1884	0.00598953	0.20673699999999998	0.012866800000000001	1.02348	3.27247	4.04175	57.9329	0.92484	0.023122900000000002	0.0819	51.156000000000006	2838.35	0.0564928	0.43781499999999995	65.8365	0.108144	0.028261200000000004	0.00706247	66.9717	8865.98	0.196686	30753.1	21.2488	1.54234	1719.75	20642.0	243.555	644.748	8.67343	12992.7	0.258239	1.14222	0.027901099999999998	0.8233219999999999	0.724382	44.2088	0.0205519	0.166917	16160.3	5.00111	18.1161	0.248004	32.7865	3224.08	450.185	
126000	6.0799900000000004	0.180519	0.0296933	0.00651346	0.00448922	7.14264e-05	93.8443	977.187	0.029245499999999997	2.23048	0.000100133	3.0016700000000003	0.00233273	0.00036282800000000004	0.082478	0.000273518	0.0940555	0.00220472	0.158942	0.540936	49.2308	0.00560356	0.189886	0.010491799999999999	0.9411709999999999	2.89696	3.80174	58.1014	0.821092	0.020528900000000003	0.07250219999999999	51.161	2675.44	0.0491551	0.380094	65.9929	0.09480039999999999	0.0245924	0.00614531	66.9754	18822.6	0.36334299999999997	22247.2	36.4354	3.65564	441.63199999999995	29984.2	90.8518	65.668	0.0619154	4846.97	0.255347	1.07752	0.0227498	0.518258	0.675199	26.9089	0.0185599	0.147478	16323.4	5.08242	0.47381999999999996	0.228256	32.8592	11808.3	11.7683	
