time	CYCDcdk4	CYCDcdk4p27	CYCEcdk2p27	E2F	aCYCEcdk2	aCYCEcdk20	aCYCEcdk21	iCYCEcdk2	p27	pRB	pRBE2F
0.0.	0.0	0.0	1.0	0.0	0.0	5.0	0.01	0.01	15.0	0.05	1.9500000000000002
5.0.	0.0009440056152280001	0.0030975986756440004	0.9932427423022571	0.012149413761006	0.001139006449913	3.808053841605717	0.022456976188045003	0.04756954191281	14.761742859049004	0.130409370569378	1.9374711758422911
10.0.	0.0010910345312520001	0.006589965703667	0.9875719938770391	0.039341230977688005	0.0011511320977650001	3.08808767286763	0.05144704255531601	0.21553271683347802	14.523109826596068	0.209336606940027	1.908325135190589
15.0.	0.001205294825033	0.010312296153771001	0.981993721451976	0.08084041344572601	0.0011644883459180002	2.654044119454659	0.09736435199054601	0.601012978169568	14.286236666244367	0.286136168638342	1.8621171944824662
20.0.	0.0012877544327200001	0.014125049837932	0.9766527952640661	0.134823910914701	0.001179641022069	2.392668642571218	0.15942795000687002	1.274154067567139	14.050936573085258	0.360384871549351	1.7995925978179121
25.0.	0.0013444587475400002	0.01791452064309	0.9717335318981831	0.19861495311414	0.001197189144195	2.235374683048867	0.23583629921245802	2.282940828089961	13.816890340792309	0.43184547245646604	1.7225325161048701
30.0.	0.0013824949183180002	0.021600279308661003	0.967449990753903	0.269056181434769	0.001217749548633	2.140724494466519	0.32408520835959603	3.65081255951986	13.583652913883542	0.5004134209376381	1.6334344680561381
35.0.	0.001407894498673	0.025131319688523	0.9640361820423601	0.342867308486045	0.0012419491977660002	2.083736956021923	0.42129866699349705	5.37702024710977	13.350673068620535	0.566070653495632	1.535178422344001
40.0.	0.001425083312274	0.028478447044522	0.9617373154168961	0.416929216003024	0.0012704252352690002	2.049377501040344	0.524511425903011	7.4391307017283514	13.117316296490152	0.6288525958862861	1.430740593341953
45.0.	0.0014370574358040001	0.031627071411418003	0.960802749300887	0.488479788855304	0.001303831662106	2.028608606461849	0.630882615472893	9.79690729997535	12.882885160537905	0.688826876080815	1.32297631346037
50.0.	0.001445753949899	0.034571752498315005	0.9614808842526911	0.555228735677956	0.001342851284452	2.016001937819497	0.7378412216326311	12.396857186395838	12.646634986516679	0.74608033946074	1.2144715866292541
55.0.	0.001452392759914	0.037312491391777	0.964015954336167	0.6154066072880541	0.0013882119204720001	2.008298568891618	0.843172938111557	15.176884375584677	12.407784670465933	0.8007113048250021	1.107454005312035
60.0.	0.001457731172605	0.039852354491974	0.968646510018464	0.667764435571179	0.001440706431116	2.003542493854441	0.945060255136787	18.07065106980921	12.165523137983246	0.8528248868379551	1.003751208120953
65.0.	0.0014622362759360002	0.042196003338172	0.975605326974684	0.711538946828248	0.0015012167758620002	2.000559818742911	1.042087334493115	21.011394109618706	11.9190121596693	0.902530015621228	0.9047852603164511
70.0.	0.0014661960061670002	0.044348804716813	0.985120485099205	0.7463959627904361	0.001570742962224	1.9986459797682001	1.133219927719489	23.93506077802451	11.66738614970754	0.949937362386929	0.8115925754702491
75.0.	0.0014697887588000001	0.046316299956146	0.997417414962075	0.7723621125775301	0.001650438489508	1.997377992762777	1.2177689910043221	26.782717696456903	11.409749402013338	0.9951577504094891	0.724860577875024
80.0.	0.001473126332632	0.048103891731113006	1.012721787539517	0.7897526180448721	0.0017416547741910002	1.996501790268035	1.295345005091642	29.50225105267909	11.145171008921924	1.038300849234606	0.644973952486472
85.0.	0.0014762801860720002	0.04971666033144	1.031263218293905	0.7991007980186791	0.0018459982283640002	1.9958646297707552	1.365808442191657	32.04941959364093	10.872677476214836	1.079474068813186	0.572064911992195
90.0.	0.001479297416635	0.051159255500412004	1.053279866958871	0.801093115665734	0.001965405362672	1.995374546999742	1.42922040096879	34.38834757748301	10.591242789784028	1.118781627888578	0.506063355370654
95.0.	0.0014822104745170002	0.052435830975216	1.079024145095098	0.796512088026564	0.00210224385124	1.99497603415919	1.485796194943848	36.49155694364866	10.29977538344886	1.156323793598969	0.44674405406675405
100.0.	0.0014850430835700002	0.05355000147448501	1.108769908090588	0.786188185865441	0.002259451516669	1.994635450266439	1.5358636492958762	38.33963975875915	9.997101068414219	1.192196293546975	0.393769057034458
105.0.	0.0014878138842430002	0.054504809218475	1.142821731736709	0.770960956314775	0.0024407316962890002	1.994332268091945	1.5798270394056542	39.92066654734451	9.681940452197601	1.226489897618212	0.34672434905426003
110.0.	0.0014905387256210002	0.055302691077872	1.181527199726727	0.7516489683126291	0.0026508343062010002	1.9940538206483271	1.6181369810192021	41.22941595702851	9.35287859596836	1.259290160332996	0.30515043753619603
115.0.	0.001493232179585	0.055945439254569004	1.225293635567144	0.729027771707331	0.00289597065943	1.9937921450055591	1.6512661361187662	42.26649835187961	9.008323454148687	1.2906773084563041	0.26856700182511
120.0.	0.001495908642329	0.056434148554215004	1.2746115441974522	0.7038148323185901	0.0031844436938570004	1.993542081740944	1.679690304142576	43.03743185014046	8.646447680741456	1.320726254253384	0.23649204249711703
125.0.	0.0014985832754270002	0.056769141905621004	1.330088461078285	0.676660315511119	0.003527638169367	1.993300124137316	1.703874296750413	43.55171493649138	8.265105047978736	1.3495067124783091	0.208456145215376
130.0.	0.001501272993717	0.05694986240494201	1.392499496893178	0.6481426025355661	0.003941639280115	1.993063711923952	1.7242619187370392	43.8219253558439	7.861706752066599	1.377083398732968	0.184012552249765
135.0.	0.0015039977256720001	0.056974713627252004	1.4628658083353772	0.618767506254087	0.004450007163226	1.992830783359988	1.741269374701285	43.862859898097156	7.433031616664883	1.403516287826976	0.162743738699652
140.0.	0.0015067822774410002	0.056840817528643006	1.542582262885402	0.5889702843113851	0.005088817046769001	1.9925994681660462	1.755281474443743	43.69071155982128	6.9749215858263565	1.428860912740984	0.144265136660116
145.0.	0.0015096594073760001	0.056543634649829005	1.633637558941024	0.559119721191855	0.005916505448777001	1.992367839385279	1.76665011670186	43.322252909854285	6.481764900005092	1.453168687304601	0.12822654267407202
150.0.	0.0015126754091250002	0.056076338827680004	1.739023078240993	0.5295237900409381	0.007034999020812001	1.9921336506209681	1.775694719350195	42.77393861345909	5.945552605330633	1.47648723833541	0.114311553698814
155.0.	0.0015159013968060002	0.055428714480119004	1.863571501765934	0.5004368311648101	0.00864117274621	1.9918939566689082	1.78270466470926	42.060695078730866	5.353979088680625	1.4988607352712702	0.102234974957274
160.0.	0.001519459589996	0.05458500611262	2.015935291259641	0.47206931954959	0.011177132396548	1.99164439805776	1.787944995824013	41.19369060064972	4.686049411214684	1.520330206271805	0.09173697596635501
165.0.	0.001523599168447	0.053519011851077006	2.2143779117407822	0.444605980889391	0.015915868471111	1.9913774827211181	1.791671517930202	40.174311440752106	3.899494573968756	1.540933825377883	0.082567859041696
170.0.	0.0015290186645690001	0.052179267356907005	2.511873906047095	0.418271560544468	0.028965660514131002	1.991076882142793	1.794196380119408	38.96693338391702	2.8775117418471483	1.560707118108879	0.074422427564512
175.0.	0.0015408416646970002	0.050395980028590005	3.317804939236524	0.394682896485746	0.324742913312622	1.990676484982456	1.797266483357581	36.926940478329556	0.765891620445132	1.579682342046989	0.06556240903520401
