time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	2.020245132790964	3161.001573673217	1180503.5879613836	723.1362563772917
3.0.2.0	1.30230262939691	4197.352215038132	1651939.8309722042	1026.8927967487077
4.0.800000000000001.0	1.03711702909691	4318.738788549788	1728289.5546573782	1092.8897228721241
6.0.4.0	0.9162698397631661	4169.310899446113	1676523.4837598698	1074.1451573728543
8.0.	0.8429984585014181	3948.688963793407	1590163.5423738053	1025.6791671730311
9.0.600000000000001.0	0.7869308889170541	3717.995746956632	1497919.5341974613	967.3370722885275
11.0.200000000000001.0	0.7384139051416561	3495.2851852638146	1408336.18984493	906.7991397599432
12.0.8.0	0.694271695903646	3285.284455626822	1323712.236747064	847.3206500077513
14.0.4.0	0.653362395508233	3088.654232216639	1244435.046514514	790.3762294520185
16.0.	0.615191443099093	2904.8647217160587	1170327.5217702643	736.6291093103132
17.0.6.0	0.579478210236639	2733.0834681862207	1101064.3755107957	686.3295821550889
19.0.200000000000003.0	0.546019770756699	2572.4447680116136	1036298.9033357651	639.5027263961537
20.0.8.0	0.5146473308985411	2422.1272508664147	975699.9001738222	596.0482374534646
22.0.400000000000002.0	0.485211633298805	2281.3723756732165	918960.8605045481	555.7980273005737
24.0.	0.45757750135767206	2149.485121879743	865800.7878965007	518.5508517988932
25.0.6.0	0.43162133849496903	2025.8296843582898	815962.6130975961	484.093348792332
27.0.200000000000003.0	0.40722964348413304	1909.8241141676644	769211.0704048586	452.2126633305176
28.0.8.0	0.384297925421662	1800.9350848450633	725330.5892104147	422.7037646484307
30.0.400000000000002.0	0.36272981500580503	1698.6731035606924	684123.3549021637	395.3734049279337
32.0.	0.34243629905072903	1602.5882205317116	645407.5685872282	370.041971195195
33.0.6.0	0.32333504721363104	1512.2662106611608	609015.8975679963	346.5440391893344
35.0.2.0	0.305349814279526	1427.3251807148217	574794.0984201635	324.72815151975703
36.0.800000000000004.0	0.288409906880067	1347.412553178174	542599.793085417	304.45615525725253
38.0.400000000000006.0	0.272449706119967	1272.2023813777892	512301.3796020765	285.60231159790226
40.0.	0.25740823911882704	1201.3929553288633	483777.0610133075	268.05231022831026
41.0.6.0	0.24322879355910101	1134.7046627095604	456913.9779767645	251.7022690237488
43.0.2.0	0.22985857017618602	1071.8780739209465	431607.4324449078	236.45776617619413
44.0.800000000000004.0	0.217248368818784	1012.6722242476965	407760.19143295876	222.23293045413274
