time	A	E	G	R
0.0.	1.0	0.0	100000000.0	0.0
1.0.6.0	3.212454677039284	5133.709157451212	1902374.5681565518	1267.148617873925
3.0.2.0	2.094091358152081	6762.814871701238	2662259.251611094	1840.1703492986433
4.0.800000000000001.0	1.689304600016393	6970.0816199108385	2788158.4551492836	1991.0161368989598
6.0.4.0	1.507283894763937	6759.280789664603	2716213.953136425	1981.660955774894
8.0.	1.396752731076405	6436.621538764932	2590206.6723065902	1910.5292665663549
9.0.600000000000001.0	1.31126255815901	6094.776536537517	2453718.7545807664	1814.892928297999
11.0.200000000000001.0	1.236424290850552	5761.196734224843	2319719.2556446204	1710.3642343485737
12.0.8.0	1.167651264416189	5443.434527736701	2191835.4561254354	1604.3128811017273
14.0.4.0	1.1033633922429	5142.994706041865	2070852.9679350457	1500.5356248937646
16.0.	1.042912193310764	4859.5724250561425	1956704.1275476662	1401.0473966214372
17.0.6.0	0.9859462484279491	4592.352330647573	1849077.3530103941	1306.8734439889104
19.0.200000000000003.0	0.9322162427156461	4340.407147565394	1747604.1116439174	1218.4548500486392
20.0.8.0	0.8815143085346461	4102.819117191875	1651915.9924758237	1135.8805282016995
22.0.400000000000002.0	0.8336545179346531	3878.7155080675493	1561661.5568346055	1059.028929923323
24.0.	0.788466073268671	3667.277202052612	1476510.6069305239	987.6572911519511
25.0.6.0	0.7457904869830351	3467.7387597089414	1396154.4768758055	921.4583369452042
27.0.200000000000003.0	0.705480071144828	3279.3858159633246	1320305.0726768	860.0961362337108
28.0.8.0	0.667396902430198	3101.551724138962	1248693.5504679263	803.228421580893
30.0.400000000000002.0	0.6314119953563171	2933.6141035736573	1181068.9348704584	750.5201001650219
32.0.	0.5974045924564341	2774.991523093569	1117196.7840483654	701.6510533917766
33.0.6.0	0.5652615358448051	2625.140401546622	1056857.938994068	656.3202650709227
35.0.2.0	0.534876703138611	2483.5521480640537	999847.3681432543	614.247621640819
36.0.800000000000004.0	0.506150497481749	2349.750540224082	945973.1074622895	575.1742666151133
38.0.400000000000006.0	0.478989384343443	2223.2893276592677	895055.2914049386	538.8620854295791
40.0.	0.45330546932814403	2103.7500442812598	846925.2681557403	505.0926940663037
41.0.6.0	0.429016112242518	1990.7400109928856	801424.791939549	473.66617073673615
43.0.2.0	0.406043573402929	1883.8905110056623	758405.2852168799	444.39968155414863
44.0.800000000000004.0	0.38431468874380503	1782.8551208991694	717727.1639632664	417.12609320116655
46.0.400000000000006.0	0.363760570755051	1687.3081819214774	679259.2197639816	391.6926278740165
48.0.	0.34431633266364503	1596.9433975009115	642878.053041222	367.95959143960596
49.0.6.0	0.325920833599039	1511.472544390298	608467.5523135291	345.79919022698573
51.0.2.0	0.308516442756517	1430.6242862289735	575918.4149377184	325.0944421641444
52.0.800000000000004.0	0.292048820806793	1354.143079554962	545127.7052883217	305.73818205328115
54.0.400000000000006.0	0.27646671700088304	1281.7881634203002	515998.44678390765	287.6321573196004
56.0.	0.261721780592422	1213.33262475841	488439.24457392254	270.6862086891813
57.0.6.0	0.24776838534952902	1148.5625325315361	462363.9360568148	254.8175293706009
59.0.2.0	0.23456346605865402	1087.2761344591786	437691.2667143133	239.9499960527321
60.0.800000000000004.0	0.22206636603661803	1029.2831108064331	414344.5890223095	226.01356514023425
62.0.400000000000006.0	0.210238694766635	974.4038803054883	392251.5824403932	212.9437279691996
64.0.	0.199044194861576	922.4689538044606	371343.99269383855	200.68101917655665
65.0.60000000000001.0	0.188448617634756	873.3183316948231	351557.3887476002	189.17057287448077
67.0.2.0	0.17841960662658202	826.8009415701605	332830.9360350259	178.36172176630424
68.0.8.0	0.168926588495646	782.774112922244	315107.18464750267	168.2076348103707
70.0.4.0	0.159940670736367	741.103085991835	298331.8713177428	158.66498948033774
72.0.	0.15143454573290802	701.6605521667138	282453.73414111196	149.69367507847628
73.0.60000000000001.0	0.14338240070160602	664.3262235629436	267424.3390782568	141.25652393043524
75.0.2.0	0.13575983311219	628.9864296414905	253197.9173699876	133.3190676260517
76.0.80000000000001.0	0.128543771212134	595.5337389044699	239731.21307332898	125.849315772746
