time	A	I1	I2	S
0.0.	1800.0	5400.0	4500.0	15300.0
1.0.	4677.980219467934	17129.06688516493	3502.495581965414	180.81655215873857
2.0.	5108.269335797581	14434.272116550343	2757.8932419263692	215.28775979214524
3.0.	4732.128941821981	12553.920301485516	2189.9216518471458	248.76115727786944
4.0.	4223.334320805478	11243.377277972499	1759.1648897222224	279.4094373582208
5.0.	3776.369648807338	10331.539910864325	1434.1163509207609	305.96872369743465
6.0.	3428.7982324895165	9698.468372224464	1189.9337620900942	327.88317462752616
7.0.	3171.601817112993	9259.966109224286	1007.2396032757899	345.22634815304406
8.0.	2985.6429461014623	8956.932875739074	871.0511685226674	358.4928470282534
9.0.	2852.7571292763296	8747.955576832115	769.869271046784	368.37342962331945
10.0.	2758.3917802991464	8604.09937116919	694.9248729365783	375.58414844562725
11.0.	2691.6168918601843	8505.217442539279	639.5689114983048	380.76766232982976
12.0.	2644.4627650359107	8437.329852587533	598.7855212111475	384.4532747380804
13.0.	2611.20495550353	8390.765422525681	568.8083083127347	387.0533838264733
14.0.	2587.765354268316	8358.850696351645	546.8208795274439	388.8775825375586
15.0.	2571.252454407834	8336.990067549053	530.7251485570466	390.1524874900993
16.0.	2559.621933873901	8322.02380088704	518.9634513581865	391.0411321265423
17.0.	2551.4309837425	8311.782036832416	510.3829010600938	391.6594207490131
18.0.	2545.662436244518	8304.776079672802	504.1325769664033	392.0890822449938
19.0.	2541.5996779254388	8299.985313159028	499.5860180327939	392.3874249745123
20.0.	2538.7380398321784	8296.710434772944	496.2830715077816	392.5944798695763
21.0.	2536.7221870185635	8294.472529320357	493.88644858994184	392.73813642683075
22.0.	2535.3019507018685	8292.9437478568	492.1493904868418	392.83779105107067
23.0.	2534.301202735118	8291.89973780559	490.89168501378225	392.90691762218916
24.0.	2533.5959351565944	8291.187022122405	489.9819311665403	392.9548687340222
25.0.	2533.098828294306	8290.700642094012	489.3244598485361	392.9881331576243
26.0.	2532.7483889126415	8290.368841428337	488.84971216885265	393.01121148211615
