time	I1	I2	S
0.0.	50.0	0.0	4950.0
6.0.	113.80094932629139	5.35828554910926	4892.602263914204
12.0.	262.5746440196125	13.844168998203498	4746.515430888001
18.0.	582.6701242687421	31.70214964461033	4418.562094440378
24.0.	1187.323257247781	67.48120205885732	3785.6669207388513
30.0.	2094.1484777726323	128.03009498105766	2821.2681681445033
36.0.	3070.390760703616	206.89624806731314	1762.356519335164
42.0.	3803.2676875080742	282.4470513387853	942.5517670097557
48.0.	4211.7733087109045	337.02763973797187	461.7688605954829
54.0.	4396.090854252341	368.68026081409334	223.97602858498104
60.0.	4464.389164117994	384.1570459949664	116.1374072008755
66.0.	4479.982250327611	390.4824047998025	69.10305139441743
72.0.	4472.914033798548	392.22984958496266	48.88858118954451
78.0.	4456.330578442958	391.8460686159292	40.207348570939466
84.0.	4435.815922207781	390.51354256999593	36.43256219780801
90.0.	4413.71993530254	388.77231375720555	34.73579026695017
96.0.	4391.0295322930115	386.86109184972844	33.91770480743966
102.0.	4368.159232250329	384.8833773754648	33.47117031349447
108.0.	4345.283107829127	382.88352550007727	33.181996075650645
114.0.	4322.474113126829	380.8804001271537	32.95976160678812
120.0.	4299.762631908593	378.8819740148985	32.76630252219009
126.0.	4277.161112476643	376.89159058863993	32.58551039254165
132.0.	4254.674443560628	374.91063157863516	32.410584859560416
138.0.	4232.304327593472	372.9396490129305	32.238653542621535
144.0.	4210.051124802964	370.9788444566244	32.068501624781526
150.0.	4187.91463103006	369.02827162602676	31.899613765459147
156.0.	4165.894405857219	367.0879219821959	31.73176980338296
162.0.	4143.989911040578	365.15776087225964	31.56487415098792
168.0.	4122.2005689103125	363.23774278521154	31.398883802285074
174.0.	4100.5257870032865	361.32781779009713	31.23377795362633
180.0.	4078.9649684474803	359.4279342522853	31.069545184240916
186.0.	4057.517516334301	357.5380399789149	30.906178046622898
192.0.	4036.182835553965	355.6580827014237	30.743670783717892
198.0.	4014.9603335604706	353.78801027832964	30.58201836555223
