time	D_1	E_1	RS_1	R_1	X_1	theta_1
0.0.	0.0	0.0	0.0	0.0	0.0	0.0
4.0.1.0	0.273605134137062	0.694475226463519	0.004299807123718	0.048599605595147005	0.088360493019195	0.174768024863471
8.0.2.0	0.22328223488352703	1.3599312776578731	0.052954117840587005	0.183690694370821	0.199401547167249	0.27408050217919
12.0.299999999999999.0	0.145144033403487	1.847238027527042	0.165076088434223	0.33235645839476	0.299680084763059	0.283964656971324
16.0.4.0	0.118047528853345	2.097522730602082	0.308556607917128	0.48163660238634004	0.388781520607736	0.254978356479167
20.0.5.0	0.11181764568233601	2.148314480703455	0.45398144118203704	0.6245677440385391	0.458371464267293	0.22597284962928102
24.0.599999999999998.0	0.113136359087492	2.103207508096811	0.5897661103435611	0.7312706525857391	0.48192243837762905	0.210328031095037
28.0.699999999999996.0	0.11517732538632601	2.075027283250736	0.711887996153114	0.770680473449296	0.45914346201584705	0.21075939199356203
32.0.8.0	0.11486468904954401	2.091322400468087	0.8197374817987081	0.7500050900912211	0.44639802622469504	0.224459157432869
36.0.9.0	0.114056165248738	2.100352426071672	0.9151051006229071	0.7056146818026341	0.471891529519171	0.24502040677423703
41.0.	0.11539114464983301	2.061341804007758	1.000503027017051	0.663157085609785	0.5190097250053151	0.266759668005498
45.0.099999999999994.0	0.11926263284280401	1.984966970974682	1.077372090920684	0.625791094227866	0.556214870269635	0.287751704736395
49.0.199999999999996.0	0.12360356321262701	1.920411066178373	1.144347104409041	0.5838762099618	0.5606426600059691	0.31054633459298303
53.0.3.0	0.125892357931525	1.897283027126835	1.198777089565683	0.534439799776474	0.555611028169274	0.33812163783208804
57.0.39999999999999.0	0.126740886038477	1.884451099514533	1.241771421224932	0.49097950754985004	0.5814984944796551	0.36729415400584603
61.0.49999999999999.0	0.129196407169603	1.8351887906989741	1.279295777686368	0.46607404183726003	0.6370770047981621	0.390325707586095
65.0.6.0	0.134490533426798	1.753943379905477	1.315571759956972	0.45403312907222304	0.675925828519625	0.40497018070022506
69.0.69999999999999.0	0.139323989811579	1.707462557623559	1.346473041851971	0.43574821862010205	0.6513237781450121	0.41984185175709704
73.0.8.0	0.139271244877219	1.7298070972020398	1.36532513552627	0.40610554086960904	0.61964659918984	0.44296056333100503
77.0.89999999999999.0	0.13716338670824102	1.749395598846783	1.3767725749786681	0.38658854100830103	0.658886511922371	0.46533219285736405
82.0.	0.139743863310679	1.687390767005948	1.393844817046004	0.39078215504909203	0.7506691097043741	0.47180194674347503
86.0.1.0	0.148140158266224	1.580694828787905	1.418730435449544	0.40125171969579204	0.778220802486392	0.46609670982824103
90.0.19999999999999.0	0.15235247295411602	1.5812618299414112	1.434001753027797	0.383962215068381	0.6597527463420421	0.473815978669175
