time	Epo	EpoR	Epo_EpoR	Epo_EpoRi	dEpoe	dEpoi
0.0.	2030.19	516.0	0.0	0.0	0.0	0.0
3.0.	1800.8099600821365	298.90232168032134	202.92216043300704	25.904303097534935	0.46371952753195406	0.08985685978963301
6.0.	1680.2739837125232	205.0647000272121	270.36417993072115	76.0541820021204	2.9299129477856063	0.5677414068504151
9.0.	1604.3460550275447	162.24603955784852	286.3143410706736	129.97358746062406	8.004877972887922	1.5511384682702332
12.0.	1548.7067522250186	142.65645271126914	282.5347592482137	180.2535573654637	15.660358432750055	3.034572728555305
15.0.	1502.8985742036093	134.21778656791165	272.08518841348456	224.58852745599728	25.647824413379983	4.969885513530382
18.0.	1462.106020376973	131.32370342716635	260.39530559457404	262.72696623906256	37.6634957173751	7.298212072016766
21.0.	1424.0211594103694	131.26786697897398	249.59513124676607	295.19737511062823	51.413689896572215	9.962644335666052
24.0.	1387.5091055152989	132.70878477212202	240.3681715301726	322.76213374643606	66.63788862265285	12.912700585442312
27.0.	1352.0016937756295	134.96765810358443	232.7803222600417	346.188895191428	83.11378523664075	16.105303536262802
30.0.	1317.2108204994518	137.69471130295105	226.65607143188498	366.1637309194936	100.65503311971811	19.5043440294546
33.0.	1282.9893094648442	140.70652369712136	221.74742229874047	383.26703600294724	119.10647553424408	23.079756699226845
36.0.	1249.2620708037405	143.90520029450957	217.80651339867123	397.9759647939554	138.33893978748932	26.80651121614527
39.0.	1215.991499380729	147.23756091068321	214.6135971440004	410.67678133238854	158.2444395269293	30.663682615954784
42.0.	1183.1598322527059	150.67422559169182	211.98477196374222	421.6796760612064	178.73206481923944	34.63365490310803
45.0.	1150.7600246561472	154.19873386942575	209.77101626341957	431.23290255714886	199.72459233174743	38.701464191539294
48.0.	1118.7909593951604	157.8017913773955	207.85393669770733	439.5350869474954	221.15574856899786	42.85426839064136
51.0.	1087.254887778042	161.47817121455185	206.14069680784112	446.74546320247595	242.96802782989042	47.080924381752894
54.0.	1056.1560339582086	165.2250087852976	204.55918163710555	452.9921659089758	265.11096513885667	51.37165335685587
57.0.	1025.499813605266	169.04083900593258	203.05378835126257	458.3788461959634	287.5397748351463	55.71777701236442
60.0.	995.2923813773876	172.92503559425177	201.5819289230337	462.9899002575237	310.2142794490399	60.11150999301754
63.0.	965.5403569138463	176.87747225964452	200.11120145735535	466.89457767217056	333.0980673003837	64.54579665624676
66.0.	936.2506492234157	180.89830901080697	198.6171400058955	470.15019867436797	356.15782949676577	69.01418259955771
69.0.	907.430336142482	184.98785075958673	197.08144383494854	472.80466934640395	379.36283729037206	73.51071338579625
72.0.	879.0865750678083	189.1464488711466	195.49059426014887	474.8984470180986	402.6845291295359	78.02985452441126
75.0.	851.2265316715707	193.3744290223727	193.83477995715762	476.466076863833	426.09618344211196	82.56642806532936
78.0.	823.8573190392251	197.67203572803558	192.10706534437114	477.5373949410503	449.57265848654123	87.11556218881469
81.0.	796.9859428563045	202.03938782013861	190.30274920766445	478.1384721909487	473.0901847646504	91.67265098043448
84.0.	770.6192500794665	206.47644141846638	188.418871509205	478.2923574652309	496.6261987367563	96.23332220934373
87.0.	744.763879583248	210.98295825740203	186.45383520623233	478.01966468752227	520.1592091054591	100.7934114175404
90.0.	719.4262139121761	215.55847804022986	184.4071170680482	477.3390391175761	543.6686888946381	105.34894100756371
93.0.	694.6123316702748	220.20229399892372	182.27904717201045	476.26752977907495	567.1349880683473	109.89610331029479
96.0.	670.3279603466036	224.91343116782048	180.07064124179803	474.8208889612209	590.5392626083617	114.43124684201774
99.0.	646.5784295618053	229.69062710276455	177.78347349916973	473.01381492780575	613.8634168756573	118.95086513556414
102.0.	623.3686248577037	234.53231493278764	175.41958043465667	470.86015026177745	637.090056780062	123.4515876658022
105.0.	600.7029422572517	239.43660874201606	172.98138802842806	468.37304540012707	660.202451820231	127.93017249396426
108.0.	578.5852439052114	244.40129135869614	170.4716566032387	465.56509468700773	683.1845044691877	132.38350033535642
111.0.	557.0188151661896	249.42380468392997	167.89343877294957	462.4484505475235	706.0207256970452	136.80856981629438
114.0.	536.0063236086711	254.50124272968307	165.2500469462206	459.0349200482722	728.6962156639445	141.2024937328939
117.0.	515.5497803427234	259.630347556721	162.54502762111665	455.3360470766224	751.1966487996564	145.56249615988327
120.0.	495.65050420532714	264.8075083101315	159.7821403136154	451.363182571762	773.5082626248446	149.88591028445282
123.0.	476.3090893006985	270.02876354415224	156.96533944101867	447.1275446250801	795.6178497729097	154.1701768602948
126.0.	457.52537640311476	275.28980701002274	154.09875786067286	442.640269795587	817.5127527486588	158.4128431919685
129.0.	439.29842871626903	280.58599705128256	151.18669106876462	437.91245662718086	839.1808610170185	162.6115625707689
132.0.	421.6265124558467	285.91236971121936	148.23358131122703	432.95520208496464	860.6106100566271	166.76409409133646
135.0.	404.50708268085026	291.2636556080109	145.2440010625466	427.77963142923693	881.7909820432772	170.868302784091
138.0.	387.93677474457394	296.63430057576454	142.22263549860534	422.39692190400626	902.7115078500167	174.9221600027997
141.0.	371.9114016688203	302.01849000563885	139.17426373400144	416.81832052076305	923.3622700667246	178.9237440096925
144.0.	356.4259576661511	307.41017675231126	136.10373871781002	411.0551561589339	943.7339067541993	182.87124070290778
147.0.	341.4746279463388	312.80311239927136	133.01596578804282	405.11884617476676	963.817615657856	186.76294443299776
150.0.	327.05080484679735	318.1908816040218	129.91587997644953	399.0208977044124	983.6051586153338	190.59725885700888
153.0.	313.14711022507714	323.56693917364737	126.80842223313034	392.77290385962885	1003.0888659016961	194.3726977804695
156.0.	299.7554239472665	328.9246494548341	123.69851480538759	386.3865350414299	1022.2616402662895	198.08788593962856
159.0.	286.8669182023129	334.257327562701	120.59103605759191	379.8735256341968	1041.1169604272916	201.74155967860875
162.0.	274.4720972719151	339.5582819220336	117.49079505859437	373.24565638668713	1059.6488838039604	205.3325674788458
165.0.	262.5608422917604	344.8208575547142	114.40250629034682	366.51473283373343	1077.85204828283	208.85987030133194
168.0.	251.12246045535605	350.0384795200074	111.33076484593025	359.6925601602263	1095.7216728327046	212.3225417057852
171.0.	240.1457380390709	355.20469590113663	108.28002248735325	352.7909149544911	1113.253556804173	215.71976771491376
174.0.	229.61899656844056	360.3132197330029	105.25456492374259	345.8215143389809	1130.444077772428	219.05084639641004
177.0.	219.5301514029188	365.3579692821432	102.25849064967883	338.79598300024446	1147.2901878070313	222.31518714012788
180.0.	209.86677199016913	370.3331061207267	99.29569165251203	331.7258186656749	1163.7894080786398	225.5123096130048
183.0.	200.61614303212724	375.23307048059894	96.36983625790752	324.6223565903138	1179.9398217400576	228.64184237959427
186.0.	191.76532581325844	380.05261342967816	93.48435433625222	317.4967336221146	1195.7400650468953	231.70352118147918
189.0.	183.30121896591413	384.7868254795001	90.64242504071929	310.35985240815165	1211.1893167109783	234.69718687423682
192.0.	175.21061798713123	389.43116130718334	87.84696719269456	303.2223462873118	1226.287285506944	237.6227830259189
195.0.	167.4802728738389	393.9814603550797	85.1006323738774	296.09454538748486	1241.0341961787103	240.48035318608834
198.0.	160.09694330707467	398.4339631543272	82.40580072861579	288.98644440800444	1255.43077371708	243.2700378392253
201.0.	153.04745088805964	402.78532330183384	79.76457942670385	281.9076725222333	1269.4782261023179	245.99207106068562
204.0.	146.3187280072893	407.0326151014585	77.17880368755169	274.8674657821819	1283.178225625682	248.64677689729538
207.0.	139.89786300959335	411.17333695703854	74.65004022265772	267.87464234848824	1296.53288892123	251.23456549803123
210.0.	133.7721414009124	415.20541067550755	72.17959291569743	260.9375808067333	1309.5447558536325	253.7559290230247
213.0.	127.92908292403622	419.12717690103256	69.7685105289995	254.06420176666748	1322.2167674189866	256.2114373613104
216.0.	122.35647440868502	422.9373869546867	67.41759620208563	247.2619528762323	1334.552242823692	258.6017336893051
219.0.	117.04239837435937	426.63519139784785	65.12741849237717	240.53779731891845	1346.5548559113884	260.9275299029571
222.0.	111.97525743094164	430.22012567089723	62.898323699906996	233.89820580247306	1358.2286111098101	263.1896019568687
225.0.	107.14379458106573	433.69209318186176	60.730449216457714	227.34915199056329	1369.5778190684157	265.38878514349767
228.0.	102.53710957911487	437.05134623274313	58.623737644329914	220.89611127775424	1380.607072153967	267.5259693448348
231.0.	98.14467154401376	440.298465175011	56.5779514401203	214.54406276288944	1391.3212199651987	269.6020942877786
234.0.	93.95632805672818	443.43433618097197	54.592687853570666	208.29749423721972	1401.7253450196154	271.6181448328664
237.0.	89.962310998799	446.4601280054769	52.6673939497919	202.16040997172928	1411.8247387555825	273.5751463240977
240.0.	86.15323940577693	449.37726809384054	50.801381524032834	196.1363410631328	1421.6248779816362	275.47416002542116
243.0.	82.52011961970733	452.18741836809875	48.9938417407487	190.22835807984876	1431.131401892637	277.31627866705793
246.0.	79.0543430285858	454.89245099603005	47.243859352192295	184.43908573758245	1440.3500897593253	279.1026221223145
249.0.	75.74768167879004	457.49442441685284	45.550426375354895	178.77071932854244	1449.2868393843876	280.83433323292513
252.0.	72.5922820397435	459.99555986528526	43.91245512918425	173.22504262820866	1457.9476464045335	282.5125737983295
255.0.	69.5806571893427	462.39821860267034	42.32879055607387	167.80344700832126	1466.3385845045864	284.13852074167437
258.0.	66.70567767481386	464.7048800310136	40.798221772236204	162.50695149371253	1474.4657865964527	285.7133624627847
261.0.	63.96056128743337	466.91812083376146	39.31949281043857	157.3362235130268	1482.3354270032037	287.2382953858986
264.0.	61.338861971666546	469.04059525658323	37.891312535491956	152.29160010859513	1489.953704676592	288.7145207076563
267.0.	58.83445807038449	471.0750166127653	36.51236372772985	147.37310938806806	1497.3268274651555	290.143241348665
270.0.	56.441540088463526	473.0241400714364	35.18131134246386	142.58049201923953	1504.4609974398506	291.5256591099862
