time	EpoR	SAv	SAv_EpoR	SAv_EpoRi	dSAve	dSAvi
0.0.	76.0	999.293	0.0	0.0	0.0	-6.162975822039156e-33
0.0.6.0	75.89677905574557	999.188757076796	0.103220944254427	0.001017977466959	3.351959479329138e-06	6.495231170394366e-07
1.0.2.0	75.79613920575952	999.0850943146569	0.20386079424043801	0.004013225425502	2.6525684897910132e-05	5.139992187478567e-06
1.0.7999999999999998.0	75.69801608879116	998.9820104976853	0.301983911208809	0.008899873406409001	8.855753737265261e-05	1.7160162008621242e-05
2.0.4.0	75.60234694755096	998.8795042001633	0.39765305244903704	0.015594857067277002	0.00020765261110500003	4.0237709333345236e-05
3.0.	75.50907058890635	998.7775737961616	0.490929411093637	0.024017836335396003	0.00040121191046800004	7.774449908713148e-05
3.0.5999999999999996.0	75.41812734490519	998.67621746882	0.581872655094782	0.03409111561183	0.0006858587696670001	0.000132901703815
4.0.2.0	75.32945903477088	998.5754332193187	0.670540965229087	0.045739566181892004	0.001077464497476	0.000208784772971
4.0.8.0	75.24300892784456	998.4752188755477	0.7569910721554041	0.05889055077192001	0.0015911732688330001	0.00030832825626200003
5.0.3999999999999995.0	75.15872170745062	998.3755721004867	0.8412782925493161	0.07347385019477701	0.002241426284217	0.00043433048511300003
6.0.	75.07654343566263	998.2764904003012	0.92345656433732	0.089421592028258	0.003041985217071	0.0005894581161740001
6.0.6.0	74.9964215189468	998.1779711321653	1.003578481053138	0.106668181271986	0.004005954969028	0.0007762505406900001
7.0.199999999999999.0	74.91830467466193	998.0800115118166	1.081695325338007	0.12515023292986702	0.005145805752145001	0.0009971241634700002
7.0.8.0	74.84214289839363	997.9826086208552	1.157857101606292	0.144806506466509	0.006473394516839001	0.001254376555066
8.0.4.0	74.76788743210275	997.8857594137909	1.232112567897196	0.165577842087394	0.007999985743729001	0.0015501904806970001
9.0.	74.6954907330671	997.7894607248468	1.304509266932841	0.187407098793885	0.009736271617085	0.001886637809338
9.0.6.0	74.6249064435974	997.6937092745285	1.375093556402521	0.21023909416545	0.011692391597121	0.002265683306329
10.0.2.0	74.55608936150757	997.5985016759644	1.443910638492357	0.23402054582271603	0.013877951407906002	0.0026891883127380003
10.0.799999999999999.0	74.48899541132074	997.5038344410228	1.5110045886792	0.258700014526199	0.016302041457208	0.0031589143146530003
11.0.4.0	74.42358161619288	997.4097039862168	1.576418383807072	0.28422784886673	0.018973254704149	0.0036765264054710004
12.0.	74.35980607053587	997.316106638397	1.640193929464051	0.31055613150474703	0.021899703990147002	0.004243596644183
12.0.6.0	74.2976279133229	997.2230386402456	1.702372086677011	0.33763862691677005	0.025089038848149003	0.004861607312578
13.0.2.0	74.2370073020587	997.1304961555716	1.7629926979412152	0.36543073060844306	0.028548461804820003	0.005531954074176001
13.0.799999999999999.0	74.1779053873986	997.0384752744164	1.82209461260133	0.39388941975461506	0.032284744189916004	0.006255949037681001
14.0.399999999999999.0	74.12028428839989	996.9469720179777	1.8797157116000451	0.422973205227955	0.036304241466687	0.0070348237276170004
15.0.	74.06410706838994	996.8559823433499	1.935892931610007	0.452642084978629	0.040612908096807	0.007869731964765
15.0.6.0	74.00933771143546	996.7655021480952	1.9906622885644842	0.48285749872853406	0.045216311952937	0.008761752658948001
16.0.2.0	73.95594109939826	996.6755272746456	2.044058900601703	0.5135822839445551	0.050119648291693006	0.009711892516629001
16.0.8.0	73.90388298956245	996.5860535145412	2.096117010437494	0.544780633056246	0.055327753299428004	0.010721088665733
17.0.4.0	73.85312999281945	996.4970766125125	2.146870007180464	0.57641805188424	0.060845117222915	0.011790211200037001
18.0.	73.80364955239628	996.4085922704078	2.196350447603615	0.6084613192466061	0.066675897096685	0.012920065645396
18.0.599999999999998.0	73.75540992311396	996.3205961509746	2.244590076885934	0.6408784477111851	0.072823929078455	0.01411139535003
19.0.2.0	73.70838015116273	996.2330838814956	2.291619848837155	0.673638645462853	0.079292740403768	0.01536488380103
19.0.8.0	73.66253005438132	996.1460510572865	2.3374699456185892	0.706712279255411	0.08608556097068301	0.016681156869162002
20.0.4.0	73.61783020302731	996.05949324506	2.382169796972571	0.7400708384186311	0.093205334565024	0.018060784984040002
21.0.	73.57425190102711	995.9734059861576	2.425748098972757	0.7736868998917881	0.10065472973645001	0.019504285241618003
21.0.599999999999998.0	73.53176716769265	995.8877847996561	2.468232832307233	0.8075340942557121	0.10843615033529501	0.021012123445965
22.0.2.0	73.49034871989384	995.802625185351	2.509651280106049	0.841587072736197	0.116551745719895	0.022584716087178002
22.0.8.0	73.44996995467534	995.7179226266225	2.550030045324556	0.8758214751522571	0.12500342064379702	0.024222432257266002
23.0.4.0	73.41060493230628	995.6336725931852	2.589395067693598	0.910213898783491	0.133792844832058	0.025925595505791002
24.0.	73.37222835975251	995.549870543729	2.627771640247353	0.944741868131428	0.142921462255535	0.027694485636988002
24.0.599999999999998.0	73.3348155745605	995.4665119284484	2.665184425439356	0.9793838055504571	0.15239050011184502	0.029529340450038
25.0.2.0	73.2983425291429	995.3835921914731	2.70165747085696	1.014119002724546	0.16220097752145002	0.031430357424148
25.0.8.0	73.26278577545563	995.3011067731923	2.737214224544233	1.048927592966599	0.17235371394706	0.033397695350011004
26.0.4.0	73.22812245005677	995.2190511124857	2.7718775499430652	1.083790524317934	0.18284933734435302	0.03543147590921
27.0.	73.19433025953785	995.1374206488575	2.805669740461984	1.118689533425928	0.19368829205176702	0.037531785203050005
27.0.599999999999998.0	73.16138746631789	995.0562108244806	2.838612533681962	1.153607120178489	0.204870846426936	0.039698675232304005
28.0.2.0	73.12927287479158	994.9754170861511	2.870727125208261	1.188526523074572	0.21639710023709002	0.041932165329283004
28.0.799999999999997.0	73.09796581782273	994.8950348871585	2.902034182177125	1.223431695310485	0.22826699181058702	0.044232243543618
29.0.4.0	73.06744614357389	994.8150596890723	2.932553856425943	1.258307281562336	0.240480304956516	0.046598867983097
30.0.	73.0376942026646	994.7354869634496	2.962305797335236	1.293138595445402	0.253036675659119	0.04903196811087401
30.0.599999999999998.0	73.00869083564916	994.6563121934637	2.991309164350679	1.327911597631795	0.26593559855362303	0.051531446000316006
31.0.2.0	72.98041736080677	994.5775308754603	3.019582639193103	1.362612874608263	0.279176433189849	0.054097177548731
31.0.799999999999997.0	72.95285556223561	994.4991385204386	3.047144437764265	1.397229618056428	0.292758410089831	0.056729013651177
32.0.4.0	72.92598767824391	994.4211306554649	3.074012321755973	1.431749604838288	0.306680636605469	0.059426781335522004
33.0.	72.89979639002996	994.343502825018	3.100203609969933	1.4661611775702061	0.32094210258210304	0.062190284859899005
33.0.6.0	72.87426481064435	994.2662505922682	3.125735189355562	1.500453225769121	0.335541685833715	0.06501930677366101
34.0.199999999999996.0	72.84937647422714	994.1893695402943	3.150623525772757	1.5346151675550952	0.350478157435313	0.067913608942905
34.0.8.0	72.82511532551338	994.1128552732396	3.174884674486502	1.568636931894767	0.365750186837894	0.07087293354162201
35.0.4.0	72.80146570959991	994.0367034174088	3.19853429039998	1.6025089413706999	0.38135634681124303	0.073897004009483
36.0.	72.77841236196718	993.9609096223086	3.221587638032708	1.636222095461981	0.39729511821966	0.07698552597725
36.0.6.0	72.75594039874984	993.885469561632	3.24405960125005	1.669767754321867	0.41356489463558804	0.08013818816078101
37.0.199999999999996.0	72.7340353072496	993.8103789341907	3.26596469275031	1.703137723038607	0.430163986795963	0.08335466322455201
37.0.8.0	72.71268293668449	993.7356334647972	3.287317063315425	1.7363242363659812	0.447090626905968	0.086634608615615
38.0.4.0	72.69186948916875	993.661228905095	3.308130510831166	1.7693199439104341	0.46434297279476006	0.089977667368871
39.0.	72.67158151091732	993.5871610343432	3.328418489082587	1.8021178957620472	0.481919111927588	0.093383468884514
39.0.6.0	72.65180588366957	993.5134256601558	3.348194116330321	1.834711528556923	0.499817065278628	0.09685162967848601
40.0.199999999999996.0	72.63252981632671	993.4400186191925	3.367470183673179	1.8670946519589022	0.518034791068699	0.10038175410675201
40.0.8.0	72.61374083679753	993.3669357778127	3.386259163202381	1.899261435548859	0.53657018837195	0.10397343506417801
41.0.4.0	72.59542678404732	993.2941730326833	3.404573215952609	1.931206396110126	0.555421100595453	0.10762625465879301
42.0.	72.577575800345	993.2217263113487	3.4224241996549463	1.9629243852989091	0.5745853188355661	0.11133978486215701
42.0.6.0	72.5601763237033	993.1495915727635	3.439823676296637	1.994410577688882	0.5940605851147861	0.11511358813658801
43.0.199999999999996.0	72.54321708050746	993.0777648077858	3.456782919492478	2.025660459179391	0.6138445955027291	0.118947218039921
43.0.8.0	72.52668707832738	993.0062420396375	3.473312921672548	2.0566698157570382	0.633935003124772	0.12284021980850901
44.0.4.0	72.51057559890914	992.935019324328	3.489424401090821	2.087434722600642	0.6543294210617661	0.12679213091910801
45.0.	72.49487219134078	992.8640927510469	3.505127808659169	2.117951533519893	0.6750254251441741	0.13080248163031602
45.0.6.0	72.47956666538887	992.7934584425232	3.520433334611067	2.148216870718233	0.6960205566438601	0.134870795504163
46.0.199999999999996.0	72.46464908500067	992.7231125553551	3.535350914999261	2.178227614870782	0.7173123248666771	0.138996589908496
46.0.8.0	72.45010976196842	992.6530512803108	3.549890238031534	2.207980895508377	0.7388982096489051	0.14317937650071702
47.0.4.0	72.43593924975139	992.5832708425986	3.564060750248606	2.237474081699004	0.7607756637605231	0.147418661693481
48.0.	72.4221283374519	992.5137675021126	3.577871662548088	2.266704773018184	0.782942115218189	0.15171394710288802
48.0.6.0	72.40866804394163	992.4445375536512	3.591331956058349	2.29567079080007	0.8053949695107271	0.156064729979727
49.0.199999999999996.0	72.39554961213398	992.3755773271087	3.60445038786601	2.324370169661245	0.82813161173986	0.16047050362429102
49.0.8.0	72.38276450339926	992.3068831876458	3.617235496600726	2.35280114928944	0.851149408678821	0.164930757785289
50.0.4.0	72.37030439211917	992.2384515358348	3.629695607880821	2.380962166489577	0.8744457107514231	0.169444979043333
51.0.	72.35816116037677	992.1702788077835	3.641838839623213	2.408851847479797	0.8980178539340681	0.17401265117950002
51.0.6.0	72.34632689277896	992.1023614752361	3.65367310722104	2.436469000430261	0.9218631615831371	0.17863325552943302
52.0.199999999999996.0	72.33479387140774	992.0346960456566	3.665206128592272	2.4638126082377863	0.945978946190109	0.18330627132343902
52.0.8.0	72.32355457089751	991.9672790622884	3.676445429102513	2.490881821529517	0.9703625110666981	0.18803117601302202
53.0.4.0	72.31260165363489	991.9001071041994	3.6873983463651463	2.517675951889032	0.9950111519622201	0.19280744558429103
54.0.	72.30192796507818	991.8331767863057	3.698072034921873	2.544194465298469	1.019922158615369	0.19763455485865
54.0.6.0	72.29152652919343	991.7664847593794	3.708473470806605	2.5704369757904333	1.045092816242471	0.20251197778118502
55.0.199999999999996.0	72.28139054400438	991.7000277100395	3.71860945599565	2.596403239303617	1.070520406964279	0.20743918769714
55.0.8.0	72.27151337725303	991.6338023607269	3.728486622746998	2.622093147736214	1.096202211173254	0.212415657616862
56.0.4.0	72.26188856216854	991.5678054696644	3.738111437831483	2.647506723191407	1.122135508843279	0.21744086046958802
57.0.	72.25250979334152	991.5020338308022	3.747490206658503	2.672644112409329	1.148317580783652	0.222514269346436
57.0.599999999999994.0	72.24337092270106	991.4364842737491	3.756629077298949	2.69750558138007	1.174745709839169	0.22763535773295102
58.0.199999999999996.0	72.23446595559214	991.3711536636904	3.7655340444078673	2.7220915101324543	1.201417182038055	0.23280359973154402
58.0.8.0	72.2257890469506	991.3060389012937	3.774210953049389	2.746402387693448	1.228329287689452	0.238018470274158
59.0.4.0	72.21733449757367	991.241136922603	3.7826655024263403	2.770438807213208	1.255479322432108	0.24327944532547602
60.0.	72.20909675048311	991.1764446989195	3.790903249516885	2.79420146125093	1.282864588235884	0.24858600207698603
