time	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
0.0.	0.0	0.0	30.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8797.15	0.0	0.0	0.0	0.0	0.0	0.0
6.0.	1127.754491536757	318.12289065015426	23.101852365552734	288.9150871707692	81.51088390450067	0.291689086581192	378.86494540179154	106.88983139048723	0.15857939148587102	48151.18524534104	13584.242197669295	8322.84292202416	1968.289607594912	555.3883888133693	1.036986334250178	821.9560403616301	231.93396218413272	0.2110904368533
12.0.	1479.9051436074574	417.4305030631179	26.75095155733151	496.87003160979606	140.15431681711112	1.14017699597484	684.9403335293791	193.20651500400865	0.636798180435398	82503.12283980701	23272.40965860763	7948.703729137346	5191.9164178132905	1464.6510673061957	5.8388244835320595	2296.2264711706484	647.7797118950859	1.240367273128253
18.0.	1716.8284248079676	484.2500303208747	31.76070365059582	604.9284953217451	170.62698461022146	2.239697274597834	866.2367926563971	244.33412706010634	1.276838698576523	107840.45646429728	30418.242293439984	7649.291107402161	8556.898988697429	2413.7436877180317	15.158225045427905	3966.4058243951945	1118.8636546280284	3.330535976684824
24.0.	1905.668117784697	537.5095175982925	36.51240554881478	665.5738675616745	187.7296632473822	3.415482852319016	978.1320985824107	275.8904219182993	1.975381403250185	126636.81039395441	35719.33799151845	7406.550724893105	11757.597880569996	3316.486502579311	28.939934319007712	5680.652601201943	1602.36933732929	6.5433863878078515
30.0.	2061.295588321922	581.4021508860504	40.674002547726744	705.0682373639803	198.86803475812565	4.590903226316792	1052.7812157690155	296.94319403781736	2.6795735845738022	140549.54244399388	39643.11082913007	7207.067122880801	14689.729063333714	4143.475094450803	46.87390250128929	7372.153809361151	2079.456105348991	10.87033231601687
36.0.	2190.4700154659104	617.8340889641577	44.217990113883204	735.3503182041034	207.40867471240017	5.735193310008731	1107.305345616927	312.32064720330953	3.363825754640795	150772.12639866455	42526.15263041693	7040.715268504103	17324.623081765443	4886.626913668043	68.56736404557091	9009.428965584146	2541.2466907946987	16.271012498014887
42.0.	2297.822108410238	648.111327762145	47.19961264765113	761.6678893338277	214.8313806291382	6.837804540533608	1150.7614142989537	324.5768466876161	4.016735585906825	158189.43405824833	44618.02247094524	6899.797795980303	19665.742287591525	5546.920142992372	93.61365824178296	10577.897595499786	2983.6295774322994	22.690531595818904
48.0.	2387.009145690034	673.2653479088086	49.69306333124789	786.2296250631897	221.75895677200884	7.8966786438350915	1187.928986289757	335.0596344981211	4.634166290912269	163466.7842903353	46106.359758805826	6778.439490294093	21730.596102066564	6129.29403284793	121.62201135126199	12071.691154284568	3404.950024646099	30.06800796910656
54.0.	2461.0369503871966	694.143901210633	51.77117176317224	809.893345945045	228.43328473195766	8.913023337382146	1221.3135991022746	344.47557294206075	5.215600689737614	167108.22065629179	47133.31976662027	6672.144831380813	23542.409832512323	6640.299563059758	152.23026661269705	13489.617751302947	3804.872124525791	38.341048141774095
60.0.	2522.4016444145786	711.4509860754563	53.499136678466655	832.9381961412057	234.93306937723418	9.889063704093036	1252.2139281696557	353.19088753793335	5.762229930625397	169497.32219421005	47807.083294888005	6577.468203103834	25126.059153098588	7086.952981072827	185.1095392190198	14833.037527036653	4183.779651841494	47.44814641641666
66.0.	2573.1812468932194	725.7726806658623	54.93318269305776	855.4128164954844	241.27201949865386	10.827135619668303	1281.2941145860582	361.3928649298544	6.275965326473477	170926.83079533753	48210.21239591836	6491.765420849342	26506.03916813822	7476.163084004693	219.96488465396425	16104.692778027596	4542.446152341658	57.32996902885296
72.0.	2615.1066879026084	737.5971712763271	56.120964977886125	877.2881245041448	247.44192948524488	11.729369334384845	1308.8911286662649	369.176530163094	6.758941652331647	171620.59862561905	48405.84016798396	6413.005336087064	27705.464368478562	7814.449212583943	256.5339852650408	17308.043143591807	4881.847460150907	67.93001637632857
78.0.	2649.620099648425	747.3311925272008	57.10253570189161	898.5209082003377	253.43061149534273	12.597620297160278	1335.1789234891332	376.59093826779537	7.213280260076775	171750.0408429924	48442.31089955339	6339.626426998309	28745.613229873587	8107.8128352684025	294.5848903369565	18446.879368963517	5203.052775301339	79.19492976490861
84.0.	2677.9232788573267	755.3136955729499	57.911416602145714	919.0774987638437	259.2285703320122	13.433493674909954	1360.2548605051638	383.66354629323627	7.640987216505401	171446.56052651533	48356.684265680284	6270.4273453346905	29645.768023437642	8361.692383482417	333.9133626892485	19525.095768742583	5507.160496140336	91.07459179173988
90.0.	2701.018009423806	761.8272205685853	58.575607182094934	938.9402204665834	264.8308218192007	14.238396187002564	1384.1840026970165	390.4127038637253	8.043919396279684	170810.97664723158	48177.39429673615	6204.483226076187	30423.21596461391	8580.963584848429	374.34013255369024	20546.555510825827	5795.260228029048	103.52210620670417
