time	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	-1.159126922089819e-69	0.0	254723.7	60.0	0.0	300.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	-4.235164736271502e-22	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0.	8.101160679861857e-19	6.888785393968069e-17	1.8870168636007522e-10	1.19303042625665e-12	1.4972759352618097e-11	3399.999999642022	302.25086765588253	1097.7491323348336	1.015283321681109e-10	1.0554635894741101e-10	2.601338171149021e-10	7.149028793762469e-10	0.24441108385489402	89.7553076847625	9.911656141172535e-10	7.912389831571687e-13	1.154446806432594e-12	3.571337716984468e-07	0.00013234380582400002	84463.11362996414	12.84161562589893	47.15838437379067	1.414041917108863	298.58595808270263	8.122408004528417e-12	1.824759247342188e-06	2.499998175232631	1.644340889939089e-10	0.0009585606231280001	0.000148529419758	0	0.000173976727253	0.000219922191386	0.000428005028453	0.0030710058374630003	0.9999999996343191	3.095757056716677e-12	5.702336753948769e-06	0.0016535988935520002	0.6983404974034151	2.3497586810657507e-11	1.560519641304429e-09	1.9977721874726022e-07	8.275621708982437e-22	1.114899556789656e-19	1.693150977072517e-06	0.153861063448915	9.845135739808585	0.0005296958818450001	0.09854281354715101	1.653793424187284e-10	0.00027606879963000005	0.068433071515443	19.931273663205058	1.145248289773346e-09	5.964017211684405e-08	1.713345338949189e-05	3.1244175874236617e-20	9.388438902148027e-18	1.667442083244513e-10	29.999999999690033	3.0172285030524546e-11	1.1306271738812821e-10	31.218692489965093	138.7803927795014	3.568861159549879e-07	9.440164385105346e-10	9.824313088261022e-10	1.49214320629769e-10	2.7496152417915612e-05	0.000207687280535	8.07179056346771e-13	5.917016270652401e-11	5.447531841259533e-09
10.0.	4.614357377155557e-15	4.40178104195566e-13	8.504338472543932e-08	3.079764697133566e-10	3.782686398590232e-09	3399.999997267581	302.25092214974256	1097.7490767367954	2.2107629587331063e-08	2.042004438839465e-08	4.6364616328650446e-08	7.006340549135211e-08	0.244409980326134	89.75488094910457	7.472043610749495e-09	4.8890295967668006e-11	6.893168990658105e-11	1.2689970760802952e-06	0.00046795606420600006	84463.09387247617	12.841617961313947	47.15838192913152	1.414042245481983	298.5859576694744	2.040562852175678e-10	1.3812168797124152e-05	2.499986187627146	9.298810454798318e-10	0.0015282413683610002	0.00023982870527000002	0	0.000271003018946	0.00038154399357900003	0.0006650221138560001	0.0019143596660470001	0.9999999332153391	3.1924908399321523e-10	2.2198487021728884e-05	0.0016535568038800001	0.6983225107895851	3.121881559852403e-09	1.3523445249686401e-08	1.716837107986066e-06	1.1057694815838231e-17	1.436185383613882e-15	5.995563027591212e-06	0.15384796332726802	9.844295066676972	0.000528038127986	0.09823729597079701	1.790134410855964e-08	0.0011822561000110002	0.068429491426946	19.93022296953669	1.5836445159304482e-07	5.768411599841364e-07	0.00016441142896900002	4.684442977443451e-16	1.362208528246126e-13	1.743311249012104e-08	29.999999949016242	9.212916933953333e-09	2.4337732665155363e-08	31.218371086100802	138.7789184592358	2.7026130874453817e-06	5.3970833775418625e-08	5.582514414534309e-08	8.603849424088938e-09	9.786215371828375e-05	0.000732960982435	2.2741591569362432e-10	7.603063506186915e-09	6.869645510063591e-07
15.0.	4.4434814195132353e-13	4.406982017301697e-11	2.164896262799498e-06	6.016119063212965e-09	7.340468439462591e-08	3399.999991237391	302.25098658877033	1097.7489986956198	3.9896161983416616e-07	3.185630162085871e-07	7.046931977480791e-07	7.919179940390568e-07	0.24440865164114803	89.75436712529822	2.3050838431047202e-08	4.569100874833765e-10	6.373261163111451e-10	2.514398211415327e-06	0.0009257740419830001	84463.06979930504	12.841620316194554	47.15837712088085	1.414042636657776	298.5859551984016	1.206961585508837e-09	4.2580842809309094e-05	2.499957417950228	2.239446679968297e-09	0.0018637436983080001	0.00029572346865200003	0	0.000330485294949	0.00048034317470600004	0.0008103491079610001	0.001219351809013	0.9999989767437861	3.6655829110059435e-09	4.515873220318582e-05	0.001653493791056	0.6982956635192801	4.260225023151746e-08	4.41610983270457e-08	5.592433626136198e-06	1.7130411683276862e-15	2.2005886129970264e-13	1.1832924567818432e-05	0.15383245975373802	9.84329899946817	0.000529683999274	0.098546375663265	2.0880520684750768e-07	0.002484972169653	0.068423709559517	19.928530492041304	2.1898651472747816e-06	1.953505931143388e-06	0.0005554792668880001	7.564757638026422e-14	2.178280395004159e-11	2.010512375500487e-07	29.99999917927614	1.870067704192853e-07	4.3266585842824205e-07	31.217951418181027	138.7770052613212	8.335730368632882e-06	4.5373964463998195e-07	4.6845958729285363e-07	7.252115951953826e-08	0.00019346806588800002	0.001445144938869	4.866932775759887e-09	1.026585316203781e-07	9.221701177818641e-06
20.0.	9.472790001087638e-12	9.453459461287271e-10	1.8624402798390044e-05	4.4311543489185763e-08	5.389686749442143e-07	3399.99997909102	302.25104801058234	1097.7488684728914	2.795197787945651e-06	1.938460639220826e-06	4.235577066601961e-06	3.988404413474148e-06	0.24440717883303803	89.75379735381895	4.993206331203368e-08	2.084148060569039e-09	2.8925530363262082e-09	3.966911689444206e-06	0.001459487669955	84463.04278381822	12.841619590549234	47.158359262352306	1.414043009612736	298.5859383650299	4.024727762206511e-09	9.203104749826472e-05	2.4999079649277722	3.8849024965907016e-09	0.002058446452248	0.000330569265737	0	0.00036762531238200005	0.000541766845154	0.000901109057001	0.0008004751578440001	0.999993825962294	1.859669592410141e-08	7.195152992615172e-05	0.001653413359457	0.6982614384754451	2.454505426448012e-07	1.013918221441185e-07	1.2826203375494102e-05	5.0946763447468584e-14	6.51050227097865e-12	1.8579107902869222e-05	0.15381171780507602	9.841966746307564	0.0005346267438210001	0.099468805193477	1.0672550756975561e-06	0.004022781178383001	0.068415944022441	19.926259657638504	1.2697034858850641e-05	4.503655269484852e-06	0.0012792629736110002	2.2764158647296958e-12	6.52423304983881e-10	1.022159669110501e-06	29.999994587953854	1.3885918855383301e-06	3.001294601601954e-06	31.21747095173842	138.77481999068573	1.8025175606768372e-05	1.863786020442651e-06	1.922612731799338e-06	2.982430264498946e-07	0.000304041311011	0.002268161432384	3.8674760381811136e-08	5.884992374578599e-07	5.271918944065298e-05
25.0.	9.548592312535977e-11	9.336390191093298e-09	9.159216290624249e-05	1.971214802621124e-07	2.3933556267250848e-06	3399.9999554916903	302.2510879567992	1097.7486052826612	1.2010348989044611e-05	7.319148666330425e-06	1.5882822851649233e-05	1.334324512879813e-05	0.24440560563024202	89.75318664232958	8.951398869379198e-08	6.6437803323589425e-09	9.196168253057718e-09	5.5555587205681075e-06	0.0020431091548470002	84463.0118901206	12.841606161161097	47.158292327618355	1.4140431820885722	298.58586521631673	9.890681516441687e-09	0.00016444739159300002	2.4998355427177232	5.6968309604427395e-09	0.0021683279572920003	0.000352810982306	0	0.00039138114375900004	0.0005808286302460001	0.000959179516254	0.0005474561826280001	0.999976798028481	6.246554200459614e-08	0.000100993301851	0.0016533144054760001	0.6982193513502081	9.09120351400317e-07	1.989426662108863e-07	2.5154394347859983e-05	6.550421952384118e-13	8.346602818094936e-11	2.5856258368145862e-05	0.153784055488269	9.840190840858437	0.000542862383181	0.101003841194367	3.599634611865614e-06	0.005698573285628001	0.06840606353308501	19.923371442994053	4.719549200553937e-05	8.639393311296753e-06	0.002452714902067	2.8951126207422998e-11	8.27559754345338e-09	3.437551684154135e-06	29.99997758066908	6.170990338475211e-06	1.2810788907443722e-05	31.21695258652886	138.7724617675603	3.222517416966959e-05	5.36374700328754e-06	5.5305232747701064e-06	8.58853986628228e-07	0.00042339325133900006	0.003156172118283	1.832727315642164e-07	2.173650033829701e-06	0.00019442118925400002
30.0.	6.345715544209069e-10	5.9271077819051746e-08	0.000323121516399	6.495639878982456e-07	7.877930562179089e-06	3399.999909420661	302.2510771725186	1097.7480491686276	3.8600786443332525e-05	2.0974638222699983e-05	4.5326947256174405e-05	3.530224409529654e-05	0.24440394470415103	89.75253543167288	1.427771754474905e-07	1.7436290208617844e-08	2.409979130142451e-08	7.249706783450535e-06	0.0026654537005510004	84462.97320520361	12.84155722564521	47.15809009079998	1.414042739580188	298.5856340789977	2.0147846479135062e-08	0.000261132726262	2.4997388471258892	7.567542087609782e-09	0.0022270587540870004	0.000367476116579	0	0.00040709002304700005	0.0006064540533010001	0.0009975958966980001	0.00039429744089700006	0.9999336984145211	1.6565414135618349e-07	0.00013131128816800002	0.0016531893838410002	0.698166167441838	2.602183543330346e-06	3.651090201621035e-07	4.61561014573891e-05	5.2054147719136874e-12	6.621305466996701e-10	3.34312657481237e-05	0.15374848850817602	9.837908009960243	0.000554382919193	0.10314998478753101	9.568966583364435e-06	0.007452789921739001	0.06839342140979901	19.91967568913634	0.000135374288614	1.511529796144409e-05	0.004290111239316	2.2268113972907768e-10	6.3550458418823e-08	9.123096370900012e-06	29.99992962942313	2.0259785777536633e-05	4.098769473143196e-05	31.21641104826286	138.76998900669258	5.1198753849898256e-05	1.2691270169990002e-05	1.3082541517408942e-05	2.032883709716427e-06	0.0005477164645210001	0.004080968700833	6.370227759842581e-07	6.211308414583272e-06	0.0005550475669000001
35.0.	3.3051466919175464e-09	2.8887166422095746e-07	0.0009215590525970001	1.766696550824629e-06	2.141094003653758e-05	3399.9998197826167	302.2509667293402	1097.746907479583	0.00010310512660300001	5.078366918908724e-05	0.00010946372307400001	8.110549628295214e-05	0.244402173734056	89.75182649151381	2.1060464691711276e-07	4.121200380572148e-08	5.691890992643702e-08	9.057284791981669e-06	0.0033295052091370002	84462.91829392903	12.841426573821074	47.15757761364376	1.4140408425637832	298.5850373062068	3.618844407335978e-08	0.000382773768473	2.49961719004308	9.434922054385337e-09	0.002254922252596	0.00037758540760100004	0	0.00041796108579700004	0.000623999229357	0.0010241965053980001	0.00030128989588300005	0.999839752607736	3.8110443519146e-07	0.00016227734302600003	0.0016530204482540002	0.69809425383266	6.3510607383388265e-06	6.562191443923443e-07	8.295460414579808e-05	3.085612132473045e-11	3.920679753033035e-09	4.115249130607516e-05	0.153704466492982	9.835082160788348	0.0005691728785360001	0.10590433724470301	2.2044921873336583e-05	0.009247122037332	0.068376526407768	19.914734576779153	0.000330819659176	2.5383868032432985e-05	0.007203903023211	1.252643098060684e-09	3.571244690141794e-07	2.099947337781996e-05	29.9998149834953	5.487811505394094e-05	0.000109138916276	31.21585695749355	138.76743480079216	7.508896744189112e-05	2.6918661611304884e-05	2.7744697855601753e-05	4.31269518186126e-06	0.0006745438360740001	0.0050242600654640006	1.812685731209548e-06	1.5144709658774502e-05	0.001352548092776
40.0.	1.4865534129545842e-08	1.201787460521714e-06	0.002282340730701	4.232998499824592e-06	5.127565102898042e-05	3399.999647356667	302.25066984392316	1097.7446436350583	0.00024388122441100003	0.00011083402482900001	0.00023853188670000002	0.00017125206508300002	0.244400219912792	89.75101572698159	2.941394042968479e-07	9.248558133178335e-08	1.276922031389081e-07	1.1035871181681211e-05	0.004056512850664	84462.83092449563	12.84112667090144	47.15642342904052	1.414035899892933	298.5836805427233	5.942740910309478e-08	0.0005296359801510001	2.499470304592437	1.1262671436271601e-08	0.0022641322509320003	0.00038496840543200006	0	0.000425939253151	0.0006367048413390001	0.001043732099804	0.000244452459258	0.9996506340884701	8.052644751558762e-07	0.00019342876328600002	0.0016527719170960002	0.697988360423051	1.402703980470125e-05	1.180006063498249e-06	0.00014917207511800002	1.5212058385045132e-10	1.931566444715728e-08	4.8906912999928666e-05	0.153651728235726	9.831694767356952	0.000587205292173	0.10926184466140201	4.6613053003994005e-05	0.01105362466912	0.068352412953149	19.907677865073204	0.00073114787712	4.2196160457967694e-05	0.011975226334883	5.775823124761917e-09	1.6456004574670578e-06	4.438862476340056e-05	29.999566991983443	0.000131021661158	0.00025759773064800004	31.21529990863105	138.7648151832286	0.000103956821116	5.3888176024018715e-05	5.553804858548528e-05	8.63449068781036e-06	0.0008020437626220001	0.005972443245586	4.511149402320644e-06	3.3431054886451184e-05	0.002984575090176
45.0.	6.111140538850802e-08	4.5652747083514775e-06	0.005142758239776	9.324836685483126e-06	0.00011291851462200001	3399.9993189715224	302.2500246236931	1097.7402490655327	0.000532586234673	0.000227413363157	0.0004890117927160001	0.000344728549044	0.24439792609239203	89.75001255147197	3.95303244195109e-07	2.035370533927516e-07	2.810013332904314e-07	1.3321764150756032e-05	0.0048967059709250004	84462.6803367082	12.840494182321473	47.15400877633817	1.414024949122103	298.5808276662519	9.129115223629247e-08	0.0007016318921130001	2.4992982768167322	1.3023905743229161e-08	0.002262025394217	0.000390740142292	0	0.00043221063535600005	0.000646544739952	0.001059100126908	0.000209274646213	0.9992835748441261	1.6213494632241669e-06	0.00022431920385700002	0.001652375433696	0.697819277189465	2.9139534264230184e-05	2.139633586055484e-06	0.000270496746555	6.665062707672622e-10	8.459281390791016e-08	5.6584066609731205e-05	0.153590240760199	9.827740213516584	0.0006084337466180001	0.11321380255619701	9.387021733164432e-05	0.012845790976893002	0.06831541090453201	19.89684185857369	0.001519220114779	7.072081575297191e-05	0.020071653299828	2.350630590707081e-08	6.694542008462915e-06	8.940557278496666e-05	29.999060995086438	0.00028787471665	0.000561724624141	31.214751663304988	138.76213233850345	0.00013779449689800002	0.00010507045387100001	0.000108284834231	1.683648604425894e-05	0.0009284274361290001	0.006912195117479001	1.0252444917351592e-05	6.94376175992928e-05	0.0061977170463650005
