time	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	4721.0	1174.5	0.0	0.0	0.0	0.0	0.0	170000.0	66.0	0.0	116.0	0.0	0.0	0.0	12.3	0.0	-1.925929944387236e-34	0.0	0.0	0.0	0.0182	1.0	0.0	7.6	0.0	0.1	0.0	0.0	0.0	1.75	1.0587911840678751e-22	0.0	0.0	0.0	0.0	0.0	142.85	1.6940658945086e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0
5.0.	1.077723308638926e-16	5.69439131460232e-10	1.3971113398723469e-11	1.233274191492574e-10	4720.9999955393405	335.5047502458155	838.9952497283656	5.111892668600331e-11	3.844253682514604e-10	9.52747167751901e-10	2.7442882734682572e-09	58155.70922896103	18.704783814950947	47.29521618395806	0.7924077840595001	115.20759221537105	1.6604173282194892e-09	8.081311522658954e-05	12.299919185224399	3.1465475187395932e-09	0.002710034102026	0.0006579828461340001	0.000827401829502	0.0020867642865170003	0.011917812128852	0.9999999986628271	8.647698481180748e-06	0.16860942456264302	7.428466434985744	0.0007486512124860001	0.09588465366950101	5.486542083824666e-11	0.00015908128217	0.008682451194197001	1.741149189690039	3.240847662778582e-10	4.626947720209778e-08	9.224218115852414e-06	6.46266738539654e-20	1.379220066457982e-17	35.176758999926285	107.66983043502542	4.4606086305374605e-06	2.7641252628698204e-09	3.766444831502934e-09	4.364750546921653e-10	0.00026538240602300004	0.0014065741439	1.442674697515145e-12	2.0934457129956877e-07	363.9999997906546	4.926987990507042e-12	2.7595274267760915e-10	1.782614196034968e-08
10.0.	1.0954366452870122e-12	3.561385750705368e-07	4.9287431983475254e-09	4.2054730733399125e-08	4720.999962418062	335.5048600820474	838.9951360936961	1.4190919612877831e-08	9.534207689072344e-08	2.163002647550467e-07	3.3371974141389266e-07	58155.6839259177	18.704789541714696	47.29520995982026	0.792408126800291	115.20759151706001	4.8393955214916755e-08	0.0006802348431740001	12.299319716762913	1.9441213881196073e-08	0.004433709483314	0.0010480971895070002	0.001469879841246	0.0033156338023870003	0.007932611848375001	0.9999996883576581	3.2592256543521455e-05	0.168537578574218	7.42529084791399	0.0007426021811400001	0.095128990922486	7.42877444608522e-09	0.0007414154577060001	0.008679129912355001	1.7404792207407862	5.6894143559753136e-08	5.038292655932861e-07	9.918804712280604e-05	1.596668866726081e-15	3.240216486638726e-13	35.175090772057096	107.66460385894774	3.7565935122508315e-05	1.900945082371092e-07	2.572941827232527e-07	3.029972886025427e-08	0.001010590561839	0.005282684348326	4.004951204535175e-10	1.763038465344095e-06	363.99999823656157	1.816129531834433e-09	4.516039508491157e-08	2.832611276017651e-06
15.0.	1.238926845415179e-10	9.959558474382417e-06	1.046294863061334e-07	8.836471007759557e-07	4720.999881289776	335.50480241623745	838.9951451740476	2.720359476809004e-07	1.576406580744446e-06	3.478576855771462e-06	3.932898433486564e-06	58155.69749790447	18.70478309892675	47.29520437670787	0.792407882918097	115.20758215739953	3.017322003060627e-07	0.002142623558631	12.297857074709212	4.7602595413223315e-08	0.005522387365022001	0.0013039184650030001	0.0018880358761090002	0.004121850968331	0.0053634579907360005	0.999994945016563	6.399855082455867e-05	0.16843209617585	7.42063260303552	0.0007592002402250001	0.09727555998831601	9.048448313310134e-08	0.0015596587080180001	0.008673852773476001	1.739419067320692	8.221965055164618e-07	1.7370833475986851e-06	0.000340710156902	3.0080156190634e-13	6.010909939342405e-11	35.172846025741975	107.65770845616198	0.00011839662041700001	1.6175507191958148e-06	2.1849949208238302e-06	2.5854662594353497e-07	0.00199164792441	0.010367271394582002	7.677379136260078e-09	5.5565712921338294e-06	363.99999443575183	4.1571694266821154e-08	6.382591805605842e-07	3.967351273842064e-05
20.0.	2.6950503758503593e-09	8.79266476290651e-05	7.861111682249588e-07	6.607415390136197e-06	4720.999742342978	335.5044920375474	838.9952157460845	1.922437960443571e-06	9.630675003335462e-06	2.0978118247707932e-05	1.9697784370406813e-05	58155.76024607935	18.70474271552954	47.29515233092639	0.7924065120417061	115.2075055586156	1.030602256253281e-06	0.004618931048516	12.295380038349272	8.20436783453886e-08	0.006198217362251001	0.0014776952545840002	0.002169974500866	0.004669817377577001	0.003683182858784	0.9999693912067481	9.816096190644651e-05	0.168279790872184	7.413915146974683	0.0007989762206230001	0.10239110782938401	4.599841966634851e-07	0.0024724421622120004	0.008667094546781001	1.738063815116596	4.697240947519246e-06	3.940187395831677e-06	0.000771530391068	9.35805067925258e-12	1.8566122482140914e-09	35.17020464496333	107.64970495909861	0.00025540282087200004	6.38177328061207e-06	8.612683167878559e-06	1.021353325860949e-06	0.0030619270185630004	0.015906747190683003	5.4254907618712224e-08	1.1986524493339522e-05	363.99998795922113	3.3176693318941457e-07	3.6097275204360253e-06	0.00022343125367700002
25.0.	2.5641780208341053e-08	0.00043121871886800004	3.4728560186909e-06	2.9111022850147782e-05	4720.999539357953	335.5038475706725	838.995124695599	8.146751550598459e-06	3.562506859298702e-05	7.703981862943161e-05	6.40838633488041e-05	58155.870874801956	18.70460615082075	47.29489439587131	0.7924026940920751	115.20716606154726	2.5609387387738608e-06	0.008149526807064001	12.29184791225424	1.1803748603921008e-07	0.006602666978187	0.001599540104125	0.0023663550624980004	0.005054292220511	0.0025744666584510004	0.999887335112777	0.000132400164339	0.16807536352302302	7.404906619745528	0.0008613356124370001	0.110398747613119	1.5082810376596792e-06	0.0033993576588970003	0.008659034301132	1.736448934922468	1.673784682653455e-05	7.2789355305331e-06	0.0014240272311660002	1.16828267812584e-10	2.3084944483529522e-08	35.16728229809802	107.64093999635625	0.000450960113618	1.7166592822845875e-05	2.3156086755083152e-05	2.749299804369529e-06	0.004138372523091001	0.021474277768488002	2.2991704660699057e-07	2.1164388374455242e-05	363.9999786056951	1.5351845158296378e-06	1.279533545783075e-05	0.0007901157710450001
30.0.	1.5107340209595628e-07	0.0014912564395210002	1.1176205236079331e-05	9.352386113444045e-05	4720.999265414684	335.502778477174	838.9944682262509	2.5444928976927355e-05	9.82858905067392e-05	0.00021159573572500002	0.00016201847369900002	58156.01727074063	18.70423542516908	47.2940701813613	0.7923935225843811	115.2061150699027	5.235714403068726e-06	0.012712416180035001	12.28728234810561	1.525562806453073e-07	0.006827849473846	0.001687448103293	0.002507189510766	0.0053319131978180005	0.00184021144359	0.9996901183737671	0.00016521008297500003	0.167818080223181	7.393574150928108	0.0009450268893230001	0.12113774331999601	3.8298248849182305e-06	0.004295174791813	0.008649554551161	1.7345500668289922	4.5176470257566614e-05	1.2021335854816911e-05	0.0023506520085850003	8.522150133325215e-10	1.67972934584399e-07	35.16415870430351	107.63163235007954	0.0007040184892680001	3.7151962325388095e-05	5.009976941725813e-05	5.952558151250854e-06	0.00517455189371	0.026831303120669003	7.181049995926649e-07	3.3040884212878936e-05	363.9999662410113	5.121899784600446e-06	3.444009794912608e-05	0.002123560629955
35.0.	6.595356010623819e-07	0.004110503225752	2.9259419658211324e-05	0.00024456455112200004	4720.998909403003	335.5011764066012	838.9926238949698	6.515882511149187e-05	0.00022514876289500001	0.000483309874939	0.000349235017081	58156.17539879197	18.703375935531014	47.292013928974136	0.79237358664091	115.20351525059773	9.390619450670114e-06	0.018251266301774	12.281739343078824	1.839547333360189e-07	0.006934647950492001	0.001752683073561	0.0026110630620420003	0.005538141670078001	0.001353889669641	0.999291541362165	0.000195775703111	0.16750983903017402	7.379998870915461	0.001048434986788	0.134400969034102	8.27370454347284e-06	0.005135012152574001	0.008638191490631001	1.732272944462105	0.00010215094973300001	1.8652398133159924e-05	0.003646303906564	4.409502427895123e-09	8.676810757745688e-07	35.16089392037053	107.62191988308345	0.0010116394756610001	7.053486872778544e-05	9.510006447013327e-05	1.130437633264593e-05	0.0061454402231380005	0.031849324566486	1.8389078293876938e-06	4.7478104313951853e-05	363.9999506829884	1.3798696818554983e-05	7.777852748611139e-05	0.004791165919601
40.0.	2.36792700875705e-06	0.009696945306890001	6.646442185589822e-05	0.000555092722863	4720.998452432522	335.4989001249487	838.98866764105	0.00014559201487700002	0.000455843924416	0.000976669177697	0.000677552879552	58156.306301293174	18.701604040641502	47.28761924505564	0.7923338197907651	115.19796686697534	1.534157539296627e-05	0.024691861430477	12.27529279699418	2.11515520857305e-07	0.006963549919944001	0.0018026474193770002	0.0026900637320880004	0.005696289439102001	0.001031896398574	0.9985674868978851	0.000223690628838	0.167154030502794	7.36432553343381	0.001169769191881	0.14995887264124302	1.606379992339512e-05	0.005905637029319	0.008624034511622001	1.729433077445215	0.000205246629862	2.799574108879079e-05	0.005472065418082	1.811849028448264e-08	3.5612321729960816e-06	35.15753860302914	107.61188499301089	0.001369896931332	0.00012355638734300002	0.000166569762377	1.98059974900232e-05	0.0070385493909880005	0.036464280371825	4.108887835123882e-06	6.429178792754221e-05	363.9999315993247	3.2078534583796935e-05	0.000156261698517	0.009619454071355001
45.0.	7.460375972607069e-06	0.020478068096350003	0.00013646384845500002	0.001139041884659	4720.997863171941	335.4957480494658	838.9812212020059	0.000295302994545	0.0008484252157930001	0.0018156281949130001	0.0012243788270800001	58156.35048217859	18.698250399307952	47.279140141271	0.792259839949613	115.18725463157807	2.3379971933645282e-05	0.031951652981365	12.268024967046752	2.3505946111761668e-07	0.006941405480716	0.001842390124171	0.002752379966637	0.005822261262673	0.0008179481344060001	0.997335946589293	0.00024878238788600003	0.16675487185124402	7.346732614694424	0.001307181200396	0.16757449800044902	2.9013240639742194e-05	0.0066000435901210006	0.008605554496619	1.725721036696435	0.000380317136124	4.137112744666441e-05	0.008085975855463001	6.348283274798556e-08	1.246779990431552e-05	35.15414181268747	107.60156799986606	0.0017743986397770002	0.00020598832030500002	0.00027768217071800003	3.302570741200449e-05	0.007848475742411001	0.040648476983954004	8.334021133959425e-06	8.327580066648951e-05	363.9999083901787	6.712642769051886e-05	0.000289822309597	0.017833386135026
