time	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_XIa_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
0.0.	0.0	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	170000.0	60.0	0.0	300.0	0.0	0.0	0.0	2.5	0.0	2.4074124304840454e-35	0.0	0	0.0	-3.186183822264904e-58	0.0	0.005	1.0	0.0	0.0	0.7000000000000001	0.0	0.0	3.5718355977571085e-102	0.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2600.0	0.0	0.0	0.0
5.0.	2.5008888370426014e-19	2.1356494430925144e-17	7.682239093666789e-11	1.200432542224709e-12	6.166972136087605e-12	2.443974740135557e-13	3399.9999993101146	583.6703304948412	816.3296695006115	5.27728497286368e-12	4.3574098120052624e-11	1.442115310307635e-10	3.7380342371574476e-10	0.6319448623837071	89.3677496582642	2.6931915421788373e-09	5.455563182420987e-13	1.0296539362141599e-12	9.843766358736451e-07	0.000142550529346	32525.91268228149	24.853260940622796	35.1467390592495	3.644545874175105	296.3554541257469	1.68775429100748e-11	3.513615938759547e-06	2.499996486367187	1.251898477658709e-10	0.000939301276556	0.00016194173576200002	0	0.000147426539163	0.000185979093626	0.000469067082511	0.003096284130311	0.9999999998122141	1.6115221027560448e-12	4.408528838941607e-06	0.0042779283658080005	0.695717508135901	1.132495891913327e-11	3.0072912216891313e-09	1.51947648882479e-07	5.916366145254037e-22	3.3905220711514917e-20	1.283960441219863e-06	0.389965208408997	9.609061793230996	0.0013638747746540002	0.09770412375521301	8.589445781574557e-11	0.00021287244394700003	0.17674158023952002	19.82303234280944	5.510595592697048e-10	1.156248808298548e-07	1.3087063568369151e-05	2.277927217897107e-20	2.8825493259029503e-18	8.711243755729135e-11	29.999999999838508	1.553394878855811e-11	5.861776087413666e-11	62.68663651194893	107.31259170421019	6.871884846752881e-07	4.620491862771614e-10	6.466141063701872e-10	7.30337422922603e-11	5.391984639007413e-05	0.00016137143221400002	1.477148924537556e-12	3.1986778571840907e-07	2599.999999680133	9.540293525322211e-13	7.042888589148511e-11	2.635264945164003e-09
10.0.	1.488321561077369e-15	1.4271421081781419e-13	3.5885477505079834e-08	3.3203539156007123e-10	1.6154561534168833e-09	1.202292163410303e-10	3399.999994625067	583.6705270704585	816.3294723887814	1.196319097156951e-09	8.726344174291018e-09	2.659840260764986e-08	3.826932653615693e-08	0.631941948638964	89.36728308122755	2.076205866874557e-08	3.4106006181796515e-11	6.218929835437567e-11	3.555433725329463e-06	0.00050829099653	32525.893336861263	24.85326956832229	35.14673038511831	3.644548009999449	296.3554519541138	4.4129505174012966e-10	2.7355388806692982e-05	2.499972644169901	7.141717562044547e-10	0.001502207649469	0.000263097920538	0	0.00023094802059900002	0.000324901690247	0.000732929273824	0.001945914289853	0.9999999646752531	1.736420429880992e-10	1.727775530685522e-05	0.004277845572143	0.6957035328784771	1.4915415112654833e-09	2.6606931439321313e-08	1.315425660039467e-06	8.656846571391995e-18	4.537446069487278e-16	4.5722906390693685e-06	0.389935018528525	9.608312685589713	0.001358632022893	0.097335005858072	9.715963649558782e-09	0.0009184776694850001	0.17673449408966502	19.822219096649523	7.554393105413789e-08	1.14202427578125e-06	0.000126637678864	3.7270334594688962e-16	4.351456357351777e-14	9.516491429486775e-09	29.999999972338493	4.924277351244545e-09	1.310052794297564e-08	62.68610507905378	107.3115951286286	5.352581496876881e-06	2.612535013586424e-08	3.633778650352628e-08	4.164975583042955e-09	0.000195652833663	0.000572694787008	3.348580714418826e-10	2.4914829481706417e-06	2599.9999975081837	2.7554100823450263e-10	9.23097220629437e-09	3.2939594278622124e-07
15.0.	1.464226167944935e-13	1.463566215999143e-11	9.350176181088141e-07	6.702876510472351e-09	3.206106262222839e-08	3.4723371403704534e-09	3399.9999832640115	583.670760688728	816.3292322624917	2.222596350921683e-08	1.3919560857863148e-07	4.132961714957309e-07	4.459545087757254e-07	0.631938414652783	89.3667199399813	6.45719211762728e-08	3.178020820217046e-10	5.732284904163303e-10	7.08716383150706e-06	0.001009087388044	32525.870583265918	24.853279311299964	35.14671957570815	3.644550514864606	296.3554485501019	2.6462424395617732e-09	8.499974897491759e-05	2.499914997604786	1.7221485669454841e-09	0.0018368681845520002	0.000325302725486	0	0.00028237260451400003	0.000410245007609	0.0008954131642620001	0.0012497939451830001	0.9999994475082191	2.055762562081127e-09	3.5111930804247145e-05	0.004277721434449	0.6956827862732791	2.006882673533263e-08	8.694661984937339e-08	4.270399008693733e-06	1.4018310713232972e-15	7.143337341560788e-14	9.01162871129041e-06	0.38990220472626	9.607495512782537	0.0013606047040460002	0.09748246010361601	1.168678101752121e-07	0.001929249910433	0.176723035251067	19.820914523672233	1.030042761082315e-06	3.880162027233739e-06	0.00042761424745300003	6.295484029041932e-14	7.166760280447521e-12	1.1316770218596578e-07	29.999999541761124	1.026255426032252e-07	2.3897331638034986e-07	62.68540349620892	107.31030505035939	1.6639827053206053e-05	2.1577369755641607e-07	2.9956191273408753e-07	3.448874705794681e-08	0.00038793873495200003	0.001127584135706	6.2212024378378145e-09	7.74539265119649e-06	2599.9999922483876	5.893764320246581e-09	1.240119169334738e-07	4.359515382425711e-06
20.0.	3.128319899387582e-12	3.1668720080640624e-10	8.177723127785084e-06	5.042086939456705e-08	2.392250097314764e-07	3.3941786281680494e-08	3399.999963563849	583.6710025778384	816.3289580880449	1.591823142634975e-07	8.610501175349396e-07	2.525082898486093e-06	2.297500305285207e-06	0.631934476186089	89.36609543412524	1.404772725621482e-07	1.430347447696471e-09	2.566744759155002e-09	1.1215508643584232e-05	0.00159378175728	32525.846209471118	24.853286855454016	35.146703815807115	3.644553125048928	296.355438696907	8.87614433506782e-09	0.00018408836344200002	2.499815902760418	2.9830662063225705e-09	0.002033338718897	0.000364171343768	0	0.00031454914651600003	0.00046344398627900005	0.0009970988797280002	0.0008273860656000001	0.9999966138669831	1.0669876506558329e-08	5.5743782337383656e-05	0.0042775647663800005	0.6956567252095801	1.1365892009051741e-07	1.9687671789461508e-07	9.641033799787492e-06	4.22840207804271e-14	2.1258137030429732e-12	1.4096848048663581e-05	0.38986061449097903	9.60646019772686	0.0013694635536840001	0.09812301344601301	6.111707666377834e-07	0.0031125631248330003	0.17670780036904501	19.819185926022236	5.871010432778906e-06	8.882617634334157e-06	0.0009761365882090001	1.929315078110885e-12	2.169924812233477e-10	5.886195493252733e-07	29.99999691222105	7.766045514322893e-07	1.6886130846801478e-06	62.68459570096662	107.30883297943451	3.605613151452009e-05	8.670711099651587e-07	1.202732950537064e-06	1.387571763327252e-07	0.000608647515301	0.0017631256890830002	4.45562417471636e-08	1.6783160996136722e-05	2599.9999831722835	4.6420371261158195e-08	7.018327772017808e-07	2.4497533574097513e-05
25.0.	3.094631147506419e-11	3.107938040274244e-09	4.070750162411124e-05	2.2749803126644517e-07	1.074369647274701e-06	1.8824646369709672e-07	3399.9999342164874	583.6712293338841	816.3286291924344	6.949575892116482e-07	3.286468377154406e-06	9.57043569861369e-06	7.795906031153293e-06	0.6319302607027381	89.36542874114414	2.524801104002962e-07	4.440796014864457e-09	7.946427109170911e-09	1.572809179801919e-05	0.0022325468705170002	32525.82067930039	24.8532835155016	35.14667118552192	3.644555560107902	296.35540372925044	2.186382942713002e-08	0.000328782898962	2.4996711952372133	4.361474443743967e-09	0.0021459954020740003	0.000388962234337	0	0.00033510948184900004	0.0004972666366400001	0.0010620917958700001	0.0005705482239230001	0.9999871430959241	3.6355979414328854e-08	7.787048245980726e-05	0.004277377266619	0.6956256212014951	4.1215906848976675e-07	3.741718146298465e-07	1.8295916887454043e-05	5.404606633945866e-13	2.69651123814277e-11	1.9523767202607192e-05	0.389806683615016	9.605119655995221	0.001384971163197	0.099239713683271	2.09136314702844e-06	0.004388662106382	0.17668886563951802	19.817041368331388	2.1367293589791642e-05	1.6721118989130914e-05	0.001834745802971	2.46150358644896e-11	2.749486747480784e-09	2.0081022529956936e-06	29.999987010805345	3.4960890657044776e-06	7.296756894900189e-06	62.68372078740037	107.30724543106987	6.443082084683857e-05	2.423802335195634e-06	3.360523266395524e-06	3.881363767134337e-07	0.000844468748729	0.0024414726418750003	1.9452348439837692e-07	2.9990816979114635e-05	2599.99996981466	2.170116362739911e-07	2.544061899017994e-06	8.844310344579141e-05
30.0.	1.967845933918027e-10	1.9228973106627602e-08	0.000144579393625	7.549408187752723e-07	3.554713381687687e-06	7.397118251720714e-07	3399.9998936798693	583.6714180042454	816.328190033186	2.252690191201512e-06	9.441796122157596e-06	2.7375735842538813e-05	2.0682415057011394e-05	0.6319258343607921	89.36472657846787	4.0325924411368e-07	1.116185123656012e-08	1.9940241610904242e-08	2.0514136536337202e-05	0.0029098674961550003	32525.793067299248	24.853249380320133	35.14659226941024	3.64455736606179	296.35529803511764	4.455445508137356e-08	0.000521144165381	2.4994788112801682	5.771726406254076e-09	0.002207773905052	0.00040522811720100003	0	0.00034863401798700003	0.000519360854454	0.001104859992222	0.00041409278690000004	0.9999631824680351	9.669796945028492e-08	0.00010070253204100001	0.004277152477056	0.6955883856755041	1.147547958828216e-06	6.514758969145497e-07	3.1832083093959715e-05	4.177019070803973e-12	2.0742478072415642e-10	2.5107664501771335e-05	0.38973841426662104	9.603424754115215	0.001406936244402	0.10081888049614501	5.577067909983238e-06	0.005709232860482001	0.176665674359291	19.81441683823841	5.962466664894214e-05	2.828238107440794e-05	0.0031007038189590002	1.8684333071238252e-10	2.0780521259248342e-08	5.345278884461991e-06	29.999958914141345	1.154306005372173e-05	2.3457807915546373e-05	62.682803808773286	107.30558115904635	0.00010218408762600001	5.508590767097717e-06	7.635354876983454e-06	8.824652477310922e-07	0.0010873343843640002	0.003139679765794	6.305437246515066e-07	4.7563949009671024e-05	2599.999951805508	7.403859448413942e-07	7.081745344604902e-06	0.000245574940946
35.0.	9.546823986739465e-10	8.914470501382678e-08	0.000412070154205	2.0495064626621777e-06	9.631042847343476e-06	2.312751841103556e-06	3399.9998395396988	583.6715429536048	816.3275378158662	6.011112329893452e-06	2.2648758094852414e-05	6.548185375161738e-05	4.694740067205867e-05	0.6319212090003	89.3639832939271	5.949172548814711e-07	2.478545024720944e-08	4.423583435956516e-08	2.554482768308903e-05	0.0036218070067450003	32525.760742201306	24.853145207082495	35.14640830335658	3.644557718553235	296.355030121192	7.995972431735917e-08	0.000761952372026	2.499237967668254	7.165891614669436e-09	0.002238653930576	0.000416326286172	0	0.00035789384536100003	0.0005343456716520001	0.0011341569342280002	0.000318536206392	0.9999118693881531	2.1985330359539178e-07	0.00012375477061500002	0.004276872930287	0.6955420953885071	2.6994879110636702e-06	1.089073920914126e-06	5.319733179810967e-05	2.351527847181898e-11	1.1641741122170922e-09	3.0734688824168095e-05	0.38965476964537304	9.601349396841023	0.0014351902846750002	0.10284844474647901	1.270110148194017e-05	0.0070446000469040005	0.17663678601857302	19.811147700712574	0.000140460538744	4.511821313200418e-05	0.004944273822123001	1.0169980244738092e-09	1.127878865740848e-07	1.2159686948221082e-05	29.999892206524084	3.115501335433196e-05	6.216602379612879e-05	62.681862365957244	107.30386109109972	0.000149486794462	1.105878122234596e-05	1.532579753891966e-05	1.7720181237829008e-06	0.0013322858390850002	0.0038436383172370005	1.6825523503223868e-06	6.958208912082812e-05	2599.999928735359	2.054729445557323e-06	1.6657252858061722e-05	0.000576675401302
40.0.	3.89924399307764e-09	3.430293972283501e-07	0.00100993806039	4.847678088781292e-06	2.2748381309179103e-05	6.1613225092454295e-06	3399.9997676705766	583.6715714137547	816.3264980208062	1.4037286164187242e-05	4.823248290134759e-05	0.00013918558602900002	9.621262254412124e-05	0.631916333865529	89.36317772423887	8.296623088063165e-07	5.124815172290322e-08	9.141664853882652e-08	3.087669097354061e-05	0.004376522743240001	32525.718658946775	24.852900469416483	35.14601341705226	3.644555158329268	296.35443455668053	1.310951440435943e-07	0.0010511894202030001	2.4989486794846583	8.519060682947708e-09	0.002250754626537	0.00042430045415	0	0.00036457670939	0.0005450303760560001	0.001155314253807	0.000259883965851	0.999812581931068	4.510254506072603e-07	0.000146717704027	0.004276504865548	0.6954811118534371	5.680278379591894e-06	1.7933093737678632e-06	8.75889807228319e-05	1.0750737949297129e-10	5.3115087907067396e-09	3.633190124400868e-05	0.389555319873202	9.598881652644323	0.001469574346505	0.10531700520055601	2.6083194082145982e-05	0.008375861774580001	0.176599431932522	19.806918090076348	0.00029582246852900005	6.992727626522677e-05	0.007661480332164	4.433165227188429e-09	4.90701692359852e-07	2.4955397401339335e-05	29.99975128853867	7.326968004441908e-05	0.000144325061401	62.68091113407803	107.30209360038546	0.00020635439624200002	2.060697699945091e-05	2.8555335638912124e-05	3.302468623231038e-06	0.0015761597658510002	0.004544335414231	3.929134523832959e-06	9.605243126702298e-05	2599.9999000184353	4.946759818711653e-06	3.504924938450915e-05	0.0012120705077970002
45.0.	1.422744623056998e-08	1.169673140866746e-06	0.002225003041612	1.0404052128601471e-05	4.877377925011146e-05	1.4616150669934213e-05	3399.9996709609923	583.6714554403227	816.3247785118051	2.9843316507692233e-05	9.48609927926743e-05	0.00027340052456500003	0.000184317646479	0.6319110712255921	89.3622660306419	1.1106104027080988e-06	1.019850520591224e-07	1.8187481998476528e-07	3.667763527665129e-05	0.00519799164031	32525.658017240563	24.852394056299005	35.14522571793469	3.644547186252355	296.3532266268044	2.0095881411868478e-07	0.001388307848196	2.498611491192995	9.818312669165667e-09	0.002251414223593	0.00043040139414600003	0	0.00036971600387300003	0.000553133212718	0.001171596684538	0.00022352770400300002	0.9996317384826411	8.645730490211286e-07	0.000169373283652	0.004275988871218	0.695395520293554	1.109342553796099e-05	2.946065317631036e-06	0.00014389390527000002	4.270255509704484e-10	2.1068056605697622e-08	4.1847625269524065e-05	0.38944004612974403	9.596018571826578	0.001509929421753	0.10821313270063501	5.0029093376779024e-05	0.009689759323616001	0.176548741222177	19.801172689324957	0.0005780319635050001	0.000107309132435	0.011756776370494	1.6616059120433163e-08	1.836785864427515e-06	4.7852570601161395e-05	29.999475792613794	0.000156432992409	0.00030530567254600003	62.67996563347698	107.30027651570188	0.00027269926080000003	3.678072578895048e-05	5.096476954591295e-05	5.894999041728938e-06	0.001816727344018	0.005235399477403001	8.353352984641394e-06	0.000126934185221	2599.9998647124635	1.076967380968311e-05	6.845330285988789e-05	0.002365501711037
50.0.	4.81245908380749e-08	3.692048172635847e-06	0.0045417647107980005	2.0833317505902394e-05	9.75960692260254e-05	3.1822068191504094e-05	3399.9995372100984	583.6711173240038	816.3218864322397	5.9353599109981723e-05	0.000176991502517	0.000509706918623	0.000337996695062	0.631905149775294	89.36116838479163	1.442919950586011e-06	1.995881033494815e-07	3.559101800623322e-07	4.3282547152607425e-05	0.006133934112621001	32525.56383121304	24.851421320485926	35.14373775374135	3.644529587864054	296.3509249072514	2.925258579564084e-07	0.0017723527402200001	2.498227354733929	1.1055291139573049e-08	0.002245060627165	0.000435397345853	0	0.00037394675892000003	0.0005597093409840001	0.0011850106415590002	0.000200571704367	0.9993133015788591	1.585884450588098e-06	0.00019153237591800002	0.004275223366997	0.695268372827333	2.0620883609583803e-05	4.8547049846305726e-06	0.000237128927545	1.539246064790162e-09	7.586704049507191e-08	4.7236820366180417e-05	0.38930925435260905	9.592763374727127	0.0015560861379520002	0.11152461966629001	9.179221757233778e-05	0.0109748900893	0.176476383685013	19.792961994292508	0.0010747021193	0.000165030065786	0.018081877859715	5.620444522840321e-08	6.207447437238095e-06	8.780207309456803e-05	29.998963890387294	0.000311853009124	0.0006046324623180001	62.67904635677827	107.29839626776017	0.00034835429191500003	6.41716788522811e-05	8.891661996357986e-05	1.0285671934497242e-05	0.0020520553106000003	0.005911271021006001	1.6613487672750373e-05	0.00016214957250100003	2599.99982123694	2.181702708229072e-05	0.00012726053379800002	0.004395543463719001
55.0.	1.545922286835558e-07	1.1114476250995052e-05	0.008777390687475	3.9707850107371146e-05	0.000185921436415	6.498490140865551e-05	3399.9993455225745	583.670423637101	816.316980273586	0.000112607424894	0.00031923296680700004	0.0009189293911410001	0.000603208639537	0.631898082167179	89.35974533089042	1.835565836333814e-06	3.9008651044346496e-07	6.956629704962065e-07	5.1295040156153545e-05	0.007270303933816001	32525.410599152212	24.849636551202327	35.14102992678847	3.644495263960475	296.3467160762825	4.087436330800824e-07	0.0022019637467120003	2.497797627509661	1.222097819517671e-08	0.0022343518276790003	0.00043976066826400005	0	0.00037765972361900003	0.0005654079487180001	0.001196790985819	0.00018560788128700001	0.9987618376420501	2.830257680862148e-06	0.000212977345226	0.004274035454946	0.695070822893828	3.713380345161384e-05	8.038428254726976e-06	0.000392660979062	5.183550178346826e-09	2.553122891914052e-07	5.244764352680914e-05	0.38916357996266504	9.589124323138735	0.0016078501353620001	0.11523740700097701	0.00016381145954100001	0.012218253088242	0.176368183213191	19.780670178260724	0.001935207204147	0.000256204677981	0.028075060815802	1.775264046048668e-07	1.9595178409969843e-05	0.000156748554155	29.998042891845135	0.00059230598476	0.001143068714559	62.67818450165221	107.2964236676385	0.000433073108425	0.000110850772378	0.000153594851708	1.7768475216958612e-05	0.002279920763001	0.006565518281721001	3.151960674839755e-05	0.000201583909843	2599.999766896484	4.1976429509555064e-05	0.00022922739754700002	0.007915036930179
