time	E	P	Q	X
0.0.	1.0	0.0	0.0	1.0
0.0.3.0	0.7857898794242271	0.21421012057577202	0.017927573873938	0.7678623055502891
0.0.6.0	0.6768212578133971	0.32317874218660203	0.059122668827061006	0.617698588986336
0.0.8999999999999999.0	0.6211662185765291	0.378833781423469	0.11225709241986201	0.5089091261566671
1.0.2.0	0.595542492493583	0.404457507506415	0.17128850741259202	0.42425398508099105
1.0.5.0	0.588060641147353	0.41193935885264504	0.232695405243824	0.35536523590352903
1.0.7999999999999998.0	0.592079290743182	0.407920709256817	0.29429949471584804	0.297779796027333
2.0.1.0	0.603622463117587	0.396377536882411	0.35469770153336805	0.24892476158421803
2.0.4.0	0.6201639872026691	0.37983601279733004	0.41296417027796	0.207199816924709
2.0.6999999999999997.0	0.640008244155961	0.35999175584403803	0.468484170494526	0.17152407366143502
3.0.	0.6619570288376131	0.338042971162385	0.520856975326475	0.14110005351113802
3.0.3.0	0.685123907601728	0.31487609239827	0.56983649244176	0.11528741515996802
3.0.5999999999999996.0	0.7088286957451461	0.29117130425485305	0.6152931456227531	0.09353555012239201
3.0.9.0	0.7325369252975371	0.267463074702461	0.657187893530035	0.075349031767502
4.0.2.0	0.7558248750738591	0.24417512492613902	0.695553230753662	0.06027164432019701
4.0.5.0	0.7783589203256651	0.22164107967433402	0.7304782540440711	0.047880666281593
4.0.8.0	0.7998825293789971	0.20011747062100202	0.7620961891969451	0.037786340182051
5.0.1.0	0.8202069625796871	0.17979303742031202	0.790573553920485	0.029633408659200004
5.0.3999999999999995.0	0.8392034463223751	0.16079655367762402	0.8161005854166551	0.023102860905719003
5.0.7.0	0.8567957023661261	0.14320429763387302	0.8388828063676961	0.017912895998429
6.0.	0.8729524137451421	0.12704758625485701	0.8591337141823321	0.013818699562809001
6.0.3.0	0.887679621002539	0.112320378997459	0.8770686071804991	0.010611013822040001
6.0.6.0	0.9010132479057951	0.098986752094204	0.892899544777444	0.00811370312835
6.0.8999999999999995.0	0.9130120195859611	0.086987980414037	0.9068314026631501	0.006180616922811
7.0.199999999999999.0	0.9237510123575331	0.076248987642465	0.919058945509979	0.004692066847554
7.0.5.0	0.933316006253295	0.066683993746703	0.9297648086341771	0.0035511976191180002
7.0.8.0	0.941798729567436	0.058201270432563006	0.9391182604905111	0.002680469076924
8.0.1.0	0.949293009083056	0.050706990916943	0.9472746103154721	0.002018398767583
8.0.4.0	0.955891780280338	0.044108219719661	0.9543751278720051	0.0015166524083320002
8.0.7.0	0.961684871821009	0.03831512817899	0.9605473523461241	0.001137519474885
9.0.	0.9667574567437831	0.033242543256217005	0.9659056821491581	0.000851774594624
9.0.299999999999999.0	0.9711890556237591	0.028810944376240002	0.97055215421059	0.0006369014131680001
9.0.6.0	0.9750529803058051	0.024947019694194	0.974577338412914	0.00047564189289
9.0.9.0	0.9784161168325901	0.021583883167409	0.9780612888390601	0.000354827993529
10.0.2.0	0.9813389596787371	0.018661040321262	0.98107450772502	0.000264451953715
10.0.5.0	0.9838758240404151	0.016124175959585003	0.9836788900987671	0.000196933941645
10.0.799999999999999.0	0.986075177164289	0.013924822835710001	0.9859286269945191	0.00014655016976800002
11.0.1.0	0.9879800426181541	0.012019957381846	0.9878710529948611	0.00010898962329000001
11.0.4.0	0.9896284425670341	0.010371557432966002	0.98954742990747	8.101265956102167e-05
11.0.7.0	0.9910538524028911	0.008946147597109001	0.990993662903981	6.0189498907936695e-05
12.0.	0.992285649561453	0.007714350438547001	0.9922409487134211	4.4700848030150235e-05
12.0.299999999999999.0	0.993349544232575	0.006650455767425001	0.9933163577284101	3.3186504162566354e-05
12.0.6.0	0.9942679841635811	0.00573201583642	0.9942433533736221	2.4630789956514454e-05
12.0.9.0	0.9950605291080871	0.0049394708919130005	0.995042252991827	1.8276116258286082e-05
13.0.2.0	0.9957441929102011	0.004255807089799	0.9957306349770251	1.355793317357217e-05
13.0.5.0	0.9963337529332631	0.003666247066737	0.996323697048863	1.0055884397916032e-05
13.0.799999999999999.0	0.996842027710461	0.0031579722895400003	0.9968345705125841	7.457197873755725e-06
14.0.1.0	0.997280124448198	0.002719875551803	0.9972745951562191	5.529291975694037e-06
