time	ATP	Ade	DNA	GTP	Gua	HX	IMP	PRPP	RNA	SAM	SAMP	UA	XMP	Xa	dATP	dGTP
0.0.	2475.35	0.9847300000000001	5179.34	410.223	5.50638	9.51785	98.2634	50.0	28680.5	3.99187	0.198189	100.293	24.793	5.05941	6.01413	3.02581
0.0.7000000000000001.0	2474.6235646547225	0.7546370817092931	5179.340232140611	413.2693447151961	1.904180868045946	6.431684338961431	117.54518331000041	6.162257583879239	28682.695861938995	3.991734168296897	0.21335215181667602	100.25612676100717	24.819314452591197	4.608678794966958	6.01407872421535	3.025985069236353
1.0.4000000000000001.0	2474.08039642813	0.823984065193572	5179.340565418103	412.1387220018207	2.729256736890018	7.302885693003086	116.83583223491547	5.471561233257843	28684.188713368276	3.991506902159184	0.212696599220585	100.14487143958054	24.848672219357013	4.285319468233472	6.013970997234098	3.0260686634390632
2.0.1.0	2473.9943755235295	0.8733484754309481	5179.340879788476	411.4469033993999	3.344230932602565	8.089284377560123	115.9730538375372	5.349572483499972	28684.920275114855	3.991424907021615	0.21198104549169103	99.99491698116353	24.87657218992041	4.136335702438252	6.013878076768258	3.026097976790533
2.0.8000000000000003.0	2474.163862861688	0.9055000259018241	5179.341151989034	411.04111667287384	3.795560138396877	8.749727787198943	115.1456266942999	5.275191763462145	28685.221872391492	3.991449991465152	0.21133467040897203	99.83343976430014	24.9029519738834	4.098759442439312	6.013813692291929	3.026108218396968
3.0.5000000000000004.0	2474.4653502963697	0.9269261353112491	5179.3413890667325	410.8033255773766	4.13748075965443	9.301058082094373	114.3656521207093	5.221023966219532	28685.290527889585	3.991534149031795	0.21074704848362902	99.67769688610463	24.927857303895127	4.131511192878354	6.013773424092393	3.02611169108445
4.0.2.0	2474.8278281546395	0.941629137711902	5179.3416024575245	410.664592241678	4.4026879681163384	9.759513782845671	113.63406695178814	5.17969082468626	28685.239927159648	3.9916474714779513	0.21020753569479403	99.53804815782144	24.951354389895354	4.207559553614883	6.01375019636874	3.02611253792894
4.0.9.0	2475.2110202856716	0.952028967093802	5179.341801414052	410.5842549299166	4.6119947537828665	10.138989377149166	112.94898311604075	5.147248944017702	28685.13505144615	3.9917727084480363	0.20970828407354902	99.42015491375449	24.97351605863615	4.3087804386286255	6.013738224629303	3.026112141636535
5.0.6000000000000005.0	2475.5926854057475	0.9596089371540901	5179.341992222386	410.5380953730929	4.779396419239519	10.45126841769149	112.30746092161968	5.121278719921007	28685.01224023719	3.9919001898445163	0.20924349547040302	99.32654457034444	24.994415822669566	4.42294227643084	6.013733498897699	3.026110958321978
6.0.300000000000001.0	2475.961153567739	0.9652930186121	5179.342178819563	410.51165575757744	4.914692477754114	10.706347977228925	111.70623182796989	5.100190155956501	28684.891000076892	3.992024705069132	0.208808774066602	99.25770610617091	25.014124966619065	4.54180408339462	6.013733423858541	3.026109137250403
7.0.000000000000001.0	2476.3108925323922	0.96966698956168	5179.342363541474	410.49633577102804	5.024960687944607	10.912728807614673	111.1420295605764	5.082885093223918	28684.78103259733	3.992143645706051	0.20840068166087303	99.21284358978974	25.032711154400086	4.659866187183258	6.013736376646253	3.026106729767163
7.0.700000000000001.0	2476.639865215288	0.9731095585417181	5179.342547704176	410.4870658361774	5.11544101084456	11.077657819973682	110.61174358898863	5.068574808286245	28684.686430809797	3.992255899416357	0.208016444580836	99.1903872594436	25.050237850175897	4.77353032563671	6.013741361313072	3.026103759194445
8.0.4.0	2476.9479588948625	0.97587095826653	5179.342731999777	410.48090380511275	5.1900923266816	11.207327408785854	110.11248586343474	5.056674540406368	28684.608177619008	3.992361191620971	0.20765376258440302	99.18833637356654	25.066764182045628	4.880525616639562	6.013747772434805	3.026100243674569
9.0.100000000000001.0	2477.2360593886965	0.9781205442077441	5179.342916750554	410.4761835917581	5.251956856374187	11.30703910772672	109.64161355485194	5.046739237149056	28684.545620893565	3.992459695943621	0.20731068395031302	99.20448685106243	25.082345044101356	4.979510924630995	6.013755242517531	3.026096203100282
9.0.8.0	2477.5055137064905	0.9799759237739081	5179.343102066832	410.471997705002	5.303406340178979	11.381338530036524	109.19672922156259	5.038422721883132	28684.497331205752	3.992551806433437	0.20698552287472702	99.23658053640555	25.097031321255507	5.069796180557523	6.013763546482125	3.026091660691695
10.0.500000000000002.0	2477.7578259348284	0.9815209807976081	5179.343287942868	410.46788320208185	5.346312790716084	11.43412731173788	108.7756696088639	5.03145080324001	28684.46158850311	3.9926380070459873	0.20667680374524103	99.28240129208599	25.110870170690905	5.151145076398995	6.013772543032109	3.026086642818603
11.0.200000000000001.0	2477.99449210155	0.9828171651978411	5179.343474313905	410.4636319944438	5.3821696411996545	11.468756583143453	108.37648910412945	5.025603007369082	28684.43664745759	3.9927187992778572	0.20638322248349703	99.33983504598723	25.12390532213651	5.223634178334785	6.013782139216207	3.026081178306609
11.0.9.0	2478.216916810389	0.983910661702848	5179.343661089325	410.4591772134003	5.4121794100810785	11.488105509277593	107.99744112738932	5.020699820339739	28684.420872500003	3.992794664222421	0.20610361877705702	99.4069054187294	25.13617737571923	5.287551655427215	6.013792269340468	3.026075297657777
12.0.600000000000001.0	2478.426377035672	0.9848370130189251	5179.343848171312	410.4545260039899	5.437318246854787	11.494647667915157	107.63695924130916	5.016593554198197	28684.412797648412	3.992866044670153	0.205836955329869	99.48179283732112	25.14772408589327	5.343324157667857	6.013802882650666	3.02606903233412
13.0.3.0	2478.624012277715	0.9856241540549631	5179.344035464819	410.44972052874175	5.4583841935077935	11.490507439973193	107.29363893080108	5.013161658304257	28684.41114426772	3.992933338587952	0.205582301715614	99.56284253301236	25.158580625709426	5.391463915486478	6.013813936313848	3.026062414149879
14.0.000000000000002.0	2478.8108287130185	0.9862944426034631	5179.344222882477	410.4448159820214	5.476033769553947	11.477508132246365	106.9662205316117	5.010301720045997	28684.4148164654	3.992996898799735	0.20533882132882403	99.64856512556742	25.168779829074225	5.43253050823118	6.013825391559705	3.026055474779604
14.0.700000000000001.0	2478.9877101066786	0.9868660477211291	5179.3444103465445	410.4398687457256	5.490810049629826	11.45721320391318	106.65357351974566	5.007927658282711	28684.422885645763	3.993057035816195	0.20510576049525903	99.73763234466833	25.178352410610913	5.4671033640754985	6.013837211674057	3.02604824537386
15.0.400000000000002.0	2479.155431360407	0.9873539207922051	5179.344597789278	410.434930491532	5.5031644523470575	11.430961699907403	106.35468222213669	5.005966775975544	28684.434570791942	3.9931140220511363	0.20488243915363602	99.82886965246757	25.187327163838944	5.495762165640994	6.013849361052236	3.026040756268847
16.0.1.0	2479.3146724316257	0.9877704908493361	5179.344785152449	410.43004568579187	5.51347381921886	11.399898786412004	106.06863292457845	5.004357443419213	28684.449218075522	3.993168096438166	0.204668242736382	99.92124699020174	25.195731138975834	5.519073110686119	6.013861804837899	3.026033036774821
16.0.8.0	2479.466031460077	0.9881261742835591	5179.344972386491	410.4252509698886	5.522053923927382	11.365002121581623	105.79460230758485	5.003047252426199	28684.466281639325	3.993219468923567	0.20446261500894203	100.01386849694482	25.203589801942847	5.53757952417183	6.013874508867232	3.026025115028898
17.0.5.0	2479.6100365763687	0.9884297570813351	5179.345159449491	410.4205755124729	5.5291702467086505	11.327104667067486	105.5318471183448	5.001991527967679	28684.485306383565	3.993268324581487	0.20426505170731601	100.1059617871033	25.210927176248404	5.551795708645338	6.013887439756975	3.02601701789929
18.0.200000000000003.0	2479.74715622531	0.9886886876429801	5179.345346306218	410.4160418100366	5.535046632620986	11.28691444474387	105.27969497776269	5.00115211522809	28684.50591301663	3.993314827251859	0.204075094861975	100.19686718962976	25.217765969410358	5.562203202110945	6.013900565045809	3.026008770929878
18.0.900000000000002.0	2479.8778080286306	0.9889093054973421	5179.345532927191	410.41166664182214	5.539872297591186	11.245031662037835	105.0375362201142	5.00049638182536	28684.52778532845	3.993359122685954	0.20389232772564703	100.28602722219387	25.224127685503777	5.569248818740338	6.013913853341025	3.026000398315847
19.0.6.0	2480.002366305614	0.9890970230516001	5179.345719287875	410.4074620219373	5.543807533665721	11.20196356381071	104.8048166657551	4.999996390290671	28684.55065949771	3.993401341227938	0.203716370240226	100.37297648140915	25.230032725316754	5.573344000000894	6.013927274447018	3.02599192290282
20.0.3.0	2480.1211684082396	0.9892564721991991	5179.345905367967	410.40343607169945	5.546988382249831	11.158137315345739	104.58103123260446	4.999628206862012	28684.574315184767	3.993441600080238	0.203546874989146	100.45733206451895	25.235500475477544	5.574865117291015	6.013940799466156	3.025983366203421
21.0.000000000000004.0	2480.234520034666	0.9893916241028081	5179.346091150798	410.3995937809434	5.549530482722984	11.113911177029804	104.36571829859017	4.9993713205864765	28684.598568153102	3.9934800052068082	0.203383523588607	100.53878459099387	25.240549387794	5.574154452595424	6.013954400870149	3.025974748426472
21.0.700000000000003.0	2480.342699676262	0.9895058881205321	5179.346276622808	410.3959376520605	5.551532257751634	11.069584194783365	104.1584547341837	4.999208152556327	28684.623264176706	3.993516652927313	0.20322602347593402	100.61708985894181	25.245197049926663	5.571521648502365	6.013968052543894	3.025966088515075
22.0.400000000000002.0	2480.4459623375283	0.9896021942439701	5179.346461773125	410.39246823336276	5.5530775617339625	11.025404599672067	103.95885153114087	4.999123639438789	28684.64827401699	3.993551631250874	0.20307410505699303	100.69206114732694	25.249460248402304	5.56724546849366	6.013981729805481	3.025957404190674
23.0.1.0	2480.5445426500087	0.989683062308177	5179.346646593194	410.3891845541159	5.554237892167878	10.981577084262335	103.76654996036598	4.999104878722164	28684.67348928273	3.993585020992149	0.20292751917756702	100.76356215808553	25.25335502486842	5.561575746565629	6.013995409406486	3.025948712000918
23.0.8.0	2480.6386574831904	0.9897506604515051	5179.346831076471	410.3860844754024	5.555074243226155	10.938269101265305	103.58121819828186	4.999140825585164	28684.69881901526	3.99361689670648	0.20278603488624103	100.8315005804326	25.25689672639088	5.554735434753525	6.014009069516594	3.02594002736963
24.0.500000000000004.0	2480.728508138847	0.9898068547415321	5179.347015218164	410.3831649707008	5.555638664923871	10.8956163111533	103.40254836715454	4.999222033209573	28684.724186867807	3.993647327475035	0.20264943745879602	100.89582225161348	25.26010005050751	5.546922680062203	6.014022689696156	3.025931364647671
25.0.200000000000003.0	2480.814282200678	0.98985325147247	5179.347199015016	410.38042234878907	5.555975578854228	10.85372728918731	103.2302539404493	4.99934042984564	28684.749528770855	3.993676377565836	0.20251752665647402	100.95650588308877	25.262979085668597	5.5383128801696095	6.014036250859739	3.025922737163776
25.0.900000000000002.0	2480.8961550986232	0.9898912333338331	5179.347382465107	410.37785242990714	5.55612289172231	10.812687588233693	103.06406746947846	4.999489127111522	28684.774790995027	3.993704106992034	0.202390115192727	101.01355831793002	25.2655473476225	5.5290606812050225	6.014049735233195	3.025914157274713
26.0.6.0	2480.9742914367266	0.9899219904188711	5179.3475655677075	410.3754506843993	5.5561129402052	10.772563241532302	102.90373859234647	4.999662254939461	28684.79992853945	3.9937305719850897	0.202267027385257	101.06701028351684	25.267817812238135	5.519301891770868	6.014063126306329	3.025905636414305
27.0.300000000000004.0	2481.0488461246828	0.9899465468635881	5179.347748323133	410.3732123414434	5.555973294546831	10.733403778931724	102.74903229051993	4.9998548193290855	28684.824903787026	3.993755825397373	0.202148097972244	101.11691260306856	25.269802945197622	5.509155295832932	6.014076408782757	3.025897185141006
28.0.000000000000004.0	2481.119965346038	0.9899657837685011	5179.3479307326215	410.3711324740612	5.555727443405848	10.6952448208062	102.59972736226997	5.000062579674098	28684.84968537898	3.993779917046065	0.20203317107367202	101.16333282981468	25.271514728939476	5.498724353655425	6.014089568528197	3.025888813183832
28.0.700000000000003.0	2481.1877873900926	0.9899804589457151	5179.348112798237	410.36920606539513	5.5553953785462085	10.658110305729696	102.45561508577478	5.000281942924015	28684.87424727014	3.993802894008163	0.201922099280527	101.20635226848721	25.272964687186086	5.488098784999435	6.014102592518195	3.025880529486516
29.0.400000000000002.0	2481.252443369747	0.9899912239460741	5179.3482945227715	410.3674280602301	5.554994094787815	10.62201440085124	102.31649804785866	5.000509872251077	28684.898567933586	3.9938248008746	0.20181474285641102	101.24606335012705	25.274163907347777	5.477356032645331	6.014115468785965	3.025872342249843
30.0.1.0	2481.3140578436237	0.9899986387500721	5179.348475909662	410.36579340492034	5.554538018059404	10.58696313766385	102.18218911720261	5.000743808231924	28684.92262968905	3.9938456799701	0.20171096903777702	101.28256732780558	25.27512306105898	5.466562607186559	6.014128186370918	3.025864258972138
30.0.800000000000004.0	2481.3727493575475	0.9900031844479581	5179.34865696293	410.36429707821327	5.554039372295277	10.55295581037659	102.0525105434206	5.00098160083781	28684.946418134426	3.99386557154421	0.20161065142046403	101.31597226266769	25.275852423069786	5.455775316169356	6.014140735268237	3.025856286487931
31.0.500000000000004.0	2481.4286309179197	0.990005274186429	5179.348837687108	410.3629341149346	5.553508494195328	10.519986169291759	101.92729316567632	5.001221450766425	28684.96992166325	3.993884513938011	0.201513669421637	101.3463912716249	25.276361888687415	5.445042382176537	6.014153106379797	3.025848431004826
32.0.2.0	2481.48181040734	0.9900052626192071	5179.3490180871795	410.3616996240719	5.552954103449199	10.488043437375067	101.80637571654424	5.001461858851363	28684.993131054194	3.9939025437302433	0.20141990780746202	101.3739410100047	25.276660989937337	5.434404455499386	6.0141652914666	3.025840698138634
