time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
0.0.	10.0	0.0	540.0	0.0	1000.0	450.0	5e-05
21.0.900000000000002.0	9.997318699423007	5.6861930293013015e-09	540.1050465664797	5.28230982637939e-07	1000.0752035051506	449.97283770533005	2.221320284195559e-06
43.0.800000000000004.0	9.999111871407488	7.224314288729848e-09	540.1807823330416	6.711177962970197e-07	1000.1343991835155	449.9545043007234	2.8222439052339926e-06
65.0.7.0	10.000611322989048	9.179316743516543e-09	540.2412487252686	8.527385914461095e-07	1000.1839909312548	449.942130021078	3.585959144707187e-06
87.0.60000000000001.0	10.0018648322865	1.166431721550701e-08	540.2898674227739	1.0835969163412938e-06	1000.2255112576404	449.93377790731745	4.5567150017319885e-06
109.0.50000000000001.0	10.002912528266604	1.4823056098479642e-08	540.3292020466874	1.377046465345386e-06	1000.2602565493391	449.9281405825142	5.790662598980992e-06
131.0.4.0	10.003788057773974	1.883826088212122e-08	540.3611951778346	1.750062901258282e-06	1000.2893206302502	449.92433562573916	7.359183196450014e-06
153.0.3.0	10.004519610741443	2.394222115552997e-08	540.3873352161444	2.224226282382395e-06	1000.3136245152458	449.92176744018957	9.353019153732106e-06
175.0.20000000000002.0	10.005130790218296	3.043023182054628e-08	540.4087747703887	2.826969958766788e-06	1000.3339424411301	449.9200340231214	1.1887525424613511e-05
197.0.10000000000002.0	10.005641348337052	3.8677682649510345e-08	540.4264153840217	3.593168218814437e-06	1000.3509244038216	449.9188640396156	1.51093454750818e-05
219.0.00000000000003.0	10.006067807276537	4.9161783221589464e-08	540.4409687441005	4.567154569790891e-06	1000.3651155177259	449.9180743500315	1.9204897980673992e-05
240.0.90000000000003.0	10.006423982099932	6.248918053757963e-08	540.4530013528414	5.805287457341938e-06	1000.3769725455448	449.91754134282553	2.441116545827458e-05
262.0.8.0	10.00672142021721	7.943106764014753e-08	540.4629674819557	7.379211911058389e-06	1000.3868779462301	449.917181585413	3.1029409207979754e-05
284.0.70000000000005.0	10.006969770230754	1.009678150920173e-07	540.4712337543092	9.380005878308535e-06	1000.3951517698282	449.91693876431344	3.9442604294442996e-05
306.0.6.0	10.007177091114523	1.2834570827609e-07	540.478097686347	1.192345120764087e-05	1000.4020616995593	449.9167748702993	5.0137603585158055e-05
328.0.50000000000006.0	10.007350111066533	1.6314907407046738e-07	540.4838018295985	1.5156734328811671e-05	1000.4078315092934	449.91666424874336	6.373331354361878e-05
350.0.40000000000003.0	10.007494443959455	2.0739197105814096e-07	540.4885446697791	1.9266964415157802e-05	1000.4126481719487	449.91658958385267	8.101651238506234e-05
372.0.3.0	10.00761477008287	2.636347495897223e-07	540.492489109251	2.4492001993181226e-05	1000.416667823168	449.91653918819645	0.00010298738347300001
394.0.20000000000005.0	10.007714986806228	3.351322272359818e-07	540.4957691264989	3.113422466959171e-05	1000.4200207559143	449.9165051732514	0.000130917399056
416.0.1.0	10.00779833387472	4.260220547149834e-07	540.4984950432729	3.9578026613504646e-05	1000.4228155957933	449.9164822145963	0.000166422904151
438.0.00000000000006.0	10.00786749726166	5.415641731014272e-07	540.5007577146387	5.031206449409501e-05	1000.4251427840006	449.91646671847116	0.00021155865889000002
459.0.90000000000003.0	10.007924694821046	6.884452195608426e-07	540.5026318746438	6.395753723033751e-05	1000.4270774746872	449.9164562592394	0.000268936752604
481.0.80000000000007.0	10.007971746395707	8.751654969998005e-07	540.5041788105868	8.130413604554273e-05	1000.4286819359828	449.91644919969843	0.00034187777096100004
503.0.70000000000005.0	10.008010130521988	1.112530900223697e-06	540.5054484950009	0.000103355745125	1000.4300075286047	449.9164444348057	0.000434602963722
525.0.6.0	10.008041029416407	1.414278263661797e-06	540.5064812716361	0.000131388537319	1000.4310963225727	449.91644121870394	0.000552478532821
547.0.5.0	10.008065363517247	1.797870314473274e-06	540.5073091665438	0.00016702482638600001	1000.4319824007291	449.91643904797047	0.000702326175804
569.0.4000000000001.0	10.008083816471153	2.285506225924432e-06	540.5079568754443	0.00021232694877400002	1000.4326928871877	449.9164375828168	0.0008928178523340001
591.0.3000000000001.0	10.008096851085819	2.9054062360355927e-06	540.5084424621623	0.000269916606336	1000.4332487291606	449.91643659389985	0.001134977612878
613.0.2.0	10.008104716400663	3.693444645558893e-06	540.5087777886944	0.00034312657383000003	1000.4336652515364	449.9164359264226	0.001442819520163
635.0.1.0	10.0081074456415	4.695225651749369e-06	540.508968684429	0.00043619354618200005	1000.4339524947463	449.91643547590354	0.0018341585626380002
657.0.0000000000001.0	10.008104844404563	5.96872207122384e-06	540.5090148492777	0.000554503278461	1000.434115337506	449.9164351718222	0.002331641458713
678.0.9000000000001.0	10.008096467939348	7.58762953037549e-06	540.5089094722124	0.0007049021929700001	1000.4341533965553	449.91643496658014	0.0029640569567530002
700.0.8000000000001.0	10.008081585844064	9.645630025602059e-06	540.5086385321299	0.0008960934667000001	1000.4340606851218	449.91643482805034	0.0037680013794120005
722.0.7.0	10.008059131822789	1.2261811250052871e-05	540.5081797312789	0.001139140488872	1000.4338249999516	449.9164347345486	0.004789995668775001
744.0.6.0	10.008027635343021	1.5587554755213553e-05	540.5075009916923	0.001448106771568	1000.4334269928019	449.9164346714388	0.006089176235528001
766.0.5000000000001.0	10.007985131033058	1.981529067199381e-05	540.5065584210953	0.0018408692602990002	1000.4328388655236	449.91643462884247	0.007740714989104
788.0.4000000000001.0	10.007929040413472	2.518962417410156e-05	540.5052936252476	0.0023401519728080003	1000.4320226073517	449.91643460009163	0.009840165908713
810.0.3000000000001.0	10.007856018998186	3.202147521235952e-05	540.5036302069415	0.002974839558811	1000.4309276676616	449.9164345806861	0.012508988786251
832.0.2.0	10.007761759841134	4.070604595823701e-05	540.5014692459092	0.0037816464329740005	1000.4294879258194	449.91643456758806	0.015901568331699003
854.0.1000000000001.0	10.007640742136628	5.174564952818174e-05	540.4986834960914	0.004807237484984001	1000.427617780112	449.91643455874754	0.020214132456617
876.0.0000000000001.0	10.007485910370374	6.577871103916759e-05	540.4951099638793	0.006110922138560001	1000.4252071278813	449.9164345527805	0.025696081982231
897.0.9000000000001.0	10.007288265596266	8.361660302463803e-05	540.4905404391033	0.007768076121299001	1000.4221149461786	449.91643454875305	0.03266438118361
919.0.8000000000001.0	10.007036345474747	0.00010629042057100001	540.4847094346837	0.009874486466873	1000.4181611030825	449.91643454603474	0.0415218318589
941.0.7.0	10.00671556349681	0.00013511036053	540.4772788448288	0.012551867159168001	1000.4131159300467	449.9164345442	0.05278027212745601
963.0.6000000000001.0	10.00630737002581	0.00017174107234	540.4678184478838	0.015954858087305002	1000.4066869600324	449.91643454296155	0.067090016103046
985.0.5000000000001.0	10.005788188046486	0.00021829723003300003	540.4557811491173	0.02027990180799	1000.3985020783292	449.91643454212567	0.08527719552368401
1007.0.4000000000001.0	10.005128064385168	0.000277464676935	540.4404715697193	0.02577649480945	1000.388088135154	449.9164345415614	0.108391095533793
1029.0.3000000000002.0	10.004288962163555	0.000352653864576	540.4210062279178	0.032761436952872	1000.3748438220815	449.9164345411806	0.13776411298305902
1051.0.2.0	10.003222601840505	0.00044819399904800003	540.3962631111992	0.041636859471809	1000.3580053074362	449.91643454092355	0.175087628104861
1073.0.1000000000001.0	10.001867735853711	0.0005695783788380001	540.364817888389	0.052913003544139005	1000.3366027469181	449.9164345407502	0.22250789196706602
1095.0.	10.000146715162725	0.0007237739126050001	540.3248633395639	0.067236952929355	1000.3094053222036	449.9164345406331	0.282747014597553
1116.0.9.0	9.99796117473672	0.0009196107845580001	540.2741077748465	0.08542879903593201	1000.2748518999596	449.9164345405541	0.359255309128718
1138.0.8000000000002.0	9.99518662958026	0.0011682716963320001	540.2096472604367	0.10852703531730401	1000.2309637375334	449.91643454050075	0.456402609986688
1160.0.7.0	9.991665734604194	0.0014839039967810001	540.1278053752465	0.13784533380473102	1000.1752348881192	449.91643454046476	0.5797177165884361
1182.0.6000000000001.0	9.987199923636089	0.0018843821293860002	540.023933013267	0.175043231641925	1000.104495091117	449.91643454044043	0.7361867491615061
1204.0.5000000000002.0	9.981539111169823	0.0023922517795690003	539.8921594998758	0.22221361091185202	1000.0147390141632	449.9164345404241	0.9346227886351661
1226.0.4.0	9.974369125835123	0.0030358901332330004	539.7250851563108	0.281990118205033	999.9009148308995	449.91643454041304	1.186120419736905
1248.0.3000000000002.0	9.965296565088806	0.0038509174374560004	539.5134047022075	0.357677714919508	999.7566644400615	449.9164345404056	1.504609198776353
1270.0.2.0	9.953830845202308	0.004881891388913	539.2454510031907	0.453409166845801	999.5740074470308	449.91643454040053	1.9075187828917102
1292.0.1000000000001.0	9.93936341344849	0.006184304294102	538.9066504126189	0.5743291440602111	999.3429618148214	449.9164345403971	2.416564149686317
1314.0.0000000000002.0	9.921144454686672	0.007826878208599	538.4788855019633	0.726805216427122	999.0510965916831	449.91643454039485	3.058649981320203
1335.0.9.0	9.898258049645202	0.009894107877115001	537.9397700501956	0.9186606945803961	998.6830174426941	449.9164345403933	3.866875977546225
1357.0.8000000000002.0	9.869597734886687	0.012488925281864	537.2618571450436	1.159417053867395	998.219795399474	449.9164345403922	4.881595700809312
1379.0.7.0	9.833845886350971	0.015735241050814003	536.4118271235612	1.460522496632073	997.638365287989	449.91643454039155	6.151435842833434
1401.0.6000000000001.0	9.789462371179436	0.019779945352836	535.3497410607089	1.835527029172379	996.9109449468071	449.916434540391	7.734115883475097
1423.0.5000000000002.0	9.734690428953915	0.024793718689116003	534.0284999925034	2.300142837706107	996.004561518246	449.9164345403906	9.696817494048592
1445.0.4.0	9.667590417741224	0.030969722454296	532.3937194294944	2.872102969702151	994.8808170797854	449.9164345403906	12.115742497035471
1467.0.3000000000002.0	9.58611407610702	0.038518955541696	530.3843057081203	3.57070584628017	993.4960791264424	449.9164345403906	15.074384429438542
1489.0.2.0	9.488231830502478	0.047660877303710006	527.9340864226319	4.415917647935027	991.8023313187658	449.9164345403906	18.65995987814873
1511.0.1000000000001.0	9.372121304586992	0.058607980776945005	524.9748663804072	5.426915359201795	989.7489455653655	449.9164345403906	22.957467973324604
1533.0.0000000000002.0	9.236414373001843	0.07154358392175701	521.4412018005668	6.620011488672631	987.2856057865555	449.9164345403906	28.041060361129198
1554.0.9.0	9.080481976835507	0.08659340609467901	517.2769529866279	8.006026110549316	984.3664890204993	449.9164345403906	33.962897511172805
1576.0.8000000000002.0	8.904713032025848	0.103793552957017	512.4432593268091	9.587364302936908	980.9555647551207	449.9164345403906	40.740464676675316
1598.0.7.0	8.710723739312158	0.123060000206565	506.92702141495573	11.355281900418273	977.0325215952844	449.9164345403906	48.344299065758555
1620.0.6000000000001.0	8.501428113863836	0.144166686059738	500.74842363313877	13.287997549517886	972.5984505229716	449.9164345403906	56.688912189131734
1642.0.5000000000002.0	8.280919823707148	0.166739693975395	493.9657326684625	15.350324300490502	967.6801510270267	449.9164345403906	65.62990461569753
1664.0.4.0	8.054159922114904	0.19027277701390902	486.6758062515585	17.4952680374764	962.3319415285544	449.9164345403906	74.96946695286444
1686.0.3000000000002.0	7.826520551663988	0.21416471104324902	479.0095244211545	19.667590125265743	956.6342343495178	449.9164345403906	84.47062842675052
1708.0.2000000000003.0	7.603277310496362	0.23777312358976802	471.12252249919413	21.808800945961664	950.6888084196319	449.9164345403906	93.8782936624454
1730.0.1000000000001.0	7.38915317313204	0.260474838496423	463.18274456772355	23.86265187448508	944.611458994227	449.9164345403906	102.94320773104779
1752.0.0000000000002.0	7.187992003864221	0.28172130991675404	455.3570169012951	25.78009017036777	938.5232549258335	449.9164345403906	111.44429769071398
1773.0.9.0	7.002594609124742	0.30107980770117204	447.7988483579964	27.5228575359308	932.5418148511424	449.9164345403906	119.20557273874648
1795.0.8000000000002.0	6.834706166738901	0.31825547310433605	440.6390910567147	29.065330105739918	926.7738173426872	449.9164345403906	126.10549243805762
1817.0.7000000000003.0	6.685115743272252	0.333094247314597	433.9802391386964	30.39463735431645	921.3095210239886	449.9164345403906	132.07866798729833
1839.0.6000000000001.0	6.553820012110079	0.34557036290729604	427.8943282307189	31.50941839178323	916.2195715379082	449.9164345403906	137.11127870050242
1861.0.5000000000002.0	6.440209155781632	0.355763872935532	422.4238297410309	32.41772026521923	911.5539575753555	449.9164345403906	141.232353965647
