time	Amadori	CML	Glucose	Glyoxal	Lysine	Schiff
0.0.	0.0	0.0	0.25	0.0	0.0034000000000000002	0.0
7.0.	2.188001170221824e-06	4.159370669967454e-07	0.24996511270976401	5.555504588890052e-06	0.0033711154733810002	1.7537201380178522e-05
14.0.	5.305669821270736e-06	9.061500864052625e-07	0.24994437987332102	1.105035949668932e-05	0.00335646060995	1.8361200529557873e-05
21.0.	8.43828839287424e-06	1.402698170268346e-06	0.249924439695888	1.6477873439840872e-05	0.0033425980824240004	1.832872716046785e-05
28.0.	1.1538118805056701e-05	1.9028688502744318e-06	0.249904590535783	2.183860249796569e-05	0.003328823355094	1.8250739682791244e-05
35.0.	1.460288258439052e-05	2.4064518605609078e-06	0.24988479463422603	2.713337036945621e-05	0.003315098562444	1.8170559816784513e-05
42.0.	1.7632728767627032e-05	2.913370711228176e-06	0.24986504971493603	3.2363004789353364e-05	0.003301421468651	1.809050438563865e-05
49.0.	2.0627934233426325e-05	3.423557016949771e-06	0.24984535540171401	3.752832366672681e-05	0.0032877917450860003	1.8010696277070443e-05
56.0.	2.3588780686585082e-05	3.936943744191593e-06	0.24982571142178603	4.2630134479252776e-05	0.0032742091661580003	1.7931141169293762e-05
63.0.	2.651554810118234e-05	4.453464835987743e-06	0.24980611750981901	4.766923436684062e-05	0.003260673512943	1.785183847882244e-05
70.0.	2.9408514383051602e-05	4.973055178728126e-06	0.24978657340277802	5.2646410258391445e-05	0.003247184568033	1.777278729557435e-05
77.0.	3.226795536814115e-05	5.495650586118638e-06	0.24976707883964203	5.756243901380282e-05	0.003233742115259	1.7693986696207362e-05
84.0.	3.509414483599487e-05	6.021187785386705e-06	0.24974763356137003	6.241808755290794e-05	0.0032203459396790003	1.7615435761210542e-05
91.0.	3.7887354524690595e-05	6.549604403490617e-06	0.24972823731089502	6.721411298561533e-05	0.0032069958275730004	1.7537133575857703e-05
98.0.	4.064785414571602e-05	7.080838953557823e-06	0.24970888983310302	7.195126274023644e-05	0.0031936915664420003	1.7459079230267963e-05
