time	Act_C_Cyt	Act_C_Nuc	Ca_Cyt	Ca_Nuc	Inact_C_Cyt	Inact_C_Nuc	NFAT_Act_C_Cyt	NFAT_Act_C_Nuc	NFAT_Cyt	NFAT_Nuc	NFAT_Pi_Act_C_Cyt	NFAT_Pi_Act_C_Nuc	NFAT_Pi_Cyt	NFAT_Pi_Nuc
0.0.	9.1e-06	5.05e-05	1.0	1.0	0.0097108	0.049198	6.099999999999999e-06	0.0009477	0.00011009999999999999	0.0005219	2.2e-06	2.4999999999999998e-06	0.009439699999999999	0.0002272
4.0.	0.004140338906122001	0.023058967650281002	0.9702232933059951	0.964825618862127	0.004660279252952	0.025868003167028003	0.00028902797556300003	0.0017521501954680001	0.00010009788008900001	0.00031003928012500004	0.00042240608786400005	3.4125466395990895e-05	0.008508807797553001	0.00016898071864400002
8.0.	0.0037342359231240002	0.023110416463316002	0.9675290801265181	0.9672815784976401	0.00423336196512	0.025565060231379003	0.000423794923622	0.003673279215503	9.228977097642103e-05	0.00018045499713800002	0.00041837117673700004	3.630946205700703e-05	0.007641834645875	0.00014648420910400001
12.0.	0.0034167104841770005	0.023010543096693002	0.9665895216812801	0.96671364238524	0.0038759440971880004	0.025481043172240002	0.00040298039158600006	0.005657499901819	8.619201995422313e-05	0.000121394124601	0.00035702736326900005	3.828313505465826e-05	0.006926691349378001	0.00013186786147200002
16.0.	0.0031555527144190004	0.022916237735393002	0.965917327895606	0.9660327324176311	0.0035798059920250005	0.025425646405811003	0.00035695324261400004	0.007369546204365001	8.096869070792865e-05	9.91455131057742e-05	0.00030324271537600004	4.020412581501414e-05	0.006326021927438001	0.0001201007144
20.0.	0.002937036320242	0.022831805809529003	0.965360181869039	0.9654407688542941	0.003331787168423	0.025376640585291002	0.00031630935163300003	0.00880952970178	7.63773961263698e-05	9.51220233332578e-05	0.000260870678497	4.188189847141329e-05	0.005813867823419001	0.00011021334841900001
24.0.	0.002752070353308	0.022753458891512	0.964883531062769	0.9649319219138811	0.003121803119214	0.025328671135611002	0.000284088044154	0.010030760229864	7.231014627710733e-05	9.965252386255792e-05	0.00022748936998400002	4.332754378555671e-05	0.005371574086169	0.00010175188892900001
28.0.	0.002594020173045	0.022678704839501	0.96446916693407	0.96449004879699	0.0029423650111120004	0.025279735856584003	0.000258762789873	0.011080385878325001	6.869055421733986e-05	0.000107838812179	0.00020081324742900002	4.458343821096133e-05	0.004985390869677001	9.441260523900342e-05
32.0.	0.002457895194492	0.022606175795162	0.9641046027398491	0.964102298462376	0.002787819995743	0.025229099488872003	0.00023865179328200003	0.011993775234665001	6.545560605770022e-05	0.000117262057202	0.000179178067471	4.5686483802955356e-05	0.004644962874412	8.797530583204877e-05
36.0.	0.0023398656585590003	0.022535132967893	0.9637807069640191	0.963758908774998	0.002653823740534	0.025176603853421003	0.000222477064232	0.012797126057236001	6.25521754722551e-05	0.00012677243899800002	0.00016139583356200002	4.6664927960966964e-05	0.0043423445282970005	8.227531189537061e-05
40.0.	0.0022369430741690003	0.022465174370613003	0.963490582645614	0.9634523665934751	0.0025369835085940003	0.025122348275288003	0.000209312575585	0.013510161937384002	5.9935535485186596e-05	0.00013586071993800002	0.00014660654436100001	4.754024830436876e-05	0.0040713390167700005	7.718667115566703e-05
44.0.	0.002146761128015	0.022396078231196003	0.963228890211777	0.9631767922788781	0.0024346117481240004	0.025066533668938	0.00019848367386500002	0.014148033229940002	5.7568081826998785e-05	0.00014433460780700002	0.00013417623259300002	4.832904231211647e-05	0.0038270433321390004	7.261121555357205e-05
48.0.	0.0020674217934980002	0.02232771989395	0.962991410829883	0.9629275146871271	0.0023445523266330003	0.025009388039283	0.00018949135560100003	0.014722594215678002	5.5418158234039055e-05	0.000152153426889	0.000123629478228	4.9044376603674346e-05	0.0036055281405060003	6.847117850348233e-05
52.0.	0.0019973850114570002	0.022260027579437	0.962774754414035	0.9627007733300741	0.002265055638718	0.024951132811960004	0.00018196070836200002	0.015243270352914002	5.3459028907559774e-05	0.000159344654577	0.000114604208571	4.969671096608283e-05	0.0034036080786820004	6.470408155939228e-05
56.0.	0.0019353881739030002	0.022192958687008	0.962576158162127	0.962493505301767	0.0021946872972100004	0.024891969309407003	0.00017560595068	0.015717660611097	5.1668014032373774e-05	0.00016596258642700003	0.000106820825293	5.0294538790719725e-05	0.003218674044463	6.125910905282156e-05
60.0.	0.001880386410236	0.022126486997585	0.9623933435563031	0.962303189877949	0.002132260341135	0.02483207486013	0.00017020637483400002	0.016151965686416	5.0025778233500574e-05	0.00017206851899300002	0.00010006070447700001	5.084484122224933e-05	0.0030485688196630004	5.8094482833888936e-05
