time	a1	a2	a3	x1	x2	x3
0.0.	1.0	1.0	1.0	0.01	0.01	0.01
0.0.5.0	0.9967619093404501	1.643383982021796	12.765643964677801	0.016483936391674	0.016475875815738002	0.016476226388534
1.0.	0.9914482471093791	2.695048828839883	162.6199894436271	0.027160590317772	0.027134474166668	0.027135662559335003
1.0.5.0	0.9827576369893851	4.404482530934295	2064.4562058651713	0.044721553382164006	0.044657920478262	0.044660521016897006
2.0.	0.9686216765416331	7.157484018761561	26060.003102640672	0.073553031791009	0.07341511586660701	0.073420036099024
2.0.5.0	0.945834284082204	11.523658169227248	325917.2983076652	0.12074647968684701	0.12046665971930001	0.12047536135336401
3.0.	0.909636594212861	18.274003604376798	4014700.8659930076	0.197617803640241	0.197075130702719	0.197089935843328
3.0.5.0	0.853493490568978	28.27452770868283	48252124.6824305	0.32183430299006904	0.32081966955198105	0.320844170327642
4.0.	0.769697820778087	42.054576378849035	557486836.4607505	0.519988859234036	0.518157429908884	0.5181969380787911
4.0.5.0	0.652021995606288	58.77175801429891	6051852034.8075075	0.829690922906212	0.8265139174097741	0.8265757010752871
5.0.	0.5016457926543461	74.62780142160747	59691933892.74214	1.298583890496332	1.2933439372521551	1.293436637910458
5.0.5.0	0.334757975795196	82.24280492354421	510980703947.419	1.975370470799208	1.967301868764376	1.9674331446063311
6.0.	0.18317281940214	74.37474667750465	3589378791129.5557	2.887697141083128	2.876431540218758	2.876603451035653
6.0.5.0	0.077620614592353	52.125559861174516	19540139803408.184	4.010106825236432	3.9966538846688753	3.996858077373113
7.0.	0.024433762012548002	27.139478246351846	79023995929748.05	5.243370729646187	5.232676813529594	5.232895314476825
7.0.5.0	0.005663950062920001	10.377890053632289	234718056230435.8	6.42767871896997	6.440831073709656	6.441049021270374
8.0.	0.001004226374167	2.986327914965194	524631469403741.1	7.338511320440678	7.489646522815077	7.489886336507716
8.0.5.0	0.000153928114124	0.679818447010421	927640029761318.9	7.467814529826419	8.31024492180843	8.310694365260648
9.0.	2.67025515134661e-05	0.12979529930994801	1375467958037777.8	6.401887878319417	8.900699483421185	8.902429958750165
