time	Cvar	Mvar	X
0.0.	0.01	0.01	0.01
1.0.	0.034758213774536	0.00074034410952	7.320978326250835e-06
2.0.	0.059285987362328006	0.0013334019200550002	1.324044846617603e-05
3.0.	0.083568294671528	0.0019882906341030003	1.979300114145865e-05
4.0.	0.10760738046654801	0.0027151237484580003	2.7085050515017885e-05
5.0.	0.131405456992329	0.0035263318525880004	3.524811797065566e-05
6.0.	0.15496468642427402	0.004437359316121	4.4446625553526664e-05
7.0.	0.178287168527093	0.005467625109629001	5.488875576233751e-05
8.0.	0.201374927430709	0.006641869755076001	6.684184655406531e-05
9.0.	0.22422989502221702	0.007992078485898	8.065466445442376e-05
10.0.	0.24685388802267003	0.009560278270192001	9.679029992251812e-05
11.0.	0.269248577090903	0.011402696258187002	0.00011587597118400001
12.0.	0.291415438606182	0.013596076458403002	0.000138780356537
13.0.	0.31335568620187004	0.016247491765779002	0.00016673704302800003
14.0.	0.33507016339204204	0.019509918470602003	0.00020154740939300002
15.0.	0.35655917368608303	0.023607406511644002	0.000245923980608
16.0.	0.37782220266501804	0.028876121535230004	0.00030408742605600003
17.0.	0.398857449449289	0.035830635446541005	0.000382827018707
18.0.	0.41966101679493	0.045266086888825004	0.000493404339187
19.0.	0.440225487690229	0.05839756612530501	0.000654961750396
20.0.	0.46053740663902704	0.077001127571949	0.0009005900986890001
21.0.	0.480572786245188	0.10345124888955301	0.001288475197225
22.0.	0.5002887539524711	0.14051304161526001	0.001925106301997
23.0.	0.519606183521238	0.19086275466045102	0.003024489686099
24.0.	0.538366263491605	0.25651572285817503	0.005094273784037
25.0.	0.556193287267165	0.33833576104852303	0.009669106571041001
26.0.	0.5719315949254871	0.43540228777272405	0.022861968766303
27.0.	0.581249308299936	0.542887825163313	0.067724468709893
28.0.	0.5719413750782371	0.6453078362657321	0.181891678074932
29.0.	0.526151574200395	0.7067745256680741	0.368248863695725
30.0.	0.433418861167057	0.6672124492095041	0.565556687795794
31.0.	0.307852122296614	0.44143321752826997	0.636027084974998
32.0.	0.20573062535101902	0.008493080433546001	0.364669206326381
33.0.	0.19738237652016502	0.006426339115772	6.464374042620545e-05
34.0.	0.22027763556797603	0.007743301333289001	7.810410788344122e-05
35.0.	0.24294161426333202	0.009270076195157	9.379677815841654e-05
36.0.	0.26537601105700104	0.011060046165395	0.00011231587216700001
37.0.	0.28758234040522	0.01318580869913	0.000134480892124
38.0.	0.309561868004736	0.01574825250698	0.000161450312765
39.0.	0.331315511631383	0.018890910246804	0.000194907291384
40.0.	0.352843684693032	0.022823092929283	0.000237372410852
41.0.	0.374146041624549	0.027857590634732	0.000292745046434
42.0.	0.39522105084561304	0.034471788193882004	0.000367262046805
43.0.	0.416065259360959	0.043402997312353	0.00047121723662200005
44.0.	0.43667200306538906	0.055782401549100004	0.000622043936215
45.0.	0.45702912627859504	0.073281160011991	0.0008498020855320001
46.0.	0.47711492405779904	0.09817636833656201	0.00120714894157
47.0.	0.49689068444272805	0.133193384986889	0.0017894987980870002
48.0.	0.5162855687255741	0.18106557146885802	0.002784586515408
49.0.	0.5351601415964451	0.24396096181214003	0.004622742277422
50.0.	0.5531960935878221	0.32297690814365704	0.008544605266394
51.0.	0.569462588358303	0.417581118055993	0.019292120811322002
52.0.	0.580503115936791	0.523937766626416	0.055879382921672
