time	P	Q	R
0.0.	0.43	0.8	0.55
0.0.4.0	0.435592480338846	0.8433039929348991	0.582408022212218
0.0.8.0	0.442273279836976	0.8598579818660531	0.626125362166935
1.0.2000000000000002.0	0.44889862996696606	0.8468285507454141	0.680767380494398
1.0.6.0	0.45427649999510705	0.8031366602232041	0.742390295271236
2.0.	0.45720508979720903	0.728475479363173	0.8030636140899151
2.0.4000000000000004.0	0.45655159093114006	0.626251616640061	0.8514047836156591
2.0.8000000000000003.0	0.45146491839059105	0.506352995004924	0.87722858285198
3.0.2.0	0.44160584406531106	0.38303342293698905	0.8786829564990191
3.0.6.0	0.427223351500625	0.270652248601153	0.8585799253839471
4.0.	0.409137182222821	0.183756724683688	0.8154688849933661
4.0.4.0	0.38876662639261705	0.138029322103045	0.743422810742252
4.0.800000000000001.0	0.36808453484007503	0.145881681243289	0.63676114091811
5.0.2.0	0.34945718991234503	0.21865175253564	0.494821465521575
5.0.6000000000000005.0	0.33577167527918805	0.37451869634091706	0.32596966380103704
6.0.	0.33049936659407503	0.6263249598496351	0.154958427195553
6.0.4.0	0.33694612853377404	0.948767352095472	0.05112515465215801
6.0.800000000000001.0	0.35142403751943	0.9992470751808151	0.047397409078137005
7.0.2.0	0.36571257291400605	0.9990492835415781	0.058863911592495
7.0.6000000000000005.0	0.37963854973612104	0.9987567558241701	0.07504822750795001
8.0.	0.393222571373795	0.9983243690460151	0.09752210537754501
8.0.4.0	0.40647992770519203	0.99766676110199	0.128752887816894
8.0.8.0	0.41941916090332304	0.9966373756557421	0.17161621176267902
9.0.200000000000001.0	0.43203904042274804	0.99496878963428	0.22897753705761703
9.0.600000000000001.0	0.444321576751024	0.9921161019055531	0.30319544269619303
10.0.	0.45621398522036005	0.986794717182593	0.39566929885254004
10.0.4.0	0.46757626827741305	0.9755052320289961	0.506359548066709
10.0.8.0	0.478025226063555	0.9485121573097921	0.63278983937792
11.0.200000000000001.0	0.486596120237318	0.886159155472336	0.7670232188079541
11.0.600000000000001.0	0.491524154942016	0.770921918656153	0.8859977044617381
12.0.	0.49086098153741003	0.613637392692574	0.9410962684747911
12.0.4.0	0.48373190774012503	0.449167137300776	0.9440898180412701
12.0.8.0	0.470353536366703	0.29364106062682505	0.9356150863622801
13.0.200000000000001.0	0.45136860970999404	0.156467038488998	0.9180886433741
13.0.600000000000001.0	0.42800902760317105	0.06078776207928901	0.885120735049271
14.0.	0.40277117251656	0.038011866696878005	0.8268773736883691
14.0.4.0	0.37806181196242306	0.052450261521080004	0.7341915682823951
14.0.8.0	0.35503175639411005	0.09671306400938001	0.601808125738947
15.0.200000000000001.0	0.33542463710785403	0.202061587350455	0.43139618643000704
15.0.600000000000001.0	0.32230719219367004	0.40248790001599205	0.23702521211756203
16.0.	0.319583933176714	0.707718771643234	0.067692642877666
16.0.400000000000002.0	0.329922262091676	0.9993430116524901	0.035250707114102005
16.0.8.0	0.344785676132055	0.9993282036952471	0.042638356324812006
17.0.2.0	0.359247769206461	0.9991520179896821	0.052982939045957
17.0.6.0	0.37333615038176404	0.9989039888366861	0.06700730285435301
18.0.	0.38707376277668604	0.9985432193349961	0.08635378443540201
18.0.400000000000002.0	0.400478467824089	0.9980018616086611	0.113255792167241
18.0.8.0	0.413562132151356	0.997165723983584	0.15045140491452402
19.0.200000000000003.0	0.42632852258305104	0.995833681593081	0.20087195842580302
19.0.6.0	0.438768592668875	0.993618179967879	0.26716758284471603
20.0.	0.45084895500541305	0.9896668606983041	0.35122729306311
20.0.400000000000002.0	0.46248004754042904	0.9817953241593321	0.45374128012944004
20.0.8.0	0.473420133076542	0.963807656863198	0.573541179611428
21.0.200000000000003.0	0.48301932808708203	0.9204308525281091	0.7058061417842111
21.0.6.0	0.48986541729477906	0.8302462898823321	0.836347112051229
22.0.	0.49194832905624103	0.6882086144085411	0.9262386565249131
22.0.400000000000002.0	0.487782119548308	0.5234903650467541	0.9451720823038811
22.0.8.0	0.477192221449633	0.362927314547737	0.9403990086954741
23.0.200000000000003.0	0.46065726306597005	0.21576956005608502	0.9274977455993001
23.0.6.0	0.439072497629005	0.096610561188106	0.9026454485649881
24.0.	0.41430590066410106	0.040504421350311	0.857204355315432
24.0.400000000000002.0	0.38917818809925203	0.043198083499045005	0.7811543607806031
24.0.8.0	0.365235923445829	0.071252792157651	0.667157358464689
25.0.200000000000003.0	0.34376914765187105	0.144026473023899	0.5132580096524221
25.0.6.0	0.32723746019571304	0.29787072091686	0.326854287902674
26.0.	0.31928873919316403	0.55695506516822	0.134917142165214
26.0.400000000000002.0	0.32365624830448303	0.8987935952534901	0.036107337087445006
