time	M	MStar	T	TStar	V
0.0.	150.0	0.0	1000.0	0.0	10.0
36.0.5.0	157.70163017369273	0.165714338296441	407.5421512868506	111.27245718169718	1829.784635933784
73.0.	165.50808119022093	0.257568761648165	454.6671206067548	2.302002661753875	40.732946914609926
109.0.5.0	168.0614781879001	0.26048092250320803	607.4401016820649	4.936011567512072	80.31504500444588
146.0.	176.5630582598789	0.31897331095505005	581.625396816557	32.06935637394721	507.7275723654219
182.0.5.0	188.24588821922043	0.42769082654321006	499.2935024166221	15.366582546292236	252.19839389628848
219.0.	196.99465899073334	0.47608089894624306	561.2302833206519	14.353053386475604	232.7161300326086
255.0.5.0	207.8394551298714	0.55561339462047	539.9525570904576	22.11211571302687	358.1879548966882
292.0.	219.32857675435818	0.6431994203625071	526.5771097370795	17.347815376282323	284.6489618666064
328.0.5.0	230.3063359741182	0.718252543513991	539.9839033347064	17.985551744450856	294.7147518830978
365.0.	242.19873311277453	0.8067161673455061	530.5491646130768	19.28176533019497	317.18410294673293
401.0.5.0	254.3677407160588	0.8968288639889641	528.2638669880663	18.276447907124286	302.49706616154566
438.0.	266.7836918860609	0.9880831871870891	528.4179014848057	18.68045122973053	310.0642357907419
474.0.5.0	279.71993919445504	1.085414260622855	524.5244738729069	18.81544639902849	313.7574067232631
511.0.	293.021668223491	1.185758914018163	522.5384964677219	18.7203330448313	313.6665994396641
547.0.5.0	306.74700480405573	1.290102459653975	520.3061922960859	18.859172472140543	317.37976119933444
584.0.	320.9382821538265	1.399089658489848	517.6113328899952	18.90679239347282	319.7382802420655
620.0.5.0	335.5886999490774	1.5124253014950582	515.1530247518643	18.95689180805551	322.1743882234493
657.0.	350.7311686535901	1.6305800978955132	512.5362516045568	19.029622189914107	325.04988839213695
693.0.5.0	366.3873954094525	1.7537944841004842	509.8407258688355	19.09030030033704	327.80715818220136
730.0.	382.57894246869284	1.8823008587838652	507.10071072266095	19.155965722376767	330.7189025873362
766.0.5.0	399.3324954789713	2.016425873545299	504.2758469101641	19.223605723757665	333.7449852859372
803.0.	416.67423042036233	2.156477386286141	501.3788786607282	19.2917265340239	336.8646579224433
839.0.5.0	434.6323151781758	2.30279527138088	498.4059811995619	19.361784889454384	340.1063396795967
876.0.	453.23673067511487	2.455747277191141	495.3530011174656	19.43328535004104	343.4675910088198
912.0.5.0	472.5191115204948	2.615725554922943	492.21853377297174	19.506318961803743	346.95547741264073
949.0.	492.5130801413907	2.78315341850363	488.9996017996652	19.580968662949026	350.57752080306165
985.0.5.0	513.254319592926	2.9584866363950972	485.69345069681054	19.657237131230033	354.34039612264104
1022.0.	534.7807283156312	3.142216526280554	482.29724152977775	19.735169302036205	358.25197247437035
1058.0.5.0	557.1325907995936	3.334873440738827	478.8079593802066	19.814800419266223	362.3205369080922
1095.0.	580.352750817881	3.537030376224163	475.222487976966	19.896165904405493	366.55499839955735
1131.0.5.0	604.4868048844436	3.749307109197706	471.53757976232697	19.979302534247278	370.96496958401775
1168.0.	629.5833112462552	3.972374776682456	467.7498552302372	20.064246680614794	375.5608048235127
1204.0.5.0	655.6940169975697	4.206960985251943	463.8558002541269	20.15103474437223	380.3536815589117
1241.0.	682.8741052873838	4.453855523825386	459.85176166954665	20.239702892892456	385.3556794068966
1277.0.5.0	711.1824643840125	4.713916757463101	455.73394400074505	20.330286855729565	390.57987002832004
1314.0.	740.6819808116413	4.988078797619011	451.4984062487379	20.422821713370013	396.0404182231107
1350.0.5.0	771.4398589359866	5.277359557521548	447.1410590563483	20.517341639353894	401.75269517011793
1387.0.	803.527969636388	5.582869818900221	442.65766235768865	20.61387960968698	407.7334058763301
1423.0.5.0	837.0232309855838	5.90582345685328	438.0438236246027	20.71246707072112	414.0007328329586
1460.0.	872.0080241689799	6.24754899388872	433.29499686576753	20.813133560556906	420.57449828961614
1496.0.5.0	908.5706482207902	6.609502682964616	428.4064825558333	20.91590627820183	427.47634796445647
1533.0.	946.8058175362501	6.993283353592897	423.37342870468393	21.020809593852505	434.72995949261855
1569.0.5.0	986.8152065406036	7.400649295912455	418.19083331425134	21.12786449297387	442.3612794987437
1606.0.	1028.7080463600175	7.833537506501591	412.8535485136694	21.23708794602371	450.39879387741934
1642.0.5.0	1072.6017788499692	8.294085678341116	407.3562867140579	21.34849219477975	458.8738367047044
1679.0.	1118.6227738957816	8.784657387937552	401.6936291827919	21.462083945294086	467.82094421649276
1715.0.5.0	1166.9071165100406	9.307871017886631	395.8600375049579	21.57786345650166	477.27826151451364
1752.0.	1217.6014709138465	9.866633056497646	389.8498684780102	21.69582351250301	487.2880111485502
1788.0.5.0	1270.864029503202	10.464176541774025	383.65739307584187	21.81594826550985	497.8970345357612
1825.0.	1326.8655553659921	11.104105570430779	377.27682022187616	21.93821193547836	509.15741939446303
1861.0.5.0	1385.7905278238961	11.790446980529516	370.7023262288709	22.062577351555078	521.127229089277
1898.0.	1447.8384013177333	12.52771054737322	363.92809089709436	22.188994319780864	533.871353135383
1934.0.5.0	1513.224988819004	13.320959317563018	356.9483414136208	22.317397801063102	547.4625022526328
1971.0.	1582.183981811502	14.175892059726468	349.7574053641863	22.447705883493388	561.9823765052827
2007.0.5.0	1654.9686197106591	15.09894025060145	342.34977435557005	22.579817533739604	577.5230414763294
2044.0.	1731.8535223258345	16.097382565474938	334.7201799493737	22.713610113892177	594.1885554562197
2080.0.5.0	1813.1366995532017	17.179480533074404	326.8636838250064	22.84893665298326	612.0969007224836
2117.0.	1899.1417528188542	18.354639886921994	318.7757843149349	22.985622867084853	631.3822847421375
2153.0.5.0	1990.220282742318	19.63360325044263	310.45254168084784	23.123463928780684	652.1978933119844
2190.0.	2086.7545168820498	21.028681201122307	301.89072471107954	23.262220996927894	674.719198287849
2226.0.5.0	2189.1601700166875	22.55403056175273	293.08798139846283	23.401617531564288	699.1479489888828
2263.0.	2297.8895468871065	24.225991086997286	284.0430365736451	23.541335438114004	725.7170104056659
2299.0.5.0	2413.4348932455027	26.063494715774894	274.7559193830353	23.681011110544418	754.6962553964479
2336.0.	2536.3319948592925	28.08856546629461	265.2282233555818	23.8202314769677	786.3997753851119
2372.0.5.0	2667.1640150466883	30.32693316217204	255.46340142722133	23.958530194302124	821.1947490688436
2409.0.	2806.5655483864075	32.808790905902654	245.46709758635427	24.095384193590352	859.5124073163465
2445.0.5.0	2955.226850145469	35.56973512424154	235.24751565023718	24.230210844755323	901.8616629916198
2482.0.	3113.8981760053384	38.65193887792058	224.81582392562007	24.362366091116513	948.8461482294816
2518.0.5.0	3283.3941326160075	42.10562503836556	214.18659197927906	24.491143997702185	1001.1856344126452
2555.0.	3464.5978934734044	45.99092740054991	203.37825224349908	24.615778262621248	1059.7431237397698
2591.0.5.0	3658.4650728161905	50.38025695381417	192.41357452904037	24.73544634852342	1125.5593266277451
2628.0.	3866.026967727304	55.361330386826985	181.32013554266712	24.849276993115655	1199.8968199291457
2664.0.5.0	4088.3927688895724	61.041072754313035	170.130758166046	24.95636193070501	1284.2969790892653
2701.0.	4326.75019483048	67.55068223760085	158.8838866340121	25.05577267784376	1380.6538819596256
2737.0.5.0	4582.36381132865	75.0522509622006	147.6238542921257	25.146583160290145	1491.3109211787948
2774.0.	4856.570040928728	83.74748475516566	136.4009910955657	25.22789874614527	1619.1880219750958
2810.0.5.0	5150.767524733643	93.88927526670716	125.27150988149755	25.29889183860896	1767.9504139702976
2847.0.	5466.4010375332855	105.79717744186702	114.2971056451148	25.35884353899172	1942.2342463732589
2883.0.5.0	5804.9365305035835	119.87827408835163	103.5442033029642	25.40718998059253	2147.9505486581925
2920.0.	6167.824012529036	136.65552621824182	93.0827995276699	25.443570809551307	2392.6979805259493
2956.0.5.0	6556.443775315591	156.80659931824079	82.98486604105518	25.46787603895148	2686.3277412169296
2993.0.	6972.029758919363	181.2174473950928	73.32231649434452	25.480286370272708	3041.722747913537
3029.0.5.0	7415.561405105347	211.0568088790005	64.16458625188487	25.481301331826604	3475.880369575652
3066.0.	7887.61181070671	247.88047334259815	55.575929601194844	25.471749609887805	4011.4272853466523
