time	T
0.0.	293.0
0.0.3.0	293.439829792172
0.0.6.0	293.88031982179103
0.0.8999999999999999.0	294.32147108225337
1.0.2.0	294.76328456614965
1.0.5.0	295.20576126756043
1.0.7999999999999998.0	295.6489021820588
2.0.1.0	296.09270830671176
2.0.4.0	296.5371806400833
2.0.6999999999999997.0	296.9823201822365
3.0.	297.42812793473536
3.0.3.0	297.87460490064745
3.0.5999999999999996.0	298.3217520845462
3.0.9.0	298.76957049251297
4.0.2.0	299.2180611321395
4.0.5.0	299.6672250125298
4.0.8.0	300.1170631443027
5.0.1.0	300.56757653959426
5.0.3999999999999995.0	301.0187662120599
5.0.7.0	301.4706331768765
6.0.	301.92317845074496
6.0.3.0	302.37640305189234
6.0.6.0	302.8303080000742
6.0.8999999999999995.0	303.28489431657664
7.0.199999999999999.0	303.7401630242193
7.0.5.0	304.19611514735703
7.0.8.0	304.6527517118821
8.0.1.0	305.110073745227
8.0.4.0	305.5680822763665
8.0.7.0	306.0267783358202
9.0.	306.48616295565415
9.0.299999999999999.0	306.9462371694841
9.0.6.0	307.4070020124772
9.0.9.0	307.8684585213545
10.0.2.0	308.3306077343934
10.0.5.0	308.79345069142977
10.0.799999999999999.0	309.25698843386033
11.0.1.0	309.7212220046455
11.0.4.0	310.1861524483107
11.0.7.0	310.65178081094973
12.0.	311.11810814022675
12.0.299999999999999.0	311.5851354853783
12.0.6.0	312.0528638972162
12.0.9.0	312.5212944281295
13.0.2.0	312.9904281320872
13.0.5.0	313.4602660646401
13.0.799999999999999.0	313.93080928292386
14.0.1.0	314.40205884566103
14.0.399999999999999.0	314.87401581316317
14.0.7.0	315.3466812473338
15.0.	315.8200562116702
15.0.299999999999999.0	316.2941417712664
15.0.6.0	316.76893899281504
15.0.899999999999999.0	317.24444894461
16.0.2.0	317.72067269654895
16.0.5.0	318.1976113201355
16.0.8.0	318.67526588848176
17.0.099999999999998.0	319.1536374763107
17.0.4.0	319.6327271599585
17.0.7.0	320.11253601737735
18.0.	320.5930651281373
18.0.3.0	321.074315573429
18.0.599999999999998.0	321.55628843606615
18.0.9.0	322.03898480048787
19.0.2.0	322.5224057527615
19.0.5.0	323.00655238058397
19.0.8.0	323.49142577328564
20.0.099999999999998.0	323.9770270218317
20.0.4.0	324.4633572188253
20.0.7.0	324.95041745850943
21.0.	325.43820883677006
21.0.3.0	325.92673245113775
21.0.599999999999998.0	326.4159894007911
21.0.9.0	326.90598078655813
22.0.2.0	327.39670771092
22.0.5.0	327.8881712780123
22.0.8.0	328.3803725936283
23.0.099999999999998.0	328.87331276522104
23.0.4.0	329.3669929019063
23.0.7.0	329.8614141144646
24.0.	330.35657751534376
24.0.3.0	330.8524842186618
24.0.599999999999998.0	331.34913534020893
24.0.9.0	331.8465319974503
25.0.2.0	332.3446753095286
25.0.5.0	332.84356639726656
25.0.8.0	333.3432063831694
26.0.099999999999998.0	333.8435963914273
26.0.4.0	334.3447375479179
26.0.7.0	334.846630980209
27.0.	335.349277817561
27.0.3.0	335.8526791909297
27.0.599999999999998.0	336.35683623296813
27.0.9.0	336.86175007802996
28.0.2.0	337.3674218621717
28.0.5.0	337.87385272315487
28.0.799999999999997.0	338.3810438004493
29.0.099999999999998.0	338.8889962352349
29.0.4.0	339.3977111704051
29.0.7.0	339.90718975056853
30.0.	340.41743312205233
