time	APC	HC	HC3	HC36	HC5	HC53	HC536	HC56	LC	LC_APC	Va	Va3	Va36	Va36_APC	Va3_APC	Va5	Va53	Va536	Va536_APC	Va53_APC	Va56	Va56_APC	Va5_APC	VaA3	VaA36	VaA53	VaA536	VaLCA1	VaLCA1_APC	Va_APC
0.0.	1e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.0.	3.54691340373948e-10	3.512325785608709e-11	9.846770326178801e-14	2.8460050388738786e-17	3.6325116634800042e-12	3.710056332593819e-13	3.98971872892095e-16	2.1512142215707433e-15	3.754985249155413e-11	1.677969010678988e-12	1.4946453765704558e-07	8.220055109927601e-10	2.573975660097164e-13	4.4607126624629044e-14	1.3040111238087992e-10	3.511670689859526e-08	3.935350679731167e-09	4.93859645768143e-12	1.24090842328043e-12	8.336404340539776e-10	2.429868921241463e-11	4.726053863581576e-12	5.555827908696467e-09	2.077138759489412e-10	6.082771883539795e-14	8.161474712018543e-10	9.05932908081536e-13	9.490460582814233e-10	7.578204949628895e-11	3.04196761657427e-09
24.0.	3.546913403709235e-10	6.235620181375523e-11	3.015271576587542e-13	9.543269373494815e-17	1.384618125849758e-11	1.55696137934046e-12	2.1089327392463464e-15	1.024504786134091e-14	7.451922113147903e-11	3.5540998910673573e-12	1.1583532481126639e-07	1.0853384757816921e-09	3.7234129476274533e-13	4.1132585645991764e-14	1.10533371724723e-10	6.24745836603107e-08	7.377152963193249e-09	1.162739111068638e-11	1.845133413615204e-12	1.0163837681082932e-09	5.432919268558683e-11	6.3918738267802156e-12	5.947937226756953e-09	5.787597815686559e-10	1.843295202488056e-13	3.059398935790547e-09	4.209428306603246e-12	3.44144328359631e-09	2.011091915897461e-10	2.357512861732246e-09
36.0.	3.546913403709186e-10	8.346068309889821e-11	5.290013277762033e-13	1.76090859274954e-16	2.891553402384848e-11	3.349202239734137e-12	5.18362941954939e-15	2.463104769503925e-14	1.108836291181333e-10	5.400782340097601e-12	8.97737933754946e-08	1.090987234783952e-09	3.985263155881219e-13	3.582021335090312e-14	9.094023001549267e-11	8.24751616688932e-08	9.845899486083333e-09	1.810415754993205e-11	2.388303131458192e-12	1.137504769572524e-09	8.513229979543696e-11	7.997878378037298e-12	6.1957360426533035e-09	9.827401908721783e-10	3.2854443164294983e-13	6.339539639826339e-09	9.926609897873097e-12	6.954330962336696e-09	3.7820402269134014e-10	1.8271008106334683e-09
48.0.	3.546913403708305e-10	9.981673235907532e-11	7.443608087742278e-13	2.567540996392589e-16	4.750323091592565e-11	5.569096443717366e-12	9.549962801816584e-15	4.539023961868791e-14	1.464792723509712e-10	7.209345133041572e-12	6.957575634395928e-08	9.84976073274782e-10	3.778072833582487e-13	3.012128632042108e-14	7.342462017012406e-11	9.681606645212558e-08	1.1554390895185772e-08	2.4115979391667676e-11	2.869295681569493e-12	1.2132032716933001e-09	1.159822642544601e-10	9.532307015781419e-12	6.333770580669684e-09	1.3605246745183571e-09	4.708156070951311e-13	1.034687931090555e-08	1.791572125795855e-11	1.113654625254487e-08	5.892442697440867e-10	1.41602484823525e-09
60.0.	3.546913403708926e-10	1.12492604212896e-10	9.330912881949623e-13	3.305919195004012e-16	6.858235825823586e-11	8.079090940066593e-12	1.5099259844678968e-14	7.247426016789156e-14	1.812009006548602e-10	8.974148156465267e-12	5.3922037697290135e-08	8.413938214123993e-10	3.355825144683468e-13	2.47538652380347e-14	5.855311752235028e-11	1.068101152122018e-07	1.268451767430191e-08	2.955856982801707e-11	3.29191429127017e-12	1.255847827421426e-09	1.4634552681393e-10	1.098809399907142e-11	6.388575709268311e-09	1.689194186762733e-09	5.999878424377411e-13	1.4843032531417259e-08	2.797666666627807e-11	1.573918635535326e-08	8.2161701733544e-10	1.097436077769519e-09
72.0.	3.546913403708924e-10	1.223162466351097e-10	1.0915964627765539e-12	3.9481906115478e-16	9.136501194988374e-11	1.077557270369027e-11	2.171100472197057e-14	1.057405081790918e-13	2.1498454153597943e-10	1.0691732547443129e-11	4.179022005013416e-08	6.959973668409848e-10	2.8645631030678843e-13	2.002660023010945e-14	4.63073321763597e-11	1.134734521011234e-07	1.3383361238180309e-08	3.441313319832576e-11	3.6617832958898175e-12	1.274689214197022e-09	1.7583601364850893e-10	1.236100277395909e-11	6.380653835933871e-09	1.9637007071822322e-09	7.116620498951345e-13	1.964823508704097e-08	3.989071286483896e-11	2.058614043939874e-08	1.066397729739198e-09	8.505260023651148e-10
84.0.	3.546913403708925e-10	1.299293338649617e-10	1.221356507402616e-12	4.48908274284915e-16	1.1524828471735332e-10	1.3581886123303078e-11	2.926605490931293e-14	1.44978867953685e-13	2.4779537430163797e-10	1.2360180742519989e-11	3.238791750277165e-08	5.644105508600626e-10	2.382532241807715e-13	1.6026544554936358e-14	3.6417778004587355e-11	1.1759230185478599e-07	1.3765776163060811e-08	3.870667964897317e-11	3.985038101714431e-12	1.2765787373352212e-09	2.0418071347180508e-10	1.3648931273803379e-11	6.3258340839232004e-09	2.1872298878778522e-09	8.051861415523803e-13	2.462918674676593e-08	5.3442545338892395e-11	2.555336424824555e-08	1.3173001178786741e-09	6.59167765824812e-10
96.0.	3.546913403708925e-10	1.3582917474340843e-10	1.325896104718091e-12	4.934894909591659e-16	1.3977238262161242e-10	1.644217950498339e-11	3.765339354697167e-14	1.899321801852584e-13	2.79619053497661e-10	1.3978658540284529e-11	2.510102156183412e-08	4.5200071814830553e-10	1.947210279117177e-13	1.2728548060625391e-14	2.853325215707775e-11	1.197747429063365e-07	1.391939748290598e-08	4.2487902013235126e-11	4.267617038821577e-12	1.2665525162587541e-09	2.311930324645788e-10	1.48513767717943e-11	6.236325761805143e-09	2.3662119550865652e-09	8.818091498216864e-13	2.9688432587552933e-08	6.843149499421486e-11	3.05540339621424e-08	1.5699238846411371e-09	5.10862863868016e-10
108.0.	3.546913403708924e-10	1.4040119255729372e-10	1.40927063149245e-12	5.297014124273672e-16	1.645881733167307e-10	1.931634501495292e-11	4.677301295599575e-14	2.403118639757186e-13	3.104555082865606e-10	1.554708781225353e-11	1.945359085177186e-08	3.591690257329152e-10	1.572677577922661e-13	1.00571490093521e-14	2.230220515052618e-11	1.2049083091973499e-07	1.391000960240192e-08	4.581305695085935e-11	4.514917900232757e-12	1.248289855654607e-09	2.567521956675353e-10	1.59690234959131e-11	6.12153477001188e-09	2.5078414419588205e-09	9.435983414471916e-13	3.475566752089931e-08	8.467628604142541e-11	3.552791291206625e-08	1.8212159351747583e-09	3.9592480727990624e-10
