time	IKK	IKKIkBa	IKKIkBaNFkB	IKKIkBb	IKKIkBbNFkB	IKKIkBe	IKKIkBeNFkB	IkBa	IkBaNFkB	IkBan	IkBanNFkBn	IkBat	IkBb	IkBbNFkB	IkBbn	IkBbnNFkBn	IkBbt	IkBe	IkBeNFkB	IkBen	IkBenNFkBn	IkBet	NFkB	NFkBn
0.0.	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.19028	0.082062	0.19326000000000002	0.0013739	0.0054868	0.021428	0.0090963	0.021887	0.00030061	0.00063696	0.015307	0.0064976999999999995	0.015635	0.00021473	0.000455	0.00025081	0.00020366
250.0.	0.05244451958851001	0.021600359378560002	0.018119801049747003	0.0010287659196890001	0.002430233138532	0.0009597703481890001	0.001689714498672	0.108511927507143	0.0370693463786	0.14997526593464902	0.013758153785512001	0.0055082421050960005	0.015516986666680001	0.010327062222566	0.017032885498559	0.003024367451346	0.000636875782015	0.010639461424826	0.006083068936676	0.012158464162256001	0.002159677074591	0.00045490341974200005	0.002632587979204	0.002705697484548
500.0.	0.056236324543123	0.016976998585830003	0.016102762885897	0.001175814381194	0.003220135376626	0.0009762110020910001	0.0019618717882420003	0.066609049922038	0.031326764743109005	0.09959913873537901	0.014858664063737	0.0055549083747060005	0.011803328227331001	0.012033355056428	0.011612769290745001	0.003967631653755	0.000636797257687	0.007760123118446	0.006480957244191001	0.008272594229809001	0.0028297410607120003	0.00045481336890700004	0.002876002323614	0.004341823803684
750.0.	0.06062894374686101	0.011896193001904	0.014472447982996002	0.001147885543384	0.003778407194521	0.0008608003195260001	0.0021109245218750004	0.041554869605494	0.026311723674204	0.04766517841756	0.014996321398048	0.005709510962015001	0.009250241384743	0.012615640762589002	0.005855628260507	0.0044051021170940004	0.000636724042089	0.0057758842665160005	0.0063403390401050004	0.004152834216452001	0.0031328959177960003	0.00045472940606500005	0.0030431479976960004	0.00879275939307
1000.0.	0.065094512543709	0.008363053770866	0.011638546697316001	0.001094565615596	0.0040021114858700005	0.0007479776646180001	0.0020725620217130003	0.027139282179938003	0.018896198708772002	0.007969832984339	0.010089458465576	0.006763424874558	0.007574688464922001	0.012007120542295	0.0011278522378320001	0.00381563448566	0.000636655776317	0.004462925322391001	0.005650164949542001	0.000787702735379	0.0026952591502640002	0.00045465111963000006	0.002816048726232	0.026316604766754
1250.0.	0.072053680674005	0.006728846301548	0.005055627021261001	0.001112338189119	0.0036360906387980004	0.000701384217528	0.001670650197699	0.022786128613277	0.006052571319538001	0.00028980707212600005	0.0015995284298740001	0.015639146436905	0.006827787976234001	0.009046029670142001	6.964836883973913e-05	0.001614167477642	0.0006365921257340001	0.0037890822684210003	0.0037555714600250004	4.379724817625213e-05	0.001117800804979	0.00045457812584200004	0.0015748503242240001	0.064876822655813
1500.0.	0.073933271063171	0.008044610822979	0.001464273342816	0.001173400304863	0.002502028392338	0.000692814147642	0.0009365986118790001	0.034612825502064	0.0018282337835920002	0.00024438488322600004	0.0006711103971420001	0.038228893516995	0.006806883104711001	0.005358018106862	3.251741236457396e-05	0.000598170306549	0.0006365327783240001	0.0035804769732100004	0.0018319829730880002	1.823282717887119e-05	0.00039208444603700004	0.000454510066885	0.0006359888895250001	0.083781220750167
1750.0.	0.06861611537895801	0.013169166344694	0.0011834625188200001	0.001135294930911	0.001418105255882	0.0006414346303730001	0.000431636214024	0.064142239721535	0.0019536035369800003	0.00042142231503900006	0.0011239511078110001	0.06623665218029401	0.006880501555306001	0.003085756859978	2.6806837938114065e-05	0.000309202536748	0.000636477443165	0.003485094054551	0.0008831261953830001	1.39393018605633e-05	0.00018257321000100002	0.00045444660913400003	0.00038371687228	0.089044575692086
2000.0.	0.05960568991579	0.020785490053292003	0.0017203952001330002	0.0010095766891560002	0.0007782476117470001	0.0005580575878630001	0.00020938210387600001	0.10843940256385301	0.0034073802595830003	0.0007196760502040001	0.0019588042027530003	0.093855738300573	0.006887407227833001	0.0019686437487680002	2.5804186431514292e-05	0.00022891716136800002	0.000636425849005	0.0034174709470220005	0.0005148164125670001	1.292832492728824e-05	0.00012227862599800002	0.000454387441519	0.000340998946987	0.08874984572621501
2250.0.	0.049953344450412	0.028509370317467003	0.002652825477462	0.0008510405056350001	0.00046531793035600006	0.000467293960627	0.00012566472976	0.16386628252969201	0.006261132492642	0.0011425606706290002	0.0030560448745270002	0.118083050978807	0.006837429298139	0.001480555828999	2.6414806146847354e-05	0.000205587641916	0.000636377742929	0.0033702449379320004	0.00039623102798600005	1.305908275995881e-05	0.00010410915716700001	0.00045433227400100006	0.00037224358834700005	0.084879997250834
