time	ADP	ADP_cyt	AMP	ATP	ATP_cyt	Acetyl_CoA	Acetyl_CoA_cyt	Ala	Asp	Asp_cyt	CO2	Cit	Cit_cyt	CoA	CoA_cyt	Cytc2p	Cytc3p	DHAP	DPG	ETFox	ETFred	F6P	FAD	FADH2	FBP	Fum	G3P	GAP	GDP	GLC	GTP	Glu	Glu_cyt	H2O	IsoCit	IsoCitcyt	LAC	Mal	Mal_cyt	NAD	NADH	NADH_cyt	NADPH	NADPH_cyt	NADP_cyt	NADP_p	NAD_p	OG	OG_cyt	OXA	OXA_cyt	PEP	PYR_cyt	Pi	Pyr	Q	QH2	SCoA	Suc
0.0.	0.00045000000000000004	0.000108367	2.6114899999999996e-06	0.0045000000000000005	0.00449064	3.0000000000000004e-05	3.0000000000000004e-05	0.0034400000000000003	0.0011400000000000002	0.0011400000000000002	0.0016300000000000002	0.00042	0.00042	0.000272	0.000272	0.00011	0.003	0.0076925	0.00029910900000000004	0.00032	0.00031	0.00065939	0.00101	7.2e-05	7.701349999999999e-06	6.500000000000001e-05	0.0076925	1.90919e-06	0.00045000000000000004	1.1281699999999999e-05	0.0045000000000000005	0.00303	0.00303	0.001	0.00042	0.00042	0.00033981	0.0005	0.0005	0.00362057	0.00072	0.000616118	7.2e-05	0.000616118	0.00362057	0.010100000000000001	0.010100000000000001	2.1000000000000002e-05	2.1000000000000002e-05	4e-06	4e-06	2.1124999999999997e-06	4.22702e-06	0.004	0.0010249999999999999	0.026000000000000002	0.028	0.0002941	0.0029500000000000004
10.0.	0.000286148075748	0.00010786273103400001	1.936515115561587e-06	0.0030891554184280003	0.0060665157496720004	0.0005179803543020001	3.0000000910205746e-05	0.0034400484102950005	0.0008604751172140001	0.0013608487739560002	0.0021122221714170004	0.00037342692903	0.000595063379864	1.5243188964767512e-05	0.00027199999908900004	0.00018252121652900002	0.00292747878347	0.007692477223535001	0.0030062606955670004	0.00024553673407500003	0.00038446326592400003	0.001353345566077	0.001009953539015	7.204646098460092e-05	0.00026258858597	0.00012010439017000001	0.007692522776464001	0.00016499612079	0.000218484927331	0.0025619478846400003	0.0047315150726680005	0.0033094764724900002	0.002809151226043	0.001185492724816	0.00026142360589200003	0.000419752278682	0.004106143240369	0.0005555505520650001	0.00034533618563300004	0.0008678924221930001	0.0007170890640960001	0.0033687955778060005	9.353901467499858e-05	0.0006429074941660001	0.0035937805058330005	0.010078460985325001	0.010102910935903	9.240364020394568e-06	4.184499913294175e-06	5.885159639231324e-06	4.290235971083586e-07	2.1660619470629093e-05	9.813931976647167e-05	0.00358905220105	0.0005524399984440001	0.025709345632874	0.028290654367125002	6.287645673278047e-05	0.003270161936603
20.0.	0.00017916144539900002	8.899747005597047e-05	1.085258809884835e-06	0.0019707202010730003	0.007311654114661	0.0005954654509640001	3.0000001405061113e-05	0.0034400973026660004	0.000833095402488	0.0013592827200940001	0.002185194774383	0.000401798885152	0.0006724497290890001	4.837222265039439e-07	0.000271999998594	0.000252976337941	0.002857023662058	0.007692439156669	0.0038520705767980004	0.000235414721468	0.00039458527853100005	0.0034859172921030005	0.001009892632728	7.210736727123249e-05	0.00027699462281300004	0.00011651305799500001	0.007692560843330001	0.0008769404124830001	0.00015481488515	0.004500152972917001	0.0047951851148490005	0.003336807294844	0.002810717279905	0.0013053114534850002	0.00020474357711200002	0.00034503686814700004	0.0073023790074800005	0.000527701448723	0.00034368913375300004	8.759686126694382e-05	0.000453444067946	0.0041490911387330005	0.00011371403123800001	0.000666951691445	0.003569736308554	0.010058285968761	0.010366555932053	6.186275140541035e-06	3.04546801984674e-06	5.811239407514145e-06	3.124787598581258e-07	2.4775568463163314e-05	6.564291175305754e-05	0.0034110313703810003	0.0004896020847240001	0.025464047533475	0.028535952466524003	1.50826809460354e-07	0.0033811058998030005
30.0.	0.000111750118328	0.00013075141441400002	2.093439876207468e-06	0.001170775847357	0.008136247670022	0.000596097642747	3.000000180479452e-05	0.0034401464155150003	0.0008222555217940001	0.00134774445595	0.0021818217968020003	0.00042357707230500005	0.000734064646889	1.21781930635843e-09	0.000271999998195	0.00032213726759500004	0.002787862732404	0.007692392322105001	0.0032890839974400003	0.00023281000717100003	0.00039718999282800004	0.007830416202392	0.001009829009761	7.217099023822331e-05	0.000131071936202	0.000114040519646	0.007692607677894	6.35569505938713e-05	0.00015413965070300002	0.0061857640920780005	0.004795860349296	0.003347598062689	0.0028222555440490004	0.0013817206716450002	0.00016219566585400002	0.000282668166762	0.009054193980419002	0.000512017409807	0.00034466244233500004	0.0006570643025930001	0.000260712632205	0.0035796236974060002	0.000133136836366	0.000687804360863	0.0035488836391360003	0.010038863163633002	0.010559287367794	5.274243194662547e-06	2.6371291818047258e-06	5.188454049288974e-06	2.707166884897251e-07	2.4381557137474734e-05	8.8688340307715e-05	0.0033384883351940003	0.000503791499951	0.025338161125096	0.028661838874903003	1.139433216926882e-09	0.003406884430993
40.0.	7.251801214167888e-05	9.970078679217896e-05	1.139428982280565e-06	0.0006569675485630001	0.00872129271352	0.0005960986106900001	3.0000002152202815e-05	0.003440195858649	0.0008133802266990001	0.0013372113579240002	0.0021784927154970004	0.00043909634281000004	0.0007811721635300001	7.369175494225663e-10	0.000271999997847	0.000390404375635	0.002719595624364	0.007692345735701001	0.00394832386697	0.000231855492504	0.00039814450749500003	0.009267880345877002	0.0010097645514990001	7.223544850073734e-05	7.067107438448074e-05	0.00011262598382900001	0.007692654264298	0.002068275265826	0.00015411614795700002	0.007673255508658001	0.004795883852042	0.00335642391465	0.002832788642075	0.0014311324837910002	0.000130716825083	0.000233517615867	0.012062393615535	0.000502816382043	0.000346936851747	4.358900526022404e-05	0.000156008139342	0.0041930989947390005	0.00015212511588300003	0.0007055771436120001	0.0035311108563870004	0.010019874884116	0.010663991860657002	4.323082578331886e-06	2.218868780225553e-06	4.28515793775693e-06	2.2766557648201997e-07	2.5516361094161832e-05	6.706259467751563e-05	0.0032924160257560005	0.0005193564555900001	0.025287947830669	0.028712052169330003	6.523923130627624e-10	0.003419738677681
50.0.	4.817163588146907e-05	0.000259427853995	7.531673000564334e-06	0.000355579915416	0.008880907411706001	0.00059609881523	3.0000002445045262e-05	0.0034402456132690004	0.000805771436221	0.001328312361711	0.002176258020323	0.00044914553944200004	0.000815683124008	6.275330835484078e-10	0.000271999997554	0.000458014107339	0.00265198589266	0.007692297115339	0.0037785727436930004	0.000231550818753	0.000398449181246	0.011745755672687002	0.0010096998129010002	7.230018709844563e-05	0.0007237532717270001	0.00011175180442	0.007692702884660001	0.002025638457961	0.000154097571398	0.008992851358863001	0.0047959024286010005	0.0033639829505090002	0.002841687638288	0.00146336196929	0.00010789919187400001	0.000196494719005	0.014105624125624001	0.000496987545223	0.00034962589242400004	0.00011197944468100001	9.932302455006924e-05	0.004124708555318	0.00017084839583400002	0.0007208450550090001	0.0035158429449900002	0.010001151604165	0.010720676975449001	3.5047740342599408e-06	1.849890918785725e-06	3.3650809779498328e-06	1.899712404893105e-07	4.113746913606355e-05	0.00017409284373200002	0.0032624301992170003	0.000535758719609	0.025277273505772004	0.028722726494227004	5.572365342655368e-10	0.003424537321333
60.0.	3.4620052705362194e-05	0.00010488522263	1.19264568654272e-06	0.00019091505029700002	0.009220005518679	0.000596099007803	3.0000002692267786e-05	0.0034402956498040004	0.0007992524845030001	0.0013206244562160002	0.002174903517482	0.000454781356301	0.000839862346267	5.250387812728335e-10	0.00027199999730700004	0.0005251184919600001	0.002584881508039	0.0076922486420880004	0.003992374959132	0.00023156112653200002	0.00039843887346700005	0.011241171899681001	0.00100963504143	7.236495856925506e-05	0.00010328685276900001	0.00011117082826300001	0.007692751357911001	0.007924051906613001	0.000154081848705	0.01016712057701	0.0047959181512940005	0.0033704518656910002	0.0028493755437830003	0.0014862565040220002	9.170659352710277e-05	0.000169626327591	0.017641734623194003	0.0004930839122530001	0.00035240413294300004	3.467412084007893e-05	6.859539174071086e-05	0.004202013879159	0.0001893991183	0.000734177957784	0.003502510042215	0.009982600881699001	0.010751404608259001	2.874661175745238e-06	1.561113322228798e-06	2.577396737045183e-06	1.603393621879459e-07	2.6041143492407664e-05	7.0660281336695e-05	0.0032408978822620004	0.0005528736932180001	0.025286884082273003	0.028713115917726004	4.671579591215464e-10	0.0034238738536670004
70.0.	2.692034162839649e-05	0.000263214140975	7.581598889704588e-06	0.00010366822394800001	0.009150234184558001	0.000596099166472	3.0000002904524563e-05	0.00344034593914	0.0007936157931260001	0.0013137904988560001	0.002174105701904	0.00045706688683	0.0008560349370390001	4.4094710924424407e-10	0.000271999997095	0.000591821374228	0.0025181786257710004	0.007692200024680001	0.0037996371260390002	0.00023172971217600002	0.000398270287823	0.010633707742022	0.001009570360172	7.24296398276957e-05	0.001148714501165	0.00011075740557200001	0.007692799975319	0.011057320162859001	0.000154068679718	0.011213606462224001	0.004795931320281	0.0033760382677330003	0.002856209501143	0.0015025413945600002	8.040986847550121e-05	0.00015069668116500002	0.02059889682803	0.000490348818213	0.00035516243683000003	9.927891537030325e-05	5.191570502675585e-05	0.004137409084629001	0.00020783158989300002	0.0007460886756000001	0.0034905993243990003	0.009964168410106	0.010768084294973002	2.4249005261001103e-06	1.352114434940354e-06	2.0201507948159013e-06	1.389043492343075e-07	4.191516190696299e-05	0.000198354174582	0.003225417335703	0.0005704317926920001	0.025306710682610003	0.028693289317389	3.9258012220489265e-10	0.003419475976798
80.0.	2.0451290367454603e-05	0.00011267755111000001	1.355641222075222e-06	5.88003213467163e-05	0.009358333685952	0.000596099285382	3.0000003091893936e-05	0.0034403964551830003	0.000788639146908	0.001307544468437	0.002173656618388	0.00045693651735700003	0.0008662923737960001	3.781324825571928e-10	0.00027199999690800003	0.000658196977464	0.002451803022535	0.007692151275341	0.0040131835123180006	0.00023197716832400002	0.000398022831675	0.012578689099558001	0.0010095058307300001	7.249416926968442e-05	0.00015027329114000002	0.000110445920019	0.007692848724658001	0.013274551951413001	0.00015405752919400001	0.012147060628992	0.004795942470805	0.003380964397908	0.002862455531562	0.001515709168666	7.26066410179145e-05	0.00013764619077900002	0.022347903123285003	0.000488364439247	0.000357885235108	3.5871917441683736e-05	4.285096409531552e-05	0.004200816082558	0.000226179784657	0.000756982392073	0.0034797056079260004	0.009945820215342	0.010777149035904	2.117778317174457e-06	1.208137557610241e-06	1.65449848338829e-06	1.240572424924269e-07	2.704099938717124e-05	7.672728439325471e-05	0.0032127042134910003	0.0005882580776740001	0.025331570411248002	0.028668429588751	3.364847843366627e-10	0.003412546392562
90.0.	1.9280263124001562e-05	0.00014454030857100002	2.267705292404142e-06	3.554194048567779e-05	0.009349988272526	0.0005960993634760001	3.000000326227332e-05	0.003440447176711	0.000784139276009	0.0013017059560460002	0.0021733962864320003	0.000455135914994	0.0008723421292570001	3.3693748682090193e-10	0.00027199999673700005	0.000724300260685	0.002385699739314	0.007692102789316001	0.003951772780109	0.00023226315636000003	0.000397736843639	0.00998519825563	0.001009441483338	7.255851666151837e-05	0.000710580572282	0.000110198268598	0.007692897210683	0.019411298008359	0.000154047791819	0.012980616860946	0.00479595220818	0.003385413547279	0.002868294043953	0.001526359765343	6.722738226022597e-05	0.00012878194398	0.025894678101506002	0.00048687082056800003	0.00036057611801100005	6.0544593597225615e-05	3.7909845249728776e-05	0.004176143406402	0.000244465754993	0.0007671601765340001	0.003469527823465	0.009927534245006002	0.01078209015475	1.915175294873103e-06	1.11258476557635e-06	1.4343506300950342e-06	1.142165990610585e-07	3.10145933825271e-05	0.00012190479836600001	0.003202318844101	0.000606213462762	0.025358847376074002	0.028641152623925	2.995864740749254e-10	0.0034039300274110004
