time	y	z
0.0.	5	5
0.0.2.0	5	5
0.0.4.0	5	5
0.0.6000000000000001.0	5	5
0.0.8.0	5	5
1.0.	5	5
1.0.2000000000000002.0	5	5
1.0.4000000000000001.0	5	5
1.0.6.0	5	5
1.0.8.0	5	5
2.0.	5	5
2.0.2.0	5	5
2.0.4000000000000004.0	5	5
2.0.6.0	5	5
2.0.8000000000000003.0	5	5
3.0.	5	5
3.0.2.0	5	5
3.0.4000000000000004.0	5	5
3.0.6.0	5	5
3.0.8000000000000003.0	5	5
4.0.	5	5
4.0.2.0	5	5
4.0.4.0	5	5
4.0.6000000000000005.0	5	5
4.0.800000000000001.0	5	5
5.0.	5	5
5.0.2.0	5	5
5.0.4.0	5	5
5.0.6000000000000005.0	5	5
5.0.800000000000001.0	5	5
6.0.	5	5
6.0.2.0	5	5
6.0.4.0	5	5
6.0.6000000000000005.0	5	5
6.0.800000000000001.0	5	5
7.0.	5	5
7.0.2.0	5	5
7.0.4.0	5	5
7.0.6000000000000005.0	5	5
7.0.800000000000001.0	5	5
8.0.	5	5
8.0.200000000000001.0	5	5
8.0.4.0	5	5
8.0.6.0	5	5
8.0.8.0	5	5
9.0.	5	5
9.0.200000000000001.0	5	5
9.0.4.0	5	5
9.0.600000000000001.0	5	5
9.0.8.0	5	5
10.0.	5	5
10.0.200000000000001.0	5	5
10.0.4.0	5	5
10.0.600000000000001.0	5	5
10.0.8.0	5	5
11.0.	5	5
11.0.200000000000001.0	5	5
11.0.4.0	5	5
11.0.600000000000001.0	5	5
11.0.8.0	5	5
12.0.	5	5
12.0.200000000000001.0	5	5
12.0.4.0	5	5
12.0.600000000000001.0	5	5
12.0.8.0	5	5
13.0.	5	5
13.0.200000000000001.0	5	5
13.0.4.0	5	5
13.0.600000000000001.0	5	5
13.0.8.0	5	5
14.0.	5	5
14.0.200000000000001.0	5	5
14.0.4.0	5	5
14.0.600000000000001.0	5	5
14.0.8.0	5	5
15.0.	5	5
15.0.200000000000001.0	5	5
15.0.4.0	5	5
15.0.600000000000001.0	5	5
15.0.8.0	5	5
16.0.	5	5
16.0.2.0	5	5
16.0.400000000000002.0	5	5
16.0.6.0	5	5
16.0.8.0	5	5
17.0.	5	5
17.0.2.0	5	5
17.0.400000000000002.0	5	5
17.0.6.0	5	5
17.0.8.0	5	5
18.0.	5	5
18.0.2.0	5	5
18.0.400000000000002.0	5	5
18.0.6.0	5	5
18.0.8.0	5	5
19.0.	5	5
19.0.200000000000003.0	5	5
19.0.400000000000002.0	5	5
19.0.6.0	5	5
19.0.8.0	5	5
20.0.	5	5
