time	y	z
0.0.	5.0	5.0
0.0.2.0	4.9849434425320975	5.131053793188708
0.0.4.0	4.944590246260809	5.260853054115508
0.0.6000000000000001.0	4.885913240185979	5.385472016487999
0.0.8.0	4.815296909853534	5.501879519557687
1.0.	4.738281586683524	5.608000339609789
1.0.2000000000000002.0	4.659406025411264	5.70268534436583
1.0.4000000000000001.0	4.582158884278342	5.785593697589944
1.0.6.0	4.5090274404196204	5.857017393610039
1.0.8.0	4.441616664121376	5.917688116521044
2.0.	4.380806571003586	5.96859969300242
2.0.2.0	4.326919159908773	6.010865082537128
2.0.4000000000000004.0	4.279874324186262	6.045613234816584
2.0.6.0	4.239323047955956	6.073922227282487
2.0.8000000000000003.0	4.204753565015151	6.096781095649341
3.0.	4.175571112768337	6.115072178138162
3.0.2.0	4.151154617362778	6.129566936453525
3.0.4000000000000004.0	4.130894687796529	6.140929911423789
3.0.6.0	4.114217307471951	6.149727087967911
3.0.8000000000000003.0	4.100597092046633	6.156436238926401
4.0.	4.089563265455272	6.161457756222886
4.0.2.0	4.080700783022173	6.165125114558049
4.0.4.0	4.073648394206579	6.16771452305219
4.0.6000000000000005.0	4.068094919906307	6.169453572861636
4.0.800000000000001.0	4.06377462006771	6.17052883718662
5.0.	4.060462231498684	6.171092462192133
5.0.2.0	4.057968043471897	6.171267828695294
5.0.4.0	4.0561332306345435	6.171154381559992
5.0.6000000000000005.0	4.054825562292702	6.170831726979686
5.0.800000000000001.0	4.053935540991698	6.170363093601773
6.0.	4.053372981274884	6.169798245570415
6.0.2.0	4.053064014029964	6.169175926260157
6.0.4.0	4.05294848748712	6.168525901983279
6.0.6000000000000005.0	4.052977728881767	6.167870665934926
6.0.800000000000001.0	4.053112628382908	6.167226854401488
7.0.	4.053322007313525	6.166606419910651
7.0.2.0	4.053581234750852	6.166017599549408
7.0.4.0	4.05387105950842	6.16546571106538
7.0.6000000000000005.0	4.054176627770065	6.16495380451942
7.0.800000000000001.0	4.054486659962674	6.164483193087001
8.0.	4.054792763640258	6.16405388302827
8.0.200000000000001.0	4.05508886211038	6.163664919782959
8.0.4.0	4.055370721220478	6.163314664526627
8.0.6.0	4.055635559124496	6.163001013286719
8.0.8.0	4.0558817259756	6.162721568806947
9.0.	4.056108442356334	6.162473773720087
9.0.200000000000001.0	4.056315586885122	6.162255012202419
9.0.4.0	4.056503524851721	6.162062686103476
9.0.600000000000001.0	4.056672970957636	6.161894270543025
9.0.8.0	4.056824880293168	6.161747353117985
10.0.	4.05696036259124	6.161619660143596
10.0.200000000000001.0	4.057080615578149	6.161509072746801
10.0.4.0	4.057186873909488	6.161413635119436
10.0.600000000000001.0	4.057280370750422	6.16133155681038
10.0.8.0	4.05736230954639	6.161261210577502
11.0.	4.057433843944175	6.161201127021445
11.0.200000000000001.0	4.057496064174562	6.16114998697525
11.0.4.0	4.057549988504783	6.16110661241877
11.0.600000000000001.0	4.057596558619499	6.161069956518011
11.0.8.0	4.057636637999606	6.161039093251562
12.0.	4.057671012544565	6.161013206973771
12.0.200000000000001.0	4.057700392831244	6.160991582173558
12.0.4.0	4.057725417524491	6.160973593614885
12.0.600000000000001.0	4.05774665755616	6.160958696986976
12.0.8.0	4.057764620772471	6.160946420146637
13.0.	4.057779756818149	6.160936354999629
13.0.200000000000001.0	4.057792462081372	6.160928150040745
13.0.4.0	4.057803084568584	6.160921503551807
13.0.600000000000001.0	4.057811928614511	6.160916157441678
13.0.8.0	4.057819259361519	6.16091189170168
14.0.	4.057825306965183	6.160908519442577
14.0.200000000000001.0	4.057830270500747	6.160905882474653
14.0.4.0	4.057834321558753	6.160903847390008
14.0.600000000000001.0	4.057837607528456	6.16090230210532
14.0.8.0	4.057840254575281	6.160901152823603
15.0.	4.05784237032398	6.16090032137481
15.0.200000000000001.0	4.0578440462629874	6.160899742896854
15.0.4.0	4.05784535988778	6.160899363820921
15.0.600000000000001.0	4.057846376602485	6.160899140127389
15.0.8.0	4.057847151399419	6.16089903584132
16.0.	4.057847730336297	6.16089902173912
16.0.2.0	4.057848151830267	6.160899074240531
16.0.400000000000002.0	4.057848447787155	6.160899174462709
16.0.6.0	4.057848644583242	6.160899307415472
16.0.8.0	4.057848763915799	6.160899461319067
17.0.	4.057848823537289	6.160899627027891
17.0.2.0	4.057848837886969	6.160899797545543
17.0.400000000000002.0	4.057848818632367	6.16089996761828
17.0.6.0	4.057848775131862	6.1609001333956
17.0.8.0	4.057848714828504	6.160900292148069
18.0.	4.05784864358414	6.160900442033791
18.0.2.0	4.057848565961831	6.160900581906082
18.0.400000000000002.0	4.057848485463716	6.16090071115592
18.0.6.0	4.057848404730556	6.160900829583607
18.0.8.0	4.05784832570848	6.160900937294913
19.0.	4.057848249787743	6.160901034617618
19.0.200000000000003.0	4.057848177917649	6.160901122035011
19.0.400000000000002.0	4.057848110701307	6.160901200133382
19.0.6.0	4.057848048473343	6.160901269561032
19.0.8.0	4.057847991363269	6.160901330996707
20.0.	4.057847939346839	6.160901385125693
