time	beta	g	ins	mbeta	tamox
0.0.	400.0	4.966667	11.42	0.0	0.27
576.0.	364.5331109625014	4.624197844039066	12.612311238322023	33.0082076972037	0.178133567949323
1152.0.	339.91586381059227	4.438218702246543	13.119030738573757	51.70947871703164	0.11752432604618701
1728.0.	321.9440845370383	4.3540836800783485	13.351190007064012	62.01197966961148	0.077537138937622
2304.0.	308.36651158090496	4.327783525944745	13.409476910689838	67.26675543760454	0.051155434182059006
2880.0.	297.8381299324569	4.335466517492128	13.36138272804226	69.44638276273254	0.033750000084190004
3456.0.	289.5074183281366	4.363457997860335	13.25047796016174	69.74265360959879	0.022266696101294003
4032.0.	282.81422396374666	4.403533991407892	13.10448337575815	68.88922415399306	0.014690540896830001
4608.0.	277.3779847666951	4.4505690302116	12.940887373557267	67.34372340136028	0.009692142486951001
5184.0.	272.9322032921068	4.501290096390641	12.770622733107684	65.39414056042143	0.006394429385956001
5760.0.	269.28480775778036	4.553575518679595	12.60043203081506	63.22265671199727	0.0042187501200100005
6336.0.	266.2935937925809	4.606039652616562	12.434383824481614	60.94472941259513	0.002783337104826
6912.0.	263.8506537122539	4.657776715301054	12.274844568330826	58.6333947096577	0.0018363176814010001
7488.0.	261.8722672259503	4.708198030541497	12.123101996031279	56.334554302462124	0.001211517865076
8064.0.	260.292179549274	4.756926454457134	11.979764993903597	54.07667797583818	0.0007993037110430001
8640.0.	259.0570270293407	4.803726919954595	11.845019929078449	51.877004472352205	0.000527343789889
9216.0.	258.12315498134063	4.848460305938326	11.718794698492907	49.74552643523239	0.00034791715450900005
9792.0.	257.45435789226565	4.891052594981343	11.600863428759403	47.68756272945181	0.00022953972099900002
10368.0.	257.02024332702524	4.93147414975895	11.490913006706846	45.705424923087946	0.000151439740275
10944.0.	256.79502566451555	4.96972572844266	11.388585074431148	43.799500081288286	9.991296859198829e-05
11520.0.	256.75662134330815	5.005829006029221	11.293502269856804	41.96895591853685	6.591797684465081e-05
12096.0.	256.8859591676118	5.039820116485147	11.20528437000267	40.21220076174549	4.348964636448953e-05
12672.0.	257.16644648573737	5.071745224038541	11.12355798184315	38.52718383197029	2.8692466477933774e-05
13248.0.	257.58355010767724	5.101657459944197	11.047962128596286	36.91159124903325	1.8929968427141892e-05
13824.0.	258.1244629666823	5.129614780036236	10.978151242777113	35.362973773885024	1.248912166293465e-05
14400.0.	258.7778358016112	5.155678444975822	10.91379653766706	33.87882976760195	8.239747494134287e-06
14976.0.	259.53355884486655	5.179911923358291	10.854586380558688	32.45665871413713	5.4362060519105305e-06
15552.0.	260.3825824870305	5.202380083733685	10.80022606636453	31.093995363483213	3.5865584788692117e-06
16128.0.	261.316768706332	5.223148585771145	10.75043724517289	29.788431100745548	2.3662461649752687e-06
16704.0.	262.3287670657158	5.242283410397272	10.704957163870274	28.537626889717586	1.561140281483849e-06
17280.0.	263.41191053873155	5.259850488550729	10.663537821804383	27.33932066016601	1.0299684853359038e-06
17856.0.	264.56012749448644	5.275915401437428	10.625945101858134	26.191331036112004	6.79525788532485e-07
18432.0.	265.7678669654183	5.290543134005984	10.59195791362561	25.091558662440374	4.483198309995891e-07
19008.0.	267.0300349181281	5.303797869245763	10.561367369697255	24.037985964849863	2.9578078456972575e-07
19584.0.	268.34193970149363	5.315742814817442	10.533976006180593	23.028675898820993	1.951425443876088e-07
20160.0.	269.69924519599164	5.326440056114766	10.50959705243758	22.061770058073037	1.287460667381283e-07
20736.0.	271.09793046064493	5.335950431567316	10.488053751271112	21.135486389876473	8.494072757201941e-08
21312.0.	272.5342548886279	5.344333427122497	10.46917872857448	20.248116682540488	5.603998151756594e-08
21888.0.	274.0047280532724	5.35164708758881	10.452813410208472	19.39802393555445	3.697259981469297e-08
22464.0.	275.50608356324784	5.357947943013442	10.438807483229786	18.583639686093104	2.439281919871712e-08
23040.0.	277.035256356572	5.363290948593461	10.427018398328517	17.803461340862555	1.60932591011586e-08
23616.0.	278.5893629535049	5.367729436839624	10.417310910293244	17.056049545569618	1.06175914471848e-08
24192.0.	280.16568426254713	5.371315080863388	10.409556653414302	16.34002561298975	7.004998020022925e-09
24768.0.	281.7616505949772	5.37409786776647	10.403633748899846	15.654069022923435	4.62157519477129e-09
25344.0.	283.3748285941481	5.37612608119445	10.399426441577566	14.996915002091393	3.0491025436229012e-09
25920.0.	285.00290982809906	5.377446292181916	10.396824763365432	14.367352188437744	2.011657482506401e-09
26496.0.	286.64370082947454	5.378103357473114	10.395724221203485	13.764220381859307	1.327198993483401e-09
