time	species_1	species_2	species_3	species_4
0.0.	0.1	0.1	0.1	0.1
6.0.	0.591792596119697	0.051226626277058006	0.9977691062982641	0.025871338492800003
12.0.	0.640296964957609	0.11723045333390801	0.999993862219494	0.049768591997864
18.0.	0.659113201763281	0.148524991165082	0.9999965026988081	0.06096755854077401
24.0.	0.6708898855814891	0.168156843904254	0.999991689204842	0.068397868026251
30.0.	0.6804349110492021	0.18407145217133702	0.9999847184017581	0.07465144119620801
36.0.	0.6898773468910111	0.199818362475835	0.9999738834241041	0.08103805815798201
42.0.	0.7012063799682681	0.21871724700519202	0.999953678608105	0.088959236813096
48.0.	0.718328237020428	0.247295457608552	0.999901527830866	0.10145473553785501
54.0.	0.755344643741465	0.309179170157509	0.99963248327133	0.13054167109314901
60.0.	0.9406835103994531	0.626376018465428	0.9804443226385551	0.310563243618441
66.0.	1.191871070342083	1.88571588509599	0.037969447533667	0.766612385519674
72.0.	0.7883638191477441	1.270920769630606	0.08111877470034101	0.369865803920917
78.0.	0.601043586527467	0.08380944938597601	0.9943297097254331	0.031321015081537
84.0.	0.642985270728883	0.121802268911153	0.9999851259509951	0.051320628838198004
90.0.	0.660586398962512	0.15098104532838102	0.999996048757089	0.061879605289546
96.0.	0.6719771202262611	0.169969469600588	0.9999910572333941	0.069099813583456
102.0.	0.681424548966445	0.185721674096224	0.999983789135597	0.07531151697211601
108.0.	0.690962614527534	0.20162849132916602	0.9999723252606451	0.08178472671497701
114.0.	0.702661784082088	0.22114566444491102	0.9999503746130161	0.08999703724006601
120.0.	0.72087873207199	0.251554508311263	0.999890852337679	0.103369100517313
126.0.	0.7624917340582541	0.32114931413561804	0.9995425753871051	0.136470845856974
132.0.	1.00305920498003	0.741392488115396	0.950503192569317	0.38017701942395804
138.0.	1.177605478114977	1.895599187975237	0.027313393500771003	0.7587123270632911
144.0.	0.663395089135977	1.023433711136992	0.19069226979293202	0.24540552818728
150.0.	0.608562722263917	0.082912951507829	0.9970263178163671	0.033958742716022006
156.0.	0.6454553727536151	0.12584788598166	0.9999915878364221	0.052756475247744
162.0.	0.6619954018187041	0.15332951057976602	0.99999561199118	0.06275659013536801
168.0.	0.673043457779242	0.171747286777534	0.9999904007530791	0.069790868741279
174.0.	0.6824152024292991	0.187373627096124	0.999982814514176	0.075974457505967
180.0.	0.6920712239776211	0.20347761213206902	0.9999706584630411	0.08255012438895501
186.0.	0.7041851004217301	0.22368754260660803	0.9999467193078151	0.09108814874304501
192.0.	0.7236479928935171	0.256179547490338	0.9998782401276811	0.10546302640829501
198.0.	0.7708760180506521	0.33520303210914604	0.9994153404445931	0.143550409215412
204.0.	1.0785874660672121	0.8983262781010941	0.866364232866753	0.47008788903688303
210.0.	1.160772487392534	1.888645093225057	0.021719491946238	0.746688912669463
216.0.	0.567129539614585	0.7598557686017171	0.430358906888514	0.146826379021428
222.0.	0.61492918525089	0.08561441026612501	0.9984404796853341	0.036620129274665
228.0.	0.6477380368572621	0.12961293541051902	0.9999948409368121	0.054097329520572
234.0.	0.6633472488821911	0.15558286031919702	0.9999951465827511	0.063602306174288
240.0.	0.674091734354035	0.173495025739239	0.9999897183945651	0.070472725680481
246.0.	0.6834089781533791	0.18903082550733602	0.9999817906452181	0.07664168278906201
252.0.	0.693206319088384	0.20537097449642702	0.999968870456811	0.08333659872363901
258.0.	0.7057844887111591	0.226356523559249	0.9999426552153761	0.09223911182237701
264.0.	0.7266711895091691	0.261229534378966	0.9998631754274171	0.10776712315848101
270.0.	0.7808531038690281	0.35194477623345005	0.9992281451500891	0.15214557571318402
276.0.	1.15002166701208	1.094461702311943	0.68997624020391	0.5674948738566951
