time	T	V
0.0.	1000.0	3.0
21.0.900000000000002.0	976.1687731668695	3.3894281369003663
43.0.800000000000004.0	953.0595944847889	3.495851167639181
65.0.7.0	930.6611981194658	3.60404418192058
87.0.60000000000001.0	908.946207677865	3.714026188532293
109.0.50000000000001.0	887.8883077135054	3.825817510536931
131.0.4.0	867.462202263059	3.939439902435298
153.0.3.0	847.6435747987924	4.054916672315727
175.0.20000000000002.0	828.4090496173919	4.172272809421722
197.0.10000000000002.0	809.7361546085043	4.29153511747941
219.0.00000000000003.0	791.6032853594014	4.412732354213546
240.0.90000000000003.0	773.9896705487838	4.5358953775626585
262.0.8.0	756.8753385852234	4.661057299164599
284.0.70000000000005.0	740.2410854470772	4.7882536457564875
306.0.6.0	724.0684436819927	4.917522529212681
328.0.50000000000006.0	708.3396525253563	5.048904826031439
350.0.40000000000003.0	693.0376290981617	5.182444367177021
372.0.3.0	678.1459406458647	5.318188139289643
394.0.20000000000005.0	663.6487777807987	5.456186498392444
416.0.1.0	649.5309286916669	5.596493397354042
438.0.00000000000006.0	635.7777542845365	5.739166628508619
459.0.90000000000003.0	622.375164220587	5.884268082995343
481.0.80000000000007.0	609.3095938166568	6.031864028557011
503.0.70000000000005.0	596.5679817753696	6.182025407737164
525.0.6.0	584.1377487123066	6.33482815863831
547.0.5.0	572.0067764483457	6.490353560654981
569.0.4000000000001.0	560.1633880358532	6.64868860787858
591.0.3000000000001.0	548.5963284879914	6.809926413190301
613.0.2.0	537.2947461808784	6.974166646420501
635.0.1.0	526.2481748987985	7.141516010363399
657.0.0000000000001.0	515.4465164930419	7.312088758903321
678.0.9000000000001.0	504.88002412530415	7.486007262041081
700.0.8000000000001.0	494.53928606685963	7.663402623217755
722.0.7.0	484.41521002492954	7.844415355030374
744.0.6.0	474.49900796783714	8.029196120234287
766.0.5000000000001.0	464.7821814206081	8.217906545848273
788.0.4000000000001.0	455.25650720269266	8.410720119240862
810.0.3000000000001.0	445.91402357938335	8.60782317630567
832.0.2.0	436.74701679834016	8.809415993257735
854.0.1000000000001.0	427.74800798233264	9.01571399523933
876.0.0000000000001.0	418.90974034891497	9.226949096853229
897.0.9000000000001.0	410.22516672720445	9.443371191996667
919.0.8000000000001.0	401.6874373412564	9.665249813011645
941.0.7.0	393.2898878286717	9.892875982272695
963.0.6000000000001.0	385.0260274620392	10.126564282993305
985.0.5000000000001.0	376.8895275395696	10.366655180359725
1007.0.4000000000001.0	368.8742099097832	10.613517629233822
1029.0.3000000000002.0	360.97403559336806	10.867552010774387
1051.0.2.0	353.18309346325674	11.129193447620324
1073.0.1000000000001.0	345.4955889415569	11.39891555601987
1095.0.	337.90583266916883	11.677234703803839
1116.0.9.0	330.40822910065214	11.964714855797048
1138.0.8000000000002.0	322.99726497312776	12.26197310365446
1160.0.7.0	315.66749759362034	12.569685995849937
1182.0.6000000000001.0	308.4135428841866	12.888596806464177
1204.0.5000000000002.0	301.2300631183373	13.219523909574216
1226.0.4.0	294.111754275513	13.56337046080571
1248.0.3000000000002.0	287.05333293260435	13.92113563073241
1270.0.2.0	280.04952260254595	14.293927688595714
1292.0.1000000000001.0	273.0950394196931	14.682979302277088
1314.0.0000000000002.0	266.1845770598145	15.089665505561046
1335.0.9.0	259.31279076888086	15.515524891747432
1357.0.8000000000002.0	252.47428035915996	15.962284730673069
1379.0.7.0	245.6635720131904	16.43189088370335
1401.0.6000000000001.0	238.87509871573118	16.92654362121757
1423.0.5000000000002.0	232.1031791105465	17.44874074730837
1445.0.4.0	225.34199455268117	18.001329831485414
1467.0.3000000000002.0	218.58556409766288	18.587571871547354
1489.0.2.0	211.82771713699472	19.21121941417867
1511.0.1000000000001.0	205.06206335493877	19.876613109797418
1533.0.0000000000002.0	198.2819596462625	20.588801976407037
1554.0.9.0	191.480473600772	21.35369444102211
1576.0.8000000000002.0	184.65034313268225	22.178249735501407
1598.0.7.0	177.78393181905838	23.070722775683564
1620.0.6000000000001.0	170.8731795254666	24.04098075265004
1642.0.5000000000002.0	163.90954796193708	25.100917096128583
1664.0.4.0	156.88396096847902	26.2649994736624
1686.0.3000000000002.0	149.78673964526376	27.551005067862196
1708.0.2000000000003.0	142.60753303743616	28.981021831740314
1730.0.1000000000001.0	135.33524616678153	30.582834330114668
1752.0.0000000000002.0	127.95796914506546	32.39187677526665
1773.0.9.0	120.46291458322716	34.454041091035
1795.0.8000000000002.0	112.83637678907289	36.82980568849292
1817.0.7000000000003.0	105.06373773417646	39.600460520733094
1839.0.6000000000001.0	97.12956623186712	42.87776253762891
1861.0.5000000000002.0	89.01789792589165	46.819400949522496
1883.0.4.0	80.71286523182033	51.654691346836536
1905.0.3000000000002.0	72.20001416722481	57.72908515189362
1927.0.2000000000003.0	63.46900561603827	65.58503289274714
1949.0.1000000000001.0	54.51921054595957	76.11700380910648
1971.0.0000000000002.0	45.371619994977365	90.88663531022954
1992.0.9.0	36.095107776460964	112.8019359626817
2014.0.8000000000002.0	26.865732651819954	147.64088055715388
2036.0.7000000000003.0	18.094510103665193	207.3416459889465
2058.0.6000000000004.0	10.620633232451548	314.9468839609198
2080.0.5.0	5.564753109085429	500.13935641869745
2102.0.4.0	3.092581046352687	764.9752530181245
2124.0.3.0	2.038458282564368	1074.2443271038824
2146.0.2000000000003.0	1.5121925887597971	1401.1662864240889
2168.0.1000000000004.0	1.200364401813465	1735.893579750612
2190.0.	0.9945317564107181	2074.795130502651
