time	ADP	ATP	BPG	P3G	pep	phos	pyr
0.0.	0.5	9.5	0.0	6.5	5.08	0.589	0.1
0.0.45.0	0.0007736713648380001	9.999226328635146	0.07537353107578401	6.424626468924212	4.491508968734021	0.602891171555036	0.6884910312659831
0.0.9.0	0.0006838696107960001	9.999316130389191	0.115411485399179	6.384588514600815	4.41913076228377	0.6351416219278481	0.760869237716233
1.0.35.0	0.0006454749928450001	9.99935452500714	0.13833805679740502	6.361661943202592	4.353782847164807	0.677524571030638	0.826217152835199
1.0.8.0	0.000628566185024	9.999371433814963	0.151882092551685	6.348117907448312	4.291941887960265	0.72580458567308	0.888058112039742
2.0.25.0	0.0006224425127420001	9.999377557487236	0.16000467540912602	6.339995324590872	4.232022458906648	0.7775953081969731	0.9479775410933591
2.0.7.0	0.000622301634857	9.999377698365116	0.16491439468639402	6.335085605313605	4.173207970937365	0.8314999360111031	1.00679202906264
3.0.15.0	0.000625698325079	9.999374301674903	0.16789412056816802	6.332105879431833	4.115046577644266	0.8866850001126491	1.064953422355738
3.0.6.0	0.000631291212797	9.999368708787184	0.169705520310048	6.330294479689952	4.057277885701867	0.942647885200887	1.122722114298138
4.0.05.0	0.000638311907956	9.999361688092023	0.170806446364849	6.329193553635151	3.999748227627059	0.999083637916054	1.180251772372947
4.0.5.0	0.0006463094747030001	9.999353690525274	0.17147411577058203	6.328525884229419	3.94236563910408	1.055806554600047	1.237634360895926
4.0.95.0	0.0006550166712220001	9.999344983328756	0.171877095686877	6.328122904313123	3.885074631926501	1.112703289057849	1.294925368073504
5.0.4.0	0.0006642755466720001	9.999335724453305	0.172118148668599	6.327881851331399	3.827841577037554	1.169704549840524	1.352158422962451
5.0.8500000000000005.0	0.000673994409811	9.999326005590166	0.17226001606718602	6.327739983932813	3.7706460555637893	1.226767922778842	1.409353944436216
6.0.3.0	0.0006841223048660001	9.999315877695116	0.172341037543734	6.327658962456264	3.713475674001994	1.2838674107591421	1.466524325998009
6.0.75.0	0.0006946336329990001	9.999305366366979	0.17238465164201802	6.327615348357981	3.656322930976937	1.340987051014048	1.523677069023067
7.0.2.0	0.0007055188025350001	9.999294481197445	0.172405188738913	6.327594811261086	3.599183314449986	1.39811701561364	1.580816685550018
7.0.65.0	0.000716778520935	9.999283221479045	0.17241140856568202	6.327588591434318	3.542054142740326	1.455251227214931	1.6379458572596781
8.0.1.0	0.0007284203105370001	9.99927157968945	0.172408662385533	6.327591337614467	3.484933857386766	1.512385900538242	1.6950661426132392
8.0.55.0	0.0007404563925260001	9.999259543607465	0.172400215258036	6.327599784741962	3.427821591321144	1.5695186498133502	1.752178408678859
9.0.	0.0007529024178190001	9.999247097582172	0.172388054910756	6.327611945089242	3.37071690511214	1.626647942394928	1.809283094887863
9.0.450000000000001.0	0.0007657767254100001	9.999234223274584	0.17237338662801302	6.327626613371986	3.313619625939249	1.683772764158151	1.866380374060754
9.0.9.0	0.0007790999318460001	9.999220900068147	0.17235693604645402	6.327643063953547	3.256529749415337	1.740892414470058	1.923470250584666
10.0.35.0	0.000792894731146	9.99920710526885	0.172339134402601	6.327660865597401	3.199447379889643	1.798006380438905	1.98055262011036
10.0.8.0	0.000807185831142	9.999192814168858	0.172320231837247	6.327679768162755	3.142372694333628	1.855114259660271	2.037627305666375
11.0.25.0	0.000821999981182	9.99917800001882	0.17230036666168203	6.3276996333383195	3.085305920699978	1.912215712619525	2.094694079300025
11.0.700000000000001.0	0.000837366064135	9.999162633935864	0.172279607661968	6.327720392338032	3.028247325185105	1.969310433217065	2.151752674814898
12.0.15.0	0.000853315236938	9.99914668476306	0.17225797989108202	6.327742020108919	2.9711972049917783	2.02639813035408	2.208802795008224
12.0.6.0	0.0008698811111010001	9.9991301188889	0.17223548034335	6.327764519656649	2.91415588451488	2.083478516252873	2.265844115485122
13.0.05.0	0.0008870999691930001	9.999112900030806	0.17221208742336902	6.327787912576632	2.857123713685879	2.140551298859947	2.322876286314124
13.0.5.0	0.0009050110164430001	9.999094988983558	0.172187766602156	6.327812233397843	2.800101067710006	2.197616176704283	2.379898932289997
